date,tic,open,high,low,close,volume
2021-01-04,INTC,45.06,46.44,44.66,44.88,1105688
2021-01-05,INTC,44.74,45.92,44.59,45.75,680659
2021-01-06,INTC,45.59,47.14,45.4,46.22,950365
2021-01-07,INTC,46.62,47.62,46.38,47.14,1093826
2021-01-08,INTC,47.44,47.47,46.36,46.73,1160558
2021-01-11,INTC,46.34,47.19,46.33,46.58,752222
2021-01-12,INTC,46.89,48.67,46.62,48.12,1478727
2021-01-13,INTC,53.79,54.45,51.43,51.5,3783863
2021-01-14,INTC,52.81,54.36,52.34,53.65,2382570
2021-01-15,INTC,53.14,53.91,51.98,52.12,1479889
2021-01-19,INTC,52.38,52.72,51.63,52.45,752467
2021-01-20,INTC,52.67,53.5,52.51,53.07,526149
2021-01-21,INTC,53.39,57.79,52.64,56.19,2100371
2021-01-22,INTC,53.15,53.87,51.21,51.21,2651896
2021-01-25,INTC,50.96,51.04,48.87,50.12,1745490
2021-01-26,INTC,49.96,50.8,49.66,49.9,1108931
2021-01-27,INTC,49.35,49.57,48.18,48.37,1373346
2021-01-28,INTC,49.53,51.88,49.44,50.68,1367471
2021-01-29,INTC,50.61,51.66,50.04,50.14,906326
2021-02-01,INTC,50.57,51.87,50.37,51.24,803134
2021-02-02,INTC,51.7,52.68,51.41,52.43,869180
2021-02-03,INTC,52.42,52.72,51.87,52.14,863766
2021-02-04,INTC,52.32,53.53,52.01,53.47,823838
2021-02-05,INTC,53.67,53.67,52.85,52.87,660466
2021-02-08,INTC,53.13,53.83,52.7,53.82,1086844
2021-02-09,INTC,53.47,53.92,52.69,53.42,895553
2021-02-10,INTC,53.91,54.03,52.86,53.55,552671
2021-02-11,INTC,53.72,55.44,53.53,55.18,858360
2021-02-12,INTC,55.06,56.83,54.96,56.23,758856
2021-02-16,INTC,56.33,57.17,56.13,56.83,945938
2021-02-17,INTC,55.92,56.54,55.66,56.22,610950
2021-02-18,INTC,55.27,56.35,55.27,56.0,562310
2021-02-19,INTC,56.24,57.52,56.24,57.28,1506990
2021-02-22,INTC,56.27,56.99,55.16,55.19,996077
2021-02-23,INTC,54.99,55.91,53.81,55.55,978581
2021-02-24,INTC,55.09,57.53,54.94,57.49,754062
2021-02-25,INTC,56.78,57.76,54.67,54.86,1133458
2021-02-26,INTC,55.39,56.07,54.27,55.24,822405
2021-03-01,INTC,56.13,57.35,56.07,57.24,700317
2021-03-02,INTC,57.13,57.39,55.57,55.64,511130
2021-03-03,INTC,55.14,55.92,54.29,54.42,911352
2021-03-04,INTC,54.43,54.76,52.67,52.96,1045377
2021-03-05,INTC,53.9,55.62,53.2,55.25,1032553
2021-03-08,INTC,54.96,56.08,54.32,54.38,843892
2021-03-09,INTC,55.67,57.42,55.33,57.0,1174097
2021-03-10,INTC,57.51,58.3,56.5,56.5,627594
2021-03-11,INTC,57.3,58.27,56.74,57.57,839676
2021-03-12,INTC,56.97,57.55,56.59,57.18,558045
2021-03-15,INTC,57.84,58.07,56.82,58.01,562971
2021-03-16,INTC,58.41,59.76,58.3,58.92,806146
2021-03-17,INTC,58.47,60.26,57.94,59.83,1049045
2021-03-18,INTC,59.61,59.73,57.9,57.92,773303
2021-03-19,INTC,57.37,59.08,57.22,57.95,791282
2021-03-22,INTC,58.97,60.35,58.72,59.7,848269
2021-03-23,INTC,60.01,60.01,57.45,57.71,1029760
2021-03-24,INTC,60.55,61.32,56.38,56.38,2290128
2021-03-25,INTC,56.1,56.77,55.45,56.38,1154515
