date,tic,open,high,low,close,volume
2021-01-04,IQV,178.22,179.74,174.46,176.39,46642
2021-01-05,IQV,176.23,180.24,176.23,179.33,38847
2021-01-06,IQV,178.82,186.905,178.675,186.49,45650
2021-01-07,IQV,187.71,189.66,187.61,188.11,36840
2021-01-08,IQV,188.37,191.99,188.37,191.23,43928
2021-01-11,IQV,190.31,191.98,188.4,191.375,29755
2021-01-12,IQV,191.0,192.12,187.98,189.78,35350
2021-01-13,IQV,190.065,191.2,189.06,189.45,19116
2021-01-14,IQV,189.36,190.3,187.75,188.075,23669
2021-01-15,IQV,187.135,188.74,185.83,187.4,34697
2021-01-19,IQV,190.96,190.96,187.29,189.07,41629
2021-01-20,IQV,189.4,191.12,188.03,190.63,38253
2021-01-21,IQV,190.81,191.08,187.68,187.885,37023
2021-01-22,IQV,187.185,187.185,185.22,185.85,21057
2021-01-25,IQV,186.11,186.305,179.685,183.0,51815
2021-01-26,IQV,184.18,184.35,180.185,180.33,49533
2021-01-27,IQV,176.09,176.09,170.0,172.96,109319
2021-01-28,IQV,175.98,180.225,175.35,178.53,43697
2021-01-29,IQV,177.445,181.54,177.05,177.66,51059
2021-02-01,IQV,180.255,182.03,178.99,180.625,40590
2021-02-02,IQV,182.78,186.97,182.51,184.62,48892
2021-02-03,IQV,184.05,184.94,182.57,183.0,38438
2021-02-04,IQV,183.51,185.86,182.36,184.42,24975
2021-02-05,IQV,186.36,186.625,184.845,186.27,25819
2021-02-08,IQV,187.57,188.805,186.42,186.91,41597
2021-02-09,IQV,186.09,187.0,183.81,183.82,75483
2021-02-10,IQV,196.67,199.51,189.65,189.98,132769
2021-02-11,IQV,191.31,196.66,191.31,192.77,63873
2021-02-12,IQV,192.135,193.15,189.02,192.78,48764
2021-02-16,IQV,192.64,193.15,189.73,190.78,47995
2021-02-17,IQV,188.66,191.67,188.47,188.96,28780
2021-02-18,IQV,187.59,189.01,185.51,187.87,40408
2021-02-19,IQV,187.79,189.44,186.42,188.75,86290
2021-02-22,IQV,187.17,190.68,186.705,190.225,81730
2021-02-23,IQV,190.65,192.705,189.99,190.955,112998
2021-02-24,IQV,191.67,197.08,191.67,194.55,154910
2021-02-25,IQV,194.86,194.9,190.78,192.525,60100
2021-02-26,IQV,194.39,195.24,189.56,192.94,78461
2021-03-01,IQV,195.0,196.35,192.56,194.44,51785
2021-03-02,IQV,194.62,194.62,190.45,192.975,39383
2021-03-03,IQV,191.36,192.27,188.93,190.455,34266
2021-03-04,IQV,191.08,191.08,183.96,186.46,63617
2021-03-05,IQV,188.56,189.7,181.275,188.89,78175
2021-03-08,IQV,189.66,194.74,187.81,187.89,45455
2021-03-09,IQV,190.02,192.78,189.27,189.36,42453
2021-03-10,IQV,190.625,191.75,189.67,189.785,46076
2021-03-11,IQV,190.825,191.6,189.105,189.22,35840
2021-03-12,IQV,187.48,187.745,185.4,186.78,55292
2021-03-15,IQV,186.46,190.66,186.05,190.53,51938
2021-03-16,IQV,191.255,192.5,187.34,189.31,38992
2021-03-17,IQV,188.63,191.0,187.67,189.61,37935
2021-03-18,IQV,188.565,189.93,185.795,186.43,66192
2021-03-19,IQV,187.48,189.61,185.99,188.31,63154
2021-03-22,IQV,188.015,191.06,188.015,189.8,33871
