date,tic,open,high,low,close,volume
2021-01-04,IR,45.37,45.51,43.63,44.09,244598
2021-01-05,IR,44.57,45.16,44.23,44.87,53447
2021-01-06,IR,46.28,47.39,46.16,46.41,100482
2021-01-07,IR,46.67,47.16,46.39,46.76,40125
2021-01-08,IR,47.12,47.12,45.68,46.18,53960
2021-01-11,IR,45.57,46.42,45.57,46.26,31401
2021-01-12,IR,46.56,47.5,46.45,46.82,63662
2021-01-13,IR,46.86,46.86,45.85,45.85,35059
2021-01-14,IR,46.12,46.52,45.75,46.1,59016
2021-01-15,IR,46.77,46.9,45.33,45.68,179832
2021-01-19,IR,45.98,46.35,45.74,46.03,91987
2021-01-20,IR,46.06,46.43,45.61,45.77,126677
2021-01-21,IR,45.67,45.95,45.48,45.55,71539
2021-01-22,IR,44.95,45.44,44.82,44.99,109474
2021-01-25,IR,44.74,44.93,44.01,44.29,106443
2021-01-26,IR,44.8,44.86,43.36,43.36,93878
2021-01-27,IR,42.27,42.27,40.45,40.58,98170
2021-01-28,IR,41.23,42.77,41.0,42.41,251745
2021-01-29,IR,42.1,42.28,41.2,41.62,258390
2021-02-01,IR,42.14,42.49,41.5,42.43,112221
2021-02-02,IR,43.04,43.42,42.41,43.14,81665
2021-02-03,IR,42.93,43.52,42.66,43.33,63226
2021-02-04,IR,43.42,43.82,42.65,42.81,176206
2021-02-05,IR,43.22,43.87,42.97,43.58,82197
2021-02-08,IR,43.73,43.98,43.49,43.81,66324
2021-02-09,IR,43.67,44.31,43.47,43.85,136784
2021-02-10,IR,43.94,44.41,43.59,44.24,166113
2021-02-11,IR,44.38,44.93,43.29,43.82,165383
2021-02-12,IR,43.8,44.12,43.21,43.75,72493
2021-02-16,IR,43.93,44.14,43.09,43.36,54509
2021-02-17,IR,43.28,43.29,42.62,42.79,47094
2021-02-18,IR,42.53,42.76,41.79,42.49,46574
2021-02-19,IR,43.2,44.08,43.14,43.65,95117
2021-02-22,IR,43.31,44.57,43.11,43.49,165132
2021-02-23,IR,44.62,46.48,44.06,45.3,254017
2021-02-24,IR,45.34,47.99,45.33,47.86,270437
2021-02-25,IR,48.17,48.56,46.02,46.13,153102
2021-02-26,IR,45.97,46.68,45.54,46.16,142919
2021-03-01,IR,46.9,47.7,46.89,47.27,86639
2021-03-02,IR,47.12,47.18,46.52,46.57,75735
2021-03-03,IR,46.36,47.24,46.36,46.58,210565
2021-03-04,IR,46.39,47.47,45.84,46.8,164024
2021-03-05,IR,47.6,49.43,46.57,49.26,204199
2021-03-08,IR,49.6,51.33,49.31,50.33,270620
2021-03-09,IR,50.15,50.29,47.86,47.88,133890
2021-03-10,IR,48.4,49.16,47.69,48.72,80341
2021-03-11,IR,48.71,49.67,48.63,48.83,60233
2021-03-12,IR,48.83,49.44,48.68,49.34,70628
2021-03-15,IR,49.36,50.52,48.93,50.52,140970
2021-03-16,IR,50.2,50.2,48.75,48.75,96689
2021-03-17,IR,48.84,49.76,48.38,49.54,60034
2021-03-18,IR,49.92,50.62,49.24,49.5,96922
2021-03-19,IR,49.32,49.73,48.27,49.21,146759
2021-03-22,IR,48.77,48.77,47.8,48.56,86099
2021-03-23,IR,47.95,48.41,46.75,46.91,59447
2021-03-24,IR,47.47,48.68,47.47,48.14,81882
2021-03-25,IR,47.56,48.74,46.76,48.48,85221
2021-03-26,IR,48.99,49.63,48.55,49.52,35496
2021-03-29,IR,49.21,49.72,49.16,49.35,46834
2021-03-30,IR,49.17,50.09,49.17,49.78,84659
2021-03-31,IR,49.96,50.61,48.92,48.98,99653
2021-04-01,IR,49.29,49.47,48.74,49.4,161260
2021-04-05,IR,49.7,50.27,49.68,49.79,173270
2021-04-06,IR,49.93,50.5,49.72,50.0,61555
2021-04-07,IR,49.82,50.09,49.34,49.9,76147
2021-04-08,IR,49.95,50.15,49.1,50.05,73386
2021-04-09,IR,50.33,50.45,49.52,50.32,57649
2021-04-12,IR,51.09,51.19,49.69,49.89,125606
2021-04-13,IR,49.66,49.66,48.41,48.94,78169
2021-04-14,IR,49.11,49.86,49.08,49.14,114460
2021-04-15,IR,49.25,49.41,48.78,49.09,162503
2021-04-16,IR,49.68,50.12,49.28,49.99,161316
2021-04-20,IR,50.52,50.59,49.23,50.08,166735
2021-04-21,IR,49.85,50.85,49.64,50.69,199932
2021-04-22,IR,50.64,51.83,50.39,50.99,178924
2021-04-23,IR,50.98,51.62,50.86,51.36,122124
2021-04-26,IR,51.6,51.71,50.97,50.98,79672
2021-04-27,IR,51.11,51.18,50.41,50.96,81565
2021-04-28,IR,50.79,51.85,50.75,51.66,164405
2021-04-29,IR,49.97,51.37,49.69,51.03,181681
2021-04-30,IR,50.46,50.71,49.06,49.19,132173
2021-05-03,IR,49.4,49.53,48.01,48.05,105289
2021-05-04,IR,47.91,49.02,47.38,48.94,121759
2021-05-05,IR,49.09,49.41,48.34,49.15,91595
2021-05-06,IR,49.1,49.44,48.74,49.27,66354
2021-05-07,IR,49.1,50.42,48.92,50.27,85762
2021-05-10,IR,50.56,51.34,49.88,49.9,143385
2021-05-11,IR,47.91,48.66,46.99,47.91,330808
2021-05-12,IR,48.03,48.26,46.8,46.91,126486
2021-05-13,IR,46.98,47.72,46.93,47.34,109836
2021-05-14,IR,47.62,48.5,47.51,48.29,132253
2021-05-17,IR,48.2,48.71,47.61,48.51,165202
2021-05-18,IR,48.5,48.53,47.79,48.18,187312
2021-05-19,IR,47.38,47.66,46.53,47.48,256848
2021-05-20,IR,47.87,48.22,47.4,48.03,292612
2021-05-21,IR,48.46,49.16,48.33,48.63,191512
2021-05-24,IR,48.8,49.52,48.67,49.36,98922
2021-05-25,IR,49.43,49.61,48.43,48.43,47950
2021-05-26,IR,48.39,48.94,48.39,48.92,114210
2021-05-27,IR,49.58,49.73,49.1,49.42,177305
2021-05-28,IR,49.31,49.51,48.99,49.37,52955
2021-06-01,IR,50.09,50.35,49.77,49.79,60161
2021-06-02,IR,49.93,49.93,49.28,49.48,60922
2021-06-03,IR,49.13,49.28,48.78,48.88,31086
2021-06-04,IR,49.2,49.4,48.83,48.96,25414
