date,tic,open,high,low,close,volume
2021-01-04,IRM,24.2,24.25,23.09,23.24,184433
2021-01-05,IRM,23.28,23.62,23.28,23.41,53637
2021-01-06,IRM,23.66,23.67,23.31,23.35,104185
2021-01-07,IRM,23.34,23.34,22.88,23.15,97314
2021-01-08,IRM,23.28,23.49,23.13,23.15,36448
2021-01-11,IRM,23.07,23.13,22.57,22.7,213884
2021-01-12,IRM,22.62,22.91,22.54,22.76,92356
2021-01-13,IRM,22.85,23.1,22.83,23.06,68144
2021-01-14,IRM,23.19,24.47,23.19,24.47,246150
2021-01-15,IRM,24.36,24.67,24.17,24.33,76345
2021-01-19,IRM,24.32,24.51,23.91,23.96,77311
2021-01-20,IRM,23.92,24.78,23.79,24.57,79731
2021-01-21,IRM,24.47,24.58,24.13,24.55,39074
2021-01-22,IRM,24.32,24.49,24.19,24.47,53639
2021-01-25,IRM,24.57,28.82,24.57,26.06,567766
2021-01-26,IRM,26.19,27.35,25.93,27.11,275502
2021-01-27,IRM,27.33,33.4,27.27,29.97,835082
2021-01-28,IRM,29.07,30.51,27.07,27.12,440893
2021-01-29,IRM,27.09,28.51,27.07,27.29,302074
2021-02-01,IRM,27.53,27.53,26.78,27.07,145383
2021-02-02,IRM,26.86,26.86,25.31,26.08,99253
2021-02-03,IRM,25.72,26.49,25.67,26.28,83815
2021-02-04,IRM,26.32,26.32,25.52,25.89,150147
2021-02-05,IRM,25.95,26.49,25.84,26.28,92256
2021-02-08,IRM,26.36,26.91,26.27,26.84,79844
2021-02-09,IRM,26.96,27.35,26.9,27.07,90898
2021-02-10,IRM,27.37,27.9,27.37,27.9,102112
2021-02-11,IRM,27.74,27.82,26.6,26.97,106042
2021-02-12,IRM,26.94,27.09,26.73,26.91,54806
2021-02-16,IRM,27.0,27.03,26.46,26.74,58881
2021-02-17,IRM,26.58,26.67,26.43,26.55,60063
2021-02-18,IRM,26.56,26.76,26.3,26.3,55850
2021-02-19,IRM,26.37,26.6,26.07,26.1,102370
2021-02-22,IRM,26.06,26.06,25.72,25.8,116196
2021-02-23,IRM,26.04,26.18,25.64,26.11,90430
2021-02-24,IRM,26.43,28.33,26.31,28.14,344266
2021-02-25,IRM,28.05,29.21,27.65,28.13,215105
2021-02-26,IRM,28.05,28.47,27.62,28.25,123353
2021-03-01,IRM,28.63,29.07,28.17,28.17,72053
2021-03-02,IRM,28.23,28.79,28.07,28.52,101696
2021-03-03,IRM,28.77,28.84,27.8,27.8,188945
2021-03-04,IRM,28.03,28.63,27.73,28.27,118956
2021-03-05,IRM,28.4,29.16,28.27,29.04,81964
2021-03-08,IRM,29.2,30.13,29.16,29.67,220175
2021-03-09,IRM,29.73,30.27,29.69,29.75,129850
2021-03-10,IRM,29.84,30.23,29.7,29.93,101761
2021-03-11,IRM,29.9,30.35,29.8,30.01,61712
2021-03-12,IRM,30.03,30.41,29.81,30.41,78087
2021-03-15,IRM,30.39,30.5,29.95,30.33,103340
2021-03-16,IRM,30.3,30.3,29.38,29.48,167942
2021-03-17,IRM,29.47,30.09,29.45,29.85,114920
2021-03-18,IRM,29.85,29.85,29.36,29.5,77633
2021-03-19,IRM,29.48,29.82,29.45,29.52,70012
2021-03-22,IRM,29.64,30.18,29.33,30.16,37001
2021-03-23,IRM,29.82,30.18,29.72,29.91,112522
2021-03-24,IRM,29.87,30.45,29.79,30.07,125364
2021-03-25,IRM,29.78,30.46,29.44,30.41,107155
2021-03-26,IRM,30.55,30.76,30.31,30.75,62636
2021-03-29,IRM,30.76,30.86,30.25,30.25,55254
2021-03-30,IRM,30.32,30.82,30.13,30.66,51751
2021-03-31,IRM,30.5,30.88,30.46,30.5,63892
2021-04-01,IRM,30.71,30.81,30.18,30.78,58067
2021-04-05,IRM,30.93,31.09,30.46,30.97,52934
2021-04-06,IRM,30.7,31.01,30.58,30.92,61514
2021-04-07,IRM,30.88,31.13,30.72,31.06,40839
2021-04-08,IRM,31.01,31.21,30.68,30.83,45754
2021-04-09,IRM,30.85,31.05,30.58,31.03,26803
2021-04-12,IRM,31.08,31.28,30.95,31.28,60527
2021-04-13,IRM,31.21,31.43,31.06,31.37,17866
2021-04-14,IRM,31.15,31.49,31.13,31.32,54661
2021-04-15,IRM,31.36,31.47,31.14,31.47,59499
2021-04-16,IRM,31.52,31.59,31.25,31.38,32633
2021-04-20,IRM,31.83,32.93,31.83,32.52,174317
2021-04-21,IRM,32.55,33.31,32.29,33.18,62349
2021-04-22,IRM,33.1,33.59,32.84,33.3,113381
2021-04-23,IRM,33.35,33.73,33.21,33.26,62857
2021-04-26,IRM,33.4,33.49,33.0,33.0,28810
2021-04-27,IRM,33.1,33.22,32.93,33.01,54982
2021-04-28,IRM,32.97,33.06,32.48,32.59,48031
2021-04-29,IRM,32.88,33.28,32.7,33.22,57326
2021-04-30,IRM,33.21,33.21,32.71,33.09,69659
2021-05-03,IRM,32.83,33.27,32.83,33.09,95133
2021-05-04,IRM,33.17,33.36,32.75,32.89,45347
2021-05-05,IRM,32.41,32.41,31.8,31.93,132640
2021-05-06,IRM,32.6,34.42,32.32,34.38,179635
2021-05-07,IRM,33.86,34.47,33.57,34.04,66267
2021-05-10,IRM,34.2,34.76,33.9,34.49,94375
2021-05-11,IRM,34.18,34.69,34.0,34.57,70679
2021-05-12,IRM,34.6,34.71,33.44,33.54,61258
2021-05-13,IRM,33.61,34.9,33.49,34.53,76012
2021-05-14,IRM,34.57,35.35,34.42,35.05,69531
2021-05-17,IRM,35.23,36.08,35.21,35.91,83526
2021-05-18,IRM,35.84,35.84,34.95,35.11,55035
2021-05-19,IRM,35.01,35.04,34.57,34.71,64128
2021-05-20,IRM,34.73,35.61,34.58,35.45,62185
2021-05-21,IRM,35.5,35.64,35.23,35.45,36742
2021-05-24,IRM,35.54,36.16,35.5,36.03,61500
2021-05-25,IRM,35.89,35.99,35.64,35.65,29938
2021-05-26,IRM,35.75,35.99,35.63,35.75,76232
2021-05-27,IRM,35.74,35.78,35.47,35.51,89700
2021-05-28,IRM,35.7,35.97,35.53,35.87,55217
2021-06-01,IRM,36.07,36.46,35.77,36.43,53101
2021-06-02,IRM,36.59,37.88,36.42,37.31,161057
2021-06-03,IRM,37.2,37.6,36.83,37.55,43689
2021-06-04,IRM,37.75,37.75,37.33,37.66,48436
2021-06-07,IRM,37.68,38.12,37.65,37.69,48166
2021-06-08,IRM,37.72,38.7,37.72,38.47,79381
2021-06-09,IRM,38.72,39.03,38.45,38.78,40666
2021-06-10,IRM,38.79,38.9,37.96,38.26,62256
2021-06-11,IRM,38.1,38.31,37.77,38.18,52040
2021-06-14,IRM,38.22,38.57,38.05,38.39,48492
2021-06-15,IRM,38.27,38.47,38.18,38.4,50855
2021-06-16,IRM,38.25,38.27,37.77,37.91,64589
2021-06-17,IRM,37.85,38.2,37.68,38.09,73025
2021-06-18,IRM,37.96,37.98,36.96,36.98,47302
2021-06-21,IRM,37.21,37.97,37.2,37.91,35987
2021-06-22,IRM,37.69,37.75,36.5,36.57,75159
2021-06-23,IRM,36.52,36.52,36.13,36.35,109311
2021-06-24,IRM,36.57,36.6,36.14,36.24,58628
2021-06-25,IRM,36.11,36.26,36.02,36.08,41950
2021-06-28,IRM,36.02,36.19,35.8,35.9,48140
2021-06-29,IRM,35.83,35.91,35.27,35.37,179247
2021-06-30,IRM,35.34,35.83,35.28,35.38,163714
2021-07-01,IRM,35.57,35.88,35.3,35.6,70868
2021-07-02,IRM,35.59,35.78,35.32,35.73,59507
2021-07-06,IRM,35.63,35.63,35.18,35.42,68291
2021-07-07,IRM,35.24,35.88,35.09,35.71,42778
2021-07-08,IRM,35.46,35.84,35.33,35.6,22519
2021-07-09,IRM,35.94,36.87,35.91,36.54,61919
2021-07-12,IRM,36.33,37.28,36.27,37.2,57491
2021-07-13,IRM,37.37,37.63,36.77,36.94,69070
2021-07-14,IRM,36.91,37.23,36.81,36.96,61107
2021-07-15,IRM,36.98,37.33,36.61,36.8,39378
2021-07-16,IRM,36.89,36.91,36.15,36.2,40113
2021-07-19,IRM,35.68,35.96,35.27,35.74,111002
2021-07-20,IRM,35.99,36.8,35.99,36.59,39401
2021-07-21,IRM,36.75,37.09,36.57,36.68,35582
2021-07-22,IRM,36.77,36.77,36.32,36.39,37265
2021-07-23,IRM,36.44,36.44,36.11,36.28,24196
2021-07-26,IRM,36.29,36.44,36.04,36.44,44040
2021-07-27,IRM,36.18,36.75,36.08,36.74,32957
2021-07-28,IRM,36.65,36.73,36.04,36.29,46572
2021-07-29,IRM,36.39,36.87,36.26,36.32,45825
2021-07-30,IRM,36.36,36.81,36.34,36.56,82735
2021-08-02,IRM,36.8,37.1,36.5,36.56,27365
2021-08-03,IRM,36.55,36.73,36.35,36.68,23936
2021-08-04,IRM,36.62,36.69,36.07,36.21,39314
2021-08-05,IRM,36.28,36.98,35.46,36.95,80209
2021-08-06,IRM,37.4,38.02,37.15,37.56,39402
2021-08-09,IRM,37.54,38.02,37.34,37.87,34794
2021-08-10,IRM,38.15,39.08,37.98,38.42,60920
2021-08-11,IRM,38.63,39.13,38.48,39.03,57668
2021-08-12,IRM,38.92,38.94,38.69,38.89,21573
2021-08-13,IRM,38.94,39.01,38.46,38.53,47123
2021-08-16,IRM,38.5,38.5,38.01,38.32,24736
2021-08-17,IRM,38.18,38.18,37.67,38.13,12211
2021-08-18,IRM,37.81,37.96,37.58,37.82,52913
2021-08-19,IRM,38.09,38.36,37.9,38.27,22410
2021-08-20,IRM,38.03,38.39,38.01,38.17,18048
2021-08-23,IRM,38.39,38.4,38.13,38.34,23912
2021-08-24,IRM,38.62,38.62,38.21,38.27,39378
2021-08-25,IRM,38.26,38.54,38.26,38.38,19494
2021-08-26,IRM,38.35,38.51,38.19,38.29,16303
2021-08-27,IRM,38.44,39.03,38.28,38.74,42131
2021-08-30,IRM,38.75,39.03,38.47,39.02,21938
2021-08-31,IRM,38.99,39.95,38.95,39.9,107712
2021-09-01,IRM,39.86,40.44,39.74,40.42,72791
2021-09-02,IRM,40.64,41.32,40.23,41.32,44818
2021-09-03,IRM,41.02,41.32,40.85,41.27,51492
2021-09-07,IRM,40.85,40.95,40.18,40.45,120974
2021-09-08,IRM,40.14,40.56,39.99,40.5,38202
2021-09-09,IRM,39.97,40.25,39.92,39.97,51079
2021-09-10,IRM,39.83,39.91,39.3,39.31,35872
2021-09-13,IRM,39.39,39.92,39.1,39.42,136373
2021-09-14,IRM,39.5,39.5,38.44,38.5,69460
