date,tic,open,high,low,close,volume
2021-01-04,ITW,186.51,187.25,180.69,182.01,62792
2021-01-05,ITW,182.7,184.4,181.95,182.72,47420
2021-01-06,ITW,184.44,189.96,184.44,187.42,66930
2021-01-07,ITW,188.35,188.35,185.73,187.75,45691
2021-01-08,ITW,188.32,188.46,184.24,187.18,24754
2021-01-11,ITW,186.07,188.16,185.43,186.51,42141
2021-01-12,ITW,188.7,189.34,187.56,187.69,46990
2021-01-13,ITW,188.14,188.14,185.68,185.82,30030
2021-01-14,ITW,186.58,186.97,184.1,184.18,29584
2021-01-15,ITW,182.49,183.04,179.66,182.28,74475
2021-01-19,ITW,185.81,186.36,183.11,183.65,32314
2021-01-20,ITW,184.01,184.06,182.03,183.92,30696
2021-01-21,ITW,183.86,184.31,181.92,182.75,27338
2021-01-22,ITW,181.31,183.03,180.6,182.59,21860
2021-01-25,ITW,182.19,182.19,179.51,181.49,47302
2021-01-26,ITW,182.59,182.59,178.57,178.96,41404
2021-01-27,ITW,176.12,176.69,173.4,174.87,79309
2021-01-28,ITW,176.62,180.3,176.57,177.01,45973
2021-01-29,ITW,175.54,176.56,173.95,174.07,59761
2021-02-01,ITW,175.89,176.22,173.22,174.83,88425
2021-02-02,ITW,178.29,180.21,177.0,177.82,40175
2021-02-03,ITW,177.12,177.78,175.93,177.06,35638
2021-02-04,ITW,177.53,178.27,176.44,176.69,64345
2021-02-05,ITW,179.31,181.39,177.75,181.22,94791
2021-02-08,ITW,181.78,183.99,181.54,183.08,77411
2021-02-09,ITW,182.15,183.19,180.58,182.16,40000
2021-02-10,ITW,183.53,184.01,182.41,183.68,58112
2021-02-11,ITW,183.92,184.21,178.25,180.18,57034
2021-02-12,ITW,180.42,180.82,177.06,180.3,78490
2021-02-16,ITW,181.65,181.83,177.52,178.43,46770
2021-02-17,ITW,177.74,178.53,176.14,177.68,76759
2021-02-18,ITW,177.66,178.96,176.24,178.6,56076
2021-02-19,ITW,180.03,181.99,179.5,180.48,41290
2021-02-22,ITW,179.96,180.82,178.69,180.24,33399
2021-02-23,ITW,180.77,181.94,179.87,180.92,55470
2021-02-24,ITW,181.11,182.53,180.79,182.46,55890
2021-02-25,ITW,182.61,184.34,180.92,181.87,54110
2021-02-26,ITW,180.95,183.2,179.49,181.28,48446
2021-03-01,ITW,182.74,187.4,182.74,185.28,33990
2021-03-02,ITW,184.84,186.26,183.96,185.12,35357
2021-03-03,ITW,185.43,187.27,185.1,186.06,42294
2021-03-04,ITW,185.3,187.25,182.14,182.68,70336
2021-03-05,ITW,184.5,188.84,183.12,188.19,48758
2021-03-08,ITW,188.47,193.95,188.32,191.3,68692
2021-03-09,ITW,191.58,191.68,189.03,189.05,46206
2021-03-10,ITW,189.04,193.04,188.83,191.87,37459
2021-03-11,ITW,191.51,193.11,190.37,191.08,38743
2021-03-12,ITW,191.98,194.11,191.51,193.53,43525
2021-03-15,ITW,194.31,197.17,194.11,197.12,112373
2021-03-16,ITW,196.75,197.65,194.9,195.89,65839
2021-03-17,ITW,196.56,199.01,195.87,197.12,56574
2021-03-18,ITW,197.41,200.46,197.0,198.75,52194
2021-03-19,ITW,198.01,199.14,194.26,195.94,98038
2021-03-22,ITW,195.26,196.68,194.25,196.29,42648
2021-03-23,ITW,195.06,197.06,193.71,194.23,37885
2021-03-24,ITW,195.78,199.71,195.78,197.5,43736
2021-03-25,ITW,197.24,199.9,195.46,199.9,43948
2021-03-26,ITW,201.06,204.1,200.56,204.1,37341
2021-03-29,ITW,203.37,204.91,202.79,203.39,45943
2021-03-30,ITW,203.64,203.65,201.69,202.18,35840
2021-03-31,ITW,202.57,202.73,199.09,199.66,72096
2021-04-01,ITW,200.2,200.83,197.47,199.51,45633
2021-04-05,ITW,200.58,201.69,199.5,200.44,51481
2021-04-06,ITW,200.52,202.34,200.22,200.95,34448
2021-04-07,ITW,200.92,200.92,198.09,198.23,42297
2021-04-08,ITW,197.89,198.13,196.06,196.85,109707
2021-04-09,ITW,197.89,200.65,197.48,200.51,55977
