date,tic,open,high,low,close,volume
2021-01-04,IVZ,14.27,14.29,13.74,13.77,127602
2021-01-05,IVZ,13.81,14.25,13.81,14.17,78855
2021-01-06,IVZ,14.57,15.11,14.55,14.93,174112
2021-01-07,IVZ,15.11,15.2,14.87,14.89,152756
2021-01-08,IVZ,15.11,15.18,14.85,15.15,108965
2021-01-11,IVZ,15.0,15.49,14.95,15.39,85708
2021-01-12,IVZ,15.54,15.96,15.41,15.91,99555
2021-01-13,IVZ,15.88,16.15,15.86,15.87,160930
2021-01-14,IVZ,15.94,16.57,15.91,16.45,142760
2021-01-15,IVZ,16.13,16.36,15.85,16.24,174252
2021-01-19,IVZ,16.32,16.52,16.22,16.44,90802
2021-01-20,IVZ,16.41,17.92,16.35,17.51,450650
2021-01-21,IVZ,17.45,17.53,16.99,17.01,100688
2021-01-22,IVZ,16.82,17.09,16.64,17.04,183327
2021-01-25,IVZ,16.97,17.19,16.73,17.08,207388
2021-01-26,IVZ,17.14,17.62,16.98,17.03,294984
2021-01-27,IVZ,16.71,17.43,16.71,16.86,327679
2021-01-28,IVZ,17.17,17.66,17.02,17.47,250183
2021-01-29,IVZ,17.36,17.39,16.65,16.71,689508
2021-02-01,IVZ,16.91,17.48,16.75,17.4,136286
2021-02-02,IVZ,17.65,17.77,17.34,17.37,120787
2021-02-03,IVZ,17.43,17.88,17.28,17.72,122777
2021-02-04,IVZ,17.78,18.01,17.64,17.7,168496
2021-02-05,IVZ,17.71,17.98,17.56,17.82,128700
2021-02-08,IVZ,17.94,18.14,17.65,18.11,133104
2021-02-09,IVZ,18.07,18.59,17.99,18.4,95973
2021-02-10,IVZ,18.68,18.88,18.37,18.44,184315
2021-02-11,IVZ,18.29,18.4,18.08,18.35,137875
2021-02-12,IVZ,18.3,18.55,18.28,18.55,65118
2021-02-16,IVZ,18.68,18.89,18.62,18.68,87647
2021-02-17,IVZ,18.52,18.67,18.19,18.46,88598
2021-02-18,IVZ,18.3,18.38,17.83,17.87,80977
