date,tic,open,high,low,close,volume
2021-01-04,J,82.75,83.54,80.63,80.63,60395
2021-01-05,J,80.09,81.9,80.09,81.34,32203
2021-01-06,J,82.7,88.7,82.7,87.12,113302
2021-01-07,J,87.6,88.53,85.82,87.29,32014
2021-01-08,J,86.99,86.99,85.19,86.25,33249
2021-01-11,J,85.73,86.83,85.66,85.88,24984
2021-01-12,J,86.32,86.7,85.32,86.4,36018
2021-01-13,J,86.65,86.65,85.39,85.73,23830
2021-01-14,J,85.8,86.74,84.79,85.14,33410
2021-01-15,J,84.61,84.61,82.97,83.63,30955
2021-01-19,J,84.58,85.76,84.4,84.86,18176
2021-01-20,J,85.0,85.25,84.4,85.12,21038
2021-01-21,J,85.02,85.61,84.26,84.36,55642
2021-01-22,J,83.97,84.65,83.16,84.35,25266
2021-01-25,J,84.35,84.35,83.05,83.89,23672
2021-01-26,J,84.37,84.37,82.44,82.69,42145
2021-01-27,J,81.14,81.18,78.7,79.35,56107
2021-01-28,J,80.22,80.54,78.96,79.51,98164
2021-01-29,J,78.91,79.19,76.14,76.68,45810
2021-02-01,J,77.29,77.75,76.1,77.31,45197
2021-02-02,J,78.12,80.75,78.04,80.2,38695
2021-02-03,J,79.97,81.14,79.75,80.73,20139
2021-02-04,J,80.71,81.94,80.7,81.9,22483
2021-02-05,J,82.97,83.36,80.81,81.68,31012
2021-02-08,J,82.3,83.04,82.12,82.99,55619
2021-02-09,J,83.69,86.06,83.21,85.16,84697
2021-02-10,J,85.54,85.54,83.29,84.21,33035
2021-02-11,J,84.56,87.51,84.36,87.4,40088
2021-02-12,J,86.86,87.74,86.48,87.29,27768
2021-02-16,J,87.2,88.14,85.52,86.04,32706
2021-02-17,J,85.16,85.87,84.08,85.71,41031
2021-02-18,J,84.53,86.01,83.42,85.5,48260
2021-02-19,J,86.05,86.52,85.34,85.53,20329
2021-02-22,J,85.27,88.22,85.27,88.1,37858
2021-02-23,J,88.24,88.64,86.92,88.34,30127
2021-02-24,J,88.71,91.42,88.2,91.09,38073
2021-02-25,J,91.2,91.66,89.43,89.7,32335
2021-02-26,J,89.68,89.72,87.77,87.85,25409
2021-03-01,J,89.3,89.33,87.62,87.68,29238
2021-03-02,J,87.42,88.11,86.91,87.29,35445
2021-03-03,J,87.57,88.92,86.92,87.6,41427
2021-03-04,J,88.07,88.59,85.26,85.91,44229
2021-03-05,J,86.74,88.49,85.41,87.92,29513
2021-03-08,J,88.94,91.25,88.82,90.01,51175
2021-03-09,J,90.5,92.62,89.67,92.61,26857
2021-03-10,J,93.08,95.12,92.7,94.82,39924
2021-03-11,J,95.07,96.63,94.79,95.19,43918
2021-03-12,J,95.34,96.46,95.34,96.32,19494
2021-03-15,J,96.21,96.21,94.62,95.84,29818
2021-03-16,J,95.35,95.43,94.23,94.78,20014
2021-03-17,J,94.85,95.69,94.3,95.38,20055
2021-03-18,J,95.65,96.98,94.66,94.9,29443
2021-03-19,J,94.61,94.64,92.51,94.02,34941
2021-03-22,J,93.18,93.83,92.23,93.8,20916
2021-03-23,J,93.27,94.05,92.49,92.71,22001
2021-03-24,J,93.29,94.88,93.29,93.91,33589
2021-03-25,J,94.06,96.42,92.8,96.08,26177
2021-03-26,J,96.01,97.96,95.25,97.91,30426
2021-03-29,J,97.43,98.11,96.37,96.97,32260
2021-03-30,J,97.3,97.77,96.77,97.5,20792
2021-03-31,J,97.94,98.69,97.05,98.46,25055
2021-04-01,J,99.18,99.86,98.18,98.87,29602
2021-04-05,J,100.74,101.23,100.09,101.03,49513
2021-04-06,J,100.7,101.62,100.32,100.45,35109
2021-04-07,J,100.14,100.24,99.28,100.08,33434
2021-04-08,J,100.43,101.23,99.25,101.16,23689
2021-04-09,J,101.09,102.9,100.9,102.9,26041
2021-04-12,J,103.14,103.65,102.04,102.31,45468
2021-04-13,J,101.67,101.67,99.81,100.21,30468
2021-04-14,J,99.76,100.42,99.43,99.93,69776
2021-04-15,J,100.47,102.03,99.68,102.01,43824
2021-04-16,J,102.75,102.75,101.44,101.73,33696
2021-04-20,J,101.46,102.05,100.22,101.46,19296
