date,tic,open,high,low,close,volume
2021-01-04,JBHT,130.24,131.11,127.96,128.76,93024
2021-01-05,JBHT,130.39,132.7,128.41,131.86,39853
2021-01-06,JBHT,136.0,141.04,135.34,140.7,69315
2021-01-07,JBHT,141.3,144.01,139.86,141.81,64701
2021-01-08,JBHT,142.82,145.76,142.19,142.71,49857
2021-01-11,JBHT,142.41,143.24,141.02,141.47,36740
2021-01-12,JBHT,140.7,143.1,140.7,142.34,39610
2021-01-13,JBHT,143.39,143.73,141.27,142.47,68004
2021-01-14,JBHT,143.42,146.49,143.42,145.3,62779
2021-01-15,JBHT,144.07,145.2,141.79,144.7,50821
2021-01-19,JBHT,147.82,149.69,141.35,141.95,80894
2021-01-20,JBHT,136.98,144.01,135.23,143.24,212900
2021-01-21,JBHT,143.16,143.91,139.87,140.68,77157
2021-01-22,JBHT,139.79,140.25,138.43,139.77,83144
2021-01-25,JBHT,139.67,141.09,137.54,140.09,41992
2021-01-26,JBHT,138.75,139.92,136.84,137.03,52201
2021-01-27,JBHT,135.06,135.06,129.38,129.5,56725
2021-01-28,JBHT,129.82,133.28,129.75,130.59,58709
2021-01-29,JBHT,129.99,130.19,128.0,128.6,37627
2021-02-01,JBHT,129.49,130.79,127.38,130.76,35218
2021-02-02,JBHT,132.11,134.9,131.16,134.4,27794
2021-02-03,JBHT,134.49,134.52,131.63,132.87,26516
2021-02-04,JBHT,132.84,135.89,132.27,135.89,90421
2021-02-05,JBHT,136.47,138.66,136.24,138.57,41252
2021-02-08,JBHT,138.76,140.15,137.91,139.76,33311
2021-02-09,JBHT,140.28,142.1,139.81,142.07,53133
2021-02-10,JBHT,140.88,141.21,139.0,140.35,82029
2021-02-11,JBHT,140.67,141.24,139.44,141.07,72989
2021-02-12,JBHT,141.45,142.57,140.55,141.98,26752
2021-02-16,JBHT,141.93,142.96,139.35,140.07,64733
2021-02-17,JBHT,139.24,139.24,135.51,137.62,39919
2021-02-18,JBHT,137.31,140.99,137.31,140.56,33763
2021-02-19,JBHT,141.5,142.98,139.87,140.13,63731
2021-02-22,JBHT,139.43,140.66,137.98,139.3,24542
2021-02-23,JBHT,137.71,138.95,134.93,138.51,33691
2021-02-24,JBHT,137.94,141.1,137.74,140.36,21256
2021-02-25,JBHT,140.1,141.3,139.12,140.27,38873
2021-02-26,JBHT,140.11,142.28,139.17,140.75,47890
2021-03-01,JBHT,142.09,145.57,142.0,142.83,30737
2021-03-02,JBHT,142.4,145.94,141.78,144.22,29135
2021-03-03,JBHT,144.83,147.96,144.36,145.96,36203
2021-03-04,JBHT,148.42,148.42,142.37,142.8,40350
2021-03-05,JBHT,144.13,149.49,142.51,148.86,44244
2021-03-08,JBHT,149.43,154.01,149.43,152.55,96068
2021-03-09,JBHT,154.27,157.21,153.15,153.86,64485
2021-03-10,JBHT,152.48,153.34,150.16,150.23,54661
2021-03-11,JBHT,149.69,152.48,147.77,152.41,41096
2021-03-12,JBHT,152.85,156.63,152.85,155.88,21955
2021-03-15,JBHT,155.64,155.72,153.25,154.4,36439
2021-03-16,JBHT,153.54,153.54,150.51,151.19,21652
2021-03-17,JBHT,151.19,153.66,150.21,153.0,32128
2021-03-18,JBHT,153.34,157.26,153.34,154.92,18595
2021-03-19,JBHT,154.76,156.62,153.43,155.32,29503
2021-03-22,JBHT,156.61,156.61,150.55,151.59,33073
2021-03-23,JBHT,151.14,153.25,148.67,149.16,28911
2021-03-24,JBHT,149.52,154.19,149.52,152.76,37132
2021-03-25,JBHT,153.31,155.05,151.02,154.6,45258
2021-03-26,JBHT,155.47,159.86,155.47,159.86,31130
2021-03-29,JBHT,160.02,161.45,158.68,160.19,53143
2021-03-30,JBHT,160.56,162.67,160.04,162.22,44496
2021-03-31,JBHT,161.9,162.49,159.52,160.85,149953
2021-04-01,JBHT,159.9,162.55,159.57,162.55,52838
2021-04-05,JBHT,163.84,165.53,163.56,163.79,29158
2021-04-06,JBHT,163.28,164.05,161.91,162.03,20972
2021-04-07,JBHT,161.76,162.39,160.97,162.04,12351
2021-04-08,JBHT,161.73,161.73,159.34,160.52,35671
2021-04-09,JBHT,161.51,162.83,160.88,162.19,30257
2021-04-12,JBHT,163.44,164.4,161.94,164.1,42698
2021-04-13,JBHT,163.75,163.75,161.38,163.01,32688
2021-04-14,JBHT,162.32,162.68,160.74,162.01,53035
2021-04-15,JBHT,162.57,164.18,161.41,162.28,47786
2021-04-16,JBHT,166.29,170.6,163.5,164.69,103763
2021-04-19,JBHT,164.27,164.27,159.2,159.65,41435
2021-04-20,JBHT,160.28,161.41,158.2,161.13,47532
2021-04-21,JBHT,161.57,163.11,159.06,159.66,28416
2021-04-22,JBHT,159.44,163.43,159.14,162.22,63438
2021-04-23,JBHT,162.49,163.12,161.82,161.86,27715
2021-04-26,JBHT,162.14,162.15,159.65,160.49,51762
2021-04-27,JBHT,161.32,162.84,161.32,162.42,19908
2021-04-28,JBHT,162.49,163.23,161.3,161.58,21486
2021-04-29,JBHT,162.37,166.17,162.37,164.53,45403
2021-04-30,JBHT,164.36,164.58,162.72,163.16,40810
2021-05-03,JBHT,165.13,167.5,164.94,166.42,28196
2021-05-04,JBHT,166.32,169.92,165.63,168.89,53835
2021-05-05,JBHT,169.18,169.18,165.9,166.24,47680
2021-05-06,JBHT,165.68,167.74,163.98,167.66,34991
2021-05-07,JBHT,168.65,171.41,167.49,170.77,22227
2021-05-10,JBHT,173.23,176.02,172.92,173.11,51252
2021-05-11,JBHT,172.64,172.72,168.44,169.12,34301
2021-05-12,JBHT,169.51,170.43,165.91,166.03,33995
2021-05-13,JBHT,167.52,169.19,167.34,168.59,42986
2021-05-14,JBHT,169.57,170.2,168.89,169.4,27614
2021-05-17,JBHT,169.57,169.57,167.32,168.75,30176
2021-05-18,JBHT,168.97,169.93,166.25,166.25,51430
2021-05-19,JBHT,164.33,164.58,161.1,164.3,36508
2021-05-20,JBHT,164.79,164.92,162.53,162.66,20972
2021-05-21,JBHT,162.7,165.33,162.7,163.64,17248
2021-05-24,JBHT,164.87,164.87,163.17,164.07,19858
2021-05-25,JBHT,164.66,164.66,160.63,160.71,18799
2021-05-26,JBHT,161.36,162.69,160.46,162.45,25475
2021-05-27,JBHT,164.25,166.02,163.47,165.16,28995
2021-05-28,JBHT,164.65,164.95,163.83,164.38,37003
2021-06-01,JBHT,165.8,167.03,164.85,165.02,32541
2021-06-02,JBHT,164.17,165.21,161.75,163.04,51287
2021-06-03,JBHT,163.24,163.37,160.29,162.45,26043
2021-06-04,JBHT,161.91,162.38,157.32,160.17,49062
2021-06-07,JBHT,160.68,160.68,156.42,156.78,63980
2021-06-08,JBHT,157.3,158.95,156.53,158.58,37782
2021-06-09,JBHT,158.26,159.82,156.72,158.75,57685
2021-06-10,JBHT,159.16,159.16,156.98,157.46,22898
2021-06-11,JBHT,157.3,158.82,157.3,158.42,24634
2021-06-14,JBHT,158.35,158.38,156.9,157.82,32576
2021-06-15,JBHT,158.2,160.82,156.5,159.79,40474
2021-06-16,JBHT,159.66,159.9,157.5,157.68,34490
2021-06-17,JBHT,156.97,156.97,151.2,152.15,48148
2021-06-18,JBHT,150.49,150.81,148.75,149.69,50332
2021-06-21,JBHT,150.99,153.75,150.99,152.96,27819
2021-06-22,JBHT,152.62,154.45,152.15,153.77,27652
2021-06-23,JBHT,153.5,154.46,152.6,152.6,33544
2021-06-24,JBHT,151.83,153.98,151.83,153.84,53892
2021-06-25,JBHT,153.12,155.89,153.12,155.13,52775
2021-06-28,JBHT,154.9,155.16,153.83,155.03,39463
2021-06-29,JBHT,155.48,155.48,153.39,154.99,41321
2021-06-30,JBHT,154.78,156.58,154.47,156.4,57455
2021-07-01,JBHT,156.54,160.54,156.54,160.07,72830
2021-07-02,JBHT,160.09,160.09,157.88,158.54,38677
2021-07-06,JBHT,159.07,159.08,153.68,156.29,46811
2021-07-07,JBHT,156.46,160.12,156.46,160.06,47508
2021-07-08,JBHT,157.65,157.65,154.97,155.62,34386
2021-07-09,JBHT,158.04,159.04,156.37,158.83,48494
