date,tic,open,high,low,close,volume
2021-01-04,JBL,42.38,42.39,40.86,41.35,50106
2021-01-05,JBL,41.46,42.46,41.46,42.24,77432
2021-01-06,JBL,42.86,43.71,42.65,43.18,67644
2021-01-07,JBL,43.56,44.14,43.41,44.14,58887
2021-01-08,JBL,44.17,44.21,43.17,43.65,29121
2021-01-11,JBL,43.02,44.14,42.88,43.83,77433
2021-01-12,JBL,43.97,44.91,43.97,44.03,50095
2021-01-13,JBL,44.25,44.39,43.74,43.8,49507
2021-01-14,JBL,44.15,45.32,44.15,44.64,47070
2021-01-15,JBL,44.47,44.47,43.55,43.77,42708
2021-01-19,JBL,44.05,44.56,43.7,44.33,59654
2021-01-20,JBL,44.79,44.95,44.37,44.66,26841
2021-01-21,JBL,45.0,45.19,44.4,44.84,45139
2021-01-22,JBL,44.14,44.64,44.14,44.38,27670
2021-01-25,JBL,44.25,44.25,42.45,43.3,41030
2021-01-26,JBL,42.92,42.92,42.15,42.21,21222
2021-01-27,JBL,41.44,41.49,40.53,40.78,53606
2021-01-28,JBL,41.11,42.09,40.76,41.6,58562
2021-01-29,JBL,41.64,41.95,40.17,40.61,50425
2021-02-01,JBL,41.14,41.91,40.61,41.84,33325
2021-02-02,JBL,42.52,42.83,41.92,42.65,25616
2021-02-03,JBL,42.81,43.07,42.38,42.38,21122
2021-02-04,JBL,42.69,43.83,42.24,43.63,33264
2021-02-05,JBL,44.02,44.28,43.57,43.71,38920
2021-02-08,JBL,44.06,44.96,43.86,44.96,28318
2021-02-09,JBL,44.57,44.79,43.85,44.01,62536
2021-02-10,JBL,44.12,44.27,43.29,43.36,33704
2021-02-11,JBL,43.56,44.39,43.31,44.11,23556
2021-02-12,JBL,43.85,44.36,43.59,43.95,20446
2021-02-16,JBL,44.32,44.69,44.21,44.68,14486
2021-02-17,JBL,44.3,44.65,43.39,43.51,19400
2021-02-18,JBL,43.11,43.64,42.91,42.98,26026
2021-02-19,JBL,43.52,44.11,43.17,43.83,20828
2021-02-22,JBL,43.54,43.92,43.35,43.35,43996
2021-02-23,JBL,42.69,43.32,41.71,42.92,53084
2021-02-24,JBL,43.29,44.45,43.15,44.23,30474
2021-02-25,JBL,44.17,44.17,42.07,42.15,63418
2021-02-26,JBL,42.43,43.34,41.45,42.51,73368
2021-03-01,JBL,43.06,44.54,43.06,44.39,31172
2021-03-02,JBL,44.11,44.16,43.22,43.22,17147
2021-03-03,JBL,43.21,43.51,42.62,42.66,16509
2021-03-04,JBL,42.55,42.6,40.93,41.24,89013
