date,tic,open,high,low,close,volume
2021-01-04,JCI,42.66,43.15,41.95,42.19,163390
2021-01-05,JCI,42.35,43.44,42.35,43.41,280893
2021-01-06,JCI,43.86,45.93,43.82,45.45,404301
2021-01-07,JCI,46.0,46.96,45.22,46.8,172761
2021-01-08,JCI,47.01,47.07,46.22,46.88,158658
2021-01-11,JCI,44.84,46.87,44.82,46.58,134260
2021-01-12,JCI,46.76,47.47,46.07,47.4,142543
2021-01-13,JCI,47.47,47.81,47.0,47.54,204873
2021-01-14,JCI,47.71,48.35,47.59,47.93,108965
2021-01-15,JCI,47.66,47.66,46.71,47.29,147252
2021-01-19,JCI,47.73,48.27,47.16,47.16,113116
2021-01-20,JCI,47.41,47.88,47.04,47.88,180309
2021-01-21,JCI,47.77,47.8,47.2,47.69,155812
2021-01-22,JCI,47.26,48.16,47.19,47.84,214961
2021-01-25,JCI,47.54,47.65,46.75,47.05,266969
2021-01-26,JCI,47.25,47.25,45.98,46.02,284364
2021-01-27,JCI,45.38,45.43,43.99,44.17,238269
2021-01-28,JCI,44.67,45.68,44.4,45.08,240652
2021-01-29,JCI,44.96,45.79,44.09,45.54,315957
2021-02-01,JCI,45.89,47.05,45.89,46.52,289275
2021-02-02,JCI,46.83,47.17,46.35,46.35,128138
2021-02-03,JCI,46.22,46.45,45.79,46.27,228591
2021-02-04,JCI,46.42,47.06,46.42,46.78,161453
2021-02-05,JCI,47.06,47.13,46.45,46.65,174683
2021-02-08,JCI,46.73,47.29,46.6,47.22,83227
2021-02-09,JCI,46.93,47.52,46.93,47.15,196579
2021-02-10,JCI,47.31,47.77,47.02,47.53,201674
2021-02-11,JCI,47.66,48.35,47.16,48.35,319879
2021-02-12,JCI,47.9,49.03,47.89,48.96,353342
2021-02-16,JCI,49.24,49.39,48.42,48.43,229205
2021-02-17,JCI,48.2,50.56,48.17,50.43,417449
2021-02-18,JCI,50.5,51.11,50.09,50.87,322538
2021-02-19,JCI,51.27,51.92,51.07,51.18,339219
2021-02-22,JCI,51.16,51.8,50.64,51.47,234147
2021-02-23,JCI,51.5,51.53,50.57,51.16,184028
2021-02-24,JCI,51.08,51.68,50.69,51.3,323180
2021-02-25,JCI,51.31,51.7,50.56,50.83,194292
2021-02-26,JCI,50.75,51.57,50.41,51.05,266875
2021-03-01,JCI,51.7,52.59,51.56,52.37,176723
2021-03-02,JCI,52.22,52.6,51.58,52.53,138209
2021-03-03,JCI,52.44,53.28,52.27,52.97,200063
2021-03-04,JCI,52.9,53.08,51.04,52.41,213170
2021-03-05,JCI,52.65,54.18,52.07,54.1,233675
2021-03-08,JCI,54.27,55.67,53.92,55.02,195227
2021-03-09,JCI,55.1,55.1,54.13,54.13,166018
2021-03-10,JCI,54.09,55.33,53.92,55.03,369097
2021-03-11,JCI,55.2,56.12,55.03,55.86,369227
2021-03-12,JCI,56.0,56.54,55.61,56.54,177812
2021-03-15,JCI,56.47,57.02,55.49,56.96,367822
2021-03-16,JCI,56.57,56.89,54.88,55.35,425142
2021-03-17,JCI,55.5,55.57,54.74,55.3,378615
2021-03-18,JCI,55.35,56.78,55.31,56.23,232272
2021-03-19,JCI,56.06,56.06,54.56,55.08,341474
2021-03-22,JCI,54.99,55.48,54.59,55.02,203976
2021-03-23,JCI,54.41,54.99,53.43,53.66,207941
2021-03-24,JCI,54.21,54.61,53.85,53.85,160072
2021-03-25,JCI,53.87,54.79,53.39,54.51,244413
2021-03-26,JCI,54.95,55.15,54.52,55.07,151547
2021-03-29,JCI,55.87,56.06,54.97,55.53,202949
2021-03-30,JCI,55.43,55.86,55.29,55.71,83178
2021-03-31,JCI,55.65,55.86,54.79,54.79,338331
2021-04-01,JCI,55.01,55.1,54.64,54.98,195784
2021-04-05,JCI,55.41,56.32,55.41,55.95,93039
2021-04-06,JCI,55.87,56.33,55.77,55.94,164975
2021-04-07,JCI,55.83,55.96,55.14,55.22,183609
2021-04-08,JCI,55.21,55.54,54.65,55.49,91653
2021-04-09,JCI,56.2,56.83,55.54,56.69,159644
2021-04-12,JCI,56.69,56.97,56.53,56.93,95050
2021-04-13,JCI,56.82,56.88,56.06,56.41,85364
2021-04-14,JCI,56.25,56.81,56.25,56.35,86953
2021-04-15,JCI,56.81,57.06,56.23,57.04,130096
2021-04-16,JCI,57.37,57.66,57.01,57.36,141024
2021-04-20,JCI,57.14,57.18,55.87,56.18,204367
2021-04-21,JCI,56.49,56.87,55.98,56.8,211688
2021-04-22,JCI,57.2,58.3,57.01,57.19,216268
2021-04-23,JCI,57.35,58.06,57.0,57.75,159955
2021-04-26,JCI,58.12,58.55,57.39,57.67,229901
2021-04-27,JCI,57.79,58.46,57.51,58.19,210677
2021-04-28,JCI,58.32,58.81,57.81,57.91,127086
2021-04-29,JCI,58.1,58.19,57.38,58.01,375840
2021-04-30,JCI,55.92,57.4,55.19,57.23,431005
2021-05-03,JCI,57.8,58.83,57.25,58.67,163767
2021-05-04,JCI,58.44,59.02,58.14,58.4,356255
2021-05-05,JCI,58.46,59.38,57.98,59.16,136333
2021-05-06,JCI,59.44,59.82,59.26,59.55,192372
2021-05-07,JCI,59.23,60.55,58.65,60.33,275404
2021-05-10,JCI,60.73,61.22,60.39,60.44,270879
2021-05-11,JCI,59.92,59.92,58.29,58.84,250213
2021-05-12,JCI,58.84,59.11,57.7,57.91,139369
2021-05-13,JCI,57.89,59.46,57.74,59.03,224551
2021-05-14,JCI,59.22,60.39,59.15,60.17,214643
2021-05-17,JCI,59.94,60.77,59.72,60.52,76232
2021-05-18,JCI,60.73,60.73,58.55,58.57,174538
2021-05-19,JCI,57.9,58.3,57.23,58.04,260011
2021-05-20,JCI,58.29,59.08,58.05,58.96,160959
2021-05-21,JCI,59.39,59.88,59.03,59.22,113108
2021-05-24,JCI,59.52,59.72,59.23,59.43,118668
2021-05-25,JCI,59.44,60.26,59.39,59.61,124561
2021-05-26,JCI,60.47,60.8,60.1,60.54,128841
2021-05-27,JCI,60.74,60.93,60.29,60.83,202341
2021-05-28,JCI,61.01,61.22,60.5,61.11,87082
2021-06-01,JCI,62.57,62.63,61.4,61.54,115904
2021-06-02,JCI,61.64,61.64,60.75,60.93,114813
2021-06-03,JCI,60.77,61.23,60.23,61.14,79940
2021-06-04,JCI,61.37,61.47,60.87,61.26,54638
2021-06-07,JCI,61.46,61.54,60.57,60.78,82239
2021-06-08,JCI,62.16,62.17,61.1,61.72,296676
2021-06-09,JCI,61.48,61.77,61.12,61.39,164638
2021-06-10,JCI,61.72,61.95,61.27,61.47,314609
2021-06-11,JCI,61.5,61.71,60.99,61.51,102115
2021-06-14,JCI,61.59,61.64,60.22,60.72,158031
2021-06-15,JCI,60.89,61.82,60.56,61.82,97583
2021-06-16,JCI,61.33,61.91,61.04,61.84,125688
2021-06-17,JCI,61.77,61.77,59.67,60.51,147573
2021-06-18,JCI,59.66,60.25,59.35,59.37,175759
2021-06-21,JCI,59.91,61.29,59.91,61.13,131261
2021-06-22,JCI,61.21,61.85,60.72,61.55,89166
2021-06-23,JCI,61.72,61.72,61.08,61.25,102785
2021-06-24,JCI,61.57,61.74,61.1,61.36,151833
2021-06-25,JCI,61.6,62.2,61.53,61.84,128813
2021-06-28,JCI,61.81,62.41,61.55,62.28,89471
2021-06-29,JCI,62.84,63.2,62.75,63.0,111566
2021-06-30,JCI,62.9,63.55,62.75,63.28,135590
2021-07-01,JCI,63.78,63.79,63.1,63.58,101075
2021-07-02,JCI,63.44,63.81,63.41,63.76,66896
2021-07-06,JCI,63.89,63.89,62.29,63.02,122551
2021-07-07,JCI,62.94,64.24,62.94,64.1,222664
2021-07-08,JCI,63.43,63.8,62.82,63.53,287688
2021-07-09,JCI,64.16,64.92,64.05,64.53,285377
2021-07-12,JCI,63.93,65.26,63.93,65.15,192563
2021-07-13,JCI,65.0,65.13,64.01,64.18,224386
2021-07-14,JCI,64.31,64.91,64.31,64.39,178518
2021-07-15,JCI,64.31,64.63,63.9,64.63,154895
2021-07-16,JCI,64.94,64.96,64.04,64.26,87090
2021-07-19,JCI,63.17,63.3,62.16,62.67,134715
2021-07-20,JCI,62.77,64.48,62.71,64.28,130308
2021-07-21,JCI,64.71,65.17,64.45,65.04,88027
2021-07-22,JCI,65.07,65.07,64.34,64.66,128425
2021-07-23,JCI,65.11,65.58,64.86,65.36,57254
2021-07-26,JCI,65.45,65.5,64.64,65.16,75560
2021-07-27,JCI,64.54,65.52,64.46,65.22,92342
2021-07-28,JCI,65.03,65.19,64.3,64.79,97795
2021-07-29,JCI,65.44,66.16,65.02,66.04,158149
2021-07-30,JCI,64.9,66.0,63.85,65.82,224567
2021-08-02,JCI,66.04,66.68,65.15,65.16,133404
2021-08-03,JCI,65.5,66.69,65.1,66.62,74106
2021-08-04,JCI,66.27,66.8,65.78,65.82,166638
2021-08-05,JCI,66.16,66.53,65.73,66.28,163932
2021-08-06,JCI,66.73,66.96,66.28,66.44,56238
2021-08-09,JCI,66.11,66.36,65.74,66.12,56163
2021-08-10,JCI,66.3,66.94,66.05,66.67,59562
2021-08-11,JCI,66.78,67.28,66.73,67.27,64865
2021-08-12,JCI,67.23,67.46,66.84,67.29,59778
2021-08-13,JCI,67.21,67.37,66.95,67.14,102705
2021-08-16,JCI,66.95,67.87,66.75,67.76,56267
2021-08-17,JCI,67.22,67.32,66.34,67.29,82850
2021-08-18,JCI,67.11,67.66,66.76,66.77,76709
2021-08-19,JCI,66.22,67.7,66.05,67.31,100514
2021-08-20,JCI,67.52,67.81,67.15,67.67,89676
2021-08-23,JCI,67.9,68.5,67.64,68.36,96667
2021-08-24,JCI,68.47,69.06,68.43,68.79,56868
2021-08-25,JCI,68.97,69.75,68.84,69.25,62106
2021-08-26,JCI,69.24,69.38,68.83,68.95,55056
2021-08-27,JCI,69.36,69.71,68.76,68.87,87906
2021-08-30,JCI,69.17,69.45,68.86,69.1,97535
2021-08-31,JCI,68.99,69.4,68.66,68.99,106308
2021-09-01,JCI,69.06,69.06,68.26,68.52,79854
2021-09-02,JCI,68.88,69.24,68.69,69.23,146754
2021-09-03,JCI,69.18,69.46,68.66,69.15,135033
2021-09-07,JCI,69.1,69.1,67.15,67.59,159198
2021-09-08,JCI,67.41,69.65,67.3,68.84,235271
2021-09-09,JCI,69.27,70.81,69.18,69.71,149429
2021-09-10,JCI,70.42,70.42,69.18,69.21,86693
2021-09-13,JCI,69.74,69.98,68.33,68.89,180767
2021-09-14,JCI,69.17,69.49,68.49,68.56,224582
2021-09-15,JCI,68.49,70.06,68.44,69.85,86729
2021-09-16,JCI,69.91,70.2,69.36,69.43,127366
2021-09-17,JCI,69.07,69.62,68.58,68.76,148995
2021-09-20,JCI,67.56,67.63,66.16,67.06,181619
2021-09-21,JCI,67.63,67.73,66.36,66.61,202821
2021-09-22,JCI,67.27,67.67,66.96,67.12,92934
2021-09-23,JCI,67.64,68.78,67.64,68.28,136791
2021-09-24,JCI,67.88,68.36,67.88,68.07,66533
2021-09-27,JCI,68.04,68.2,66.49,66.54,225910
2021-09-28,JCI,66.04,66.07,64.45,65.17,206290
2021-09-29,JCI,65.36,66.01,65.03,65.21,141785
2021-09-30,JCI,65.55,65.75,62.97,62.98,173559
2021-10-01,JCI,63.25,64.11,62.73,63.84,138844
2021-10-04,JCI,63.57,64.06,62.88,63.44,129915
2021-10-05,JCI,63.82,64.81,63.42,64.09,74747
2021-10-06,JCI,63.52,64.37,63.36,64.29,175834
2021-10-07,JCI,64.9,65.76,64.84,65.04,144058
2021-10-08,JCI,65.16,65.28,63.82,63.85,78617
2021-10-11,JCI,63.79,64.42,63.59,63.65,136642
2021-10-12,JCI,63.94,63.99,62.87,63.03,82190
2021-10-13,JCI,63.22,64.06,63.1,63.8,87648
2021-10-14,JCI,64.29,65.92,64.29,65.89,128910
2021-10-15,JCI,66.37,66.93,65.93,65.93,164654
2021-10-18,JCI,65.4,66.75,65.4,66.71,113105
2021-10-19,JCI,67.23,67.59,66.85,67.03,96585
2021-10-20,JCI,67.06,68.05,66.92,67.62,88688
2021-10-21,JCI,67.49,68.43,67.22,68.42,76818
2021-10-22,JCI,68.68,69.08,68.26,68.33,103977
2021-10-26,JCI,68.62,68.64,67.59,67.59,56835
2021-10-27,JCI,67.46,68.11,66.34,66.37,110082
2021-10-28,JCI,67.06,68.02,67.06,67.92,132121
2021-10-29,JCI,67.57,68.29,67.48,67.85,81724
2021-11-01,JCI,67.75,68.51,67.48,68.05,181998
2021-11-02,JCI,68.36,69.1,68.16,68.67,187188
2021-11-03,JCI,67.94,68.02,66.53,67.05,186912
2021-11-04,JCI,67.1,68.3,67.1,68.3,199203
2021-11-05,JCI,68.83,69.17,67.68,69.08,228192
2021-11-08,JCI,69.93,70.14,68.72,68.9,97746
2021-11-09,JCI,69.18,70.79,68.95,70.7,122841
2021-11-10,JCI,70.41,71.03,70.27,70.48,64501
2021-11-11,JCI,70.66,70.66,70.19,70.46,63749
2021-11-12,JCI,71.02,72.41,70.72,72.37,110050
2021-11-15,JCI,72.19,73.2,72.19,72.48,211283
2021-11-16,JCI,72.49,74.01,72.49,73.74,135297
2021-11-17,JCI,73.92,74.02,73.04,73.63,109951
2021-11-18,JCI,73.83,74.4,73.49,74.34,176288
2021-11-19,JCI,74.17,75.06,74.09,74.79,204746
2021-11-22,JCI,75.04,75.07,73.61,73.63,124362
2021-11-23,JCI,73.55,74.04,72.68,73.31,127242
2021-11-24,JCI,72.72,73.45,72.63,72.99,87071
2021-11-26,JCI,71.65,72.39,71.22,71.68,68504
2021-11-29,JCI,72.55,72.88,71.96,72.48,142946
2021-11-30,JCI,71.95,71.95,68.99,69.17,223973
2021-12-01,JCI,70.39,72.06,69.34,69.34,157965
2021-12-02,JCI,69.92,71.33,69.92,70.89,98597
2021-12-03,JCI,71.38,72.29,70.86,72.12,161807
2021-12-06,JCI,72.67,73.11,72.34,72.34,245519
2021-12-07,JCI,73.1,73.99,72.57,73.24,110769
2021-12-08,JCI,73.45,73.88,73.03,73.62,123832
2021-12-09,JCI,73.39,73.98,73.04,73.07,182659
2021-12-10,JCI,72.97,73.52,72.77,73.39,111803
2021-12-13,JCI,73.46,73.69,72.63,72.99,108178
2021-12-14,JCI,72.26,73.31,71.32,71.93,108734
2021-12-15,JCI,72.09,72.87,71.24,72.76,216288
2021-12-16,JCI,73.21,73.85,72.75,73.17,98831
2021-12-17,JCI,73.12,73.37,71.38,71.58,192554
2021-12-20,JCI,70.66,70.86,69.1,70.56,177095
2021-12-21,JCI,71.74,71.85,70.59,71.71,86584
2021-12-22,JCI,71.65,72.33,71.6,72.16,66694
2021-12-23,JCI,72.63,73.2,72.58,72.58,69038
2021-12-27,JCI,72.78,74.12,72.78,74.1,55055
2021-12-28,JCI,74.3,74.9,74.16,74.7,58666
2021-12-29,JCI,75.09,75.29,74.81,75.27,79732
2021-12-30,JCI,75.71,75.84,75.16,75.28,82134
2021-12-31,JCI,75.36,75.96,75.31,75.52,80177
2022-01-03,JCI,75.43,75.61,73.16,73.74,169656
2022-01-04,JCI,74.12,75.67,74.12,74.66,98831
2022-01-05,JCI,74.64,75.11,73.37,73.45,120089
2022-01-06,JCI,73.65,75.26,73.65,74.73,131721
2022-01-07,JCI,74.49,74.77,73.65,73.67,84667
2022-01-10,JCI,72.95,72.95,70.98,72.9,119022
2022-01-11,JCI,73.14,74.0,72.12,73.92,108379
2022-01-12,JCI,74.76,75.26,74.03,74.38,93246
2022-01-13,JCI,74.46,74.77,72.64,72.84,91865
2022-01-14,JCI,72.25,72.25,70.37,71.14,160328
2022-01-18,JCI,70.44,70.44,68.81,69.46,254540
2022-01-19,JCI,69.62,70.28,68.37,68.51,117751
2022-01-20,JCI,68.74,69.67,67.45,67.52,174213
2022-01-21,JCI,67.47,68.6,67.04,67.57,245727
2022-01-24,JCI,66.39,68.86,65.56,68.56,242141
2022-01-25,JCI,67.59,68.25,65.78,67.8,218572
2022-01-26,JCI,68.22,69.82,66.81,67.39,177205
2022-01-27,JCI,67.85,68.57,66.22,66.47,205863
2022-01-28,JCI,66.0,67.1,65.47,66.99,187645
2022-01-31,JCI,66.91,67.57,66.49,67.5,317429
2022-02-01,JCI,67.9,68.0,66.02,67.19,363564
2022-02-02,JCI,67.8,69.2,66.1,67.17,373637
2022-02-03,JCI,66.01,66.01,63.75,64.01,215631
2022-02-04,JCI,63.39,64.02,61.52,62.7,403847
2022-02-07,JCI,63.0,63.0,61.79,61.97,199869
2022-02-08,JCI,62.21,63.24,61.7,62.67,244759
2022-02-09,JCI,63.93,65.24,63.93,64.47,222539
2022-02-10,JCI,63.23,64.81,63.16,63.49,187042
2022-02-11,JCI,63.67,63.73,61.45,61.74,139046
2022-02-14,JCI,61.67,62.22,61.13,61.79,347591
2022-02-15,JCI,62.71,63.43,62.51,62.91,197909
2022-02-16,JCI,62.82,63.09,62.33,62.72,145647
2022-02-17,JCI,62.13,62.55,61.08,61.17,205374
2022-02-18,JCI,61.47,61.51,60.58,60.74,224139
2022-02-22,JCI,60.45,61.17,60.12,60.6,210131
2022-02-23,JCI,60.53,60.9,59.03,59.32,158322
2022-02-24,JCI,58.08,59.49,57.44,59.33,353858
2022-02-25,JCI,59.23,60.98,59.16,60.77,153376
2022-02-28,JCI,60.0,60.85,59.66,60.35,268417
2022-03-01,JCI,60.45,60.53,57.75,58.16,322629
2022-03-02,JCI,58.66,60.27,58.66,59.96,321825
2022-03-03,JCI,60.39,60.39,59.12,60.05,219569
2022-03-04,JCI,59.13,59.28,57.85,58.49,254180
2022-03-07,JCI,58.58,58.7,56.01,56.05,172297
2022-03-09,JCI,57.51,59.05,57.51,58.34,145579
2022-03-10,JCI,57.26,57.91,56.78,57.12,169764
2022-03-11,JCI,57.78,58.26,56.16,56.19,158121
2022-03-14,JCI,56.6,57.22,55.88,56.27,173393
2022-03-15,JCI,56.83,57.26,56.12,57.16,161726
2022-03-16,JCI,58.02,60.13,58.02,60.04,303123
2022-03-17,JCI,59.45,60.42,58.98,60.28,159852
2022-03-18,JCI,60.22,61.33,59.65,61.27,143109
