date,tic,open,high,low,close,volume
2021-01-04,JKHY,152.8,153.42,146.65,149.21,42137
2021-01-05,JKHY,149.07,150.1,146.46,149.6,33945
2021-01-06,JKHY,148.44,152.47,147.67,151.87,30419
2021-01-07,JKHY,152.97,156.08,152.91,155.07,42122
2021-01-08,JKHY,155.64,157.4,154.95,156.92,34747
2021-01-11,JKHY,157.95,158.81,154.71,155.11,34928
2021-01-12,JKHY,153.44,153.44,150.49,150.8,81559
2021-01-13,JKHY,151.85,151.85,148.52,148.6,18514
2021-01-14,JKHY,148.93,149.5,144.62,144.77,31832
2021-01-15,JKHY,144.69,146.52,143.77,145.28,51721
2021-01-19,JKHY,147.06,147.06,145.25,146.45,36314
2021-01-20,JKHY,146.81,148.78,145.55,145.68,28961
2021-01-21,JKHY,146.18,147.57,144.07,144.07,40508
2021-01-22,JKHY,143.83,144.27,141.89,142.63,50785
2021-01-25,JKHY,143.31,143.86,139.99,143.38,62025
2021-01-26,JKHY,143.53,146.4,142.89,145.54,24926
2021-01-27,JKHY,144.56,147.76,140.12,140.52,38464
2021-01-28,JKHY,141.78,143.46,139.95,139.95,49083
2021-01-29,JKHY,139.25,139.82,135.65,136.25,28678
2021-02-01,JKHY,139.15,140.18,138.12,139.55,27147
2021-02-02,JKHY,139.6,143.49,139.21,142.29,30080
2021-02-03,JKHY,141.89,142.66,140.3,140.5,29427
2021-02-04,JKHY,141.13,144.12,140.97,144.11,21924
2021-02-05,JKHY,144.43,145.19,143.01,143.75,27588
2021-02-08,JKHY,144.52,149.03,144.36,149.03,68300
2021-02-09,JKHY,140.3,141.38,133.4,140.35,121118
2021-02-10,JKHY,140.7,143.4,139.34,139.87,62175
2021-02-11,JKHY,141.67,143.59,139.0,139.71,68777
2021-02-12,JKHY,141.3,141.3,136.45,136.96,27029
2021-02-16,JKHY,137.19,138.67,135.18,137.49,61086
2021-02-17,JKHY,137.03,140.77,136.84,139.83,41135
2021-02-18,JKHY,139.32,143.6,138.87,143.44,41799
2021-02-19,JKHY,144.23,144.23,141.37,142.02,49081
2021-02-22,JKHY,141.25,144.52,140.75,143.86,29922
2021-02-23,JKHY,143.3,144.61,140.35,140.42,42449
2021-02-24,JKHY,139.58,143.71,138.39,142.71,62022
2021-02-25,JKHY,142.9,144.62,141.61,142.43,31453
2021-02-26,JKHY,140.9,142.27,139.46,139.71,52447
2021-03-01,JKHY,140.73,143.43,140.73,142.97,33569
2021-03-02,JKHY,143.29,144.93,141.77,142.71,23848
2021-03-03,JKHY,141.15,145.08,141.01,143.22,31659
2021-03-04,JKHY,142.58,142.99,137.57,138.48,47935
2021-03-05,JKHY,141.16,143.85,138.48,143.1,35251
2021-03-08,JKHY,142.83,146.09,141.81,142.46,29790
2021-03-09,JKHY,143.4,144.93,140.38,140.38,26994
2021-03-10,JKHY,140.11,142.45,139.76,140.87,21221
2021-03-11,JKHY,141.34,142.74,140.04,140.24,19405
2021-03-12,JKHY,140.03,142.21,140.03,142.21,17575
2021-03-15,JKHY,142.29,143.09,141.44,143.09,21296
2021-03-16,JKHY,142.76,143.35,141.64,142.53,13843
2021-03-17,JKHY,142.02,142.52,140.79,142.29,15879
2021-03-18,JKHY,140.38,141.15,139.45,139.86,28168
2021-03-19,JKHY,139.49,141.31,138.36,139.89,29439
2021-03-22,JKHY,139.77,141.96,139.71,140.69,17461
2021-03-23,JKHY,141.0,144.1,141.0,143.18,25155
2021-03-24,JKHY,143.53,146.74,143.4,145.24,39628
2021-03-25,JKHY,145.77,145.97,143.13,144.12,33290
2021-03-26,JKHY,143.67,146.46,142.36,146.46,68126
2021-03-29,JKHY,145.75,149.87,145.75,147.34,25130
2021-03-30,JKHY,146.91,146.91,144.49,144.64,33010
2021-03-31,JKHY,144.21,145.69,143.02,143.23,19413
2021-04-01,JKHY,143.59,146.19,143.28,145.75,16684
2021-04-05,JKHY,146.01,148.26,145.43,148.26,18974
2021-04-06,JKHY,147.27,147.97,146.07,146.4,14849
2021-04-07,JKHY,146.81,147.32,145.22,145.5,18359
2021-04-08,JKHY,147.01,147.49,146.15,146.77,18001
2021-04-09,JKHY,146.76,147.33,146.37,146.85,18235
2021-04-12,JKHY,146.88,147.17,146.05,146.85,14269
2021-04-13,JKHY,147.02,148.23,146.55,146.92,15464
2021-04-14,JKHY,146.23,146.23,143.85,145.05,29763
2021-04-15,JKHY,146.18,148.41,146.04,147.59,23117
2021-04-16,JKHY,147.65,150.91,147.65,149.87,41973
2021-04-19,JKHY,150.49,152.3,149.67,152.18,48230
2021-04-20,JKHY,153.92,155.8,153.79,154.61,67814
2021-04-21,JKHY,155.02,157.08,154.84,156.67,27551
2021-04-22,JKHY,156.5,158.89,155.74,157.76,32233
2021-04-23,JKHY,158.47,160.67,158.01,159.97,25245
2021-04-26,JKHY,159.67,159.72,158.31,158.8,32345
2021-04-27,JKHY,159.75,159.75,153.96,154.39,33514
2021-04-28,JKHY,155.16,155.51,154.23,154.23,22268
2021-04-29,JKHY,155.93,155.93,154.37,154.85,46217
2021-04-30,JKHY,154.8,154.8,152.33,153.5,26242
2021-05-03,JKHY,154.05,155.5,153.6,154.51,40370
2021-05-04,JKHY,152.5,153.15,148.41,149.68,92655
2021-05-05,JKHY,150.02,150.54,148.09,149.0,53792
2021-05-06,JKHY,148.42,149.45,147.3,149.39,34573
2021-05-07,JKHY,149.53,150.46,146.65,147.34,30182
2021-05-10,JKHY,148.08,150.39,147.19,149.96,89162
2021-05-11,JKHY,149.3,149.73,147.18,147.48,35136
2021-05-12,JKHY,146.69,148.54,145.68,146.32,26464
2021-05-13,JKHY,147.24,149.63,145.84,149.03,39373
2021-05-14,JKHY,149.46,149.66,148.41,148.47,27668
2021-05-17,JKHY,149.02,149.85,146.5,147.56,22897
2021-05-18,JKHY,146.9,147.84,146.3,146.94,19314
2021-05-19,JKHY,145.75,146.01,143.29,144.87,20472
2021-05-20,JKHY,145.03,147.45,144.88,146.56,13089
2021-05-21,JKHY,146.67,148.13,146.33,146.63,33342
2021-05-24,JKHY,146.93,148.26,146.92,147.83,38567
2021-05-25,JKHY,147.91,147.91,147.31,147.52,26329
2021-05-26,JKHY,147.48,147.84,146.78,147.61,28927
2021-05-27,JKHY,147.24,148.08,146.46,147.13,29938
2021-05-28,JKHY,147.94,147.94,145.71,145.83,26344
2021-06-01,JKHY,145.95,146.13,144.64,145.52,19504
2021-06-02,JKHY,145.82,147.49,145.82,147.26,24784
2021-06-03,JKHY,145.7,148.24,145.7,147.4,27626
2021-06-04,JKHY,148.24,149.32,148.24,149.25,18636
2021-06-07,JKHY,148.65,148.99,146.67,147.81,42411
2021-06-08,JKHY,147.52,149.74,147.52,149.68,45378
2021-06-09,JKHY,150.12,151.98,150.12,151.16,31356
2021-06-10,JKHY,152.12,154.49,151.55,154.43,31192
2021-06-11,JKHY,153.93,154.65,152.99,153.79,48757
2021-06-14,JKHY,153.01,154.55,152.82,154.5,25082
2021-06-15,JKHY,154.71,156.03,154.55,155.02,24836
2021-06-16,JKHY,156.15,156.54,154.41,155.89,46655
2021-06-17,JKHY,155.86,156.55,154.39,154.39,72398
2021-06-18,JKHY,153.99,156.87,153.63,155.9,31394
2021-06-21,JKHY,155.91,158.7,155.26,157.76,39232
2021-06-22,JKHY,158.0,158.24,156.43,156.85,31193
2021-06-23,JKHY,156.82,156.82,154.74,155.43,16867
2021-06-24,JKHY,156.27,156.51,154.79,155.55,14627
2021-06-25,JKHY,156.08,158.45,154.94,157.58,28959
2021-06-28,JKHY,157.59,158.51,155.23,156.35,22306
2021-06-29,JKHY,156.92,157.73,156.6,156.66,16495
2021-06-30,JKHY,156.63,156.63,154.26,154.68,29225
2021-07-01,JKHY,154.6,156.16,154.6,155.57,15623
2021-07-02,JKHY,156.52,157.15,156.14,156.92,15930
2021-07-06,JKHY,156.87,156.87,155.06,155.78,12496
2021-07-07,JKHY,156.33,157.88,156.22,157.86,33667
2021-07-08,JKHY,156.69,158.02,156.69,157.29,26539
2021-07-09,JKHY,157.39,158.9,157.39,158.3,22779
2021-07-12,JKHY,158.17,158.22,157.24,158.04,9546
2021-07-13,JKHY,157.41,158.69,156.95,157.69,10055
2021-07-14,JKHY,158.22,159.18,158.01,159.18,11156
2021-07-15,JKHY,158.89,161.64,158.89,161.49,27837
2021-07-16,JKHY,161.4,163.77,161.06,162.48,34302
2021-07-19,JKHY,161.86,161.95,160.22,160.99,35712
2021-07-20,JKHY,161.93,164.37,161.92,164.31,28602
2021-07-21,JKHY,164.73,165.32,163.53,163.66,36750
2021-07-22,JKHY,164.74,166.28,164.35,165.38,10038
2021-07-23,JKHY,166.22,167.16,165.86,166.79,9412
2021-07-26,JKHY,165.75,167.35,165.65,166.28,11222
2021-07-27,JKHY,166.92,167.49,165.23,166.51,16540
2021-07-28,JKHY,165.75,165.75,162.57,162.65,27638
2021-07-29,JKHY,164.19,164.41,163.21,164.02,13024
2021-07-30,JKHY,163.5,165.33,163.5,164.39,12661
2021-08-02,JKHY,165.7,166.1,164.71,165.07,19816
2021-08-03,JKHY,165.67,166.8,164.35,166.36,24242
2021-08-04,JKHY,165.93,166.33,164.18,164.23,11391
2021-08-05,JKHY,164.51,164.65,163.12,164.05,17476
2021-08-06,JKHY,164.24,165.24,164.14,164.63,28059
2021-08-09,JKHY,164.3,164.6,163.53,163.53,7768
2021-08-10,JKHY,162.97,164.24,161.61,162.77,18718
2021-08-11,JKHY,163.87,164.55,163.71,164.3,9915
2021-08-12,JKHY,164.88,165.56,164.21,164.8,25124
2021-08-13,JKHY,164.43,167.57,164.43,167.57,8374
2021-08-16,JKHY,167.45,168.8,166.5,168.01,31745
2021-08-17,JKHY,167.01,169.5,167.01,168.82,23229
2021-08-18,JKHY,168.25,168.25,159.51,163.11,58335
2021-08-19,JKHY,163.39,166.71,161.99,166.6,21537
2021-08-20,JKHY,166.57,168.12,166.18,167.64,17973
2021-08-23,JKHY,166.76,168.19,166.76,167.04,14732
2021-08-24,JKHY,167.14,167.15,163.74,163.82,18770
2021-08-25,JKHY,164.59,165.08,164.14,164.14,13741
2021-08-26,JKHY,162.7,165.18,162.29,164.59,8824
2021-08-27,JKHY,165.18,167.1,165.18,166.38,15960
2021-08-30,JKHY,166.73,167.68,166.63,166.76,11768
2021-08-31,JKHY,167.25,169.58,166.69,166.86,15415
2021-09-01,JKHY,167.67,168.21,165.97,167.64,13833
2021-09-02,JKHY,168.69,168.69,166.69,166.74,15115
2021-09-03,JKHY,165.82,166.76,165.64,166.1,11664
2021-09-07,JKHY,166.42,166.47,163.48,163.55,29010
2021-09-08,JKHY,163.66,166.18,163.25,164.3,71482
2021-09-09,JKHY,164.64,165.14,162.44,162.44,42766
2021-09-10,JKHY,164.57,164.57,159.91,160.28,49894
2021-09-13,JKHY,161.57,162.55,159.22,159.83,19144
2021-09-14,JKHY,160.42,160.42,158.11,158.46,22909
2021-09-15,JKHY,158.87,161.75,158.87,161.1,17046
2021-09-16,JKHY,162.51,162.69,160.74,162.03,22466
2021-09-17,JKHY,161.25,161.25,159.14,160.11,13537
