date,tic,open,high,low,close,volume
2021-01-04,JNJ,136.42,136.5,133.76,135.74,316818
2021-01-05,JNJ,135.6,137.7,134.59,137.49,258453
2021-01-06,JNJ,136.58,139.04,136.52,138.67,278686
2021-01-07,JNJ,138.17,139.74,137.43,139.29,263977
2021-01-08,JNJ,139.37,139.73,138.75,138.88,228402
2021-01-11,JNJ,139.4,139.99,137.97,138.01,159991
2021-01-12,JNJ,138.12,138.21,136.55,137.22,188944
2021-01-13,JNJ,137.29,137.48,136.05,137.03,150601
2021-01-14,JNJ,139.28,140.54,138.55,139.34,306372
2021-01-15,JNJ,139.19,140.06,138.09,139.19,228874
2021-01-19,JNJ,140.56,141.45,139.87,141.24,304911
2021-01-20,JNJ,141.62,142.43,140.48,140.94,288305
2021-01-21,JNJ,140.38,140.83,138.92,140.35,278616
2021-01-22,JNJ,140.9,143.29,140.53,141.93,356801
2021-01-25,JNJ,143.26,144.1,142.03,144.0,352085
2021-01-26,JNJ,147.19,150.61,147.03,147.98,450961
2021-01-27,JNJ,146.76,148.27,145.33,145.56,805492
2021-01-28,JNJ,146.03,148.27,145.69,146.74,305318
2021-01-29,JNJ,142.73,143.75,139.39,141.45,642738
2021-02-01,JNJ,143.23,143.29,141.16,141.17,472132
2021-02-02,JNJ,141.88,141.96,139.87,139.87,713604
2021-02-03,JNJ,139.66,140.12,138.5,139.3,341891
2021-02-04,JNJ,139.74,140.66,138.66,140.56,238341
2021-02-05,JNJ,143.1,143.44,142.23,142.7,269888
2021-02-08,JNJ,143.2,143.46,142.27,143.14,226324
2021-02-09,JNJ,143.32,144.55,143.19,144.14,136512
2021-02-10,JNJ,145.67,145.67,143.81,144.59,126254
2021-02-11,JNJ,145.14,145.17,143.71,144.1,152414
2021-02-12,JNJ,142.67,144.76,142.59,144.54,125014
2021-02-16,JNJ,144.57,144.68,142.88,143.35,165235
2021-02-17,JNJ,143.25,144.07,142.71,143.76,209969
2021-02-18,JNJ,143.39,144.17,142.64,143.83,141374
2021-02-19,JNJ,143.71,143.76,141.37,141.42,207321
2021-02-22,JNJ,141.38,141.91,140.0,141.29,221561
2021-02-23,JNJ,141.08,142.47,140.09,140.13,247497
2021-02-24,JNJ,141.81,143.53,140.56,141.97,410168
2021-02-25,JNJ,142.42,142.92,141.47,142.1,439647
2021-02-26,JNJ,141.62,141.7,137.98,138.43,354781
2021-03-01,JNJ,140.81,141.05,138.93,139.15,435795
2021-03-02,JNJ,139.63,140.38,138.49,138.84,357804
2021-03-03,JNJ,138.08,138.61,136.29,136.37,371149
2021-03-04,JNJ,136.24,136.24,132.35,133.65,412051
2021-03-05,JNJ,134.4,136.8,133.76,136.29,225043
2021-03-08,JNJ,137.18,139.11,136.22,137.43,181174
2021-03-09,JNJ,137.12,140.32,137.12,137.8,241893
2021-03-10,JNJ,138.64,139.62,137.42,138.88,183200
2021-03-11,JNJ,139.52,140.26,138.78,139.01,221404
2021-03-12,JNJ,139.17,139.96,139.01,139.29,156487
2021-03-15,JNJ,139.52,140.25,138.45,140.1,242754
2021-03-16,JNJ,140.18,141.17,139.93,140.94,185475
2021-03-17,JNJ,140.58,141.11,139.33,140.37,241407
2021-03-18,JNJ,139.96,141.0,139.72,140.11,299593
2021-03-19,JNJ,140.32,140.94,139.27,139.7,284961
2021-03-22,JNJ,138.12,140.25,137.98,140.18,208476
2021-03-23,JNJ,139.88,140.76,138.75,140.06,268144
2021-03-24,JNJ,139.74,141.88,139.59,141.36,318034
2021-03-25,JNJ,141.39,141.67,140.3,141.48,230253
2021-03-26,JNJ,141.5,144.13,140.95,144.04,224384
2021-03-29,JNJ,143.39,145.85,143.29,145.04,232096
2021-03-30,JNJ,143.97,144.63,143.42,143.97,235742
2021-03-31,JNJ,143.85,144.42,142.98,143.52,187026
2021-04-01,JNJ,141.89,143.04,141.72,142.2,243796
2021-04-05,JNJ,142.93,143.85,142.04,142.73,359520
2021-04-06,JNJ,143.22,143.64,142.36,142.68,175876
2021-04-07,JNJ,142.89,143.44,142.63,142.82,157287
2021-04-08,JNJ,143.17,143.28,142.21,142.25,198188
2021-04-09,JNJ,141.33,142.25,139.52,140.72,301144
2021-04-12,JNJ,140.66,141.49,140.04,141.14,212845
2021-04-13,JNJ,136.9,139.64,136.9,139.28,445053
2021-04-14,JNJ,137.81,139.8,137.57,139.71,295566
2021-04-15,JNJ,140.4,141.8,139.92,140.08,358566
2021-04-16,JNJ,140.72,141.9,140.21,141.76,368991
2021-04-20,JNJ,140.64,146.5,140.64,145.28,568855
2021-04-21,JNJ,145.17,145.75,144.37,145.52,252310
2021-04-22,JNJ,144.69,145.2,143.77,144.29,500761
2021-04-23,JNJ,143.77,144.99,143.35,144.53,219515
2021-04-26,JNJ,144.39,144.43,143.0,143.31,255274
2021-04-27,JNJ,143.13,143.13,141.89,142.53,258959
2021-04-28,JNJ,142.11,142.5,141.16,141.44,361011
2021-04-29,JNJ,141.45,143.42,141.43,143.39,217018
2021-04-30,JNJ,143.35,143.47,141.91,142.0,315337
2021-05-03,JNJ,142.78,144.36,142.44,144.26,263600
2021-05-04,JNJ,143.97,146.55,143.79,146.53,629525
2021-05-05,JNJ,146.09,146.99,145.65,145.86,247296
2021-05-06,JNJ,145.7,146.6,145.18,146.52,199173
2021-05-07,JNJ,146.88,147.7,146.82,147.25,205084
2021-05-10,JNJ,148.35,149.78,147.9,148.83,380454
2021-05-11,JNJ,148.97,149.16,146.98,147.43,269842
2021-05-12,JNJ,147.31,148.26,146.66,146.88,305143
2021-05-13,JNJ,146.17,149.06,145.91,148.41,246891
2021-05-14,JNJ,149.55,149.79,148.6,148.62,207775
2021-05-17,JNJ,149.0,150.09,148.72,148.79,248074
2021-05-18,JNJ,148.3,149.63,148.07,148.76,208623
2021-05-19,JNJ,148.27,148.57,146.73,148.52,146880
2021-05-20,JNJ,148.45,149.8,148.21,149.38,195003
2021-05-21,JNJ,149.71,150.79,149.21,149.36,219838
2021-05-24,JNJ,150.14,150.47,149.19,149.85,192083
2021-05-25,JNJ,149.97,150.25,149.15,149.5,254847
2021-05-26,JNJ,149.24,149.42,147.87,148.54,183531
2021-05-27,JNJ,148.73,149.48,147.98,148.5,144295
2021-05-28,JNJ,149.03,150.25,148.66,148.66,231264
2021-06-01,JNJ,149.44,149.44,145.34,145.36,416620
2021-06-02,JNJ,145.23,146.49,145.12,146.08,204370
2021-06-03,JNJ,146.02,146.86,145.59,145.82,252135
2021-06-04,JNJ,146.82,147.21,145.77,145.8,268052
2021-06-07,JNJ,145.85,146.1,144.66,144.82,165090
2021-06-08,JNJ,145.31,145.31,142.42,143.58,265665
2021-06-09,JNJ,144.06,145.65,144.01,145.5,162134
2021-06-10,JNJ,145.82,147.23,145.82,146.83,204256
2021-06-11,JNJ,146.79,146.8,144.3,144.97,370042
2021-06-14,JNJ,144.72,145.37,144.02,145.37,216767
2021-06-15,JNJ,145.54,145.56,144.45,144.54,215436
2021-06-16,JNJ,144.73,145.62,143.76,144.49,233188
2021-06-17,JNJ,144.32,145.58,143.68,145.17,178639
2021-06-18,JNJ,143.67,144.26,142.17,142.35,195255
2021-06-21,JNJ,143.13,144.27,142.62,143.95,190856
2021-06-22,JNJ,143.71,144.11,143.47,143.8,127171
2021-06-23,JNJ,143.76,143.76,142.78,142.94,178783
2021-06-24,JNJ,143.38,144.27,143.06,143.53,138446
