date,tic,open,high,low,close,volume
2021-01-04,JPM,111.94,112.23,109.6,110.54,303866
2021-01-05,JPM,110.48,111.65,109.54,111.07,254244
2021-01-06,JPM,114.75,117.35,113.19,116.34,777397
2021-01-07,JPM,119.97,122.18,119.5,120.12,604367
2021-01-08,JPM,120.23,120.53,118.59,120.29,306137
2021-01-11,JPM,118.94,122.18,118.58,122.1,544008
2021-01-12,JPM,123.19,125.24,122.8,124.12,572527
2021-01-13,JPM,122.81,124.47,122.17,124.1,467011
2021-01-14,JPM,124.17,126.2,123.81,124.76,550475
2021-01-15,JPM,121.59,125.22,121.16,122.79,674163
2021-01-19,JPM,123.55,124.37,121.88,122.01,614780
2021-01-20,JPM,121.92,122.11,119.76,120.28,496692
2021-01-21,JPM,119.93,120.17,118.8,119.2,506443
2021-01-22,JPM,117.32,118.81,116.92,118.29,513672
2021-01-25,JPM,116.8,117.52,115.03,116.82,374388
2021-01-26,JPM,117.24,117.7,116.12,116.32,570061
2021-01-27,JPM,114.43,114.44,112.6,112.99,522683
2021-01-28,JPM,114.84,116.85,114.08,115.02,350267
2021-01-29,JPM,116.19,116.44,113.36,113.59,536754
2021-02-01,JPM,114.47,114.98,113.61,114.66,319216
2021-02-02,JPM,116.6,118.81,116.02,118.13,359041
2021-02-03,JPM,118.12,120.02,118.12,119.47,369086
2021-02-04,JPM,119.93,122.59,119.93,122.21,464669
2021-02-05,JPM,123.05,123.28,121.53,122.02,268106
2021-02-08,JPM,122.34,124.05,122.34,123.9,430672
2021-02-09,JPM,123.17,123.74,122.5,123.39,257222
2021-02-10,JPM,123.77,124.52,123.02,123.38,302566
2021-02-11,JPM,123.44,124.2,122.21,123.19,198317
2021-02-12,JPM,123.05,125.2,123.05,124.84,254161
2021-02-16,JPM,126.82,128.47,125.96,127.89,442532
2021-02-17,JPM,127.27,128.53,126.56,128.29,272328
2021-02-18,JPM,127.3,128.9,126.81,128.73,253722
2021-02-19,JPM,128.96,131.59,128.96,130.85,323119
2021-02-22,JPM,129.85,132.79,129.78,132.19,382951
2021-02-23,JPM,133.9,134.65,132.33,133.22,709962
2021-02-24,JPM,132.82,135.93,132.79,135.57,479268
2021-02-25,JPM,136.52,136.93,133.14,133.67,611473
2021-02-26,JPM,133.14,133.38,129.54,130.3,493092
2021-03-01,JPM,132.25,133.81,131.39,133.05,363534
2021-03-02,JPM,132.77,134.2,132.52,132.67,343860
2021-03-03,JPM,133.75,136.98,133.4,135.11,493735
2021-03-04,JPM,134.97,136.48,131.43,133.07,718847
2021-03-05,JPM,135.46,135.68,130.91,133.52,574584
2021-03-08,JPM,134.65,137.41,133.35,135.21,620931
2021-03-09,JPM,134.0,136.36,132.49,134.26,705721
2021-03-10,JPM,134.21,138.05,134.06,137.12,503016
2021-03-11,JPM,136.21,138.05,135.69,136.56,346054
2021-03-12,JPM,138.68,139.31,137.13,138.02,308080
2021-03-15,JPM,138.25,138.7,136.16,137.4,448636
2021-03-16,JPM,136.27,136.58,134.58,135.76,297644
2021-03-17,JPM,137.56,138.68,135.34,137.15,452266
2021-03-18,JPM,139.38,142.94,138.92,139.42,712921
2021-03-19,JPM,137.31,137.77,133.67,136.99,1153763
2021-03-22,JPM,134.95,136.1,133.17,133.5,436442
2021-03-23,JPM,132.48,134.49,131.71,132.17,469273
2021-03-24,JPM,132.75,135.42,132.69,133.17,626654
2021-03-25,JPM,132.73,135.24,132.04,134.92,825496
2021-03-26,JPM,136.71,137.39,134.9,137.11,878496
2021-03-29,JPM,135.48,135.91,133.58,134.78,987284
2021-03-30,JPM,136.39,137.81,136.05,136.32,606753
2021-03-31,JPM,135.72,136.54,134.52,134.66,408606
2021-04-01,JPM,134.35,135.95,134.01,135.93,483838
2021-04-05,JPM,137.25,137.76,135.72,136.7,316510
2021-04-06,JPM,135.91,137.18,135.08,135.7,674067
2021-04-07,JPM,136.15,138.05,135.75,137.76,648847
2021-04-08,JPM,137.05,138.29,135.48,137.93,455479
2021-04-09,JPM,138.52,139.66,137.84,139.08,415788
2021-04-12,JPM,138.62,139.79,138.45,138.68,314291
2021-04-13,JPM,137.73,138.0,135.58,137.09,337686
2021-04-14,JPM,134.85,136.78,134.23,134.39,507790
2021-04-15,JPM,134.67,135.33,132.8,135.33,608267
2021-04-16,JPM,136.81,137.41,135.82,136.36,347104
2021-04-20,JPM,134.95,134.95,132.22,132.73,438433
2021-04-21,JPM,131.4,133.94,130.64,133.93,394008
2021-04-22,JPM,133.6,133.65,130.97,131.01,562120
2021-04-23,JPM,130.89,134.4,130.56,133.59,325865
2021-04-26,JPM,134.1,135.5,133.83,133.83,293397
2021-04-27,JPM,133.8,134.78,133.58,134.55,292604
2021-04-28,JPM,135.58,135.95,134.67,135.37,197454
2021-04-29,JPM,136.75,138.08,136.29,138.03,288651
2021-04-30,JPM,137.12,137.36,136.12,136.8,277194
2021-05-03,JPM,137.71,138.26,136.19,136.37,308757
2021-05-04,JPM,136.06,138.35,135.3,138.33,411269
2021-05-05,JPM,138.73,140.76,137.52,140.09,281943
2021-05-06,JPM,140.39,143.01,139.79,142.99,478335
2021-05-07,JPM,139.8,143.63,139.77,143.43,279387
2021-05-10,JPM,143.66,145.61,143.3,143.3,321117
2021-05-11,JPM,143.1,144.39,140.58,141.0,357808
2021-05-12,JPM,142.22,142.94,139.65,140.0,360507
2021-05-13,JPM,140.51,144.45,140.28,143.57,442373
2021-05-14,JPM,144.39,146.23,144.11,145.86,243809
2021-05-17,JPM,145.31,146.6,144.99,146.44,226445
2021-05-18,JPM,146.4,147.17,144.28,144.38,227972
2021-05-19,JPM,143.09,143.33,141.1,143.3,252271
2021-05-20,JPM,143.02,143.91,141.93,142.99,389598
2021-05-21,JPM,143.5,145.13,143.15,144.59,198508
