date,tic,open,high,low,close,volume
2021-01-04,KHC,27.46,27.49,26.9,27.14,163873
2021-01-05,KHC,27.21,27.29,26.35,26.62,257101
2021-01-06,KHC,26.76,27.11,26.5,26.92,180103
2021-01-07,KHC,26.98,27.01,26.53,26.7,241480
2021-01-08,KHC,26.6,26.69,26.36,26.68,248333
2021-01-11,KHC,26.61,26.69,25.98,26.06,290203
2021-01-12,KHC,26.04,26.06,25.18,25.54,254153
2021-01-13,KHC,25.56,25.64,25.38,25.41,127273
2021-01-14,KHC,25.45,25.62,25.16,25.44,168900
2021-01-15,KHC,25.3,25.61,25.06,25.38,209253
2021-01-19,KHC,25.5,25.85,25.27,25.65,160882
2021-01-20,KHC,25.64,26.1,25.53,26.08,203861
2021-01-21,KHC,26.02,26.08,25.72,26.0,217091
2021-01-22,KHC,25.82,26.19,25.74,26.12,113323
2021-01-25,KHC,26.02,26.8,26.01,26.77,240741
2021-01-26,KHC,26.88,27.28,26.85,27.28,165427
2021-01-27,KHC,27.13,27.98,27.12,27.54,243559
2021-01-28,KHC,27.35,27.74,26.93,26.93,242433
2021-01-29,KHC,26.68,27.24,26.4,26.58,306766
2021-02-01,KHC,26.55,26.81,26.36,26.36,262905
2021-02-02,KHC,26.46,26.86,25.98,26.31,352473
2021-02-03,KHC,26.25,26.33,25.99,26.18,113477
2021-02-04,KHC,26.21,26.48,26.09,26.09,259608
2021-02-05,KHC,26.36,27.07,26.36,26.81,252953
2021-02-08,KHC,26.93,26.96,26.67,26.9,185279
2021-02-09,KHC,26.91,27.03,26.52,26.72,164028
2021-02-10,KHC,26.86,27.02,26.73,26.86,349329
2021-02-11,KHC,27.14,28.77,26.92,28.18,1040928
2021-02-12,KHC,28.3,28.9,28.0,28.06,380579
2021-02-16,KHC,28.08,28.28,27.89,28.05,208145
2021-02-17,KHC,28.06,29.45,27.94,29.36,314526
2021-02-18,KHC,29.45,31.1,29.24,30.89,1684767
2021-02-19,KHC,30.4,30.65,29.49,29.74,408959
2021-02-22,KHC,29.63,29.76,29.43,29.53,257556
2021-02-23,KHC,29.69,29.93,28.93,29.46,186617
2021-02-24,KHC,29.36,29.84,29.08,29.82,237865
