date,tic,open,high,low,close,volume
2021-01-04,KIM,12.14,12.21,11.56,11.58,234215
2021-01-05,KIM,11.6,11.81,11.54,11.65,121885
2021-01-06,KIM,11.78,12.37,11.78,12.27,109998
2021-01-07,KIM,12.29,12.36,12.17,12.31,235579
2021-01-08,KIM,12.28,12.51,12.19,12.48,104400
2021-01-11,KIM,12.5,12.59,12.26,12.3,145419
2021-01-12,KIM,12.28,12.58,12.27,12.54,119107
2021-01-13,KIM,12.57,12.86,12.56,12.86,239982
2021-01-14,KIM,12.93,13.31,12.86,13.24,219372
2021-01-15,KIM,13.08,13.37,12.93,13.34,378895
2021-01-19,KIM,13.38,13.4,13.12,13.37,180866
2021-01-20,KIM,13.38,13.8,13.37,13.62,330147
2021-01-21,KIM,13.49,13.49,13.13,13.39,427414
2021-01-22,KIM,13.23,13.51,13.01,13.49,257335
2021-01-25,KIM,13.44,13.96,13.31,13.77,164149
2021-01-26,KIM,13.86,14.03,13.73,13.95,228723
2021-01-27,KIM,13.77,14.15,13.66,13.96,388925
2021-01-28,KIM,14.02,14.53,13.99,14.15,641273
2021-01-29,KIM,13.93,14.07,13.24,13.34,452824
2021-02-01,KIM,13.35,13.37,12.86,13.21,275872
2021-02-02,KIM,13.24,13.26,13.04,13.16,179024
2021-02-03,KIM,12.95,13.23,12.91,13.17,144244
2021-02-04,KIM,13.26,13.65,13.26,13.5,162277
2021-02-05,KIM,13.74,13.74,13.5,13.54,61098
2021-02-08,KIM,13.58,13.82,13.47,13.78,152886
2021-02-09,KIM,13.82,13.89,13.72,13.89,79639
2021-02-10,KIM,14.05,14.45,13.97,14.24,207415
2021-02-11,KIM,14.28,14.63,14.24,14.51,219083
2021-02-12,KIM,14.46,14.72,14.4,14.57,294388
2021-02-16,KIM,14.55,14.67,14.17,14.24,185619
2021-02-17,KIM,14.24,14.43,14.15,14.4,141219
2021-02-18,KIM,14.32,14.54,14.3,14.45,137283
2021-02-19,KIM,14.45,14.67,14.23,14.28,285081
2021-02-22,KIM,14.3,14.76,14.3,14.7,402097
2021-02-23,KIM,14.93,15.09,14.71,15.0,167161
2021-02-24,KIM,14.98,15.53,14.84,15.5,211671
2021-02-25,KIM,15.56,15.7,14.91,15.05,175171
2021-02-26,KIM,14.96,15.11,14.64,14.83,171553
2021-03-01,KIM,15.08,15.42,14.98,15.0,151042
