date,tic,open,high,low,close,volume
2021-01-04,KKR,38.81,38.94,37.56,37.97,96530
2021-01-05,KKR,37.9,38.27,37.48,37.61,87274
2021-01-06,KKR,37.81,37.88,36.82,37.67,194557
2021-01-07,KKR,38.0,38.71,38.0,38.41,84625
2021-01-08,KKR,38.73,39.04,38.32,38.78,55532
2021-01-11,KKR,38.56,39.07,38.5,38.85,63867
2021-01-12,KKR,38.94,39.0,38.58,38.71,64680
2021-01-13,KKR,38.78,39.71,38.46,39.36,108608
2021-01-14,KKR,39.48,39.49,39.08,39.23,39765
2021-01-15,KKR,39.01,39.16,38.5,38.98,62879
2021-01-19,KKR,39.34,39.35,38.86,39.22,67306
2021-01-20,KKR,39.67,39.82,39.47,39.69,72055
2021-01-21,KKR,39.88,39.88,39.22,39.37,100185
2021-01-22,KKR,39.38,39.38,38.47,38.47,111836
2021-01-25,KKR,38.42,38.61,37.59,37.9,111987
2021-01-26,KKR,38.2,38.25,37.42,37.45,115813
2021-01-27,KKR,36.63,36.83,35.9,35.93,154979
2021-01-28,KKR,36.3,37.6,36.16,37.33,83127
2021-01-29,KKR,37.07,37.66,36.55,37.3,134895
2021-02-01,KKR,37.65,39.11,37.65,38.78,104522
2021-02-02,KKR,39.27,40.7,39.21,40.48,153102
2021-02-03,KKR,40.51,40.52,40.12,40.32,87178
2021-02-04,KKR,40.51,41.9,40.51,41.88,152281
2021-02-05,KKR,42.39,42.72,42.18,42.72,181841
2021-02-08,KKR,42.97,43.47,42.65,43.32,152468
2021-02-09,KKR,43.35,45.29,42.89,44.49,228580
2021-02-10,KKR,46.3,47.09,45.62,46.45,207677
2021-02-11,KKR,46.58,46.72,45.9,46.14,135130
2021-02-12,KKR,46.1,46.28,45.9,46.15,171887
2021-02-16,KKR,46.49,46.7,45.88,45.89,153293
2021-02-17,KKR,45.6,45.95,45.33,45.52,87186
2021-02-18,KKR,45.48,45.62,45.07,45.07,144775
2021-02-19,KKR,45.53,45.53,44.78,44.9,108120
2021-02-22,KKR,44.36,44.55,43.48,43.56,176419
2021-02-23,KKR,43.42,43.5,41.99,43.33,211358
2021-02-24,KKR,43.3,43.78,42.79,43.64,147821
2021-02-25,KKR,43.71,43.73,42.46,43.12,189762
2021-02-26,KKR,43.21,44.16,42.68,43.74,187730
2021-03-01,KKR,44.3,44.61,44.02,44.44,155148
2021-03-02,KKR,44.41,44.69,44.01,44.53,101486
2021-03-03,KKR,44.63,45.2,44.31,45.13,186477
2021-03-04,KKR,44.88,45.38,44.16,44.83,425605
2021-03-05,KKR,44.98,45.22,43.87,45.06,178634
2021-03-08,KKR,45.14,45.5,44.59,45.2,292186
2021-03-09,KKR,45.49,45.82,45.01,45.16,231034
2021-03-10,KKR,45.57,46.16,45.57,45.87,94968
2021-03-11,KKR,46.07,46.54,45.89,46.29,142291
2021-03-12,KKR,46.02,46.49,45.58,46.48,173838
2021-03-15,KKR,46.81,47.38,46.28,47.38,129199
2021-03-16,KKR,47.44,47.78,46.6,46.97,62514
2021-03-17,KKR,47.16,47.16,46.22,47.04,63075
2021-03-18,KKR,46.86,46.97,45.75,45.86,90032
2021-03-19,KKR,45.86,46.39,45.5,46.22,127156
2021-03-22,KKR,46.3,47.11,45.99,46.83,111478
2021-03-23,KKR,46.77,46.77,45.89,45.96,65990
2021-03-24,KKR,46.25,46.86,46.01,46.06,69434
2021-03-25,KKR,45.67,46.07,45.08,46.03,81449
2021-03-26,KKR,46.41,46.89,45.94,46.58,111025
2021-03-29,KKR,46.25,46.94,46.03,46.58,116659
2021-03-30,KKR,46.52,47.31,46.43,47.15,141661
2021-03-31,KKR,47.31,47.64,46.87,46.91,86322
2021-04-01,KKR,47.43,48.37,47.42,48.35,125639
2021-04-05,KKR,48.82,49.19,48.75,49.1,125406
2021-04-06,KKR,49.07,49.3,48.75,49.11,97347
2021-04-07,KKR,48.94,49.35,48.7,49.02,93980
2021-04-08,KKR,49.17,49.65,49.11,49.57,86318
2021-04-09,KKR,49.69,49.69,48.6,49.32,110961
2021-04-12,KKR,49.08,50.06,48.87,49.93,106632
2021-04-13,KKR,50.34,50.42,49.25,49.96,92557
2021-04-14,KKR,50.31,51.39,50.31,50.99,163645
2021-04-15,KKR,51.29,51.34,50.61,50.8,127262
2021-04-16,KKR,51.05,51.36,50.46,51.19,108548
2021-04-20,KKR,50.89,51.02,50.15,50.48,152941
2021-04-21,KKR,50.7,51.02,50.22,51.0,108594
2021-04-22,KKR,51.09,51.97,50.9,51.58,191549
2021-04-23,KKR,51.65,53.11,51.64,52.96,92741
2021-04-26,KKR,53.1,53.4,52.67,53.4,109537
2021-04-27,KKR,53.44,54.41,53.25,54.4,101154
2021-04-28,KKR,54.3,54.49,54.17,54.44,49615
2021-04-29,KKR,54.66,54.78,53.99,54.53,136739
2021-04-30,KKR,54.35,54.58,53.87,54.28,184419
2021-05-03,KKR,54.5,54.58,54.05,54.06,177923
2021-05-04,KKR,53.66,54.56,53.09,53.44,189457
2021-05-05,KKR,53.95,55.86,53.91,55.76,120728
2021-05-06,KKR,55.91,56.27,53.5,55.37,217234
2021-05-07,KKR,55.37,56.79,55.18,56.39,105486
2021-05-10,KKR,56.37,56.37,54.8,54.81,107449
