date,tic,open,high,low,close,volume
2021-01-04,KLAC,248.47,256.02,244.71,246.82,67029
2021-01-05,KLAC,246.67,252.18,245.93,252.06,53360
2021-01-06,KLAC,249.53,256.23,248.9,251.69,37103
2021-01-07,KLAC,254.41,264.46,254.41,263.66,44774
2021-01-08,KLAC,267.97,272.06,265.06,267.92,65408
2021-01-11,KLAC,267.15,275.73,265.44,273.92,86149
2021-01-12,KLAC,273.98,280.79,272.61,276.07,66838
2021-01-13,KLAC,274.39,278.26,270.53,274.93,51116
2021-01-14,KLAC,286.47,299.2,286.27,287.92,143530
2021-01-15,KLAC,287.18,288.97,282.06,288.46,145060
2021-01-19,KLAC,292.89,300.28,291.88,298.18,78042
2021-01-20,KLAC,300.69,300.69,287.14,288.93,69896
2021-01-21,KLAC,291.96,292.73,284.92,289.66,86272
2021-01-22,KLAC,289.34,292.96,288.79,289.3,35670
2021-01-25,KLAC,292.45,296.1,287.94,292.9,56440
2021-01-26,KLAC,294.58,294.58,287.16,287.86,46683
2021-01-27,KLAC,280.53,283.05,268.53,269.63,88329
2021-01-28,KLAC,276.77,280.86,274.17,276.13,74140
2021-01-29,KLAC,273.52,274.17,265.29,265.65,59940
2021-02-01,KLAC,269.76,278.66,268.19,277.33,56704
2021-02-02,KLAC,280.19,283.99,278.57,283.25,59075
2021-02-03,KLAC,284.49,285.38,270.79,270.88,81011
2021-02-04,KLAC,274.13,282.35,271.48,278.87,123705
2021-02-05,KLAC,280.44,282.41,271.69,273.28,54699
2021-02-08,KLAC,274.89,286.82,274.89,286.39,64591
2021-02-09,KLAC,285.64,289.57,281.65,282.77,25910
2021-02-10,KLAC,287.11,288.15,281.04,281.85,35972
2021-02-11,KLAC,285.07,309.48,285.07,307.48,160235
2021-02-12,KLAC,304.56,317.34,302.85,314.91,74987
2021-02-16,KLAC,316.36,324.27,316.36,320.0,88999
2021-02-17,KLAC,317.3,317.3,306.56,313.08,63604
2021-02-18,KLAC,309.22,311.64,305.5,309.07,61685
2021-02-19,KLAC,315.31,321.25,311.81,314.14,92060
2021-02-22,KLAC,308.67,310.31,298.39,300.58,68803
2021-02-23,KLAC,291.03,305.24,289.03,302.97,138329
2021-02-24,KLAC,299.34,312.46,294.86,312.46,82563
2021-02-25,KLAC,306.36,308.1,287.8,288.9,82554
2021-02-26,KLAC,293.58,299.02,288.27,295.75,67571
2021-03-01,KLAC,299.58,310.1,299.58,310.03,62344
2021-03-02,KLAC,310.34,310.34,294.52,294.52,77597
2021-03-03,KLAC,296.65,298.85,288.77,288.77,56939
2021-03-04,KLAC,286.37,288.33,268.9,272.69,70482
2021-03-05,KLAC,279.1,282.44,265.14,280.79,83208
2021-03-08,KLAC,275.83,277.97,259.95,260.45,169423
2021-03-09,KLAC,269.04,281.64,268.62,279.57,93708
2021-03-10,KLAC,284.98,284.98,268.81,268.99,169456
2021-03-11,KLAC,279.4,286.74,275.96,281.45,91656
2021-03-12,KLAC,273.84,280.2,271.96,279.59,99343
2021-03-15,KLAC,279.43,284.41,277.04,284.41,82199
2021-03-16,KLAC,285.48,290.85,284.4,287.15,117059
2021-03-17,KLAC,280.56,294.54,277.7,290.36,67732
2021-03-18,KLAC,283.32,283.32,273.67,274.42,100388
2021-03-19,KLAC,273.24,282.54,270.86,278.51,99470
2021-03-22,KLAC,284.57,292.8,283.9,290.3,108600
2021-03-23,KLAC,292.08,292.08,281.5,282.18,104508
2021-03-24,KLAC,294.3,300.99,282.91,282.91,97202
2021-03-25,KLAC,277.91,286.08,272.89,284.8,76449
2021-03-26,KLAC,285.62,304.43,285.62,304.43,106383
2021-03-29,KLAC,301.83,301.83,292.14,298.9,78309
2021-03-30,KLAC,297.55,302.73,296.56,301.44,61468
2021-03-31,KLAC,306.15,316.8,306.15,314.26,107895
2021-04-01,KLAC,321.02,330.53,321.02,330.39,98039
2021-04-05,KLAC,332.49,341.74,330.34,337.82,89594
2021-04-06,KLAC,333.87,336.07,324.3,329.52,92281
2021-04-07,KLAC,330.44,335.13,326.84,330.73,48689
2021-04-08,KLAC,335.53,336.76,331.23,336.63,101753
2021-04-09,KLAC,332.82,337.55,331.25,335.39,49411
2021-04-12,KLAC,332.67,332.67,326.43,327.98,112357
2021-04-13,KLAC,331.41,331.41,323.86,326.99,24455
2021-04-14,KLAC,323.2,328.62,318.67,319.72,83146
2021-04-15,KLAC,323.99,324.7,319.46,321.68,94177
2021-04-16,KLAC,322.23,322.61,316.61,316.83,64562
2021-04-19,KLAC,314.12,316.99,302.73,308.56,115305
2021-04-20,KLAC,307.99,309.65,302.13,302.98,82827
2021-04-21,KLAC,306.11,315.75,304.48,315.63,134421
2021-04-22,KLAC,313.94,315.26,307.14,308.87,64345
2021-04-23,KLAC,311.01,317.5,311.01,315.59,64425
2021-04-26,KLAC,317.05,320.75,315.11,319.31,34479
2021-04-27,KLAC,323.22,323.22,313.09,313.95,64229
2021-04-28,KLAC,312.39,314.42,308.4,308.51,75452
2021-04-29,KLAC,310.48,310.99,302.94,310.39,134875
2021-04-30,KLAC,299.85,305.3,297.63,299.85,101224
2021-05-03,KLAC,302.42,303.07,293.26,295.82,73667
2021-05-04,KLAC,290.64,292.83,284.81,292.78,110508
2021-05-05,KLAC,298.33,301.11,291.69,296.56,65276
