date,tic,open,high,low,close,volume
2021-01-04,KMB,112.24,112.28,110.38,111.0,90280
2021-01-05,KMB,110.93,111.33,109.47,111.29,131225
2021-01-06,KMB,110.95,111.96,110.34,110.58,141762
2021-01-07,KMB,110.33,110.33,108.52,109.65,91743
2021-01-08,KMB,109.43,109.87,108.56,109.78,73237
2021-01-11,KMB,109.98,110.83,109.37,109.51,84220
2021-01-12,KMB,109.43,109.68,107.82,108.6,92175
2021-01-13,KMB,108.54,110.05,108.51,109.7,114081
2021-01-14,KMB,109.74,110.13,109.13,109.53,66412
2021-01-15,KMB,109.56,109.81,108.39,109.36,110673
2021-01-19,KMB,109.97,110.53,108.94,109.65,84731
2021-01-20,KMB,109.64,109.64,108.39,109.38,82215
2021-01-21,KMB,109.07,109.61,108.73,109.13,126798
2021-01-22,KMB,109.73,110.66,108.96,110.13,131360
2021-01-25,KMB,111.43,117.41,111.09,113.66,268633
2021-01-26,KMB,112.77,114.39,110.81,114.24,205663
2021-01-27,KMB,114.49,117.16,114.29,115.33,120670
2021-01-28,KMB,115.36,115.77,112.32,112.58,163312
2021-01-29,KMB,112.04,113.52,109.93,110.0,148717
2021-02-01,KMB,110.49,111.57,110.17,111.11,69512
2021-02-02,KMB,111.09,111.18,109.0,110.24,163506
2021-02-03,KMB,109.98,110.3,108.51,110.24,79453
2021-02-04,KMB,109.78,110.18,108.91,109.68,99040
2021-02-05,KMB,109.81,110.23,109.34,110.14,85518
2021-02-08,KMB,110.21,110.41,109.26,110.09,70453
2021-02-09,KMB,110.26,110.63,109.28,110.31,62259
2021-02-10,KMB,110.67,111.55,110.31,110.57,125108
2021-02-11,KMB,110.88,110.88,109.76,110.01,84547
2021-02-12,KMB,109.92,110.33,109.37,110.07,85845
2021-02-16,KMB,109.53,109.65,107.23,108.51,181267
2021-02-17,KMB,107.89,109.3,107.36,108.93,99930
2021-02-18,KMB,108.51,110.38,108.5,110.13,110473
2021-02-19,KMB,109.98,110.07,108.61,108.79,86582
2021-02-22,KMB,108.47,109.33,108.19,109.21,80850
2021-02-23,KMB,109.71,111.12,109.02,109.93,103470
