date,tic,open,high,low,close,volume
2021-01-04,KMI,10.27,10.35,10.07,10.12,434418
2021-01-05,KMI,10.21,10.55,10.21,10.38,344472
2021-01-06,KMI,10.54,10.8,10.47,10.73,371546
2021-01-07,KMI,10.77,10.95,10.69,10.91,372115
2021-01-08,KMI,10.9,10.97,10.69,10.83,254426
2021-01-11,KMI,10.65,11.11,10.6,11.01,490520
2021-01-12,KMI,10.97,11.38,10.92,11.37,568985
2021-01-13,KMI,11.39,11.53,11.29,11.45,563220
2021-01-14,KMI,11.5,11.76,11.48,11.68,254794
2021-01-15,KMI,11.58,11.66,11.34,11.58,254464
2021-01-19,KMI,11.64,11.78,11.55,11.62,297390
2021-01-20,KMI,11.65,11.7,11.51,11.65,350834
2021-01-21,KMI,11.95,11.95,11.25,11.4,421384
2021-01-22,KMI,11.22,11.48,11.08,11.44,333712
2021-01-25,KMI,11.38,11.61,11.22,11.4,412551
2021-01-26,KMI,11.51,11.62,11.28,11.38,321859
2021-01-27,KMI,11.28,11.38,11.05,11.07,814599
2021-01-28,KMI,11.13,11.21,10.89,10.97,398946
2021-01-29,KMI,10.89,11.03,10.66,10.72,598151
2021-02-01,KMI,10.81,10.82,10.58,10.67,612629
2021-02-02,KMI,10.89,10.91,10.47,10.51,1037887
2021-02-03,KMI,10.54,10.88,10.53,10.83,353748
2021-02-04,KMI,10.89,10.94,10.67,10.68,357441
2021-02-05,KMI,10.82,10.83,10.71,10.77,232736
2021-02-08,KMI,10.86,11.26,10.82,11.21,323429
2021-02-09,KMI,11.21,11.21,10.99,11.08,283649
2021-02-10,KMI,11.16,11.25,11.05,11.25,189230
2021-02-11,KMI,11.23,11.26,11.0,11.18,220606
2021-02-12,KMI,11.13,11.32,11.08,11.3,267455
2021-02-16,KMI,11.47,11.56,11.37,11.45,435283
2021-02-17,KMI,11.51,11.57,11.3,11.5,250444
2021-02-18,KMI,11.48,11.48,11.24,11.25,209021
2021-02-19,KMI,11.29,11.4,11.27,11.39,143822
2021-02-22,KMI,11.41,11.65,11.4,11.54,396549
2021-02-23,KMI,11.7,11.72,11.32,11.64,397265
2021-02-24,KMI,11.68,11.98,11.63,11.97,324965
2021-02-25,KMI,12.06,12.06,11.59,11.63,441502
2021-02-26,KMI,11.51,11.51,11.13,11.18,344733
2021-03-01,KMI,11.34,11.56,11.31,11.45,283286
2021-03-02,KMI,11.47,11.59,11.43,11.48,263504
2021-03-03,KMI,11.53,11.88,11.5,11.54,467256
2021-03-04,KMI,11.62,12.05,11.57,11.95,740487
2021-03-05,KMI,12.14,12.21,11.86,12.08,511661
2021-03-08,KMI,12.15,12.43,12.08,12.34,494218
2021-03-09,KMI,12.19,12.28,11.91,11.92,584684
2021-03-10,KMI,11.96,12.42,11.94,12.37,428807
2021-03-11,KMI,12.37,12.49,12.31,12.33,290736
2021-03-12,KMI,12.4,12.45,12.29,12.45,409048
2021-03-15,KMI,12.5,12.57,12.28,12.43,403941
2021-03-16,KMI,12.29,12.29,12.08,12.11,216602
2021-03-17,KMI,12.09,12.39,12.08,12.35,473702
2021-03-18,KMI,12.27,12.36,11.94,11.99,467462
2021-03-19,KMI,12.05,12.26,11.97,12.11,413398
2021-03-22,KMI,12.09,12.14,11.99,12.0,261541
2021-03-23,KMI,11.85,12.16,11.8,11.93,790586
2021-03-24,KMI,12.02,12.44,12.02,12.32,712838
2021-03-25,KMI,12.24,12.49,12.0,12.45,600548
2021-03-26,KMI,12.59,12.79,12.48,12.79,462267
2021-03-29,KMI,12.78,12.83,12.59,12.74,367709
2021-03-30,KMI,12.63,12.75,12.58,12.65,468191
2021-03-31,KMI,12.66,12.72,12.55,12.67,805380
2021-04-01,KMI,12.69,12.8,12.55,12.8,277804
2021-04-05,KMI,12.83,12.83,12.58,12.69,203561
2021-04-06,KMI,12.72,12.81,12.66,12.7,381380
2021-04-07,KMI,12.76,12.91,12.69,12.88,152664
2021-04-08,KMI,12.73,12.8,12.65,12.8,314322
2021-04-09,KMI,12.76,12.78,12.53,12.58,686090
2021-04-12,KMI,12.62,12.69,12.49,12.56,284463
2021-04-13,KMI,12.5,12.64,12.43,12.55,68230
2021-04-14,KMI,12.61,12.78,12.57,12.67,307857
2021-04-15,KMI,12.65,12.74,12.58,12.71,243865
2021-04-16,KMI,12.74,12.78,12.53,12.58,189712
2021-04-20,KMI,12.64,12.66,12.43,12.59,235442
2021-04-21,KMI,12.49,12.77,12.49,12.7,466449
2021-04-22,KMI,12.74,12.81,12.4,12.45,992137
2021-04-23,KMI,12.55,12.82,12.49,12.77,466196
2021-04-26,KMI,12.83,13.03,12.8,12.87,495324
2021-04-27,KMI,12.93,13.06,12.87,12.94,625320
2021-04-28,KMI,13.04,13.33,13.02,13.28,737047
2021-04-29,KMI,13.37,13.49,13.23,13.37,681486
2021-04-30,KMI,13.27,13.39,13.15,13.18,266468
2021-05-03,KMI,13.28,13.41,13.16,13.34,660570
2021-05-04,KMI,13.39,13.43,13.22,13.27,532618
2021-05-05,KMI,13.37,13.58,13.27,13.54,581884
2021-05-06,KMI,13.57,13.65,13.38,13.64,326941
2021-05-07,KMI,13.51,13.82,13.47,13.78,365018
2021-05-10,KMI,13.92,14.23,13.92,14.1,528156
2021-05-11,KMI,13.94,13.97,13.66,13.89,397766
2021-05-12,KMI,13.98,14.28,13.92,13.99,410160
2021-05-13,KMI,13.81,14.08,13.74,13.92,411276
2021-05-14,KMI,14.07,14.21,14.03,14.19,382388
2021-05-17,KMI,14.19,14.53,14.16,14.53,368746
2021-05-18,KMI,14.58,14.66,14.39,14.46,634214
2021-05-19,KMI,14.23,14.34,14.02,14.27,307211
2021-05-20,KMI,14.26,14.5,14.13,14.45,277325
2021-05-21,KMI,14.53,14.59,14.42,14.48,239557
2021-05-24,KMI,14.54,14.6,14.45,14.55,334120
2021-05-25,KMI,14.53,14.56,14.28,14.32,369077
2021-05-26,KMI,14.14,14.27,14.13,14.19,483754
2021-05-27,KMI,14.23,14.35,14.1,14.12,581925
2021-05-28,KMI,14.23,14.23,14.07,14.17,239393
2021-06-01,KMI,14.33,14.36,14.24,14.31,791832
2021-06-02,KMI,14.36,14.63,14.28,14.5,538552
2021-06-03,KMI,14.46,14.62,14.37,14.5,293322
2021-06-04,KMI,14.6,14.62,14.46,14.51,291438
2021-06-07,KMI,14.55,14.66,14.48,14.51,426366
2021-06-08,KMI,14.51,14.55,14.33,14.53,444224
2021-06-09,KMI,14.59,14.63,14.48,14.58,623820
2021-06-10,KMI,14.68,14.81,14.53,14.68,381714
2021-06-11,KMI,14.7,14.91,14.68,14.79,466518
2021-06-14,KMI,14.69,14.81,14.44,14.57,527842
2021-06-15,KMI,14.61,14.75,14.52,14.71,365507
2021-06-16,KMI,14.6,14.76,14.48,14.57,376031
2021-06-17,KMI,14.64,14.65,14.02,14.14,454923
2021-06-18,KMI,13.95,14.02,13.64,13.65,572013
2021-06-21,KMI,13.79,14.17,13.78,14.14,321496
2021-06-22,KMI,14.11,14.11,13.98,14.07,129868
2021-06-23,KMI,14.16,14.18,13.98,13.98,170531
2021-06-24,KMI,14.03,14.11,13.97,14.09,293456
2021-06-25,KMI,14.11,14.14,14.04,14.14,131584
