date,tic,open,high,low,close,volume
2021-01-04,KO,46.84,46.98,44.76,45.38,871432
2021-01-05,KO,45.03,45.27,44.76,44.9,844593
2021-01-06,KO,44.7,44.71,43.18,43.48,1204479
2021-01-07,KO,43.07,43.23,42.6,42.98,1187127
2021-01-08,KO,43.01,43.98,42.88,43.93,966091
2021-01-11,KO,43.55,43.75,42.98,43.19,606009
2021-01-12,KO,43.07,43.32,42.82,43.13,498827
2021-01-13,KO,42.98,43.32,42.98,43.16,281320
2021-01-14,KO,43.16,43.16,42.34,42.36,693526
2021-01-15,KO,42.29,42.29,41.75,41.93,604138
2021-01-19,KO,41.96,42.02,41.5,41.74,1052552
2021-01-20,KO,41.76,41.99,41.57,41.87,476634
2021-01-21,KO,41.96,42.23,41.69,42.11,695000
2021-01-22,KO,42.0,42.07,41.72,41.72,508730
2021-01-25,KO,41.6,42.01,41.5,41.97,297260
2021-01-26,KO,42.08,42.49,41.83,42.39,338866
2021-01-27,KO,42.07,42.42,41.5,41.71,674027
2021-01-28,KO,41.89,42.58,41.82,42.29,404696
2021-01-29,KO,42.17,42.17,41.4,41.42,410903
2021-02-01,KO,41.6,41.89,41.46,41.71,305870
2021-02-02,KO,41.96,42.45,41.84,42.15,333690
2021-02-03,KO,41.99,42.23,41.9,41.95,553592
2021-02-04,KO,42.12,42.21,41.85,42.15,529569
2021-02-05,KO,42.58,42.82,42.4,42.7,371220
2021-02-08,KO,42.94,43.14,42.58,42.93,491291
2021-02-09,KO,42.95,43.02,42.7,42.75,403291
2021-02-10,KO,43.38,43.5,42.61,42.67,521105
2021-02-11,KO,42.96,43.51,42.91,43.32,411765
2021-02-12,KO,43.48,43.74,43.37,43.61,481918
2021-02-16,KO,43.56,43.63,43.16,43.26,516424
2021-02-17,KO,43.01,43.43,42.92,43.12,588204
2021-02-18,KO,43.18,43.74,43.04,43.69,711664
2021-02-19,KO,43.68,43.72,42.99,43.1,488171
2021-02-22,KO,42.87,43.77,42.74,43.54,462097
2021-02-23,KO,43.86,44.31,43.38,43.48,630067
2021-02-24,KO,43.25,43.78,43.13,43.63,505949
2021-02-25,KO,43.43,43.66,43.0,43.18,555708
2021-02-26,KO,43.17,43.17,42.15,42.15,665373
2021-03-01,KO,42.53,43.39,42.53,42.95,577520
2021-03-02,KO,42.92,43.5,42.76,43.06,369723
2021-03-03,KO,42.88,43.49,42.83,42.99,639508
2021-03-04,KO,43.28,43.94,42.69,42.95,756629
2021-03-05,KO,43.13,43.82,42.94,43.69,538430
2021-03-08,KO,44.24,45.16,44.03,44.43,787447
2021-03-09,KO,44.48,44.63,43.74,43.75,912612
2021-03-10,KO,43.99,44.41,43.64,44.22,621214
2021-03-11,KO,43.99,44.15,43.72,43.79,820952
2021-03-12,KO,43.93,43.95,43.55,43.69,405284
2021-03-15,KO,43.83,44.34,43.79,44.27,495495
2021-03-16,KO,44.41,44.69,44.28,44.42,566168
2021-03-17,KO,44.49,44.75,44.37,44.44,607529
2021-03-18,KO,44.34,44.41,43.8,43.86,919923
2021-03-19,KO,43.76,44.31,43.52,44.08,1279904
2021-03-22,KO,43.72,44.3,43.69,44.24,413421
2021-03-23,KO,44.21,44.8,44.1,44.57,611501
2021-03-24,KO,44.38,45.01,44.38,44.69,532802
2021-03-25,KO,44.83,45.16,44.39,45.13,792925
2021-03-26,KO,45.13,46.07,44.9,46.04,739059
2021-03-29,KO,45.76,46.78,45.73,46.71,826484
2021-03-30,KO,46.59,46.66,45.91,46.12,587147
2021-03-31,KO,46.01,46.11,45.54,45.73,636040
