date,tic,open,high,low,close,volume
2021-01-04,KR,28.57,29.0,28.51,28.9,296080
2021-01-05,KR,28.84,29.01,28.53,28.68,228034
2021-01-06,KR,28.79,29.39,28.79,28.97,352282
2021-01-07,KR,28.58,29.14,28.51,28.62,351602
2021-01-08,KR,28.67,28.67,28.26,28.43,301882
2021-01-11,KR,28.47,28.79,28.43,28.57,240535
2021-01-12,KR,28.76,29.09,28.33,28.35,398568
2021-01-13,KR,28.41,28.88,28.27,28.77,388912
2021-01-14,KR,28.85,30.06,28.7,29.82,622374
2021-01-15,KR,29.81,30.77,29.56,30.3,505626
2021-01-19,KR,30.31,30.32,29.74,30.23,249005
2021-01-20,KR,29.59,29.83,29.25,29.74,303576
2021-01-21,KR,29.72,30.08,29.57,29.88,257573
2021-01-22,KR,29.92,30.32,29.47,30.18,215314
2021-01-25,KR,30.1,33.28,30.1,31.08,997381
2021-01-26,KR,31.06,33.42,30.96,33.35,770911
2021-01-27,KR,33.31,38.56,33.29,34.84,2042622
2021-01-28,KR,33.83,35.43,31.26,31.83,1254134
2021-01-29,KR,32.03,32.88,30.98,31.02,731447
2021-02-01,KR,31.07,31.35,29.93,30.29,468504
2021-02-02,KR,30.18,30.18,29.54,29.76,419390
2021-02-03,KR,29.83,30.56,29.56,30.53,249661
2021-02-04,KR,30.51,30.72,30.04,30.12,271658
2021-02-05,KR,30.01,30.35,29.78,29.81,298271
2021-02-08,KR,29.88,30.24,29.79,29.93,399871
2021-02-09,KR,29.99,30.38,29.96,30.19,358696
2021-02-10,KR,30.4,30.55,30.05,30.21,245178
2021-02-11,KR,30.29,30.43,30.14,30.19,189134
2021-02-12,KR,30.17,30.74,30.16,30.7,265392
2021-02-16,KR,30.87,30.89,30.31,30.43,358277
2021-02-17,KR,30.61,31.09,30.35,31.06,453719
2021-02-18,KR,30.6,30.94,30.28,30.58,261422
2021-02-19,KR,30.68,31.08,30.65,30.75,243624
2021-02-22,KR,30.79,30.88,29.97,30.38,310788
2021-02-23,KR,29.5,30.08,29.21,29.87,332234
2021-02-24,KR,30.06,30.34,29.47,29.62,226698
2021-02-25,KR,29.6,30.15,29.26,29.27,671382
2021-02-26,KR,29.43,29.65,29.09,29.11,244779
2021-03-01,KR,29.02,29.95,28.96,29.75,607614
2021-03-02,KR,29.63,30.07,29.2,29.45,580431
2021-03-03,KR,29.36,30.13,29.1,30.05,395625
2021-03-04,KR,30.74,31.31,29.99,30.83,1178223
2021-03-05,KR,31.08,31.94,30.85,31.13,833917
2021-03-08,KR,31.28,31.87,31.23,31.4,859350
2021-03-09,KR,31.45,31.79,31.14,31.15,446728
2021-03-10,KR,31.15,32.1,30.95,31.87,356213
2021-03-11,KR,31.97,32.09,31.51,31.59,298653
2021-03-12,KR,31.64,32.18,31.61,32.07,521812
2021-03-15,KR,32.09,32.72,31.99,32.43,647606
2021-03-16,KR,32.34,32.5,32.19,32.4,310565
2021-03-17,KR,32.36,32.45,31.69,31.89,328345
2021-03-18,KR,31.37,31.84,31.21,31.36,350194
2021-03-19,KR,31.55,32.17,31.54,32.0,266652
2021-03-22,KR,31.95,32.73,31.85,32.71,252706
2021-03-23,KR,32.56,33.49,32.33,33.13,554235
2021-03-24,KR,33.01,33.18,32.21,32.28,396978
2021-03-25,KR,32.34,33.05,32.31,33.01,307043
2021-03-26,KR,33.2,33.8,32.99,33.65,490819
2021-03-29,KR,33.74,34.47,33.74,34.32,449622
2021-03-30,KR,34.25,34.62,34.11,34.45,564432
2021-03-31,KR,34.31,34.35,32.53,32.54,688362
2021-04-01,KR,32.52,32.84,32.13,32.51,473185
2021-04-05,KR,32.74,33.41,32.67,33.22,255055
2021-04-06,KR,33.1,33.57,32.96,33.35,447381
2021-04-07,KR,33.41,33.84,33.41,33.59,558700
2021-04-08,KR,33.58,33.78,33.41,33.67,216029
2021-04-09,KR,33.74,34.31,33.73,34.16,239959
2021-04-12,KR,34.26,34.5,33.97,34.32,244389
2021-04-13,KR,34.45,34.67,33.9,33.94,216917
2021-04-14,KR,34.05,34.05,33.3,33.67,230611
2021-04-15,KR,33.77,34.0,33.43,33.62,293814
2021-04-16,KR,33.73,33.78,33.53,33.55,233366
2021-04-20,KR,34.01,34.63,33.85,34.14,356472
2021-04-21,KR,34.31,34.7,34.15,34.26,257165
2021-04-22,KR,34.29,34.35,33.78,33.84,249584
2021-04-23,KR,33.75,33.86,33.31,33.77,262518
2021-04-26,KR,33.66,33.77,32.67,33.03,457103
2021-04-27,KR,33.06,33.44,33.06,33.21,244859
2021-04-28,KR,33.42,33.48,33.11,33.12,147325
2021-04-29,KR,33.2,33.59,33.16,33.48,189647
2021-04-30,KR,33.53,33.62,32.98,33.02,218222
2021-05-03,KR,33.11,33.96,33.09,33.8,223891
2021-05-04,KR,32.95,33.26,32.19,32.45,454515
2021-05-05,KR,32.48,33.01,32.36,32.98,170711
2021-05-06,KR,33.11,34.42,32.99,34.08,322961
2021-05-07,KR,33.97,34.24,33.71,34.12,277886
2021-05-10,KR,34.31,35.32,34.25,35.13,326120
2021-05-11,KR,35.08,35.49,34.57,34.72,495571
2021-05-12,KR,34.69,34.71,33.08,33.13,448104
2021-05-13,KR,33.17,33.79,33.09,33.44,858412
2021-05-14,KR,33.6,34.03,33.47,33.79,144782
2021-05-17,KR,34.01,34.62,33.86,33.96,188603
2021-05-18,KR,34.16,34.36,33.5,33.77,311987
2021-05-19,KR,33.56,33.64,32.89,33.08,296480
2021-05-20,KR,32.97,33.15,32.67,33.04,230084
2021-05-21,KR,33.01,33.49,33.0,33.23,172051
2021-05-24,KR,33.28,33.77,33.15,33.25,100202
2021-05-25,KR,33.21,33.32,33.01,33.13,152927
2021-05-26,KR,32.96,33.23,32.89,33.04,164303
2021-05-27,KR,33.29,33.69,32.86,32.97,348573
2021-05-28,KR,33.21,33.82,33.12,33.6,358393
2021-06-01,KR,33.9,34.0,33.69,33.86,205153
2021-06-02,KR,33.88,34.48,33.66,34.45,301437
2021-06-03,KR,34.46,35.03,34.43,34.97,374457
2021-06-04,KR,34.9,35.22,34.58,35.08,241538
2021-06-07,KR,35.17,35.46,35.03,35.4,188712
2021-06-08,KR,35.51,35.93,35.28,35.35,290248
2021-06-09,KR,34.98,35.18,34.71,34.78,270261
2021-06-10,KR,34.91,35.6,34.73,35.23,240011
2021-06-11,KR,35.37,35.37,34.93,35.17,196786
2021-06-14,KR,35.14,35.18,34.56,34.89,125705
2021-06-15,KR,34.87,34.87,34.16,34.42,289214
2021-06-16,KR,34.18,34.49,34.0,34.1,504745
2021-06-17,KR,34.03,35.98,33.41,35.6,990401
2021-06-18,KR,35.35,35.6,34.69,35.22,480880
2021-06-21,KR,35.37,36.11,35.01,35.95,371735
2021-06-22,KR,35.88,36.4,35.68,36.18,294945
2021-06-23,KR,36.18,36.18,35.61,35.61,247049
2021-06-24,KR,35.67,35.82,35.35,35.57,229791
2021-06-25,KR,35.57,35.82,35.53,35.61,180885
2021-06-28,KR,35.5,35.81,35.37,35.75,125645
2021-06-29,KR,35.8,36.07,35.23,35.27,278776
2021-06-30,KR,35.29,35.47,34.68,34.83,250714
2021-07-01,KR,34.68,34.98,34.48,34.63,164891
2021-07-02,KR,34.78,35.24,34.78,34.87,192786
2021-07-06,KR,34.58,34.61,33.94,33.99,257010
2021-07-07,KR,34.05,34.49,33.88,34.19,189768
2021-07-08,KR,34.04,34.65,34.04,34.4,226809
2021-07-09,KR,34.59,34.92,34.55,34.77,137658
2021-07-12,KR,34.75,34.99,34.66,34.79,120271
2021-07-13,KR,34.82,35.06,34.38,34.59,161527
2021-07-14,KR,34.56,35.02,34.46,34.83,220088
2021-07-15,KR,34.91,35.45,34.88,35.28,292563
2021-07-16,KR,35.26,36.03,35.26,35.76,278838
2021-07-19,KR,35.67,37.41,35.67,37.26,423162
2021-07-20,KR,37.33,37.7,36.54,36.86,269111
2021-07-21,KR,36.87,36.96,36.36,36.44,129426
2021-07-22,KR,36.35,36.35,35.76,36.1,209173
2021-07-23,KR,36.11,36.24,35.84,36.24,162776
2021-07-26,KR,36.32,36.71,36.1,36.16,178137
2021-07-27,KR,36.09,36.42,35.91,36.38,122861
2021-07-28,KR,36.32,36.49,36.12,36.39,71166
2021-07-29,KR,36.57,37.25,36.52,37.0,130877
2021-07-30,KR,36.96,38.1,36.9,36.95,250037
2021-08-02,KR,37.01,37.36,36.59,37.24,115793
2021-08-03,KR,37.15,38.83,37.12,38.72,271973
2021-08-04,KR,38.47,38.75,37.97,38.08,163458
2021-08-05,KR,38.25,38.54,37.99,38.06,106691
2021-08-06,KR,38.06,38.24,37.77,37.92,123439
2021-08-09,KR,37.95,38.49,37.95,38.4,119726
2021-08-10,KR,38.49,39.25,38.48,38.87,154470
2021-08-11,KR,38.75,39.21,38.72,39.06,221869
2021-08-12,KR,39.23,39.23,38.83,38.93,154742
2021-08-13,KR,38.97,39.22,38.84,39.1,152985
2021-08-16,KR,39.01,39.72,38.99,39.67,175638
2021-08-17,KR,39.93,41.6,39.92,41.48,489586
2021-08-18,KR,41.29,42.35,41.28,42.22,336502
2021-08-19,KR,42.09,42.76,41.69,41.94,237813
2021-08-20,KR,42.03,42.92,41.79,42.85,204430
2021-08-23,KR,42.9,43.04,42.3,42.67,137872
2021-08-24,KR,42.71,42.8,41.67,41.77,188376
2021-08-25,KR,41.64,42.25,41.59,41.81,95995
