date,tic,open,high,low,close,volume
2023-05-04,KVUE,23.26,24.45,22.89,24.32,3389183
2023-05-05,KVUE,24.06,24.51,23.78,23.85,589902
2023-05-08,KVUE,23.75,24.29,23.49,24.04,332976
2023-05-09,KVUE,24.03,24.3,23.67,23.82,194506
2023-05-10,KVUE,24.01,24.27,23.58,23.8,811781
2023-05-11,KVUE,23.66,23.86,23.57,23.58,605120
2023-05-12,KVUE,23.63,24.13,23.48,24.05,497244
2023-05-15,KVUE,24.14,25.2,24.14,24.94,367186
2023-05-16,KVUE,24.97,25.17,24.48,24.52,276882
2023-05-17,KVUE,24.93,25.11,24.16,24.68,238617
2023-05-18,KVUE,24.73,24.73,24.21,24.49,97468
2023-05-19,KVUE,24.44,24.71,24.21,24.69,90967
2023-05-22,KVUE,24.81,24.83,23.54,23.64,354377
2023-05-23,KVUE,23.59,23.8,23.41,23.57,142042
2023-05-24,KVUE,23.49,24.05,23.48,23.98,155340
2023-05-25,KVUE,24.05,24.12,23.5,23.87,111243
2023-05-26,KVUE,23.81,23.9,23.79,23.83,36198
2023-05-30,KVUE,23.98,23.98,22.79,23.33,376453
2023-05-31,KVUE,23.21,23.21,22.66,22.77,427876
2023-06-01,KVUE,22.84,23.25,22.44,22.91,257017
2023-06-02,KVUE,22.99,23.28,22.66,23.17,139969
2023-06-05,KVUE,23.24,23.37,22.52,22.81,206659
2023-06-06,KVUE,22.69,23.0,22.69,22.83,139784
2023-06-07,KVUE,22.65,22.89,22.65,22.74,129840
2023-06-08,KVUE,22.73,22.8,22.5,22.78,110451
2023-06-09,KVUE,22.74,22.8,22.53,22.78,77989
2023-06-12,KVUE,22.74,22.78,22.44,22.69,171839
2023-06-13,KVUE,22.73,22.86,22.64,22.81,124274
2023-06-14,KVUE,22.8,23.11,22.79,22.98,131670
2023-06-15,KVUE,22.87,23.53,22.87,23.37,67913
2023-06-16,KVUE,23.47,23.8,23.47,23.8,155461
2023-06-20,KVUE,23.69,23.92,23.62,23.64,139929
2023-06-21,KVUE,23.73,24.2,23.37,23.76,149933
2023-06-22,KVUE,23.81,24.12,23.81,24.05,73446
2023-06-23,KVUE,24.16,24.24,23.84,24.01,149673
2023-06-26,KVUE,24.05,24.11,23.61,23.72,48081
2023-06-27,KVUE,23.48,23.5,22.86,23.48,160337
2023-06-28,KVUE,23.46,23.59,23.28,23.42,89082
2023-06-29,KVUE,23.35,23.77,23.32,23.57,48513
2023-06-30,KVUE,23.8,24.17,23.74,23.96,147798
2023-07-03,KVUE,23.88,24.12,23.39,23.63,154551
2023-07-05,KVUE,23.56,23.79,23.23,23.3,75847
2023-07-06,KVUE,23.3,23.39,23.01,23.25,85842
2023-07-07,KVUE,23.14,23.25,22.86,22.86,70104
2023-07-10,KVUE,22.91,23.11,22.78,22.89,49232
2023-07-11,KVUE,23.09,23.15,22.67,22.75,181798
2023-07-12,KVUE,22.95,22.97,22.63,22.9,92847
2023-07-13,KVUE,23.0,23.08,22.59,23.03,63648
2023-07-14,KVUE,23.16,23.2,22.44,22.62,121928
2023-07-17,KVUE,22.61,22.71,22.44,22.57,68655
2023-07-18,KVUE,22.53,22.69,22.5,22.5,90102
2023-07-19,KVUE,22.55,22.7,22.21,22.65,102235
2023-07-20,KVUE,21.71,22.31,20.4,22.23,2806094
2023-07-21,KVUE,22.33,22.52,21.57,21.77,698797
2023-07-24,KVUE,20.96,22.11,20.96,21.9,1443343
2023-07-25,KVUE,22.02,22.74,21.92,22.67,433307
2023-07-26,KVUE,22.69,22.8,22.02,22.36,363201
2023-07-27,KVUE,22.5,22.52,21.74,21.93,496527
2023-07-28,KVUE,21.92,22.14,21.83,22.11,420053
2023-07-31,KVUE,21.76,21.82,21.31,21.46,630841
2023-08-01,KVUE,21.31,21.51,21.24,21.46,675096
2023-08-02,KVUE,21.39,21.67,21.2,21.67,644284
2023-08-03,KVUE,21.87,22.15,21.54,21.72,647825
2023-08-04,KVUE,21.6,21.62,21.12,21.32,1291904
2023-08-07,KVUE,21.4,21.4,21.14,21.33,952994
2023-08-08,KVUE,21.33,21.34,21.04,21.2,1131597
