date,tic,open,high,low,close,volume
2021-01-04,L,44.23,44.46,43.36,43.56,23405
2021-01-05,L,43.83,44.4,43.68,43.8,21267
2021-01-06,L,45.05,46.24,44.84,45.98,44850
2021-01-07,L,46.24,46.25,45.49,45.88,27943
2021-01-08,L,45.84,45.94,45.13,45.73,18385
2021-01-11,L,45.69,45.85,45.35,45.7,20492
2021-01-12,L,45.97,46.18,45.71,46.09,22660
2021-01-13,L,46.09,46.57,45.61,46.3,22120
2021-01-14,L,46.61,46.7,46.29,46.51,15762
2021-01-15,L,46.0,46.65,45.55,46.34,14324
2021-01-19,L,46.49,47.0,46.31,46.68,15026
2021-01-20,L,46.61,46.61,46.14,46.51,16422
2021-01-21,L,46.25,46.49,45.67,45.67,22192
2021-01-22,L,45.26,45.73,45.18,45.63,17065
2021-01-25,L,45.04,45.87,44.82,45.86,23103
2021-01-26,L,46.08,46.14,45.28,45.45,28228
2021-01-27,L,44.67,45.44,44.4,44.48,35555
2021-01-28,L,45.38,45.85,45.17,45.18,26101
2021-01-29,L,44.57,45.54,44.33,44.5,29003
2021-02-01,L,44.86,45.3,44.34,45.02,29933
2021-02-02,L,45.5,45.62,44.83,45.35,30690
2021-02-03,L,45.63,46.19,45.38,46.09,20847
2021-02-04,L,46.3,47.01,46.3,46.88,52441
2021-02-05,L,47.46,47.57,46.91,46.91,49180
2021-02-08,L,47.36,47.64,46.57,47.53,27476
2021-02-09,L,47.58,47.59,47.21,47.22,23593
2021-02-10,L,47.29,47.41,46.84,47.1,34056
2021-02-11,L,47.47,47.47,46.7,47.34,24438
2021-02-12,L,47.46,47.72,47.19,47.71,42878
2021-02-16,L,48.13,48.36,47.71,47.88,37427
2021-02-17,L,47.82,47.82,46.96,47.62,43358
2021-02-18,L,47.2,47.2,46.41,46.48,38009
2021-02-19,L,47.01,47.34,46.72,47.19,32909
2021-02-22,L,47.15,48.58,47.12,48.57,47002
2021-02-23,L,48.67,49.82,48.58,49.62,93197
2021-02-24,L,49.64,49.91,49.38,49.51,45487
2021-02-25,L,49.72,49.75,47.79,47.9,44512
2021-02-26,L,47.33,47.79,46.81,46.99,39171
2021-03-01,L,48.16,49.07,47.87,48.67,27864
