date,tic,open,high,low,close,volume
2021-01-04,LH,163.02,164.1,160.45,163.74,28403
2021-01-05,LH,164.75,167.9,164.22,166.65,24399
2021-01-06,LH,166.22,174.53,166.22,173.66,40775
2021-01-07,LH,174.32,176.08,173.35,174.51,36634
2021-01-08,LH,174.58,174.62,167.95,170.63,49019
2021-01-11,LH,170.36,173.46,170.36,173.43,27430
2021-01-12,LH,173.99,176.19,173.27,176.0,26463
2021-01-13,LH,176.29,177.55,175.68,175.82,46070
2021-01-14,LH,176.61,177.43,175.75,176.0,37968
2021-01-15,LH,175.1,178.84,174.29,178.83,43570
2021-01-19,LH,180.01,180.33,177.35,180.29,44574
2021-01-20,LH,180.33,183.67,179.64,183.67,41772
2021-01-21,LH,183.0,184.27,181.96,182.72,44081
2021-01-22,LH,182.61,183.12,181.29,182.91,35688
2021-01-25,LH,182.8,183.2,178.58,180.04,53765
2021-01-26,LH,180.81,180.81,177.5,177.5,28311
2021-01-27,LH,173.93,174.09,170.09,171.24,63972
2021-01-28,LH,173.7,176.94,172.62,175.36,60179
2021-01-29,LH,176.97,186.8,176.97,183.08,66690
2021-02-01,LH,184.3,189.96,183.08,187.18,49382
2021-02-02,LH,188.47,189.87,186.66,186.66,44780
2021-02-03,LH,185.41,185.41,180.27,182.42,25291
2021-02-04,LH,182.39,183.91,178.56,178.83,58622
2021-02-05,LH,179.34,181.56,179.34,180.92,23517
2021-02-08,LH,182.98,183.27,178.69,180.53,45649
2021-02-09,LH,180.53,182.36,178.58,181.18,54272
2021-02-10,LH,182.4,185.27,182.28,183.26,43290
2021-02-11,LH,188.75,191.38,182.23,189.5,73949
2021-02-12,LH,190.22,193.63,189.32,190.32,62630
2021-02-16,LH,189.29,190.28,186.42,188.73,51364
2021-02-17,LH,192.18,201.51,192.13,194.08,148515
2021-02-18,LH,193.03,194.46,190.44,194.15,28037
2021-02-19,LH,194.89,197.47,192.72,196.96,80614
2021-02-22,LH,195.23,196.29,192.1,194.87,31451
2021-02-23,LH,193.44,201.37,190.16,197.67,131912
2021-02-24,LH,194.39,197.02,189.07,195.6,79347
2021-02-25,LH,195.33,195.57,188.18,189.1,63689
2021-02-26,LH,189.86,193.09,187.34,191.87,84333
2021-03-01,LH,194.12,197.56,192.77,193.07,48892
2021-03-02,LH,196.64,196.9,193.36,194.62,60971
2021-03-03,LH,194.27,194.98,190.9,191.83,32829
2021-03-04,LH,192.11,192.12,185.9,187.55,49599
2021-03-05,LH,189.34,190.81,184.78,189.92,42213
2021-03-08,LH,189.28,196.37,189.28,192.39,32098
2021-03-09,LH,193.44,195.4,190.87,191.15,43599
2021-03-10,LH,193.26,193.66,185.16,185.82,72153
2021-03-11,LH,187.84,190.11,187.39,189.48,93739
2021-03-12,LH,189.05,190.75,187.07,190.75,26706
2021-03-15,LH,190.75,192.03,189.49,191.72,26605
2021-03-16,LH,191.59,191.87,190.13,190.99,23095
2021-03-17,LH,191.13,192.74,190.45,190.78,27494
2021-03-18,LH,191.15,193.01,190.47,191.75,35043
2021-03-19,LH,191.57,193.32,190.61,192.04,32291
2021-03-22,LH,191.47,194.91,190.22,194.24,30868
2021-03-23,LH,193.58,193.7,190.56,190.56,19028
2021-03-24,LH,196.76,203.46,196.76,200.24,92574
2021-03-25,LH,198.6,199.05,194.39,198.43,79538
2021-03-26,LH,199.19,202.03,198.64,201.93,20706
2021-03-29,LH,200.39,201.83,198.98,200.9,27177
2021-03-30,LH,201.24,203.12,199.89,202.74,84557
2021-03-31,LH,203.75,207.2,202.7,203.72,66858
2021-04-01,LH,202.82,203.18,200.08,201.91,58755
2021-04-05,LH,202.44,204.41,200.85,201.86,32189
2021-04-06,LH,202.02,202.94,200.78,201.23,31536
2021-04-07,LH,201.27,201.69,199.82,201.61,31877
2021-04-08,LH,201.61,203.69,200.01,201.3,32796
2021-04-09,LH,203.11,203.82,201.82,203.49,27513
2021-04-12,LH,204.85,205.45,203.11,204.35,48454
2021-04-13,LH,204.65,205.5,203.09,203.09,10031
2021-04-14,LH,203.77,204.69,201.88,202.1,30479
2021-04-15,LH,203.52,208.19,203.52,207.6,36625
2021-04-16,LH,207.44,210.02,205.35,209.49,32149
2021-04-20,LH,207.22,208.49,204.55,207.76,27629
2021-04-21,LH,207.62,209.24,207.13,208.77,34128
2021-04-22,LH,209.46,212.71,209.46,211.75,29158
2021-04-23,LH,210.08,212.65,209.81,210.83,25219
2021-04-26,LH,211.53,212.45,210.91,211.44,20057
2021-04-27,LH,210.09,212.32,210.09,211.1,26148
2021-04-28,LH,210.33,211.42,209.83,210.05,21597
2021-04-29,LH,215.34,215.34,210.2,213.36,82839
2021-04-30,LH,213.07,215.27,210.76,212.55,56230
2021-05-03,LH,213.6,215.57,212.57,213.54,47125
2021-05-04,LH,213.82,218.99,213.79,218.7,63886
2021-05-05,LH,218.68,221.32,215.41,220.43,38028
2021-05-06,LH,221.2,222.13,218.71,222.12,33637
2021-05-07,LH,223.65,224.18,222.1,222.24,35631
2021-05-10,LH,223.58,224.22,221.48,221.48,45949
2021-05-11,LH,219.88,222.56,219.62,220.34,45324
2021-05-12,LH,221.86,223.63,216.81,217.44,58469
2021-05-13,LH,217.7,222.02,217.38,221.22,42373
2021-05-14,LH,222.26,223.73,219.15,219.18,39106
2021-05-17,LH,218.79,219.34,213.18,213.5,44338
2021-05-18,LH,214.15,216.24,212.09,213.46,28387
2021-05-19,LH,211.96,213.58,209.59,213.41,29920
2021-05-20,LH,214.99,217.07,213.65,215.41,43600
2021-05-21,LH,215.89,217.56,214.53,214.97,19964
2021-05-24,LH,216.67,218.45,216.48,216.81,26066
2021-05-25,LH,218.67,220.84,217.7,219.35,40750
2021-05-26,LH,219.75,221.68,218.83,219.96,41139
2021-05-27,LH,220.21,220.73,219.1,220.37,23477
2021-05-28,LH,220.57,221.66,218.68,219.3,15132
2021-06-01,LH,219.12,219.34,210.2,210.72,162373
2021-06-02,LH,210.24,212.55,208.48,210.6,32770
2021-06-03,LH,210.66,212.91,210.52,212.13,12422
2021-06-04,LH,212.79,213.74,211.92,212.93,24907
2021-06-07,LH,213.27,214.16,208.75,210.97,53358
2021-06-08,LH,211.44,211.44,206.31,208.1,54120
2021-06-09,LH,208.32,208.72,207.02,207.14,36984
2021-06-10,LH,207.58,209.78,207.57,208.72,20517
2021-06-11,LH,208.56,209.51,205.61,206.51,31877
2021-06-14,LH,206.34,207.9,205.58,207.67,29163
2021-06-15,LH,207.91,209.45,207.32,208.28,43518
2021-06-16,LH,208.04,208.24,206.29,207.09,34519
2021-06-17,LH,207.51,208.29,206.07,208.01,33749
2021-06-18,LH,207.47,208.79,207.43,207.75,33553
2021-06-21,LH,208.62,212.67,208.18,211.91,43092
2021-06-22,LH,212.75,213.94,212.05,213.62,34514
2021-06-23,LH,212.7,213.18,210.72,210.8,77011
2021-06-24,LH,211.16,212.77,210.28,211.77,60703
2021-06-25,LH,212.65,215.55,212.09,213.51,38631
2021-06-28,LH,213.7,216.03,213.02,215.98,68127
2021-06-29,LH,216.99,221.18,216.41,220.54,61704
2021-06-30,LH,220.89,220.91,217.57,220.39,43950
2021-07-01,LH,220.54,222.52,220.48,222.1,30677
2021-07-02,LH,222.08,222.73,221.35,222.1,16861
2021-07-06,LH,222.05,222.93,219.9,222.5,39598
2021-07-07,LH,222.77,224.7,221.83,224.7,28867
2021-07-08,LH,223.07,223.93,220.36,221.56,30822
2021-07-09,LH,223.24,224.74,222.02,224.69,29380
2021-07-12,LH,224.65,226.99,224.31,224.91,47070
2021-07-13,LH,224.15,225.28,223.07,223.48,28526
2021-07-14,LH,223.49,224.3,219.52,221.5,33325
2021-07-15,LH,220.56,221.92,219.88,221.34,35279
2021-07-16,LH,221.5,222.64,219.85,221.09,64193
2021-07-19,LH,219.28,221.28,217.02,219.65,38454
2021-07-20,LH,219.69,223.21,219.69,221.08,33715
2021-07-21,LH,221.95,221.95,218.82,221.79,31677
2021-07-22,LH,220.67,224.76,220.45,224.64,43585
2021-07-23,LH,225.88,228.34,225.8,226.83,48122
2021-07-26,LH,228.2,228.2,224.55,224.91,24116
2021-07-27,LH,223.67,226.32,223.63,226.32,32160
2021-07-28,LH,225.68,227.17,223.73,226.63,34214
2021-07-29,LH,228.34,236.62,227.17,235.49,84677
2021-07-30,LH,238.36,238.69,235.97,236.82,32240
2021-08-02,LH,237.12,239.42,235.69,237.89,59777
2021-08-03,LH,238.75,239.78,235.74,239.75,57113
2021-08-04,LH,240.01,243.19,239.28,239.73,62122
2021-08-05,LH,241.13,242.15,236.82,238.75,30110
2021-08-06,LH,238.53,240.25,236.24,238.37,44791
2021-08-09,LH,238.43,240.67,238.43,240.55,14081
2021-08-10,LH,240.14,242.9,239.7,240.96,36684
2021-08-11,LH,241.35,241.43,239.61,239.76,11840
2021-08-12,LH,240.08,240.69,238.23,240.09,79602
2021-08-13,LH,240.32,242.14,238.68,241.37,56811
2021-08-16,LH,241.74,245.75,241.74,244.56,70214
2021-08-17,LH,244.1,245.15,243.35,244.14,15242
2021-08-18,LH,243.66,244.89,239.94,240.14,20560
2021-08-19,LH,238.33,242.37,238.33,241.71,15375
2021-08-20,LH,244.6,245.54,244.21,244.65,30172
2021-08-23,LH,244.72,244.72,242.62,242.62,16823
2021-08-24,LH,242.54,242.54,238.81,241.61,40214
2021-08-25,LH,241.6,243.28,240.52,243.12,11270
2021-08-26,LH,242.16,242.16,240.53,241.1,31155
2021-08-27,LH,240.63,241.6,239.73,239.93,21572
2021-08-30,LH,239.94,242.98,239.8,242.22,19911
2021-08-31,LH,242.03,245.47,241.88,242.35,48801
2021-09-01,LH,240.5,243.79,239.29,243.79,38532
2021-09-02,LH,244.8,247.09,244.8,246.48,27830
2021-09-03,LH,245.87,245.87,242.22,245.05,47719
2021-09-07,LH,242.74,242.94,238.17,242.5,77581
2021-09-08,LH,243.1,245.64,241.3,245.41,58731
2021-09-09,LH,246.1,247.33,241.88,242.19,45015
