date,tic,open,high,low,close,volume
2021-01-04,LII,260.34,260.92,252.3,253.01,16731
2021-01-05,LII,254.63,256.07,253.09,253.65,17232
2021-01-06,LII,255.09,261.39,255.09,258.64,19021
2021-01-07,LII,258.52,262.94,258.52,262.86,15947
2021-01-08,LII,263.58,263.58,256.64,258.65,17293
2021-01-11,LII,258.07,262.41,258.07,258.91,11375
2021-01-12,LII,258.31,267.54,256.96,267.22,21881
2021-01-13,LII,266.53,269.77,265.69,265.75,19475
2021-01-14,LII,266.56,271.3,265.86,268.81,19040
2021-01-15,LII,267.76,268.2,263.28,265.79,19741
2021-01-19,LII,267.54,272.18,266.14,266.32,17454
2021-01-20,LII,267.25,273.95,265.56,273.65,20276
2021-01-21,LII,272.5,277.98,272.5,277.63,16781
2021-01-22,LII,277.76,278.59,273.15,277.26,11904
2021-01-25,LII,276.02,276.02,271.11,274.37,13106
2021-01-26,LII,273.26,275.61,272.47,274.5,18301
2021-01-27,LII,271.93,277.76,267.78,277.23,30624
2021-01-28,LII,279.13,282.59,269.54,270.03,32764
2021-01-29,LII,267.7,267.83,259.32,260.36,25104
2021-02-01,LII,262.14,268.14,261.09,267.55,42745
2021-02-02,LII,270.36,270.36,256.2,261.43,44335
2021-02-03,LII,259.7,261.59,255.58,256.23,17470
2021-02-04,LII,255.73,260.07,254.53,257.98,43949
2021-02-05,LII,263.01,264.14,258.64,259.2,20654
2021-02-08,LII,259.59,267.87,259.59,267.84,24706
2021-02-09,LII,268.17,270.27,263.78,269.6,19989
2021-02-10,LII,269.87,272.94,269.16,270.51,9542
2021-02-11,LII,271.94,276.48,271.34,276.1,13561
2021-02-12,LII,276.11,277.86,274.73,277.19,13155
2021-02-16,LII,275.26,277.4,274.26,274.92,10688
2021-02-17,LII,274.85,280.28,274.85,277.61,27172
2021-02-18,LII,276.88,277.05,270.68,274.21,25169
2021-02-19,LII,279.35,279.35,275.58,277.99,16909
2021-02-22,LII,275.23,275.4,271.21,273.57,21053
2021-02-23,LII,272.6,273.6,268.15,273.03,13414
2021-02-24,LII,270.17,275.31,269.53,274.65,19669
2021-02-25,LII,266.51,271.97,265.77,267.21,19193
2021-02-26,LII,267.47,268.98,263.64,264.38,26727
2021-03-01,LII,267.02,267.9,265.76,266.79,27072
2021-03-02,LII,265.06,269.59,263.35,269.41,17100
2021-03-03,LII,269.19,274.81,269.19,273.13,22552
2021-03-04,LII,273.28,273.28,262.31,262.82,44365
2021-03-05,LII,266.32,270.04,265.21,267.15,22225
2021-03-08,LII,267.32,279.84,265.69,276.35,18505
2021-03-09,LII,277.65,278.94,274.56,274.56,11931
2021-03-10,LII,275.34,278.79,275.01,276.56,10418
2021-03-11,LII,275.24,279.83,275.03,276.7,12166
2021-03-12,LII,273.75,282.95,273.74,280.37,12597
2021-03-15,LII,282.53,287.93,281.52,287.56,13184
2021-03-16,LII,284.61,287.43,284.61,286.12,6966
2021-03-17,LII,283.93,288.13,283.93,287.39,5111
2021-03-18,LII,284.74,288.18,283.73,288.04,12872
2021-03-19,LII,288.24,288.49,283.88,285.0,12951
2021-03-22,LII,282.98,287.01,281.5,286.31,15218
2021-03-23,LII,285.58,286.52,284.47,285.82,11893
2021-03-24,LII,289.56,290.9,287.65,289.43,10556
2021-03-25,LII,287.4,295.79,287.31,294.86,9695
2021-03-26,LII,294.37,303.89,294.37,302.82,18877
2021-03-29,LII,304.88,308.19,299.49,299.49,14754
2021-03-30,LII,298.82,301.34,297.71,299.4,15963
2021-03-31,LII,297.03,299.04,294.13,295.3,18864
2021-04-01,LII,294.86,300.2,294.86,300.17,11890
2021-04-05,LII,302.79,306.96,302.07,306.32,12987
2021-04-06,LII,307.34,311.4,305.22,309.52,16162
2021-04-07,LII,307.1,310.66,307.1,309.7,12522
2021-04-08,LII,308.46,309.62,305.37,308.79,20022
2021-04-09,LII,310.41,314.79,310.41,314.57,9843
2021-04-12,LII,315.67,317.17,313.08,313.97,20662
2021-04-13,LII,315.45,315.45,312.72,314.12,11363
2021-04-14,LII,313.94,313.94,311.04,311.48,10137
2021-04-15,LII,311.46,314.28,309.7,311.32,13321
2021-04-16,LII,312.42,317.07,312.42,316.57,11897
2021-04-20,LII,319.37,320.16,313.3,316.95,22723
2021-04-21,LII,317.46,321.19,315.88,316.07,19099
2021-04-22,LII,318.7,319.46,315.99,317.4,17619
2021-04-23,LII,317.72,318.57,315.68,317.03,21160
2021-04-26,LII,328.75,328.75,304.27,315.21,42085
2021-04-27,LII,313.59,321.24,311.29,321.24,17499
2021-04-28,LII,319.82,320.26,314.01,314.32,17517
2021-04-29,LII,316.9,324.33,316.15,323.42,27977
2021-04-30,LII,321.2,321.75,316.76,317.55,16632
2021-05-03,LII,320.24,324.26,319.82,322.27,6377
2021-05-04,LII,322.46,326.61,322.46,323.22,16586
2021-05-05,LII,324.51,326.35,321.57,325.85,13034
2021-05-06,LII,326.64,328.01,323.14,324.43,17053
2021-05-07,LII,323.3,331.01,322.21,329.5,8525
2021-05-10,LII,329.95,337.06,329.95,335.1,15306
2021-05-11,LII,329.78,331.11,325.53,328.22,19323
2021-05-12,LII,325.27,326.42,318.49,318.75,13829
2021-05-13,LII,320.39,331.38,320.39,329.93,18346
2021-05-14,LII,331.29,333.88,330.79,332.3,9244
2021-05-17,LII,330.8,331.13,328.21,330.19,4133
2021-05-18,LII,329.44,329.44,322.15,322.15,10591
2021-05-19,LII,316.81,320.53,315.24,320.53,5550
2021-05-20,LII,321.86,325.67,321.86,324.74,7402
2021-05-21,LII,326.9,326.9,323.21,325.21,4926
2021-05-24,LII,325.54,325.76,324.32,324.49,11760
2021-05-25,LII,326.79,328.23,325.88,326.31,7277
2021-05-26,LII,326.98,330.05,326.98,328.09,3466
2021-05-27,LII,329.6,330.81,328.09,328.77,6971
2021-05-28,LII,330.76,332.33,330.76,331.98,7354
2021-06-01,LII,332.78,332.78,326.64,330.68,10392
2021-06-02,LII,329.39,329.82,324.74,326.91,6258
2021-06-03,LII,324.73,325.69,320.87,323.61,14533
2021-06-04,LII,325.48,325.53,322.25,323.62,8174
2021-06-07,LII,324.42,324.42,319.9,323.22,12990
2021-06-08,LII,322.43,324.71,322.16,323.77,10774
2021-06-09,LII,322.3,324.02,320.82,320.95,26301
2021-06-10,LII,321.38,322.91,319.72,320.7,8578
2021-06-11,LII,320.21,322.24,319.06,320.9,11990
2021-06-14,LII,320.68,320.68,314.67,315.89,28728
2021-06-15,LII,316.25,319.09,315.38,316.3,40443
2021-06-16,LII,314.01,314.86,310.47,311.31,45060
2021-06-17,LII,309.05,309.53,306.12,308.42,19342
2021-06-18,LII,305.09,307.1,303.29,304.36,15601
2021-06-21,LII,306.07,311.77,306.07,311.19,13225
2021-06-22,LII,308.86,311.85,308.86,310.22,5919
2021-06-23,LII,310.49,311.41,308.94,309.25,21510
2021-06-24,LII,308.76,315.2,308.76,313.4,15909
2021-06-25,LII,313.52,314.9,313.4,313.59,14222
2021-06-28,LII,313.02,321.66,312.3,319.75,25834
2021-06-29,LII,323.56,330.97,321.44,330.44,31360
2021-06-30,LII,328.84,334.89,327.42,333.33,45927
2021-07-01,LII,333.18,333.18,327.54,328.82,16655
2021-07-02,LII,329.55,330.53,328.72,329.72,8630
2021-07-06,LII,327.57,329.5,323.91,327.44,11039
2021-07-07,LII,328.82,336.81,328.82,335.89,13943
2021-07-08,LII,328.26,330.35,323.55,324.19,18060
2021-07-09,LII,327.34,327.51,322.61,324.9,18869
2021-07-12,LII,323.06,326.71,321.94,325.52,22892
2021-07-13,LII,325.72,325.72,318.84,319.48,9157
2021-07-14,LII,302.5,311.69,294.68,294.73,96809
2021-07-15,LII,292.81,302.75,284.93,301.7,91740
2021-07-16,LII,302.82,304.98,300.67,301.66,23999
2021-07-19,LII,301.16,302.57,297.52,301.23,16703
2021-07-20,LII,304.89,311.24,304.89,309.24,30243
2021-07-21,LII,310.64,312.0,303.87,304.62,45788
2021-07-22,LII,304.33,305.83,299.62,299.89,20121
2021-07-23,LII,302.66,306.01,302.02,304.48,22408
2021-07-26,LII,296.59,311.49,296.43,310.75,37691
2021-07-27,LII,308.82,316.58,308.22,315.8,33901
2021-07-28,LII,315.35,316.62,306.96,311.34,20323
2021-07-29,LII,312.6,317.71,310.85,317.38,16040
2021-07-30,LII,316.17,318.77,313.17,313.18,35034
2021-08-02,LII,314.81,318.79,312.43,312.49,36240
2021-08-03,LII,315.27,319.7,313.52,316.85,38047
2021-08-04,LII,316.56,319.78,312.35,312.35,41272
2021-08-05,LII,314.15,314.15,310.27,313.09,122960
2021-08-06,LII,314.72,318.73,314.05,317.25,29662
2021-08-09,LII,317.0,320.41,316.83,318.24,25774
2021-08-10,LII,317.9,324.04,317.67,322.33,20680
2021-08-11,LII,323.25,327.85,323.12,327.05,22454
2021-08-12,LII,326.75,327.73,323.59,323.7,26843
2021-08-13,LII,323.56,324.31,320.86,323.73,13400
2021-08-16,LII,320.81,324.53,320.81,321.94,27092
2021-08-17,LII,320.12,320.12,316.16,317.43,22344
2021-08-18,LII,315.41,317.2,309.28,309.51,16702
2021-08-19,LII,308.23,313.6,308.23,313.36,19593
2021-08-20,LII,314.02,318.88,314.02,317.27,14571
2021-08-23,LII,314.62,317.56,314.24,314.47,13395
2021-08-24,LII,313.22,318.28,313.22,314.2,27319
2021-08-25,LII,315.23,317.18,314.87,315.22,34852
2021-08-26,LII,313.97,315.07,312.27,312.84,25450
2021-08-27,LII,313.3,318.15,311.35,317.02,18758
2021-08-30,LII,316.64,321.01,316.64,319.13,7549
2021-08-31,LII,317.14,319.31,317.14,318.14,12568
2021-09-01,LII,319.29,319.41,314.75,317.94,15031
2021-09-02,LII,319.29,319.44,316.52,318.07,12922
2021-09-03,LII,316.68,318.24,315.96,315.96,9082
2021-09-07,LII,315.73,315.73,308.4,308.85,20509
2021-09-08,LII,308.34,312.69,307.36,312.01,18966
2021-09-09,LII,313.46,313.46,308.64,309.32,18788
2021-09-10,LII,310.61,310.61,305.52,305.53,24357
2021-09-13,LII,309.67,312.16,303.9,304.73,33617
2021-09-14,LII,304.47,304.47,293.14,297.46,44874
2021-09-15,LII,297.68,298.99,290.7,296.69,54505
2021-09-16,LII,297.17,298.28,292.97,294.62,24581
2021-09-17,LII,293.67,294.19,289.33,290.8,32258
2021-09-20,LII,288.15,293.31,287.5,291.66,27920
2021-09-21,LII,291.55,292.2,289.14,291.03,14049
2021-09-22,LII,291.88,292.07,289.04,289.76,35215
2021-09-23,LII,291.88,293.6,291.66,293.08,22328
2021-09-24,LII,294.06,294.06,292.49,293.2,10282
2021-09-27,LII,291.53,294.71,290.83,292.91,9942
2021-09-28,LII,293.6,294.57,287.21,287.21,19123
2021-09-29,LII,286.57,289.98,285.29,285.49,11462
2021-09-30,LII,287.8,287.8,280.45,280.45,25760
2021-10-01,LII,280.39,285.34,280.39,283.34,14145
2021-10-04,LII,283.3,283.3,280.42,281.85,11401
2021-10-05,LII,281.3,286.58,280.67,285.38,11465
2021-10-06,LII,285.08,285.08,281.74,282.95,27088
2021-10-07,LII,287.47,291.61,287.27,289.74,10451
2021-10-08,LII,287.87,287.91,281.19,281.44,10699
2021-10-11,LII,283.66,285.09,281.18,281.3,7413
2021-10-12,LII,283.11,285.65,282.06,284.08,15779
2021-10-13,LII,284.17,287.54,282.74,287.2,25420
2021-10-14,LII,290.44,294.69,290.44,294.54,8403
2021-10-15,LII,295.77,298.52,294.23,294.73,11146
2021-10-18,LII,295.03,299.0,294.9,298.26,7541
2021-10-19,LII,298.88,298.9,294.03,294.23,22406
2021-10-20,LII,295.43,296.84,295.17,295.82,5453
2021-10-21,LII,296.04,296.04,291.55,295.68,10525
2021-10-22,LII,297.7,301.7,297.49,297.86,13155
2021-10-26,LII,288.69,294.72,288.36,288.49,44631
2021-10-27,LII,288.88,292.64,282.67,282.95,16534
2021-10-28,LII,284.92,286.51,281.85,283.98,24708
2021-10-29,LII,282.74,287.04,282.74,285.26,24853
2021-11-01,LII,286.27,290.6,283.42,288.49,22831
2021-11-02,LII,289.83,293.48,289.83,291.37,21691
2021-11-03,LII,291.79,291.79,285.71,285.89,19298
2021-11-04,LII,286.14,290.45,286.14,286.88,22445
2021-11-05,LII,288.23,291.26,285.51,287.55,30548
2021-11-08,LII,287.08,287.27,283.77,287.27,11651
