date,tic,open,high,low,close,volume
2021-01-04,LKQ,31.87,32.19,30.62,31.17,69571
2021-01-05,LKQ,31.45,31.9,31.03,31.6,71130
2021-01-06,LKQ,32.14,33.75,32.11,33.29,89979
2021-01-07,LKQ,33.45,34.32,33.15,34.28,77537
2021-01-08,LKQ,34.26,34.54,33.96,34.48,46269
2021-01-11,LKQ,34.09,34.54,33.85,34.08,59647
2021-01-12,LKQ,34.11,35.93,34.0,35.78,89838
2021-01-13,LKQ,35.55,35.61,35.01,35.35,63069
2021-01-14,LKQ,35.51,35.62,35.01,35.09,75941
2021-01-15,LKQ,34.66,34.84,33.84,33.99,97621
2021-01-19,LKQ,33.96,34.38,33.19,33.36,128623
2021-01-20,LKQ,33.24,33.93,33.15,33.75,80484
2021-01-21,LKQ,33.77,33.9,33.37,33.8,107874
2021-01-22,LKQ,33.51,33.51,32.97,33.4,49142
2021-01-25,LKQ,33.47,33.52,32.35,33.27,48395
2021-01-26,LKQ,33.45,33.62,32.92,33.0,25601
2021-01-27,LKQ,32.54,32.6,31.23,32.06,117217
2021-01-28,LKQ,32.28,33.33,32.28,32.69,94936
2021-01-29,LKQ,32.36,32.87,31.41,31.51,98329
2021-02-01,LKQ,31.93,32.45,31.93,32.38,76603
2021-02-02,LKQ,32.41,32.82,32.36,32.65,84102
2021-02-03,LKQ,32.59,33.24,32.54,33.07,37348
2021-02-04,LKQ,33.16,33.95,33.16,33.82,39878
2021-02-05,LKQ,34.07,34.38,33.97,34.05,29924
2021-02-08,LKQ,34.28,34.48,34.04,34.35,39317
2021-02-09,LKQ,34.32,34.32,33.55,33.58,45438
2021-02-10,LKQ,33.61,33.94,33.44,33.74,31770
2021-02-11,LKQ,33.8,33.84,33.08,33.53,38589
2021-02-12,LKQ,33.55,33.82,32.73,33.17,122787
2021-02-16,LKQ,33.49,34.02,33.42,33.62,79750
2021-02-17,LKQ,33.51,33.51,32.66,33.01,57201
2021-02-18,LKQ,33.75,35.6,33.4,34.66,209155
2021-02-19,LKQ,35.11,35.11,33.36,34.82,102143
2021-02-22,LKQ,34.13,35.6,34.13,34.98,112608
