date,tic,open,high,low,close,volume
2021-01-04,LLY,160.3,160.3,154.9,157.11,151055
2021-01-05,LLY,156.84,158.17,154.94,157.91,125345
2021-01-06,LLY,155.16,158.67,155.1,155.85,246744
2021-01-07,LLY,155.73,158.6,153.8,157.48,145515
2021-01-08,LLY,157.11,158.31,156.37,157.92,146696
2021-01-11,LLY,175.41,179.55,172.82,176.5,696539
2021-01-12,LLY,173.43,174.62,168.43,169.66,407821
2021-01-13,LLY,170.41,178.02,170.26,176.06,358299
2021-01-14,LLY,176.07,179.29,175.4,177.31,224129
2021-01-15,LLY,177.76,181.99,177.6,181.1,250635
2021-01-19,LLY,185.1,189.3,184.4,188.39,431466
2021-01-20,LLY,188.88,191.5,188.67,191.14,414741
2021-01-21,LLY,193.29,194.26,188.02,192.16,499596
2021-01-22,LLY,191.96,195.98,190.54,195.89,341521
2021-01-25,LLY,197.76,201.69,197.65,201.67,516814
2021-01-26,LLY,201.62,202.37,199.97,202.18,785409
2021-01-27,LLY,199.75,201.25,194.89,196.99,822456
2021-01-28,LLY,197.44,201.05,197.06,199.35,391500
2021-01-29,LLY,200.93,206.83,194.12,197.39,591671
2021-02-01,LLY,198.98,199.22,192.85,192.95,353131
2021-02-02,LLY,193.99,194.99,187.33,187.68,447966
2021-02-03,LLY,187.63,190.4,187.01,187.01,248766
2021-02-04,LLY,186.76,191.58,185.77,191.36,158887
2021-02-05,LLY,191.25,192.55,190.83,191.56,181319
2021-02-08,LLY,191.85,195.93,191.84,195.33,246757
2021-02-09,LLY,193.66,194.22,190.2,191.47,196106
2021-02-10,LLY,194.28,195.02,191.44,194.21,172448
2021-02-11,LLY,193.25,194.53,192.21,193.06,161931
2021-02-12,LLY,192.45,198.2,191.74,197.62,177261
2021-02-16,LLY,196.76,197.62,194.25,196.11,204549
2021-02-17,LLY,195.34,196.95,194.8,196.84,144419
2021-02-18,LLY,195.64,195.71,191.56,191.73,214213
2021-02-19,LLY,191.5,193.34,190.96,191.4,123007
2021-02-22,LLY,189.93,192.15,188.72,191.15,125170
2021-02-23,LLY,190.36,194.7,189.5,192.96,326105
2021-02-24,LLY,192.34,196.77,192.34,195.17,119774
2021-02-25,LLY,194.65,195.74,192.37,194.38,109591
2021-02-26,LLY,196.66,197.27,192.61,195.33,164170
2021-03-01,LLY,196.3,198.14,195.47,196.72,123813
2021-03-02,LLY,199.53,200.02,194.58,194.58,245748
2021-03-03,LLY,194.21,194.51,190.37,192.49,202063
2021-03-04,LLY,194.13,195.1,189.34,191.19,299588
2021-03-05,LLY,191.6,197.95,191.56,197.39,221755
2021-03-08,LLY,197.56,200.98,196.77,197.34,213317
2021-03-09,LLY,198.6,202.22,196.48,196.65,208968
2021-03-10,LLY,197.36,198.27,194.82,195.78,260880
2021-03-11,LLY,196.81,197.47,194.76,195.61,206379
2021-03-12,LLY,195.06,198.68,192.85,198.43,324281
2021-03-15,LLY,182.34,184.04,179.42,180.34,708126
2021-03-16,LLY,182.33,182.64,178.51,182.01,352922
2021-03-17,LLY,180.92,180.92,177.87,177.87,302976
2021-03-18,LLY,177.06,178.29,175.23,175.23,352458
