date,tic,open,high,low,close,volume
2021-01-04,LNT,43.82,43.86,42.81,42.98,24685
2021-01-05,LNT,43.04,43.15,42.6,42.78,36528
2021-01-06,LNT,43.11,43.65,42.78,43.42,55737
2021-01-07,LNT,43.28,43.28,41.81,41.81,62767
2021-01-08,LNT,41.96,42.07,41.43,42.0,44183
2021-01-11,LNT,42.0,42.07,41.09,41.33,32866
2021-01-12,LNT,41.12,41.23,40.2,40.91,27663
2021-01-13,LNT,40.84,41.67,40.84,41.52,47995
2021-01-14,LNT,41.45,41.45,40.51,40.95,55643
2021-01-15,LNT,40.81,42.16,40.66,42.09,59378
2021-01-19,LNT,42.29,42.64,41.76,42.26,72677
2021-01-20,LNT,42.03,42.68,41.92,42.49,85226
2021-01-21,LNT,42.26,42.66,42.2,42.37,36869
2021-01-22,LNT,42.37,42.37,41.47,42.13,77503
2021-01-25,LNT,41.79,43.11,41.79,43.02,86955
2021-01-26,LNT,42.92,42.92,42.19,42.43,56494
2021-01-27,LNT,42.19,42.62,41.3,41.72,81705
2021-01-28,LNT,41.99,42.8,41.82,42.02,46890
2021-01-29,LNT,41.71,42.17,41.27,41.63,50154
2021-02-01,LNT,41.82,42.39,41.41,42.04,32032
2021-02-02,LNT,42.07,42.81,41.92,42.09,76622
2021-02-03,LNT,42.34,42.83,42.11,42.17,62626
2021-02-04,LNT,41.93,42.68,41.84,42.46,39275
2021-02-05,LNT,42.49,42.8,42.49,42.63,37022
2021-02-08,LNT,42.49,42.66,42.02,42.08,38001
2021-02-09,LNT,42.29,42.36,41.41,41.9,32420
2021-02-10,LNT,42.35,42.5,41.93,42.13,40812
2021-02-11,LNT,42.13,42.31,41.63,41.79,51818
2021-02-12,LNT,41.71,41.93,41.31,41.45,32462
2021-02-16,LNT,41.67,41.75,40.98,41.05,62867
2021-02-17,LNT,41.24,41.49,41.07,41.36,46695
2021-02-18,LNT,41.2,41.78,41.2,41.69,45361
2021-02-19,LNT,42.17,42.57,40.84,40.91,99605
2021-02-22,LNT,40.72,40.72,39.9,40.44,55466
2021-02-23,LNT,40.88,41.75,40.68,41.41,74054
2021-02-24,LNT,41.46,41.46,40.59,40.85,59159
2021-02-25,LNT,40.8,40.99,40.43,40.67,69671
2021-02-26,LNT,40.62,41.2,39.6,39.62,88420
2021-03-01,LNT,39.99,40.88,39.99,40.43,44491
2021-03-02,LNT,40.43,40.59,39.85,40.44,52487
2021-03-03,LNT,40.17,40.45,39.57,40.25,45395
2021-03-04,LNT,40.36,41.27,40.19,40.52,51029
2021-03-05,LNT,40.91,41.74,40.57,41.53,97668
2021-03-08,LNT,41.48,42.76,41.39,42.68,70970
2021-03-09,LNT,42.56,42.96,42.53,42.83,72549
2021-03-10,LNT,42.86,43.51,42.69,43.25,62480
