date,tic,open,high,low,close,volume
2021-01-04,LOW,146.81,147.12,143.39,146.28,734970
2021-01-05,LOW,145.32,147.82,145.21,146.99,170779
2021-01-06,LOW,144.56,150.6,144.33,148.7,221943
2021-01-07,LOW,149.13,150.3,148.54,149.31,203388
2021-01-08,LOW,149.75,151.57,148.75,150.5,197032
2021-01-11,LOW,150.26,152.61,150.26,151.65,111713
2021-01-12,LOW,151.87,155.27,150.91,154.14,184351
2021-01-13,LOW,154.83,156.59,154.37,154.9,136125
2021-01-14,LOW,155.4,157.37,155.08,155.35,157740
2021-01-15,LOW,154.19,156.88,153.73,156.31,186404
2021-01-19,LOW,158.09,159.09,156.18,156.29,131507
2021-01-20,LOW,156.83,159.29,155.29,157.85,134907
2021-01-21,LOW,159.25,160.19,157.79,157.79,183548
2021-01-22,LOW,157.5,159.33,156.62,157.78,101190
2021-01-25,LOW,158.01,160.25,156.97,159.35,143072
2021-01-26,LOW,159.5,160.01,158.41,158.9,113060
2021-01-27,LOW,156.97,157.26,152.92,153.33,233330
2021-01-28,LOW,154.23,158.98,153.69,157.69,247278
2021-01-29,LOW,156.92,157.21,152.46,152.73,180496
2021-02-01,LOW,153.34,153.68,148.47,149.57,182455
2021-02-02,LOW,150.04,153.53,149.69,152.69,130466
2021-02-03,LOW,152.47,155.77,152.04,155.57,146069
2021-02-04,LOW,155.92,158.44,155.47,158.44,102508
2021-02-05,LOW,159.96,160.29,158.54,160.17,91278
2021-02-08,LOW,161.08,164.02,160.96,164.02,134236
2021-02-09,LOW,163.52,164.02,162.37,162.77,142736
2021-02-10,LOW,163.7,163.72,160.32,162.32,154446
2021-02-11,LOW,162.14,162.36,160.09,160.91,123364
2021-02-12,LOW,160.89,162.6,160.55,162.19,129136
2021-02-16,LOW,161.47,162.07,159.24,159.28,192102
2021-02-17,LOW,159.09,162.37,158.84,162.1,134434
2021-02-18,LOW,161.21,162.95,160.49,162.09,219290
2021-02-19,LOW,162.48,163.91,161.88,162.56,100026
2021-02-22,LOW,161.32,161.53,157.63,157.86,280179
2021-02-23,LOW,156.33,156.42,151.04,154.29,415199
2021-02-24,LOW,153.58,154.61,146.56,148.53,609448
2021-02-25,LOW,149.54,149.56,144.58,145.09,313811
2021-02-26,LOW,146.66,148.64,145.78,146.34,237223
2021-03-01,LOW,147.72,149.65,147.2,148.27,141496
2021-03-02,LOW,148.8,150.81,148.8,149.17,148034
2021-03-03,LOW,148.8,148.8,144.86,144.86,308194
2021-03-04,LOW,143.86,144.87,138.27,140.78,326372
2021-03-05,LOW,141.98,145.59,138.33,145.19,242451
2021-03-08,LOW,146.15,151.3,145.83,149.21,243870
2021-03-09,LOW,151.74,154.84,151.64,152.02,215074
2021-03-10,LOW,152.75,155.88,152.39,154.18,145344
2021-03-11,LOW,156.13,158.42,156.04,156.28,260502
2021-03-12,LOW,155.8,157.26,154.93,157.0,173479
2021-03-15,LOW,158.0,160.41,157.96,159.43,153875
2021-03-16,LOW,159.42,161.55,159.29,160.44,194938
2021-03-17,LOW,159.96,160.95,159.19,159.56,174387
2021-03-18,LOW,158.29,161.62,157.72,160.06,226730
2021-03-19,LOW,159.81,165.25,159.81,164.33,322263
2021-03-22,LOW,164.52,168.01,163.28,166.5,184867
2021-03-23,LOW,165.74,168.18,164.74,165.1,163997
2021-03-24,LOW,165.69,168.5,165.39,165.4,227609
2021-03-25,LOW,164.63,170.38,164.4,169.49,275900
2021-03-26,LOW,170.07,175.47,169.73,175.47,184835
2021-03-29,LOW,175.96,176.41,171.88,172.68,155316
2021-03-30,LOW,170.9,174.77,170.9,173.46,226807
2021-03-31,LOW,175.2,175.9,173.16,174.16,193419
2021-04-01,LOW,174.98,175.61,173.62,175.06,234513
2021-04-05,LOW,175.73,178.13,175.73,177.3,245492
2021-04-06,LOW,176.21,178.38,176.2,177.67,133627
2021-04-07,LOW,177.3,178.21,176.36,177.23,110166
2021-04-08,LOW,177.85,178.51,176.92,177.76,149261
2021-04-09,LOW,178.49,181.7,178.49,181.69,125629
2021-04-12,LOW,181.58,183.94,181.58,183.64,190842
2021-04-13,LOW,183.59,184.07,182.18,182.89,84201
2021-04-14,LOW,183.87,186.88,183.86,184.53,211319
2021-04-15,LOW,183.79,187.67,183.79,187.11,177513
2021-04-16,LOW,189.1,191.22,187.95,190.64,211450
2021-04-20,LOW,186.94,187.08,183.99,186.15,174349
2021-04-21,LOW,187.34,188.02,186.7,187.09,100008
2021-04-22,LOW,187.33,187.7,182.92,184.89,226004
2021-04-23,LOW,185.23,185.23,183.16,184.5,213633
2021-04-26,LOW,184.44,184.44,182.05,182.73,116456
2021-04-27,LOW,183.72,184.58,182.4,182.74,268706
2021-04-28,LOW,183.28,183.36,179.66,180.04,376931
2021-04-29,LOW,181.18,183.02,180.8,182.16,318838
2021-04-30,LOW,181.66,181.75,179.26,180.16,166269
2021-05-03,LOW,181.79,183.66,181.64,182.81,310827
2021-05-04,LOW,182.08,183.95,180.64,183.83,176822
2021-05-05,LOW,184.84,186.41,182.52,183.55,184472
2021-05-06,LOW,184.58,189.13,184.06,188.98,206805
2021-05-07,LOW,189.31,192.06,187.92,191.34,144396
2021-05-10,LOW,192.42,197.57,191.54,193.97,205999
2021-05-11,LOW,190.53,191.14,184.76,188.5,269318
2021-05-12,LOW,186.45,187.12,178.89,179.67,430256
2021-05-13,LOW,181.47,186.09,181.4,183.83,265233
2021-05-14,LOW,185.28,185.58,181.21,182.55,291501
