date,tic,open,high,low,close,volume
2021-01-04,LRCX,45.29,46.54,44.85,45.28,1978390
2021-01-05,LRCX,45.55,47.23,45.55,46.83,1106000
2021-01-06,LRCX,46.69,47.9,46.45,47.06,886390
2021-01-07,LRCX,48.09,49.01,48.05,48.69,704100
2021-01-08,LRCX,48.96,49.43,47.23,47.51,1066470
2021-01-11,LRCX,46.85,49.23,46.85,48.87,600180
2021-01-12,LRCX,49.26,50.94,49.26,50.83,1476440
2021-01-13,LRCX,50.26,50.59,49.64,49.89,914120
2021-01-14,LRCX,51.72,54.05,51.61,52.83,1574690
2021-01-15,LRCX,52.48,52.48,51.0,51.97,1245820
2021-01-19,LRCX,53.17,55.17,53.07,54.95,1834510
2021-01-20,LRCX,55.28,55.41,53.01,53.39,1669940
2021-01-21,LRCX,53.94,53.94,52.3,53.46,681880
2021-01-22,LRCX,53.35,54.49,53.11,53.48,615370
2021-01-25,LRCX,53.89,54.48,52.37,53.86,938740
2021-01-26,LRCX,54.06,54.06,52.14,52.36,834970
2021-01-27,LRCX,51.14,51.47,48.56,48.79,1291110
2021-01-28,LRCX,49.97,49.97,47.75,48.07,1581600
2021-01-29,LRCX,47.81,47.93,45.62,45.83,1869550
2021-02-01,LRCX,46.52,47.84,46.13,47.49,833330
2021-02-02,LRCX,48.68,49.02,47.88,48.92,749420
2021-02-03,LRCX,49.18,49.39,47.51,47.82,1220690
2021-02-04,LRCX,47.79,49.3,47.4,49.25,856360
2021-02-05,LRCX,49.72,49.72,48.25,48.3,887270
2021-02-08,LRCX,48.84,50.52,48.74,50.5,910210
2021-02-09,LRCX,50.78,51.23,49.91,50.01,529500
2021-02-10,LRCX,50.49,50.81,49.45,50.43,562340
2021-02-11,LRCX,51.15,54.6,51.08,54.15,2161440
2021-02-12,LRCX,54.07,56.6,53.57,55.54,990470
2021-02-16,LRCX,55.88,57.16,55.64,56.1,792880
2021-02-17,LRCX,54.41,55.81,54.16,55.57,615900
2021-02-18,LRCX,54.62,55.13,53.75,54.74,754190
2021-02-19,LRCX,56.32,56.99,55.83,56.71,960330
2021-02-22,LRCX,55.89,56.14,53.59,53.78,927290
2021-02-23,LRCX,52.43,53.84,50.95,53.3,1507150
2021-02-24,LRCX,52.62,56.6,52.58,56.51,565390
2021-02-25,LRCX,55.67,56.08,51.8,51.91,1417670
2021-02-26,LRCX,52.72,54.42,51.7,53.75,1159010
2021-03-01,LRCX,54.79,56.86,54.58,56.75,819750
2021-03-02,LRCX,56.34,56.64,54.26,54.28,636870
2021-03-03,LRCX,54.08,54.94,52.16,52.25,1259700
2021-03-04,LRCX,51.95,53.03,48.56,50.25,1175320
2021-03-05,LRCX,51.58,52.11,48.95,51.89,1812600
2021-03-08,LRCX,51.56,52.53,47.53,47.53,1513370
2021-03-09,LRCX,49.75,51.77,49.75,51.54,966950
