date,tic,open,high,low,close,volume
2021-01-04,LUV,43.43,43.45,41.67,42.09,361240
2021-01-05,LUV,41.96,43.08,41.93,42.64,128536
2021-01-06,LUV,42.55,43.86,42.42,43.69,226248
2021-01-07,LUV,43.84,44.7,43.75,44.22,178278
2021-01-08,LUV,44.56,44.79,43.65,43.92,149943
2021-01-11,LUV,43.41,44.89,43.16,44.34,225665
2021-01-12,LUV,44.6,45.29,44.21,44.99,103303
2021-01-13,LUV,44.81,45.24,44.38,44.83,289556
2021-01-14,LUV,45.5,46.19,45.31,45.6,353716
2021-01-15,LUV,45.41,45.42,43.6,43.6,388815
2021-01-19,LUV,44.17,44.52,43.7,43.84,117675
2021-01-20,LUV,44.01,45.27,43.85,45.06,183348
2021-01-21,LUV,44.6,44.79,44.11,44.65,285655
2021-01-22,LUV,44.05,44.62,44.01,44.32,152177
2021-01-25,LUV,44.11,44.19,42.21,42.63,812284
2021-01-26,LUV,42.72,43.16,42.62,42.81,222062
2021-01-27,LUV,42.19,42.7,41.03,41.29,445027
2021-01-28,LUV,42.22,43.14,41.43,41.68,522099
2021-01-29,LUV,41.35,42.0,40.86,41.07,316139
2021-02-01,LUV,41.37,42.22,41.37,41.87,191413
2021-02-02,LUV,42.57,43.13,42.41,42.64,188035
2021-02-03,LUV,42.62,43.77,42.54,43.54,140404
2021-02-04,LUV,43.68,45.96,43.68,45.92,348231
2021-02-05,LUV,46.37,47.55,45.91,46.79,391672
2021-02-08,LUV,47.22,49.78,46.99,48.84,460019
2021-02-09,LUV,48.14,48.28,47.25,47.81,171672
2021-02-10,LUV,47.94,48.89,47.83,47.83,204613
2021-02-11,LUV,47.7,48.1,47.06,48.05,185455
2021-02-12,LUV,47.96,48.43,47.65,47.97,207514
2021-02-16,LUV,48.4,48.59,47.57,48.56,232070
2021-02-17,LUV,48.38,49.08,47.85,49.02,321857
2021-02-18,LUV,48.59,48.75,47.67,48.52,134056
2021-02-19,LUV,48.81,50.3,48.76,49.33,180438
2021-02-22,LUV,50.53,52.09,49.81,51.2,362028
2021-02-23,LUV,52.52,53.65,50.8,53.08,446746
2021-02-24,LUV,53.84,55.7,53.75,55.42,466344
2021-02-25,LUV,55.2,55.33,53.38,54.54,654122
2021-02-26,LUV,53.64,54.83,53.31,54.43,280905
2021-03-01,LUV,55.64,55.92,53.96,54.23,335407
2021-03-02,LUV,53.95,54.57,53.49,54.03,175354
2021-03-03,LUV,54.55,54.81,53.84,54.01,533028
2021-03-04,LUV,54.06,54.08,50.73,52.4,379452
2021-03-05,LUV,52.76,53.38,48.87,53.23,348742
2021-03-08,LUV,54.28,56.72,54.13,56.6,551774
2021-03-09,LUV,56.24,56.29,54.38,55.09,177795
2021-03-10,LUV,54.95,55.63,54.18,54.67,162139
2021-03-11,LUV,54.98,55.51,54.33,54.62,230547
2021-03-12,LUV,54.62,57.14,54.5,57.02,381024
2021-03-15,LUV,58.2,58.61,56.85,58.02,386928
2021-03-16,LUV,58.2,58.2,56.56,56.56,207717
2021-03-17,LUV,56.16,57.85,56.16,57.69,170058
2021-03-18,LUV,57.64,58.18,56.84,56.9,219565
2021-03-19,LUV,56.61,57.45,55.78,57.08,286543
2021-03-22,LUV,56.83,56.87,55.54,55.55,192208
2021-03-23,LUV,55.18,56.41,53.34,53.84,396483
2021-03-24,LUV,54.84,55.74,53.94,53.94,219333
2021-03-25,LUV,53.02,56.03,52.77,55.99,177630
2021-03-26,LUV,56.58,57.4,55.89,57.28,260043
2021-03-29,LUV,57.63,58.26,56.45,56.93,191972
2021-03-30,LUV,57.22,58.13,57.18,57.82,166423
2021-03-31,LUV,57.67,57.88,56.97,57.06,148511
2021-04-01,LUV,57.33,57.53,56.81,57.31,183712
2021-04-05,LUV,58.28,60.08,58.17,58.83,319614
2021-04-06,LUV,59.33,60.36,59.12,59.9,174313
2021-04-07,LUV,59.71,59.92,58.85,59.35,121272
2021-04-08,LUV,58.98,59.32,57.97,59.29,119470
2021-04-09,LUV,59.15,59.34,58.43,59.26,98201
2021-04-12,LUV,59.04,59.06,57.92,58.55,180346
2021-04-13,LUV,57.82,59.27,56.69,59.12,154909
