date,tic,open,high,low,close,volume
2021-01-04,LVS,57.19,57.52,54.76,55.3,185206
2021-01-05,LVS,55.38,56.99,55.24,56.76,102271
2021-01-06,LVS,56.73,57.53,55.37,55.88,160587
2021-01-07,LVS,56.03,56.28,55.04,55.53,176625
2021-01-08,LVS,55.72,57.1,54.45,55.32,356795
2021-01-11,LVS,54.3,54.4,53.55,53.88,246150
2021-01-12,LVS,54.44,54.65,53.25,54.07,153410
2021-01-13,LVS,53.86,53.86,51.65,52.81,459209
2021-01-14,LVS,53.3,53.59,51.69,53.2,363792
2021-01-15,LVS,52.98,53.2,50.93,51.09,410207
2021-01-19,LVS,51.4,52.25,49.98,51.98,364498
2021-01-20,LVS,52.05,52.86,51.69,52.0,235752
2021-01-21,LVS,51.88,53.37,51.76,52.88,221602
2021-01-22,LVS,51.95,52.29,51.14,51.78,207444
2021-01-25,LVS,50.94,51.08,49.3,50.61,403502
2021-01-26,LVS,50.62,51.13,50.04,50.05,389560
2021-01-27,LVS,49.24,49.38,45.43,46.74,710822
2021-01-28,LVS,47.03,48.32,45.7,46.9,1085682
2021-01-29,LVS,46.81,47.04,45.34,45.95,566389
2021-02-01,LVS,46.53,47.73,46.4,46.86,324906
2021-02-02,LVS,47.25,50.3,47.21,49.82,489756
2021-02-03,LVS,49.93,51.89,49.71,51.38,611150
2021-02-04,LVS,51.43,51.82,50.0,50.61,297496
2021-02-05,LVS,52.74,54.01,52.29,53.07,584762
2021-02-08,LVS,52.8,53.06,51.62,52.78,376891
2021-02-09,LVS,52.71,52.74,51.72,51.94,194256
2021-02-10,LVS,52.11,53.74,52.11,53.0,303055
2021-02-11,LVS,53.04,53.28,52.11,52.54,233298
2021-02-12,LVS,52.19,53.74,51.78,53.5,221017
2021-02-16,LVS,54.18,55.05,53.37,54.87,305599
2021-02-17,LVS,54.53,56.35,54.15,55.38,426986
2021-02-18,LVS,55.15,55.94,54.26,55.6,263683
2021-02-19,LVS,55.78,57.84,55.78,57.47,386215
2021-02-22,LVS,58.28,60.69,58.16,58.97,755460
2021-02-23,LVS,60.17,61.95,58.17,61.51,641256
2021-02-24,LVS,61.6,62.06,60.54,61.88,285570
2021-02-25,LVS,61.79,62.21,59.43,59.74,297613
2021-02-26,LVS,59.66,60.63,58.78,59.85,220354
2021-03-01,LVS,61.4,61.4,59.92,60.22,203323
