date,tic,open,high,low,close,volume
2021-01-04,LW,72.3,72.54,68.6,69.57,55383
2021-01-05,LW,69.5,70.02,68.8,69.32,46678
2021-01-06,LW,70.41,71.79,69.74,70.52,95525
2021-01-07,LW,71.07,73.4,68.88,69.61,94366
2021-01-08,LW,69.03,70.97,67.98,70.82,71009
2021-01-11,LW,70.24,70.4,69.2,69.96,36112
2021-01-12,LW,69.93,70.06,68.5,69.15,59228
2021-01-13,LW,68.48,71.4,68.48,70.63,43040
2021-01-14,LW,70.88,73.06,70.75,71.92,42986
2021-01-15,LW,71.34,72.74,70.8,72.27,74348
2021-01-19,LW,73.04,73.04,70.88,70.88,31679
2021-01-20,LW,70.98,71.55,70.38,71.23,36789
2021-01-21,LW,70.92,71.1,70.13,71.05,20275
2021-01-22,LW,70.71,72.21,70.57,72.04,37403
2021-01-25,LW,71.06,72.26,70.1,71.81,40544
2021-01-26,LW,71.7,72.45,70.68,70.76,64060
2021-01-27,LW,69.48,69.73,66.87,67.83,78897
2021-01-28,LW,67.99,71.22,67.99,70.74,64686
2021-01-29,LW,70.18,70.18,67.56,68.7,58757
2021-02-01,LW,69.34,69.82,68.2,69.63,53805
2021-02-02,LW,70.41,71.99,70.41,71.69,33275
2021-02-03,LW,71.64,73.08,71.33,72.4,34598
2021-02-04,LW,72.79,73.55,72.39,73.13,24218
2021-02-05,LW,73.71,74.39,73.09,73.42,10299
2021-02-08,LW,73.44,73.56,72.35,73.56,21038
2021-02-09,LW,73.62,73.62,72.48,72.72,26758
2021-02-10,LW,73.02,73.44,70.98,71.14,41077
2021-02-11,LW,70.45,71.26,70.4,71.26,30050
2021-02-12,LW,71.0,71.29,70.59,71.22,22554
2021-02-16,LW,71.88,71.88,70.65,70.8,15265
2021-02-17,LW,70.34,71.76,69.59,71.18,28616
2021-02-18,LW,70.59,71.97,70.59,71.68,22534
2021-02-19,LW,71.86,72.6,71.82,72.09,24752
2021-02-22,LW,71.56,75.06,71.56,74.53,49431
2021-02-23,LW,74.88,76.82,74.82,76.72,47747
2021-02-24,LW,76.61,78.51,76.05,77.27,30144
2021-02-25,LW,77.51,77.6,74.04,74.18,26410
2021-02-26,LW,74.17,75.02,73.14,73.69,30707
2021-03-01,LW,74.9,76.07,74.9,75.05,27730
2021-03-02,LW,75.6,75.6,73.02,75.04,28120
2021-03-03,LW,75.32,77.17,75.01,76.71,50593
2021-03-04,LW,76.16,77.87,75.18,76.31,46947
2021-03-05,LW,77.51,79.38,76.77,79.24,47140
2021-03-08,LW,79.53,79.7,77.61,77.82,45774
2021-03-09,LW,76.47,77.67,75.31,75.31,38798
2021-03-10,LW,75.63,75.63,73.37,74.5,89626
2021-03-11,LW,74.19,76.76,74.05,74.34,115626
2021-03-12,LW,74.67,74.78,73.94,74.36,75994
2021-03-15,LW,74.82,77.07,74.82,76.43,58708
2021-03-16,LW,76.19,76.54,73.93,74.12,35043
2021-03-17,LW,73.86,74.59,73.24,74.55,30556
2021-03-18,LW,74.13,74.8,73.53,73.79,38314
2021-03-19,LW,73.4,75.11,73.37,74.06,28531
2021-03-22,LW,73.61,73.77,72.58,73.18,30723
2021-03-23,LW,72.48,73.29,71.38,72.01,48476
2021-03-24,LW,72.08,74.7,71.9,72.02,30315
2021-03-25,LW,71.71,73.85,71.23,73.63,54406
2021-03-26,LW,74.0,75.01,73.5,74.51,35477
2021-03-29,LW,73.88,74.16,73.06,73.14,38383
2021-03-30,LW,72.93,74.07,72.62,72.78,48344
2021-03-31,LW,73.07,73.07,71.47,71.52,56740
2021-04-01,LW,71.33,72.27,70.62,72.06,94278
2021-04-05,LW,74.84,75.45,73.56,74.41,65539
2021-04-06,LW,74.04,76.04,73.51,74.66,72381
2021-04-07,LW,73.27,74.11,71.94,71.94,135660
2021-04-08,LW,70.36,72.01,69.53,71.67,140629
2021-04-09,LW,71.24,71.74,70.55,71.49,49174
2021-04-12,LW,71.4,73.32,71.31,72.59,56583
2021-04-13,LW,72.36,72.56,71.34,71.75,24565
2021-04-14,LW,71.61,72.71,71.37,71.6,39365
2021-04-15,LW,72.15,72.84,71.99,72.68,65329
2021-04-16,LW,73.56,74.47,73.2,74.39,83986
2021-04-20,LW,73.4,73.72,72.4,73.06,28850
2021-04-21,LW,73.52,74.7,73.52,74.67,48268
2021-04-22,LW,74.42,74.87,73.97,74.01,39046
2021-04-23,LW,74.22,75.34,74.2,75.08,30867
2021-04-26,LW,75.09,75.87,74.72,75.28,25184
2021-04-27,LW,75.2,75.5,74.19,74.22,35183
2021-04-28,LW,74.58,74.58,73.37,73.55,33105
2021-04-29,LW,73.85,74.91,73.36,74.41,51654
2021-04-30,LW,74.43,75.26,74.21,74.31,45333
2021-05-03,LW,74.62,75.8,74.62,75.01,37804
2021-05-04,LW,74.98,74.98,71.95,72.8,64608
2021-05-05,LW,73.03,73.07,72.01,72.57,53037
2021-05-06,LW,72.98,72.98,71.84,72.24,39516
2021-05-07,LW,71.95,73.2,71.95,73.04,50726
2021-05-10,LW,73.44,73.92,73.04,73.04,25779
2021-05-11,LW,72.6,72.73,72.02,72.29,48217
2021-05-12,LW,72.37,72.39,70.9,71.06,30881
2021-05-13,LW,71.37,72.94,71.37,72.59,80688
2021-05-14,LW,73.36,73.55,72.57,73.0,36313
2021-05-17,LW,71.89,72.27,71.22,72.0,43930
2021-05-18,LW,72.1,72.68,71.7,71.74,41588
2021-05-19,LW,71.09,71.51,70.31,71.51,78717
2021-05-20,LW,71.57,72.64,71.08,71.76,37073
2021-05-21,LW,73.96,75.05,73.74,74.28,53493
2021-05-24,LW,74.24,75.26,74.24,74.44,27480
2021-05-25,LW,74.0,74.58,73.42,74.35,24712
2021-05-26,LW,74.51,74.89,74.36,74.65,13946
2021-05-27,LW,75.11,75.34,74.09,74.36,29571
2021-05-28,LW,74.64,76.61,74.64,76.37,65728
2021-06-01,LW,77.16,77.86,76.99,77.74,83222
2021-06-02,LW,77.62,78.36,77.62,77.93,41174
2021-06-03,LW,77.2,77.64,76.86,77.42,50041
2021-06-04,LW,77.59,77.89,77.33,77.78,35017
2021-06-07,LW,77.81,77.91,77.06,77.6,70068
2021-06-08,LW,79.03,79.19,77.43,77.44,64297
2021-06-09,LW,77.24,77.53,76.39,76.39,29532
2021-06-10,LW,76.73,76.73,75.86,75.96,68871
2021-06-11,LW,75.88,77.5,75.55,77.5,25589
2021-06-14,LW,77.44,77.44,76.95,77.22,16813
2021-06-15,LW,77.48,77.48,76.47,76.52,19740
2021-06-16,LW,76.52,76.52,75.08,75.33,21953
2021-06-17,LW,75.15,75.38,73.49,73.64,49681
2021-06-18,LW,72.87,73.0,72.12,72.22,96128
2021-06-21,LW,73.09,73.84,72.46,73.72,130446
2021-06-22,LW,73.74,74.0,72.99,73.94,67216
2021-06-23,LW,73.74,73.88,73.12,73.12,24661
2021-06-24,LW,73.01,74.16,72.66,74.12,39145
2021-06-25,LW,74.41,74.89,74.06,74.73,29106
2021-06-28,LW,74.28,74.38,73.49,73.92,43743
2021-06-29,LW,73.99,74.02,73.31,73.41,35518
2021-06-30,LW,73.49,74.72,73.13,74.69,41199
2021-07-01,LW,74.73,75.36,74.69,74.8,28731
2021-07-02,LW,74.83,75.05,74.18,74.31,28795
2021-07-06,LW,74.08,74.22,73.55,73.86,17868
2021-07-07,LW,73.43,74.59,73.43,73.95,23977
2021-07-08,LW,73.57,74.09,72.9,73.65,58861
2021-07-09,LW,74.33,74.92,74.06,74.82,17981
2021-07-12,LW,74.23,74.23,73.27,73.78,29480
2021-07-13,LW,73.5,73.64,72.07,72.16,37457
2021-07-14,LW,72.24,72.36,71.64,72.13,25184
2021-07-15,LW,71.86,72.86,71.44,72.83,67433
2021-07-16,LW,73.11,73.62,71.85,71.86,27927
2021-07-19,LW,70.38,70.38,67.98,68.54,115056
2021-07-20,LW,68.94,70.61,68.87,70.4,69267
2021-07-21,LW,70.77,71.7,69.92,70.04,33582
2021-07-22,LW,69.3,69.3,68.41,68.99,35944
2021-07-23,LW,69.86,71.01,69.73,69.91,41263
2021-07-26,LW,69.74,70.7,69.61,70.42,43389
2021-07-27,LW,64.68,65.35,60.7,60.91,235499
2021-07-28,LW,60.34,62.54,60.11,61.96,236516
2021-07-29,LW,62.55,64.5,62.19,62.4,266467
2021-07-30,LW,61.65,62.41,61.4,61.8,48174
2021-08-02,LW,62.41,62.97,61.78,62.31,77085
2021-08-03,LW,62.23,62.23,61.01,61.71,91766
2021-08-04,LW,61.11,61.43,60.01,60.56,148986
