date,tic,open,high,low,close,volume
2021-01-04,LYB,65.91,66.07,63.21,63.38,65341
2021-01-05,LYB,63.68,66.06,63.68,65.56,105705
2021-01-06,LYB,65.96,69.12,65.96,68.71,182133
2021-01-07,LYB,69.05,69.95,68.97,69.22,332636
2021-01-08,LYB,69.49,69.54,68.14,68.72,255697
2021-01-11,LYB,67.29,69.05,67.29,68.88,138534
2021-01-12,LYB,69.14,70.62,68.46,70.53,218569
2021-01-13,LYB,70.62,70.88,69.0,69.0,89015
2021-01-14,LYB,69.1,70.65,69.07,70.22,101226
2021-01-15,LYB,68.56,69.03,66.98,67.34,145338
2021-01-19,LYB,67.94,68.23,66.17,66.67,71934
2021-01-20,LYB,67.23,67.23,66.12,67.11,68159
2021-01-21,LYB,66.9,67.34,65.56,65.79,51425
2021-01-22,LYB,64.57,65.48,64.24,64.99,79675
2021-01-25,LYB,64.42,64.71,62.26,63.89,105394
2021-01-26,LYB,65.0,65.11,62.26,62.38,118038
2021-01-27,LYB,61.04,62.13,59.79,61.1,106040
2021-01-28,LYB,62.01,62.48,60.16,61.95,125178
2021-01-29,LYB,62.75,64.09,60.41,60.91,142815
2021-02-01,LYB,61.62,62.34,60.42,61.67,78247
2021-02-02,LYB,62.85,63.72,62.17,63.11,59037
2021-02-03,LYB,62.85,63.7,62.55,63.37,88715
2021-02-04,LYB,63.22,64.73,62.85,64.56,81852
2021-02-05,LYB,65.5,66.38,65.15,66.28,43811
2021-02-08,LYB,66.93,68.07,66.72,67.88,69057
2021-02-09,LYB,67.84,68.19,67.26,67.26,61182
2021-02-10,LYB,67.59,68.55,67.35,67.78,96480
2021-02-11,LYB,67.57,67.99,66.3,67.32,46225
2021-02-12,LYB,67.12,68.36,67.12,68.26,94563
2021-02-16,LYB,68.78,70.13,68.78,69.56,63481
2021-02-17,LYB,69.31,69.82,68.04,69.5,66201
2021-02-18,LYB,69.37,69.42,67.34,67.35,126538
2021-02-19,LYB,67.81,71.61,67.81,71.18,112859
2021-02-22,LYB,72.06,73.97,71.85,73.09,122296
2021-02-23,LYB,73.39,73.6,72.11,73.14,102548
2021-02-24,LYB,73.56,76.69,73.33,76.22,154041
2021-02-25,LYB,76.26,76.67,73.59,74.18,161429
2021-02-26,LYB,72.91,74.52,71.99,73.24,76158
2021-03-01,LYB,74.96,76.2,74.67,75.57,94099
2021-03-02,LYB,76.09,77.72,76.05,76.59,105429
2021-03-03,LYB,76.58,78.1,76.25,76.57,194244
2021-03-04,LYB,76.62,77.19,73.75,75.37,142524
2021-03-05,LYB,76.6,77.82,74.63,77.36,213216
2021-03-08,LYB,78.44,79.34,77.87,78.03,174371
2021-03-09,LYB,78.31,78.76,76.82,76.82,290229
2021-03-10,LYB,76.65,78.99,76.65,78.07,106293
2021-03-11,LYB,78.87,79.52,78.3,78.55,70344
2021-03-12,LYB,78.76,79.24,77.54,77.96,94957
2021-03-15,LYB,77.7,77.78,76.05,77.26,149746
2021-03-16,LYB,76.79,77.22,75.12,75.59,84150
2021-03-17,LYB,76.39,78.26,76.39,77.98,61382
2021-03-18,LYB,78.4,80.82,77.04,77.5,215958
2021-03-19,LYB,75.63,77.4,74.54,76.54,98975
2021-03-22,LYB,76.01,76.62,74.56,76.03,58210
2021-03-23,LYB,74.59,74.83,71.42,71.92,175769
2021-03-24,LYB,73.19,75.11,73.16,73.23,66256
2021-03-25,LYB,72.28,75.26,71.88,75.05,43704
2021-03-26,LYB,76.19,76.19,74.5,75.7,54881
2021-03-29,LYB,75.55,77.83,74.69,74.74,48607
2021-03-30,LYB,75.12,75.67,74.24,75.22,32528
2021-03-31,LYB,75.33,75.93,74.36,74.65,50310
2021-04-01,LYB,75.02,75.81,74.85,75.77,72713
2021-04-05,LYB,76.35,76.35,74.55,74.72,76670
2021-04-06,LYB,74.72,75.98,74.72,75.13,139964
2021-04-07,LYB,75.36,75.66,74.08,74.28,62707
2021-04-08,LYB,73.98,74.11,72.09,73.83,76440
2021-04-09,LYB,74.08,74.91,73.66,74.62,115661
2021-04-12,LYB,74.98,75.87,74.69,75.64,68784
2021-04-13,LYB,74.7,75.13,73.4,74.98,41530
2021-04-14,LYB,75.38,77.23,75.38,76.69,63175
2021-04-15,LYB,76.57,77.17,75.35,76.81,39885
2021-04-16,LYB,77.68,78.05,76.67,77.12,46900
2021-04-20,LYB,76.35,76.57,74.48,75.05,60120
2021-04-21,LYB,74.94,77.57,74.9,77.52,42641
2021-04-22,LYB,77.31,77.31,73.09,73.13,110544
2021-04-23,LYB,73.32,75.3,72.98,74.85,94607
2021-04-26,LYB,75.06,76.22,75.06,75.25,36419
2021-04-27,LYB,74.73,75.53,74.57,75.23,35879
2021-04-28,LYB,75.79,76.69,75.52,76.25,62122
2021-04-29,LYB,76.73,77.4,75.94,77.09,84742
2021-04-30,LYB,75.47,76.7,74.16,74.31,105573
2021-05-03,LYB,75.35,78.15,74.87,77.36,107759
2021-05-04,LYB,76.85,78.39,76.03,78.39,93749
2021-05-05,LYB,78.88,80.72,78.75,80.35,86804
2021-05-06,LYB,80.39,81.96,79.66,81.85,64593
2021-05-07,LYB,80.65,82.04,80.62,81.81,48377
2021-05-10,LYB,82.47,83.64,81.26,81.33,80122
2021-05-11,LYB,79.95,81.19,79.12,80.7,60187
2021-05-12,LYB,80.75,81.59,78.82,78.97,62517
2021-05-13,LYB,78.9,80.01,78.16,79.24,78258
2021-05-14,LYB,79.96,81.88,79.84,81.86,79151
2021-05-17,LYB,81.26,83.01,81.17,82.83,46645
2021-05-18,LYB,82.65,82.87,81.21,81.28,66922
2021-05-19,LYB,79.62,79.84,78.06,79.15,94993
2021-05-20,LYB,79.64,79.81,77.81,78.75,45137
2021-05-21,LYB,79.03,80.05,78.84,79.26,24848
2021-05-24,LYB,79.63,80.56,79.14,80.06,39880
2021-05-25,LYB,80.06,80.77,78.79,78.79,33326
2021-05-26,LYB,79.03,79.95,78.33,79.5,33872
2021-05-27,LYB,80.6,81.47,80.04,81.46,71426
2021-05-28,LYB,82.23,82.23,80.66,80.75,106648
2021-06-01,LYB,82.22,83.87,82.07,83.84,42045
2021-06-02,LYB,83.91,83.97,82.66,83.09,43386
2021-06-03,LYB,82.57,84.6,82.51,84.51,51293
2021-06-04,LYB,85.1,85.33,83.63,84.13,39494
2021-06-07,LYB,83.91,84.21,81.45,81.53,62582
2021-06-08,LYB,81.31,83.49,80.14,82.32,67527
2021-06-09,LYB,82.38,82.44,81.12,81.13,27093
2021-06-10,LYB,82.02,82.38,79.88,79.93,20719
2021-06-11,LYB,80.75,80.86,79.4,79.61,78819
2021-06-14,LYB,79.82,79.82,78.06,78.57,91984
2021-06-15,LYB,78.5,78.97,77.24,78.76,99892
2021-06-16,LYB,78.36,78.67,77.04,77.46,112039
2021-06-17,LYB,77.41,77.64,73.13,74.16,174456
2021-06-18,LYB,72.93,73.95,72.58,72.66,123093
