date,tic,open,high,low,close,volume
2021-01-04,MA,348.08,348.14,337.94,341.88,353580
2021-01-05,MA,339.85,343.2,335.93,337.62,137945
2021-01-06,MA,340.52,344.04,335.0,337.84,194146
2021-01-07,MA,340.47,342.91,339.18,340.7,161463
2021-01-08,MA,341.75,345.56,340.39,344.24,115115
2021-01-11,MA,342.24,343.44,338.71,338.92,84251
2021-01-12,MA,338.2,338.73,327.12,333.68,244876
2021-01-13,MA,338.18,339.73,335.12,337.33,224799
2021-01-14,MA,339.22,340.21,318.07,318.36,516493
2021-01-15,MA,318.81,320.94,313.37,314.53,579769
2021-01-19,MA,318.23,320.11,316.08,317.45,230963
2021-01-20,MA,321.17,328.92,320.59,326.07,313638
2021-01-21,MA,325.88,327.86,322.99,325.59,191166
2021-01-22,MA,321.63,326.09,320.33,320.33,227061
2021-01-25,MA,318.96,321.17,309.15,320.53,589485
2021-01-26,MA,321.37,321.71,317.25,318.9,233385
2021-01-27,MA,311.86,313.72,304.83,307.35,416797
2021-01-28,MA,318.49,320.24,313.51,315.65,466132
2021-01-29,MA,315.2,316.55,304.28,308.08,515327
2021-02-01,MA,312.34,314.7,309.3,313.02,294985
2021-02-02,MA,315.41,327.21,315.28,325.4,377114
2021-02-03,MA,325.21,326.15,322.39,324.13,277974
2021-02-04,MA,326.2,334.13,326.2,331.94,298738
2021-02-05,MA,334.21,335.1,328.48,329.63,141214
2021-02-08,MA,330.95,332.38,326.72,328.0,185414
2021-02-09,MA,326.46,326.6,321.44,324.37,141465
2021-02-10,MA,325.77,326.57,323.45,325.46,497377
2021-02-11,MA,335.48,340.28,331.22,333.86,374290
2021-02-12,MA,333.18,333.65,327.86,332.03,210926
2021-02-16,MA,334.33,334.69,329.17,332.08,156874
2021-02-17,MA,329.89,331.07,326.99,328.55,145932
2021-02-18,MA,325.01,330.93,324.14,329.47,147838
2021-02-19,MA,329.8,329.8,322.3,324.31,195718
2021-02-22,MA,321.26,334.94,320.05,331.41,294243
2021-02-23,MA,331.31,344.87,329.48,340.9,360184
2021-02-24,MA,342.85,359.0,341.52,357.65,572835
2021-02-25,MA,354.46,357.51,342.91,345.46,259497
2021-02-26,MA,347.33,349.67,338.05,344.41,167836
2021-03-01,MA,351.04,356.7,349.98,353.27,250713
2021-03-02,MA,353.5,356.88,349.85,353.03,212888
2021-03-03,MA,350.95,355.74,346.08,350.76,237657
2021-03-04,MA,350.81,351.79,335.93,339.78,282006
2021-03-05,MA,345.34,352.19,337.28,351.22,219630
