date,tic,open,high,low,close,volume
2021-01-04,MAS,49.59,49.84,48.65,49.04,106232
2021-01-05,MAS,48.68,48.9,48.15,48.3,80432
2021-01-06,MAS,48.25,50.74,48.02,50.42,288274
2021-01-07,MAS,50.53,51.02,49.79,50.42,93752
2021-01-08,MAS,50.61,50.88,49.29,49.61,49977
2021-01-11,MAS,49.43,51.36,49.37,51.18,146572
2021-01-12,MAS,51.56,52.0,50.85,51.79,74725
2021-01-13,MAS,51.79,52.37,51.36,51.36,89448
2021-01-14,MAS,51.68,52.45,51.1,51.85,105198
2021-01-15,MAS,51.35,51.53,50.35,51.4,238952
2021-01-19,MAS,51.75,52.4,51.62,51.65,139964
2021-01-20,MAS,51.89,53.63,51.72,53.57,119578
2021-01-21,MAS,53.53,54.17,53.01,53.12,111762
2021-01-22,MAS,52.92,53.29,52.37,52.72,111109
2021-01-25,MAS,53.16,53.39,52.27,52.78,102307
2021-01-26,MAS,52.62,52.63,50.63,50.63,118407
2021-01-27,MAS,49.77,50.21,48.82,49.76,114284
2021-01-28,MAS,50.18,50.99,49.95,50.4,152872
2021-01-29,MAS,50.14,50.26,49.26,49.75,64715
2021-02-01,MAS,50.41,50.75,49.54,50.45,101464
2021-02-02,MAS,50.92,51.29,50.57,50.73,55093
2021-02-03,MAS,50.7,51.28,50.48,50.85,51077
2021-02-04,MAS,50.91,51.67,50.59,51.21,93433
2021-02-05,MAS,51.48,52.01,51.14,51.69,81375
2021-02-08,MAS,52.19,52.96,52.18,52.51,114186
2021-02-09,MAS,51.1,52.33,50.57,51.57,208506
2021-02-10,MAS,51.1,51.14,49.57,50.64,132732
2021-02-11,MAS,50.99,50.99,49.79,50.36,74566
2021-02-12,MAS,50.32,51.04,49.92,50.32,90806
2021-02-16,MAS,50.24,50.24,48.7,49.01,123389
2021-02-17,MAS,48.81,49.78,48.66,49.63,97732
2021-02-18,MAS,49.71,50.03,49.29,49.41,55101
2021-02-19,MAS,49.68,50.31,49.61,50.02,181603
2021-02-22,MAS,49.87,50.17,49.36,49.82,44184
2021-02-23,MAS,49.59,49.66,48.38,49.23,136892
2021-02-24,MAS,49.39,49.82,48.76,49.35,101088
2021-02-25,MAS,49.11,49.63,48.27,48.51,85351
2021-02-26,MAS,48.62,49.49,48.51,48.76,70869
2021-03-01,MAS,49.26,50.55,49.26,49.91,69949
2021-03-02,MAS,49.96,50.01,49.01,49.47,86044
2021-03-03,MAS,49.39,49.55,48.61,48.73,76431
2021-03-04,MAS,48.84,49.8,47.64,48.35,174868
