date,tic,open,high,low,close,volume
2021-01-04,MCD,191.23,191.35,185.78,187.5,120016
2021-01-05,MCD,187.48,189.03,187.04,188.51,65112
2021-01-06,MCD,187.91,188.78,186.46,188.24,143064
2021-01-07,MCD,189.43,190.1,187.85,189.09,86244
2021-01-08,MCD,189.64,192.71,189.36,192.56,85472
2021-01-11,MCD,191.57,192.77,190.11,190.92,121755
2021-01-12,MCD,190.77,191.0,188.15,188.88,183185
2021-01-13,MCD,188.28,190.02,188.15,189.15,54691
2021-01-14,MCD,189.32,189.65,185.55,186.01,165861
2021-01-15,MCD,185.62,187.84,185.34,187.25,91560
2021-01-19,MCD,187.65,188.19,185.47,186.51,99158
2021-01-20,MCD,187.27,191.2,187.02,190.66,142939
2021-01-21,MCD,190.84,192.57,190.33,190.39,111303
2021-01-22,MCD,189.62,190.96,188.41,190.42,86944
2021-01-25,MCD,189.12,190.91,187.86,190.23,108593
2021-01-26,MCD,189.49,192.19,189.25,192.13,148762
2021-01-27,MCD,189.66,189.93,184.65,184.95,213090
2021-01-28,MCD,186.14,187.59,183.01,184.46,264896
2021-01-29,MCD,183.64,186.72,181.23,185.41,184089
2021-02-01,MCD,186.14,186.97,184.3,185.45,136059
2021-02-02,MCD,185.85,189.65,185.21,187.03,127710
2021-02-03,MCD,186.11,187.25,185.53,186.3,191541
2021-02-04,MCD,186.72,189.09,186.17,188.27,152084
2021-02-05,MCD,189.6,190.98,189.12,189.47,91970
2021-02-08,MCD,189.5,189.5,187.31,188.56,115294
2021-02-09,MCD,189.23,192.82,188.9,192.65,124194
2021-02-10,MCD,193.24,193.69,190.81,190.99,114598
2021-02-11,MCD,191.33,191.58,189.5,191.15,104798
2021-02-12,MCD,191.14,191.49,189.99,190.85,117844
2021-02-16,MCD,190.98,193.48,190.85,191.81,121105
2021-02-17,MCD,191.02,191.55,189.68,190.36,154805
2021-02-18,MCD,190.45,192.51,189.74,192.05,90626
2021-02-19,MCD,191.97,192.35,189.1,189.25,133734
2021-02-22,MCD,188.81,189.97,187.21,189.13,133373
2021-02-23,MCD,191.09,192.31,187.69,188.42,151223
2021-02-24,MCD,188.22,190.92,187.68,190.22,120749
2021-02-25,MCD,189.68,189.72,187.1,188.21,185264
2021-02-26,MCD,189.12,189.89,185.23,185.24,221768
2021-03-01,MCD,186.39,188.68,186.28,187.11,100037
2021-03-02,MCD,186.81,188.34,185.07,187.24,94594
2021-03-03,MCD,186.24,187.49,184.56,184.66,200734
2021-03-04,MCD,185.48,186.11,182.01,183.54,223521
2021-03-05,MCD,184.79,186.86,182.37,186.22,121745
2021-03-08,MCD,186.3,188.98,185.99,187.7,106479
2021-03-09,MCD,188.15,189.5,187.14,187.17,160613
2021-03-10,MCD,187.09,191.68,186.99,191.45,189269
2021-03-11,MCD,192.41,193.15,189.85,189.93,144916
2021-03-12,MCD,190.5,192.25,189.78,190.62,138832
2021-03-15,MCD,191.76,197.92,191.66,197.92,232079
2021-03-16,MCD,197.07,198.61,194.96,197.33,187042
2021-03-17,MCD,200.53,201.83,198.39,201.2,299130
2021-03-18,MCD,200.67,202.18,198.79,200.1,202944
2021-03-19,MCD,200.02,202.08,198.44,199.79,297002
2021-03-22,MCD,200.33,203.65,199.92,202.11,178431
2021-03-23,MCD,201.06,203.18,200.84,201.34,98432
2021-03-24,MCD,202.32,203.75,201.18,201.18,114402
2021-03-25,MCD,201.78,201.78,199.68,201.25,96362
2021-03-26,MCD,200.98,202.19,199.68,202.17,162746
2021-03-29,MCD,201.62,204.48,201.37,204.22,165652
2021-03-30,MCD,203.42,203.76,201.3,201.87,127939
2021-03-31,MCD,201.27,203.19,201.07,201.07,115337
2021-04-01,MCD,201.75,202.97,200.43,202.1,90119
2021-04-05,MCD,203.19,205.97,203.19,205.52,116187
2021-04-06,MCD,205.94,208.46,205.35,208.19,158666
2021-04-07,MCD,208.14,208.88,207.58,208.86,130267
2021-04-08,MCD,208.86,208.86,205.8,206.64,139120
2021-04-09,MCD,206.78,207.83,205.43,207.77,100415
2021-04-12,MCD,207.69,208.54,206.92,207.2,98313
2021-04-13,MCD,206.67,207.9,206.2,207.72,52456
2021-04-14,MCD,207.44,207.44,206.09,206.58,90048
2021-04-15,MCD,206.41,207.62,205.74,207.44,87663
2021-04-16,MCD,209.79,210.12,208.53,209.15,89006
2021-04-20,MCD,207.55,209.27,207.46,209.15,93907
2021-04-21,MCD,209.19,209.86,208.25,208.42,50644
2021-04-22,MCD,208.97,210.04,208.22,209.12,74751
2021-04-23,MCD,209.49,211.11,209.27,210.61,101757
2021-04-26,MCD,210.75,211.06,208.22,208.56,136035
2021-04-27,MCD,208.64,211.46,208.64,210.9,119396
2021-04-28,MCD,211.26,211.26,208.55,208.61,133576
2021-04-29,MCD,210.08,211.61,208.88,211.03,126867
2021-04-30,MCD,210.46,212.02,210.07,211.82,82555
2021-05-03,MCD,213.15,213.71,211.29,211.31,112563
2021-05-04,MCD,210.61,211.7,209.39,209.76,101309
2021-05-05,MCD,210.11,211.2,207.99,210.87,76147
2021-05-06,MCD,211.45,211.45,209.3,210.79,144730
2021-05-07,MCD,210.71,211.52,210.06,210.8,78829
2021-05-10,MCD,211.23,213.39,211.23,212.78,63154
2021-05-11,MCD,213.16,213.22,208.46,209.91,122719
2021-05-12,MCD,208.16,209.57,204.27,204.57,124446
2021-05-13,MCD,204.66,207.39,204.65,206.33,110881
2021-05-14,MCD,207.03,208.75,206.94,208.05,95693
2021-05-17,MCD,207.74,208.45,206.66,208.03,58081
2021-05-18,MCD,208.22,209.27,207.99,208.18,87134
2021-05-19,MCD,206.99,206.99,204.82,206.52,60700
2021-05-20,MCD,207.02,209.95,207.02,208.21,70529
2021-05-21,MCD,208.71,209.23,206.71,207.46,98967
2021-05-24,MCD,208.22,208.79,207.37,208.07,61223
2021-05-25,MCD,208.46,208.9,207.1,208.34,70105
2021-05-26,MCD,209.19,209.62,208.42,208.51,59751
2021-05-27,MCD,209.15,210.95,208.63,210.73,101481
2021-05-28,MCD,211.32,211.51,209.8,211.12,91920
2021-06-01,MCD,212.46,212.46,210.06,210.55,50896
2021-06-02,MCD,211.05,211.47,210.22,211.01,52629
2021-06-03,MCD,209.8,210.03,207.75,209.85,56713
2021-06-04,MCD,210.29,210.8,209.44,210.62,40349
2021-06-07,MCD,210.9,211.07,208.69,209.15,38730
2021-06-08,MCD,209.26,211.16,208.92,209.97,45544
2021-06-09,MCD,210.02,211.45,208.94,208.94,77332
2021-06-10,MCD,209.41,211.98,209.41,211.75,67859
2021-06-11,MCD,212.07,214.32,212.03,213.83,111334
2021-06-14,MCD,213.97,214.51,211.96,213.89,53091
2021-06-15,MCD,214.29,214.45,212.7,213.25,55058
2021-06-16,MCD,213.6,214.05,211.03,212.62,114657
2021-06-17,MCD,212.25,213.22,210.54,211.1,76899
2021-06-18,MCD,208.85,209.63,206.52,207.38,93960
2021-06-21,MCD,208.24,210.4,207.4,210.18,39491
2021-06-22,MCD,210.24,211.93,209.79,211.09,54511
2021-06-23,MCD,211.18,211.4,210.03,210.62,60107
2021-06-24,MCD,211.39,212.2,210.13,210.6,73088
2021-06-25,MCD,210.39,210.55,209.75,209.75,128290
2021-06-28,MCD,209.94,209.94,207.6,208.5,54735
2021-06-29,MCD,208.65,208.75,207.63,207.9,61896
2021-06-30,MCD,208.36,209.42,208.13,208.49,69311
2021-07-01,MCD,208.82,209.66,208.28,209.58,87509
2021-07-02,MCD,209.83,211.24,209.83,210.84,51484
2021-07-06,MCD,211.02,211.05,208.49,210.07,57607
2021-07-07,MCD,209.48,212.03,209.19,211.66,70749
2021-07-08,MCD,210.21,210.97,209.34,210.0,45833
2021-07-09,MCD,211.16,213.18,210.42,212.72,71176
2021-07-12,MCD,212.03,213.02,211.67,212.61,89517
2021-07-13,MCD,212.79,214.3,212.33,213.09,84024
2021-07-14,MCD,213.88,215.73,213.71,213.9,56059
2021-07-15,MCD,213.73,214.11,212.07,213.83,65123
2021-07-16,MCD,214.32,214.58,211.6,211.75,58959
2021-07-19,MCD,209.66,210.49,204.39,206.79,120805
2021-07-20,MCD,208.34,212.55,207.81,211.36,116171
2021-07-21,MCD,212.91,214.88,212.32,212.86,72123
2021-07-22,MCD,212.86,216.3,212.29,215.37,113099
2021-07-23,MCD,216.71,221.09,216.3,219.23,206211
2021-07-26,MCD,218.23,220.67,218.23,220.12,134063
2021-07-27,MCD,220.55,222.93,220.53,222.62,158570
2021-07-28,MCD,219.2,219.86,216.05,218.18,256939
2021-07-29,MCD,219.58,221.25,219.45,220.25,59027
2021-07-30,MCD,220.09,221.39,218.96,219.02,49027
2021-08-02,MCD,219.42,220.52,216.35,216.65,64154
2021-08-03,MCD,216.38,216.4,212.34,213.82,265016
2021-08-04,MCD,213.23,213.5,210.42,211.94,94507
2021-08-05,MCD,212.6,213.69,211.52,213.38,160113
2021-08-06,MCD,213.61,213.92,212.72,213.22,104968
2021-08-09,MCD,212.75,212.8,211.27,211.83,46753
2021-08-10,MCD,211.91,211.99,210.51,210.65,102489
2021-08-11,MCD,211.19,212.89,211.08,212.53,50718
2021-08-12,MCD,212.98,213.64,212.16,213.64,50557
2021-08-13,MCD,213.54,215.59,213.38,215.51,48128
2021-08-16,MCD,215.87,217.52,215.31,217.48,49676
2021-08-17,MCD,217.01,217.22,215.02,216.83,53242
2021-08-18,MCD,216.34,216.35,214.63,214.78,41860
2021-08-19,MCD,213.68,214.69,213.11,214.02,66089
2021-08-20,MCD,213.55,216.04,213.5,215.23,43260
2021-08-23,MCD,216.14,216.63,214.8,216.32,39617
2021-08-24,MCD,216.63,216.73,215.15,215.18,71307
2021-08-25,MCD,214.91,216.05,214.91,215.59,41757
2021-08-26,MCD,215.48,215.48,212.92,213.82,56839
2021-08-27,MCD,213.95,215.07,213.58,214.37,66689
2021-08-30,MCD,213.92,214.57,212.85,213.55,126396
2021-08-31,MCD,213.36,215.66,213.0,215.48,84170
2021-09-01,MCD,215.57,216.87,215.26,216.08,90352
2021-09-02,MCD,217.01,217.72,216.39,217.65,57035
2021-09-03,MCD,216.55,217.35,215.54,216.68,82117
2021-09-07,MCD,216.1,216.1,214.15,214.38,71499
2021-09-08,MCD,214.92,216.88,214.18,216.5,72187
2021-09-09,MCD,216.14,219.0,215.81,216.47,103390
2021-09-10,MCD,218.06,218.77,216.94,217.08,58233
2021-09-13,MCD,218.6,219.38,217.74,218.89,72529
2021-09-14,MCD,219.38,219.71,217.42,218.82,85280
2021-09-15,MCD,217.69,218.92,216.18,218.65,78283
2021-09-16,MCD,217.85,221.01,217.85,220.82,128049
2021-09-17,MCD,220.67,221.95,219.53,219.97,94610
2021-09-20,MCD,217.43,219.52,214.72,216.87,188379
2021-09-21,MCD,217.87,219.77,217.27,218.19,109543
2021-09-22,MCD,219.14,222.97,219.14,220.51,107130
2021-09-23,MCD,222.15,223.09,220.99,222.1,76890
2021-09-24,MCD,223.28,224.41,222.56,223.63,55060
2021-09-27,MCD,223.1,225.83,222.57,225.15,140670
2021-09-28,MCD,224.31,224.65,220.49,221.29,110739
2021-09-29,MCD,221.46,222.95,220.72,221.67,103430
2021-09-30,MCD,221.69,222.55,218.74,218.79,133066
2021-10-01,MCD,220.49,222.0,218.27,220.32,90344
2021-10-04,MCD,220.73,222.13,219.46,220.55,118032
2021-10-05,MCD,221.09,223.89,220.57,222.47,63526
2021-10-06,MCD,221.72,224.24,220.66,224.21,52736
2021-10-07,MCD,225.12,226.73,225.12,225.39,76246
2021-10-08,MCD,225.4,226.35,224.28,224.69,36869
