date,tic,open,high,low,close,volume
2021-01-04,MDLZ,52.06,52.18,51.03,51.53,292641
2021-01-05,MDLZ,51.53,51.72,51.01,51.6,193108
2021-01-06,MDLZ,51.53,51.88,51.32,51.52,203546
2021-01-07,MDLZ,51.37,51.92,51.05,51.4,269002
2021-01-08,MDLZ,51.12,51.83,51.07,51.82,210327
2021-01-11,MDLZ,51.66,51.78,50.78,50.8,177387
2021-01-12,MDLZ,51.05,51.17,50.53,51.06,298044
2021-01-13,MDLZ,50.94,51.37,50.76,51.08,127843
2021-01-14,MDLZ,51.13,51.32,50.73,51.0,131155
2021-01-15,MDLZ,50.85,51.16,50.46,50.95,167737
2021-01-19,MDLZ,51.14,51.34,50.75,50.85,207739
2021-01-20,MDLZ,50.82,50.89,50.39,50.85,139511
2021-01-21,MDLZ,50.67,50.67,49.79,49.94,261910
2021-01-22,MDLZ,49.87,50.33,49.76,50.09,93301
2021-01-25,MDLZ,49.84,50.77,49.66,50.59,216422
2021-01-26,MDLZ,50.55,51.35,50.47,51.24,140541
2021-01-27,MDLZ,50.65,51.58,50.09,50.21,236231
2021-01-28,MDLZ,50.37,51.21,50.22,50.69,303178
2021-01-29,MDLZ,48.99,50.58,48.93,49.35,930660
2021-02-01,MDLZ,49.5,49.78,49.06,49.17,438554
2021-02-02,MDLZ,49.57,50.52,49.12,49.95,290137
2021-02-03,MDLZ,49.69,49.76,49.12,49.2,357208
2021-02-04,MDLZ,49.17,50.12,49.12,49.83,247434
2021-02-05,MDLZ,49.85,50.31,49.79,50.03,216274
2021-02-08,MDLZ,50.08,50.21,49.64,49.85,143883
2021-02-09,MDLZ,49.92,49.99,49.32,49.39,298743
2021-02-10,MDLZ,49.66,49.77,48.93,49.16,460461
2021-02-11,MDLZ,49.17,49.6,49.05,49.58,261079
2021-02-12,MDLZ,49.54,49.54,48.92,49.14,378376
2021-02-16,MDLZ,49.08,49.1,48.69,48.83,308530
2021-02-17,MDLZ,48.88,49.01,48.62,48.86,364829
2021-02-18,MDLZ,48.71,50.09,48.7,49.96,362917
2021-02-19,MDLZ,49.82,49.88,48.26,48.32,228272
2021-02-22,MDLZ,48.3,48.52,47.94,48.33,390464
2021-02-23,MDLZ,48.53,49.23,48.47,48.76,537609
2021-02-24,MDLZ,48.49,48.74,48.21,48.35,277979
2021-02-25,MDLZ,48.31,48.81,47.98,48.08,330706
