date,tic,open,high,low,close,volume
2021-01-04,MDT,103.76,104.26,101.32,102.73,151613
2021-01-05,MDT,102.67,104.13,102.11,103.61,129188
2021-01-06,MDT,103.7,105.82,103.62,105.25,146288
2021-01-07,MDT,105.29,105.95,104.47,105.15,133675
2021-01-08,MDT,105.3,106.13,104.82,106.02,108315
2021-01-11,MDT,105.08,105.73,104.1,104.94,126154
2021-01-12,MDT,104.58,104.69,103.31,103.88,129569
2021-01-13,MDT,104.15,105.98,103.7,105.21,190652
2021-01-14,MDT,104.88,105.56,104.09,104.31,195674
2021-01-15,MDT,104.11,104.74,103.24,103.42,238854
2021-01-19,MDT,104.23,105.34,103.83,104.73,208332
2021-01-20,MDT,104.79,105.79,104.46,105.63,138300
2021-01-21,MDT,105.38,105.5,103.71,104.42,194457
2021-01-22,MDT,104.1,104.22,103.2,103.2,113049
2021-01-25,MDT,103.36,103.57,102.58,103.49,127769
2021-01-26,MDT,103.59,104.07,103.24,103.33,154497
2021-01-27,MDT,101.62,101.96,98.43,98.66,208690
2021-01-28,MDT,99.46,102.54,99.35,101.58,139945
2021-01-29,MDT,100.94,100.94,98.36,98.54,198918
2021-02-01,MDT,99.61,100.15,97.82,98.41,227221
2021-02-02,MDT,99.75,102.0,99.45,100.94,148425
2021-02-03,MDT,100.48,100.81,99.27,99.71,211320
2021-02-04,MDT,100.01,103.99,99.8,103.63,268279
2021-02-05,MDT,104.48,105.23,104.42,104.72,281077
2021-02-08,MDT,104.92,105.12,104.12,104.54,212283
2021-02-09,MDT,104.57,105.8,104.09,104.36,144106
2021-02-10,MDT,104.9,105.27,103.56,103.93,139314
2021-02-11,MDT,104.19,105.31,103.9,105.16,168928
2021-02-12,MDT,105.17,106.12,105.17,106.08,163088
2021-02-16,MDT,106.01,106.71,105.06,106.02,202829
2021-02-17,MDT,105.34,105.34,103.74,104.6,169869
2021-02-18,MDT,104.18,104.24,102.06,102.1,272668
2021-02-19,MDT,102.57,102.69,99.76,100.31,304010
2021-02-22,MDT,99.8,103.19,99.77,102.37,223671
2021-02-23,MDT,103.3,105.93,103.28,104.48,248992
2021-02-24,MDT,104.75,105.81,104.31,105.13,293112
2021-02-25,MDT,104.78,105.23,103.61,104.38,198357
2021-02-26,MDT,104.84,105.15,103.47,103.6,199520
2021-03-01,MDT,104.75,105.54,104.11,104.34,176907
2021-03-02,MDT,104.53,104.77,103.7,104.3,135858
2021-03-03,MDT,104.07,105.38,103.46,104.4,176941
2021-03-04,MDT,104.7,104.91,101.01,102.03,218803
2021-03-05,MDT,102.2,105.1,102.05,104.69,168497
2021-03-08,MDT,104.65,104.85,103.28,103.31,307090
2021-03-09,MDT,103.88,105.47,103.63,103.63,193803
2021-03-10,MDT,104.26,105.74,103.83,105.04,200378
2021-03-11,MDT,105.39,105.4,104.14,104.58,150015
2021-03-12,MDT,104.52,105.55,104.49,105.15,144000
