date,tic,open,high,low,close,volume
2021-01-04,META,272.84,272.84,263.4,267.1,421442
2021-01-05,META,266.65,270.51,266.65,269.14,268766
2021-01-06,META,260.14,265.89,258.31,261.33,1127164
2021-01-07,META,263.93,269.66,263.11,266.78,567126
2021-01-08,META,266.48,267.02,261.56,265.86,516519
2021-01-11,META,258.33,261.43,254.21,255.01,1487951
2021-01-12,META,254.84,257.89,248.6,249.21,820273
2021-01-13,META,249.74,252.19,247.55,249.88,738429
2021-01-14,META,251.67,253.23,242.99,244.05,1173781
2021-01-15,META,246.25,252.1,245.53,249.61,627870
2021-01-19,META,254.87,260.39,251.0,259.44,807274
2021-01-20,META,266.85,268.42,261.91,265.63,865644
2021-01-21,META,267.15,271.65,265.77,271.05,934179
2021-01-22,META,270.13,276.55,270.13,272.69,1076742
2021-01-25,META,276.23,278.07,269.65,276.1,898501
2021-01-26,META,276.3,283.38,275.94,280.0,717131
2021-01-27,META,280.2,281.45,266.36,270.42,1385502
2021-01-28,META,275.96,284.73,263.1,263.17,1876181
2021-01-29,META,263.44,264.7,253.13,256.31,1018465
2021-02-01,META,257.84,262.34,253.19,260.1,844645
2021-02-02,META,262.23,266.96,261.5,265.17,626034
2021-02-03,META,263.67,267.32,262.09,264.86,693120
2021-02-04,META,265.21,266.27,262.18,264.73,587297
2021-02-05,META,264.72,267.08,263.85,266.18,321421
2021-02-08,META,266.86,267.93,263.2,264.78,582268
2021-02-09,META,264.42,271.42,263.92,267.56,446322
2021-02-10,META,270.58,271.91,265.95,269.93,518325
2021-02-11,META,269.86,271.56,266.8,268.64,495125
2021-02-12,META,268.67,269.19,266.51,268.85,231666
2021-02-16,META,268.82,274.68,268.29,272.06,434969
2021-02-17,META,269.37,272.06,267.75,271.75,494046
2021-02-18,META,267.71,270.07,264.21,267.29,457764
2021-02-19,META,268.0,268.08,258.38,259.95,916020
2021-02-22,META,256.1,261.24,255.8,258.42,866394
2021-02-23,META,257.47,265.61,253.25,263.93,786146
2021-02-24,META,260.64,264.51,256.66,262.52,639754
2021-02-25,META,260.51,265.01,252.33,252.85,565540
2021-02-26,META,255.12,263.68,254.77,255.24,790158
2021-03-01,META,258.82,264.79,256.15,262.86,825939
2021-03-02,META,263.66,264.86,256.9,257.1,522201
2021-03-03,META,258.5,259.17,253.37,253.58,624407
2021-03-04,META,254.71,264.64,251.78,255.56,1368254
2021-03-05,META,258.77,263.59,253.89,262.28,1034788
2021-03-08,META,263.33,263.54,253.3,253.4,978205
2021-03-09,META,259.15,266.65,258.1,263.72,643085
2021-03-10,META,266.79,267.1,261.1,263.09,588447
2021-03-11,META,266.1,275.95,266.1,271.81,669906
2021-03-12,META,266.51,267.8,262.21,266.39,666295
2021-03-15,META,267.22,274.02,266.65,271.79,521352
2021-03-16,META,274.08,280.18,273.15,277.07,724671
2021-03-17,META,274.0,284.24,273.54,281.94,940715
2021-03-18,META,277.86,283.19,276.46,276.51,768796
2021-03-19,META,279.63,290.72,279.62,287.9,1387910
2021-03-22,META,288.49,297.63,284.9,291.34,799167
2021-03-23,META,291.24,295.88,287.87,288.51,1048089
2021-03-24,META,288.93,289.71,279.27,280.25,479991
2021-03-25,META,278.73,286.02,275.85,276.67,759955
2021-03-26,META,276.58,282.45,276.09,280.99,501159
2021-03-29,META,283.93,291.11,282.8,288.91,699000
2021-03-30,META,287.91,290.43,284.74,285.89,820678
2021-03-31,META,288.02,294.45,286.66,292.42,482733
2021-04-01,META,296.72,300.31,294.57,296.64,509790
2021-04-05,META,298.78,308.54,298.65,306.77,1024903
2021-04-06,META,306.47,309.1,303.19,304.17,420020
2021-04-07,META,304.47,312.07,303.58,311.05,466966
2021-04-08,META,312.68,313.68,307.98,311.0,538921
2021-04-09,META,309.44,312.52,308.23,310.26,420167
2021-04-12,META,308.61,309.78,305.91,309.64,333285
2021-04-13,META,309.75,312.22,307.28,307.66,391065
