date,tic,open,high,low,close,volume
2021-01-04,MHK,140.51,140.54,134.26,136.25,25721
2021-01-05,MHK,136.945,140.05,136.91,138.62,21302
2021-01-06,MHK,139.605,144.07,139.58,142.95,35858
2021-01-07,MHK,143.75,145.3,142.165,144.48,32271
2021-01-08,MHK,145.35,145.45,141.47,143.69,32880
2021-01-11,MHK,142.99,148.3,142.31,147.62,54330
2021-01-12,MHK,148.64,151.18,148.325,150.95,22395
2021-01-13,MHK,150.63,151.05,148.4,149.72,24903
2021-01-14,MHK,150.52,153.27,149.94,151.985,14592
2021-01-15,MHK,148.28,149.54,147.895,148.77,24519
2021-01-19,MHK,151.07,151.07,147.87,148.745,15627
2021-01-20,MHK,149.24,151.76,148.92,151.27,15303
2021-01-21,MHK,150.515,152.36,149.46,151.165,21088
2021-01-22,MHK,147.94,150.45,146.39,149.87,21892
2021-01-25,MHK,149.33,151.87,147.94,148.62,24048
2021-01-26,MHK,150.64,150.64,146.94,148.74,9522
2021-01-27,MHK,146.89,148.24,141.96,144.315,30306
2021-01-28,MHK,145.75,149.37,145.41,148.25,50470
2021-01-29,MHK,145.57,145.88,141.74,143.555,43187
2021-02-01,MHK,145.98,146.35,142.875,146.0,22261
2021-02-02,MHK,146.115,147.13,145.51,145.67,50903
2021-02-03,MHK,147.65,148.89,145.34,148.43,16743
2021-02-04,MHK,149.42,151.18,148.35,149.06,37932
2021-02-05,MHK,150.505,153.59,148.775,152.71,51038
2021-02-08,MHK,153.29,154.27,151.3,153.23,27970
2021-02-09,MHK,151.93,157.84,151.93,156.1,42789
2021-02-10,MHK,156.185,160.54,156.185,159.51,47536
2021-02-11,MHK,160.68,161.43,158.085,160.25,32959
2021-02-12,MHK,168.53,177.405,167.195,169.46,73327
2021-02-16,MHK,171.2,171.82,166.63,171.38,39164
2021-02-17,MHK,168.75,171.99,168.11,168.32,38144
2021-02-18,MHK,170.125,170.415,165.055,166.43,34540
2021-02-19,MHK,167.28,172.53,167.28,171.79,36467
2021-02-22,MHK,169.17,175.35,167.64,173.58,71657
2021-02-23,MHK,172.41,178.1,169.69,178.1,44725
2021-02-24,MHK,177.1,183.33,177.1,183.05,42062
2021-02-25,MHK,182.755,183.12,171.48,172.79,59848
2021-02-26,MHK,174.0,177.655,172.455,175.485,51648
2021-03-01,MHK,178.16,181.05,175.05,179.68,24557
2021-03-02,MHK,180.375,182.99,179.27,181.5,38134
2021-03-03,MHK,181.86,185.85,180.63,182.55,29154
2021-03-04,MHK,182.89,182.89,169.28,175.41,34318
2021-03-05,MHK,178.63,186.71,176.61,185.955,31922
2021-03-08,MHK,187.49,192.57,187.06,187.06,39331
2021-03-09,MHK,185.64,186.145,181.61,183.55,28691
2021-03-10,MHK,183.98,187.81,183.04,184.99,35717
2021-03-11,MHK,184.715,186.61,182.165,185.77,24871
2021-03-12,MHK,185.88,189.5,184.04,188.86,22349
2021-03-15,MHK,188.65,188.8,185.13,188.19,35687
2021-03-16,MHK,188.155,189.03,181.44,183.07,42078
2021-03-17,MHK,183.17,185.855,181.53,185.83,54725
2021-03-18,MHK,185.72,186.325,182.93,183.3,80152
2021-03-19,MHK,182.02,185.32,178.97,184.0,58193
2021-03-22,MHK,184.355,184.355,180.39,183.17,28038
2021-03-23,MHK,183.08,186.51,180.1,181.32,57761
2021-03-24,MHK,185.32,188.05,184.51,185.435,35077
2021-03-25,MHK,184.29,192.53,183.36,192.44,31922
2021-03-26,MHK,194.0,196.0,192.49,195.99,30526
2021-03-29,MHK,195.02,195.47,190.24,191.69,16597
2021-03-30,MHK,191.19,195.73,190.3,194.735,28520
2021-03-31,MHK,197.25,197.25,192.3,192.3,22080
2021-04-01,MHK,193.95,198.91,193.95,198.25,24482
2021-04-05,MHK,199.22,201.1,197.88,200.89,26300
2021-04-06,MHK,200.72,202.94,198.35,200.3,38629
2021-04-07,MHK,198.84,200.99,197.1,197.535,41944
2021-04-08,MHK,196.05,198.645,194.665,198.15,23162
2021-04-09,MHK,199.99,202.96,197.99,202.96,41353
2021-04-12,MHK,205.92,205.97,201.36,204.18,24848
2021-04-13,MHK,203.19,203.6,198.515,202.67,30656
2021-04-14,MHK,203.68,204.98,201.53,201.53,22813
2021-04-15,MHK,202.025,203.14,200.31,201.7,22254
2021-04-16,MHK,202.68,204.99,202.08,204.69,13852
2021-04-20,MHK,200.465,200.6,194.4,196.12,29794
2021-04-21,MHK,195.415,201.125,195.415,200.81,12508
2021-04-22,MHK,200.35,202.215,197.815,199.21,27697
2021-04-23,MHK,200.2,203.6,199.41,203.33,57101
2021-04-26,MHK,206.035,207.43,203.315,206.24,29811
2021-04-27,MHK,205.98,209.695,205.82,208.43,15803
2021-04-28,MHK,207.2,209.34,206.405,207.75,27589
2021-04-29,MHK,209.06,213.505,208.16,212.89,30064
2021-04-30,MHK,208.815,213.73,203.77,205.53,45822
2021-05-03,MHK,213.53,226.775,213.53,221.02,109837
2021-05-04,MHK,221.03,221.03,214.49,219.85,38355
2021-05-05,MHK,220.14,225.59,218.76,224.33,25862
2021-05-06,MHK,225.82,225.82,221.08,224.4,13331
2021-05-07,MHK,221.93,230.63,221.93,229.735,25118
2021-05-10,MHK,229.44,230.9,226.125,226.325,35965
2021-05-11,MHK,220.41,223.27,215.19,219.28,27616
2021-05-12,MHK,216.63,218.03,208.75,209.59,15657
2021-05-13,MHK,212.49,220.485,212.49,218.84,25573
2021-05-14,MHK,220.935,220.935,217.73,219.03,22761
2021-05-17,MHK,217.42,219.67,215.71,218.22,16855
2021-05-18,MHK,216.62,218.03,214.6,214.735,21479
2021-05-19,MHK,212.45,212.75,205.66,207.61,27323
2021-05-20,MHK,208.18,209.06,204.76,207.9,26481
2021-05-21,MHK,209.925,212.41,206.61,207.22,14041
2021-05-24,MHK,207.2,209.465,207.2,208.275,7057
2021-05-25,MHK,208.67,210.83,206.71,207.4,15246
2021-05-26,MHK,207.845,209.435,204.6,208.79,29172
2021-05-27,MHK,211.86,213.4,210.675,212.92,24955
2021-05-28,MHK,214.325,214.325,208.51,210.62,10181
2021-06-01,MHK,204.5,205.61,195.45,204.58,99149
2021-06-02,MHK,204.87,204.87,200.02,202.53,30680
2021-06-03,MHK,201.16,202.195,198.38,201.8,18552
2021-06-04,MHK,203.0,203.0,197.57,201.3,9747
2021-06-07,MHK,201.69,202.87,199.29,201.15,6802
2021-06-08,MHK,200.43,204.54,200.43,203.16,4629
2021-06-09,MHK,201.09,201.92,198.22,198.25,6949
2021-06-10,MHK,199.87,200.095,190.435,190.82,44947
2021-06-11,MHK,192.86,193.59,191.16,193.06,16573
2021-06-14,MHK,191.8,191.8,186.72,188.16,17686
2021-06-15,MHK,188.16,189.99,187.04,189.28,32544
2021-06-16,MHK,188.21,188.21,184.57,186.59,33175
2021-06-17,MHK,186.28,186.575,180.355,183.53,31574
2021-06-18,MHK,180.605,181.09,178.37,180.65,30885
2021-06-21,MHK,184.25,189.24,184.25,187.13,35214
2021-06-22,MHK,186.09,191.37,186.09,190.47,25987
2021-06-23,MHK,191.11,191.965,188.43,188.55,22229
2021-06-24,MHK,189.08,191.14,186.78,190.26,27176
2021-06-25,MHK,192.53,196.95,192.28,195.73,32225
2021-06-28,MHK,192.85,194.3,189.48,189.9,31009
2021-06-29,MHK,191.32,191.91,189.6,190.22,22355
2021-06-30,MHK,190.23,192.38,189.62,192.34,34814
2021-07-01,MHK,192.795,197.97,192.79,197.31,45978
2021-07-02,MHK,196.88,197.77,194.835,195.13,55009
2021-07-06,MHK,194.985,195.8,191.375,193.54,37356
2021-07-07,MHK,193.92,199.05,193.89,197.85,29781
2021-07-08,MHK,191.15,195.99,190.36,192.915,19179
2021-07-09,MHK,196.85,200.88,196.85,199.2,39834
2021-07-12,MHK,196.25,199.19,195.91,198.26,20482
2021-07-13,MHK,195.68,196.385,193.78,194.45,37060
