date,tic,open,high,low,close,volume
2021-01-04,MKC,87.02,87.07,84.6,85.33,36805
2021-01-05,MKC,85.15,85.75,83.82,85.57,32528
2021-01-06,MKC,85.11,86.39,84.76,85.3,52339
2021-01-07,MKC,85.43,86.1,84.19,86.08,35842
2021-01-08,MKC,86.38,86.59,85.46,86.45,32344
2021-01-11,MKC,86.91,86.91,84.54,84.97,31447
2021-01-12,MKC,85.15,85.26,83.53,83.98,42819
2021-01-13,MKC,84.42,85.1,83.85,84.76,38131
2021-01-14,MKC,84.24,84.36,82.55,83.2,102193
2021-01-15,MKC,83.6,85.26,83.09,84.86,90561
2021-01-19,MKC,85.5,85.5,83.52,84.43,46368
2021-01-20,MKC,84.47,84.47,82.85,83.28,81629
2021-01-21,MKC,83.33,83.37,82.28,83.02,69023
2021-01-22,MKC,82.86,83.78,82.18,83.49,37580
2021-01-25,MKC,83.67,86.09,83.64,85.79,72180
2021-01-26,MKC,86.12,87.49,85.21,87.26,128100
2021-01-27,MKC,87.05,89.69,85.31,85.51,106977
2021-01-28,MKC,82.64,86.21,81.56,82.55,150832
2021-01-29,MKC,82.28,82.76,80.3,81.18,82768
2021-02-01,MKC,81.34,81.71,79.38,80.97,56868
2021-02-02,MKC,81.12,82.75,80.45,81.23,47750
2021-02-03,MKC,81.07,81.49,79.62,80.52,102017
2021-02-04,MKC,80.54,81.32,80.39,80.66,39483
2021-02-05,MKC,80.51,82.59,80.51,81.9,86872
2021-02-08,MKC,82.11,82.76,81.47,82.49,39122
2021-02-09,MKC,82.49,82.92,81.93,82.42,37170
2021-02-10,MKC,82.77,82.99,81.85,82.32,37017
2021-02-11,MKC,82.45,82.47,81.21,81.58,24796
2021-02-12,MKC,81.59,81.76,80.51,81.34,38968
2021-02-16,MKC,81.46,81.66,78.89,78.94,78877
2021-02-17,MKC,78.46,78.79,77.74,77.99,106059
2021-02-18,MKC,77.82,79.5,77.29,78.53,83242
2021-02-19,MKC,78.56,78.62,76.25,76.34,49082
2021-02-22,MKC,76.12,76.34,75.17,76.24,63756
2021-02-23,MKC,76.37,77.71,76.26,76.64,74898
2021-02-24,MKC,75.98,77.41,75.93,77.04,48174
2021-02-25,MKC,77.5,77.83,76.21,76.56,45384
2021-02-26,MKC,76.71,76.95,76.07,76.44,55155
2021-03-01,MKC,76.96,77.4,76.43,76.82,59160
2021-03-02,MKC,76.93,77.59,76.46,77.05,37139
2021-03-03,MKC,76.54,76.89,75.48,75.48,90713
2021-03-04,MKC,75.62,76.82,74.97,75.18,100818
2021-03-05,MKC,75.41,77.05,74.55,76.7,45944
2021-03-08,MKC,76.63,76.92,75.95,76.38,127337
2021-03-09,MKC,76.68,78.36,76.68,77.18,63688
2021-03-10,MKC,76.87,78.29,76.37,77.98,37257
2021-03-11,MKC,77.62,78.69,77.62,77.94,35930
2021-03-12,MKC,78.29,78.86,77.71,78.83,33058
2021-03-15,MKC,79.07,79.75,78.93,79.25,70844
2021-03-16,MKC,79.31,79.74,78.8,79.25,37492
2021-03-17,MKC,78.9,79.23,78.25,78.68,45869
2021-03-18,MKC,78.34,78.82,77.6,78.38,38909
2021-03-19,MKC,78.77,79.74,78.5,78.7,61457
2021-03-22,MKC,78.76,79.81,78.53,79.81,33288
2021-03-23,MKC,79.98,79.98,79.0,79.48,42913
2021-03-24,MKC,78.87,79.84,78.51,79.49,55280
2021-03-25,MKC,79.76,80.98,79.43,80.53,48778
2021-03-26,MKC,80.33,82.12,80.33,81.89,86568
2021-03-29,MKC,81.7,82.58,81.2,81.92,63352
2021-03-30,MKC,86.15,87.01,81.33,81.66,196889
2021-03-31,MKC,81.26,81.56,80.66,80.97,106382
2021-04-01,MKC,81.02,81.8,79.58,80.97,98555
2021-04-05,MKC,81.49,81.91,80.43,80.85,40731
2021-04-06,MKC,80.74,81.63,80.58,81.48,62327
2021-04-07,MKC,81.56,81.65,80.52,80.94,54918
2021-04-08,MKC,81.01,81.58,81.01,81.37,60357
2021-04-09,MKC,81.6,81.8,79.97,80.25,62871
2021-04-12,MKC,80.27,80.62,80.02,80.42,60099
2021-04-13,MKC,80.29,80.88,80.18,80.21,35873
2021-04-14,MKC,80.3,80.3,79.28,80.05,38443
2021-04-15,MKC,80.24,80.71,80.18,80.65,36433
2021-04-16,MKC,80.78,80.97,80.27,80.93,33879
2021-04-20,MKC,81.17,82.63,80.9,82.56,42511
2021-04-21,MKC,83.17,83.95,82.96,83.78,88401
2021-04-22,MKC,83.84,83.84,83.14,83.35,41805
2021-04-23,MKC,83.43,83.64,82.73,83.42,85778
2021-04-26,MKC,82.8,83.16,82.12,82.34,65584
2021-04-27,MKC,82.16,82.35,81.49,81.92,91100
2021-04-28,MKC,82.37,82.44,81.21,81.35,22736
2021-04-29,MKC,81.72,82.74,81.71,82.55,33332
2021-04-30,MKC,82.43,82.54,81.82,82.31,31043
2021-05-03,MKC,82.43,83.42,82.43,82.85,64185
2021-05-04,MKC,82.84,83.29,81.9,82.38,54594
2021-05-05,MKC,82.27,82.57,81.77,82.43,46461
2021-05-06,MKC,82.94,83.63,81.75,82.23,55892
2021-05-07,MKC,82.17,82.37,80.96,81.4,49354
2021-05-10,MKC,81.62,83.38,81.62,82.67,73314
2021-05-11,MKC,82.87,83.16,81.36,81.8,56748
2021-05-12,MKC,81.87,82.02,80.91,81.07,54636
2021-05-13,MKC,80.7,82.62,80.7,82.29,81835
2021-05-14,MKC,82.2,82.54,81.64,81.67,48910
2021-05-17,MKC,81.83,82.41,81.23,81.23,46290
2021-05-18,MKC,80.95,82.17,80.74,81.28,37215
2021-05-19,MKC,81.0,81.88,80.9,81.86,30847
2021-05-20,MKC,81.62,83.25,81.45,82.79,81876
2021-05-21,MKC,83.22,83.45,82.26,82.55,47987
2021-05-24,MKC,82.84,83.23,82.49,82.54,65978
2021-05-25,MKC,82.56,82.56,81.56,82.28,59698
2021-05-26,MKC,82.29,82.6,81.51,81.73,59542
2021-05-27,MKC,81.62,82.03,80.72,80.84,71327
2021-05-28,MKC,81.0,81.92,81.0,81.17,93112
2021-06-01,MKC,81.24,81.78,80.63,81.03,43809
2021-06-02,MKC,81.44,81.78,81.04,81.72,26545
2021-06-03,MKC,81.57,81.75,81.01,81.72,62860
2021-06-04,MKC,81.85,82.0,81.38,81.84,18456
2021-06-07,MKC,81.71,81.71,80.76,81.56,27939
2021-06-08,MKC,81.77,81.83,80.2,80.67,24035
2021-06-09,MKC,80.07,81.01,80.02,80.29,43553
2021-06-10,MKC,80.51,80.97,80.25,80.93,25545
2021-06-11,MKC,80.92,81.09,80.3,80.98,23526
2021-06-14,MKC,80.6,81.3,80.59,81.28,36853
2021-06-15,MKC,81.36,81.58,80.79,80.9,70875
2021-06-16,MKC,81.02,81.07,79.68,79.82,76565
2021-06-17,MKC,79.76,80.01,79.01,79.77,42417
2021-06-18,MKC,79.94,79.94,78.46,78.51,65374
2021-06-21,MKC,78.8,79.52,78.8,79.39,54803
2021-06-22,MKC,79.45,80.06,79.3,79.54,43134
2021-06-23,MKC,79.05,79.09,78.45,78.5,194595
2021-06-24,MKC,78.64,78.73,78.01,78.66,50023
2021-06-25,MKC,78.66,79.68,78.41,79.53,95647
2021-06-28,MKC,79.87,80.81,79.87,80.34,53970
2021-06-29,MKC,80.33,80.79,79.63,79.81,63778
2021-06-30,MKC,79.97,80.62,79.81,80.49,55931
2021-07-01,MKC,80.42,80.98,79.01,80.16,121959
2021-07-02,MKC,80.59,81.27,80.38,80.72,48855
2021-07-06,MKC,80.76,80.76,79.68,80.23,54514
2021-07-07,MKC,80.07,80.88,79.95,80.35,45972
2021-07-08,MKC,80.03,80.74,79.23,79.36,55003
2021-07-09,MKC,79.7,79.82,79.06,79.67,51774
2021-07-12,MKC,79.54,79.54,78.55,79.29,45132
2021-07-13,MKC,79.34,79.38,78.27,78.35,24115
2021-07-14,MKC,78.52,79.08,78.08,78.85,34534
2021-07-15,MKC,79.02,79.67,78.54,79.65,29608
2021-07-16,MKC,79.71,80.46,79.63,80.42,32156
2021-07-19,MKC,80.23,81.09,79.91,81.05,84153
2021-07-20,MKC,81.17,81.91,80.16,80.23,57007
2021-07-21,MKC,79.98,79.98,78.27,78.27,37969
2021-07-22,MKC,78.13,78.13,77.23,77.46,42083
2021-07-23,MKC,77.68,78.64,77.36,78.4,83602
2021-07-26,MKC,78.25,78.43,77.81,78.1,31102
2021-07-27,MKC,78.03,79.13,77.88,78.41,33306
2021-07-28,MKC,78.41,78.41,77.1,77.47,20137
2021-07-29,MKC,77.48,77.68,76.93,77.08,30822
2021-07-30,MKC,77.28,77.79,76.93,77.01,31244
2021-08-02,MKC,77.03,77.48,76.73,76.91,23498
2021-08-03,MKC,77.08,77.71,76.6,76.64,31879
2021-08-04,MKC,76.63,76.63,75.74,76.08,40390
2021-08-05,MKC,76.18,76.46,75.89,76.25,69738
2021-08-06,MKC,76.3,76.76,76.02,76.34,25657
2021-08-09,MKC,76.77,76.78,76.16,76.57,19718
2021-08-10,MKC,76.76,77.14,76.51,77.06,52230
2021-08-11,MKC,77.08,78.58,77.08,78.17,76752
2021-08-12,MKC,77.84,78.5,77.84,78.42,28949
2021-08-13,MKC,78.72,79.44,78.64,79.32,39084
2021-08-16,MKC,79.28,79.99,79.12,79.98,29099
2021-08-17,MKC,79.83,80.53,79.66,80.35,30940
2021-08-18,MKC,79.96,80.34,78.97,79.02,19907
2021-08-19,MKC,78.91,80.1,78.91,79.99,39247
2021-08-20,MKC,79.54,80.42,79.54,80.08,33257
2021-08-23,MKC,79.88,79.88,79.07,79.33,30571
2021-08-24,MKC,78.99,79.03,78.26,78.58,47695
2021-08-25,MKC,78.23,78.56,77.73,78.28,22554
2021-08-26,MKC,78.18,78.18,77.19,77.71,29469
2021-08-27,MKC,77.64,78.33,77.64,77.97,23333
2021-08-30,MKC,77.81,78.48,77.81,78.16,19559
2021-08-31,MKC,77.81,79.02,77.81,79.01,53694
