date,tic,open,high,low,close,volume
2021-01-04,MLM,276.1,279.69,268.99,269.21,28416
2021-01-05,MLM,268.47,274.51,268.38,272.03,44415
2021-01-06,MLM,288.66,297.66,287.84,293.29,163041
2021-01-07,MLM,297.79,299.5,293.35,298.71,44632
2021-01-08,MLM,298.55,301.74,295.45,300.91,49452
2021-01-11,MLM,296.92,301.23,294.58,300.26,16905
2021-01-12,MLM,302.22,309.09,300.13,305.43,36715
2021-01-13,MLM,302.36,302.4,293.63,295.52,33580
2021-01-14,MLM,296.78,298.81,291.86,293.05,40900
2021-01-15,MLM,291.44,295.0,287.37,293.88,35082
2021-01-19,MLM,295.1,299.36,293.4,296.93,27874
2021-01-20,MLM,298.2,300.71,297.27,300.43,32095
2021-01-21,MLM,299.58,304.95,297.68,300.41,24777
2021-01-22,MLM,297.97,301.51,296.26,300.38,25488
2021-01-25,MLM,298.03,300.37,294.1,298.48,60229
2021-01-26,MLM,299.6,299.98,283.95,284.03,32286
2021-01-27,MLM,278.83,283.32,271.71,275.65,53300
2021-01-28,MLM,278.79,282.18,277.82,279.96,29324
2021-01-29,MLM,277.6,282.85,275.99,278.52,40577
2021-02-01,MLM,281.29,287.51,278.75,287.08,54159
2021-02-02,MLM,288.81,289.32,285.56,285.56,18482
2021-02-03,MLM,286.94,287.82,284.06,285.77,24630
2021-02-04,MLM,286.13,288.84,284.36,286.07,26618
2021-02-05,MLM,289.42,289.42,285.81,288.1,22134
2021-02-08,MLM,289.92,293.63,288.49,291.54,31495
2021-02-09,MLM,293.29,301.78,291.63,296.51,50559
2021-02-10,MLM,298.48,307.08,297.4,305.96,44127
2021-02-11,MLM,309.74,311.26,305.93,308.77,41074
2021-02-12,MLM,311.74,321.8,311.68,320.65,46848
2021-02-16,MLM,322.77,322.77,312.1,315.58,37022
2021-02-17,MLM,313.2,315.63,306.17,315.36,30873
2021-02-18,MLM,312.12,315.86,309.69,315.26,27537
2021-02-19,MLM,317.42,328.21,317.42,325.73,30205
2021-02-22,MLM,324.72,324.87,317.3,317.7,29792
2021-02-23,MLM,320.97,326.95,311.29,325.23,45089
2021-02-24,MLM,327.21,337.37,324.88,337.27,35645
2021-02-25,MLM,335.02,335.07,323.96,325.98,28639
2021-02-26,MLM,324.85,329.59,319.97,327.51,54469
2021-03-01,MLM,333.63,343.03,333.63,337.42,46072
2021-03-02,MLM,335.89,339.23,324.91,326.37,37955
2021-03-03,MLM,328.02,331.53,326.73,327.57,28136
2021-03-04,MLM,327.01,328.89,313.61,319.81,25180
2021-03-05,MLM,324.37,324.37,308.47,320.05,69930
2021-03-08,MLM,320.33,330.65,319.08,324.56,29826
2021-03-09,MLM,326.45,326.71,321.68,323.3,14179
2021-03-10,MLM,323.67,332.38,320.83,331.11,23857
2021-03-11,MLM,335.24,339.18,329.09,330.83,34015
2021-03-12,MLM,330.13,334.14,329.31,334.04,23368
2021-03-15,MLM,333.32,333.93,328.41,332.95,26160
2021-03-16,MLM,334.05,334.84,327.55,328.08,28666
2021-03-17,MLM,326.22,330.32,324.2,330.11,15242
2021-03-18,MLM,328.83,334.42,328.07,329.65,31898
2021-03-19,MLM,325.89,327.82,321.84,322.38,39220
2021-03-22,MLM,319.62,319.62,309.65,312.55,68058
2021-03-23,MLM,308.97,312.92,303.27,307.11,40095
2021-03-24,MLM,312.93,317.98,310.67,313.22,20939
2021-03-25,MLM,309.35,325.2,309.06,323.56,26322
2021-03-26,MLM,331.97,334.71,326.26,330.93,49552
2021-03-29,MLM,334.05,336.86,328.68,330.79,40219
2021-03-30,MLM,332.07,337.86,329.57,332.77,43483
2021-03-31,MLM,337.35,341.13,322.41,326.91,61893
2021-04-01,MLM,324.06,327.79,320.37,323.77,48008
2021-04-05,MLM,329.78,335.33,329.25,334.14,29540
2021-04-06,MLM,333.99,334.28,330.97,333.7,20078
2021-04-07,MLM,334.8,334.8,325.78,327.2,30994
2021-04-08,MLM,326.4,332.2,322.37,331.69,29534
2021-04-09,MLM,331.67,336.58,331.43,336.02,27218
2021-04-12,MLM,337.13,339.12,334.37,338.54,25685
2021-04-13,MLM,335.12,336.11,331.6,333.41,12934
2021-04-14,MLM,331.48,339.81,331.48,337.13,37430
2021-04-15,MLM,336.67,338.09,334.31,337.52,19304
2021-04-16,MLM,340.95,342.63,340.47,341.29,40825
2021-04-20,MLM,339.88,341.01,332.41,334.53,29231
2021-04-21,MLM,332.73,342.42,332.73,341.53,15287
2021-04-22,MLM,342.36,342.38,335.41,338.34,19847
2021-04-23,MLM,338.22,342.15,337.98,340.56,8344
2021-04-26,MLM,343.2,347.5,343.15,347.04,22138
2021-04-27,MLM,346.77,350.73,346.77,347.24,11743
2021-04-28,MLM,349.9,349.9,344.35,344.77,10014
2021-04-29,MLM,345.9,348.54,345.18,348.3,13264
2021-04-30,MLM,345.03,345.44,340.83,343.03,14060
2021-05-03,MLM,345.56,346.53,340.99,343.98,40223
2021-05-04,MLM,348.72,362.95,346.75,362.95,78845
2021-05-05,MLM,365.25,365.25,359.43,363.08,18427
2021-05-06,MLM,363.71,363.71,358.4,361.62,41210
2021-05-07,MLM,360.36,367.54,359.3,367.45,16778
2021-05-10,MLM,368.9,372.07,363.86,364.58,22945
2021-05-11,MLM,359.78,366.05,357.11,366.05,23100
2021-05-12,MLM,366.4,366.4,356.13,357.07,16681
2021-05-13,MLM,357.75,364.37,357.75,363.94,12439
2021-05-14,MLM,365.94,369.55,364.69,366.91,18005
2021-05-17,MLM,365.92,367.51,361.72,365.06,45801
2021-05-18,MLM,365.29,368.3,361.58,361.75,23252
2021-05-19,MLM,351.78,354.3,347.94,353.02,12329
2021-05-20,MLM,352.8,353.28,347.64,351.48,14028
2021-05-21,MLM,357.71,358.51,351.57,351.57,10274
2021-05-24,MLM,355.4,357.94,351.99,355.65,14865
2021-05-25,MLM,358.26,360.02,351.52,351.82,10909
2021-05-26,MLM,352.87,358.79,352.06,357.26,40813
2021-05-27,MLM,361.37,365.02,359.34,359.83,24015
2021-05-28,MLM,362.0,362.0,353.49,353.88,18606
2021-06-01,MLM,358.4,358.4,352.77,353.06,18285
2021-06-02,MLM,353.36,353.5,346.26,346.6,21426
2021-06-03,MLM,345.69,351.72,343.69,349.7,35171
2021-06-04,MLM,350.79,351.11,338.36,341.74,25404
2021-06-07,MLM,344.61,347.57,342.22,343.62,11689
2021-06-08,MLM,343.38,352.69,343.38,351.99,15462
2021-06-09,MLM,348.14,352.21,348.14,349.57,16814
2021-06-10,MLM,350.6,351.18,340.49,340.62,21019
2021-06-11,MLM,341.67,344.29,341.01,342.27,5700
2021-06-14,MLM,342.83,342.89,335.81,337.55,12615
2021-06-15,MLM,338.58,338.82,334.27,336.61,23435
2021-06-16,MLM,332.78,336.61,331.71,333.77,11084
2021-06-17,MLM,332.39,332.39,322.16,327.06,30275
2021-06-18,MLM,323.71,328.74,320.88,326.34,21702
2021-06-21,MLM,329.61,334.36,329.61,333.0,13718
2021-06-22,MLM,333.42,336.37,332.17,335.0,13386
2021-06-23,MLM,334.28,341.96,334.28,340.29,20334
2021-06-24,MLM,343.09,352.5,341.3,348.42,34560
2021-06-25,MLM,354.38,354.38,349.37,349.41,15303
2021-06-28,MLM,347.88,349.16,345.29,348.03,18004
2021-06-29,MLM,350.64,352.67,340.41,342.4,25098
2021-06-30,MLM,340.32,343.08,336.22,342.14,27187
2021-07-01,MLM,342.82,343.6,340.23,342.94,35148
2021-07-02,MLM,338.62,343.06,338.23,339.77,32237
2021-07-06,MLM,337.99,340.17,332.65,338.77,18382
2021-07-07,MLM,341.64,346.44,340.27,346.34,15420
