date,tic,open,high,low,close,volume
2021-01-04,MMC,108.05,108.05,104.71,105.38,61871
2021-01-05,MMC,105.28,105.79,104.17,104.68,68596
2021-01-06,MMC,105.32,106.35,104.11,105.38,127567
2021-01-07,MMC,105.42,105.9,104.52,105.31,224915
2021-01-08,MMC,104.24,106.06,103.99,105.39,170156
2021-01-11,MMC,105.33,105.45,103.97,104.6,58402
2021-01-12,MMC,104.56,105.94,104.06,104.98,63898
2021-01-13,MMC,104.84,105.67,104.15,105.41,84516
2021-01-14,MMC,105.59,105.73,103.94,104.04,88789
2021-01-15,MMC,104.12,104.72,103.21,103.92,88855
2021-01-19,MMC,104.04,105.04,103.8,104.23,66742
2021-01-20,MMC,103.92,105.82,103.75,105.45,91896
2021-01-21,MMC,104.89,105.3,103.86,103.86,44469
2021-01-22,MMC,103.64,104.24,102.93,103.59,57083
2021-01-25,MMC,103.59,104.83,102.93,104.06,75422
2021-01-26,MMC,104.35,104.42,103.08,103.35,76730
2021-01-27,MMC,102.23,102.72,99.43,100.17,154188
2021-01-28,MMC,100.23,102.7,100.23,100.98,114397
2021-01-29,MMC,100.38,103.06,100.21,102.62,130893
2021-02-01,MMC,103.52,104.99,102.63,102.68,120000
2021-02-02,MMC,103.59,105.7,103.32,105.34,117985
2021-02-03,MMC,104.72,104.91,103.58,103.84,63658
2021-02-04,MMC,103.9,104.48,103.25,104.2,95162
2021-02-05,MMC,104.72,106.32,104.55,105.98,111302
2021-02-08,MMC,105.88,106.4,105.27,106.16,60853
2021-02-09,MMC,106.14,106.54,105.32,106.17,70690
2021-02-10,MMC,106.26,106.58,105.0,105.2,60468
2021-02-11,MMC,105.52,105.9,105.07,105.24,60790
2021-02-12,MMC,105.4,105.54,104.27,105.24,90590
2021-02-16,MMC,105.31,106.81,105.2,106.81,71751
2021-02-17,MMC,107.12,110.1,106.88,109.84,230539
2021-02-18,MMC,109.58,110.36,109.03,109.78,105260
2021-02-19,MMC,110.47,110.47,108.83,109.22,70908
2021-02-22,MMC,109.27,110.45,108.96,110.44,75200
2021-02-23,MMC,111.24,111.76,109.96,110.39,72842
2021-02-24,MMC,110.34,111.83,110.34,111.02,64553
2021-02-25,MMC,111.22,111.81,110.0,110.32,93402
2021-02-26,MMC,110.29,110.53,107.45,107.45,93940
2021-03-01,MMC,108.3,110.26,108.13,109.65,38170
2021-03-02,MMC,109.14,109.55,107.7,108.16,69745
2021-03-03,MMC,107.75,108.36,107.26,107.33,65095
2021-03-04,MMC,107.61,108.58,105.4,105.49,81325
2021-03-05,MMC,106.83,109.2,105.82,109.14,66035
2021-03-08,MMC,109.87,111.09,109.32,109.43,85725
2021-03-09,MMC,109.25,111.18,108.94,108.95,76391
2021-03-10,MMC,109.32,109.83,108.69,109.48,45819
2021-03-11,MMC,108.86,110.61,108.18,110.37,98021
2021-03-12,MMC,110.52,110.66,109.35,109.98,61288
2021-03-15,MMC,110.06,110.93,109.32,110.85,38979
2021-03-16,MMC,110.76,111.48,110.58,110.97,50195
2021-03-17,MMC,111.3,111.72,110.42,111.22,56991
2021-03-18,MMC,111.58,111.58,110.2,111.31,118083
2021-03-19,MMC,111.33,111.42,108.91,109.05,81816
2021-03-22,MMC,108.88,109.96,108.78,109.38,40391
2021-03-23,MMC,109.62,110.06,108.82,109.12,56357
2021-03-24,MMC,108.93,110.67,108.91,110.09,57845
2021-03-25,MMC,110.67,110.74,109.39,110.73,61657
2021-03-26,MMC,110.66,112.26,110.22,112.23,77030
2021-03-29,MMC,111.86,113.78,111.32,113.71,89097
2021-03-30,MMC,113.68,113.69,112.63,113.33,40454
2021-03-31,MMC,113.79,113.82,113.16,113.63,60353
2021-04-01,MMC,113.53,115.09,113.22,114.91,98957
2021-04-05,MMC,115.4,116.59,115.39,116.52,51019
2021-04-06,MMC,116.39,116.76,115.85,116.55,61658
2021-04-07,MMC,116.21,116.49,115.62,116.12,44035
2021-04-08,MMC,116.39,117.13,116.35,116.86,56077
2021-04-09,MMC,117.67,118.23,116.89,118.14,62024
2021-04-12,MMC,118.13,118.26,117.57,118.19,26722
2021-04-13,MMC,117.75,118.63,117.26,118.22,22581
2021-04-14,MMC,118.41,118.84,117.28,117.39,43390
2021-04-15,MMC,116.98,119.0,116.72,118.8,97975
2021-04-16,MMC,119.6,119.85,118.64,119.29,65466
2021-04-20,MMC,119.26,120.62,119.2,119.22,55308
2021-04-21,MMC,119.34,119.94,118.77,119.33,39769
2021-04-22,MMC,119.24,119.48,118.55,118.85,42673
2021-04-23,MMC,119.07,119.8,118.81,119.61,30735
2021-04-26,MMC,119.34,119.9,118.95,119.11,45104
2021-04-27,MMC,121.04,125.34,120.97,123.81,183322
2021-04-28,MMC,123.82,125.74,123.82,125.58,115316
2021-04-29,MMC,125.95,127.43,125.95,127.36,99682
2021-04-30,MMC,127.39,128.34,126.69,127.01,116511
2021-05-03,MMC,127.4,127.4,126.27,126.66,62124
2021-05-04,MMC,126.5,126.73,125.57,126.51,69520
2021-05-05,MMC,126.91,129.05,126.77,128.89,86852
2021-05-06,MMC,129.45,129.48,128.36,128.99,30917
2021-05-07,MMC,128.63,129.76,128.46,129.23,100772
2021-05-10,MMC,129.61,130.36,128.94,129.0,62123
2021-05-11,MMC,128.56,128.63,125.83,126.17,146236
2021-05-12,MMC,126.49,126.49,124.21,124.35,83377
2021-05-13,MMC,124.74,126.44,124.51,126.01,112282
2021-05-14,MMC,126.32,126.79,125.84,126.03,58555
2021-05-17,MMC,125.3,126.32,124.99,125.87,58103
2021-05-18,MMC,125.95,126.24,124.94,125.27,27713
