date,tic,open,high,low,close,volume
2021-01-04,MNST,46.18,46.26,44.42,45.29,226010
2021-01-05,MNST,44.97,45.83,44.73,45.74,223864
2021-01-06,MNST,45.35,45.66,45.06,45.36,227078
2021-01-07,MNST,45.29,46.77,45.2,46.76,181880
2021-01-08,MNST,46.92,47.52,46.52,47.51,186730
2021-01-11,MNST,47.46,47.54,46.29,46.5,179098
2021-01-12,MNST,46.49,47.21,46.37,47.05,620320
2021-01-13,MNST,46.96,47.06,45.92,45.92,320692
2021-01-14,MNST,45.75,46.32,45.27,45.74,250516
2021-01-15,MNST,45.15,46.25,44.96,45.85,213490
2021-01-19,MNST,46.25,46.25,45.02,45.04,173636
2021-01-20,MNST,45.08,45.19,44.65,44.82,179640
2021-01-21,MNST,44.75,44.85,44.34,44.58,157962
2021-01-22,MNST,44.47,44.69,44.06,44.11,120092
2021-01-25,MNST,44.12,44.64,44.07,44.2,175964
2021-01-26,MNST,44.26,44.85,44.16,44.39,187998
2021-01-27,MNST,44.04,44.24,42.68,42.97,264268
2021-01-28,MNST,43.39,44.64,43.37,44.32,146388
2021-01-29,MNST,43.79,44.31,43.39,43.42,153604
2021-02-01,MNST,43.5,44.21,43.26,44.11,114346
2021-02-02,MNST,44.5,45.77,44.3,45.26,168386
2021-02-03,MNST,45.22,45.57,44.65,45.24,203080
2021-02-04,MNST,45.18,45.78,45.13,45.77,206622
2021-02-05,MNST,46.01,46.3,45.47,45.6,194358
2021-02-08,MNST,45.79,46.03,45.02,45.44,142348
2021-02-09,MNST,45.32,45.38,44.89,45.23,79206
2021-02-10,MNST,45.5,45.59,44.74,45.19,100658
2021-02-11,MNST,45.4,45.41,44.87,44.97,113492
2021-02-12,MNST,45.03,45.93,44.78,45.88,278000
2021-02-16,MNST,45.87,46.39,45.79,46.1,180360
2021-02-17,MNST,46.13,46.19,45.75,46.09,132620
2021-02-18,MNST,45.58,46.47,45.56,46.33,119238
2021-02-19,MNST,45.89,46.24,44.75,44.81,178776
2021-02-22,MNST,44.74,44.85,44.43,44.6,181002
2021-02-23,MNST,44.69,44.76,43.23,44.18,305652
2021-02-24,MNST,43.62,44.43,43.25,44.14,189556
2021-02-25,MNST,44.13,44.13,42.58,42.69,307694
2021-02-26,MNST,43.97,44.79,43.16,43.83,422706
2021-03-01,MNST,44.18,44.49,43.25,43.78,200688
2021-03-02,MNST,43.71,44.21,43.41,43.45,304602
2021-03-03,MNST,43.43,43.56,42.25,42.32,305724
2021-03-04,MNST,42.36,43.29,42.05,42.27,230266
2021-03-05,MNST,42.64,43.39,41.5,43.19,223224
2021-03-08,MNST,43.15,43.36,42.51,42.57,385614
2021-03-09,MNST,43.42,44.54,43.42,44.2,201044
2021-03-10,MNST,44.45,45.05,44.43,44.69,204434
2021-03-11,MNST,44.66,45.03,44.51,44.71,183470
2021-03-12,MNST,44.22,44.6,43.83,44.45,388506
2021-03-15,MNST,44.48,44.69,43.98,44.69,112088
2021-03-16,MNST,44.95,45.29,44.64,44.7,128394
2021-03-17,MNST,44.56,44.56,43.66,44.27,171000
2021-03-18,MNST,43.9,44.11,43.18,43.99,263274
2021-03-19,MNST,43.9,44.26,43.69,43.98,333922
2021-03-22,MNST,43.96,45.1,43.96,44.53,243824
2021-03-23,MNST,44.93,45.39,44.52,44.81,252926
2021-03-24,MNST,44.65,44.7,43.93,44.36,169496
2021-03-25,MNST,44.57,44.57,43.67,44.4,163954
2021-03-26,MNST,44.27,45.9,44.27,45.86,199062
2021-03-29,MNST,45.78,46.15,45.38,45.9,199130
2021-03-30,MNST,45.58,45.71,45.11,45.35,114634
2021-03-31,MNST,45.52,45.86,45.31,45.57,178270
2021-04-01,MNST,45.84,46.08,45.57,45.7,182748
2021-04-05,MNST,45.81,47.06,45.81,46.75,172868
2021-04-06,MNST,46.62,47.14,46.32,46.84,147468
2021-04-07,MNST,46.92,47.28,46.74,47.13,136242
2021-04-08,MNST,47.35,47.89,47.27,47.66,154392
2021-04-09,MNST,47.68,47.74,47.43,47.64,105822
2021-04-12,MNST,47.64,47.82,47.4,47.73,106170
2021-04-13,MNST,47.8,48.14,47.72,47.97,65344
2021-04-14,MNST,47.96,47.96,47.28,47.4,178066
2021-04-15,MNST,47.54,48.1,47.54,47.96,150632
2021-04-16,MNST,48.24,49.21,48.07,49.12,297830
2021-04-19,MNST,49.21,49.21,48.48,48.91,243618
2021-04-20,MNST,49.01,49.1,48.48,48.65,168126
2021-04-21,MNST,48.99,49.18,48.76,49.02,98874
2021-04-22,MNST,48.9,49.03,48.62,48.76,92972
2021-04-23,MNST,48.94,49.62,48.86,49.34,167858
2021-04-26,MNST,49.06,49.06,48.38,48.56,125012
2021-04-27,MNST,48.48,48.58,48.26,48.51,95376
2021-04-28,MNST,48.51,48.63,48.08,48.26,98540
2021-04-29,MNST,48.39,49.1,48.27,48.95,111840
2021-04-30,MNST,48.62,48.73,48.24,48.57,122166
2021-05-03,MNST,48.9,49.56,48.71,48.81,195760
2021-05-04,MNST,48.7,48.7,47.82,47.98,364156
2021-05-05,MNST,47.86,47.87,47.09,47.22,177738
2021-05-06,MNST,47.47,47.57,47.09,47.51,151724
2021-05-07,MNST,44.5,45.84,44.27,45.63,765914
2021-05-10,MNST,45.54,46.4,45.37,45.82,368942
2021-05-11,MNST,45.4,46.11,45.38,45.77,205980
2021-05-12,MNST,45.61,45.63,44.81,44.88,206256
2021-05-13,MNST,45.29,45.3,44.64,44.74,223984
2021-05-14,MNST,44.88,46.28,44.88,46.11,157980
2021-05-17,MNST,45.63,45.83,45.3,45.66,128494
2021-05-18,MNST,45.75,45.76,45.27,45.38,190642
2021-05-19,MNST,45.15,45.4,44.93,45.39,197910
2021-05-20,MNST,45.5,46.46,45.5,46.25,157078
2021-05-21,MNST,46.4,46.49,45.75,46.0,171744
2021-05-24,MNST,46.2,46.88,46.2,46.62,177600
2021-05-25,MNST,46.94,47.12,46.26,46.51,234756
2021-05-26,MNST,46.65,46.94,46.59,46.69,106742
2021-05-27,MNST,46.96,47.09,46.6,46.67,142118
2021-05-28,MNST,46.76,47.35,46.71,47.15,180908
2021-06-01,MNST,47.28,47.34,46.66,46.8,292330
2021-06-02,MNST,47.06,47.89,47.04,47.41,228882
2021-06-03,MNST,46.93,47.59,46.93,47.53,166934
2021-06-04,MNST,47.73,47.94,47.51,47.7,74638
2021-06-07,MNST,47.53,47.56,46.87,47.17,158962
2021-06-08,MNST,47.2,47.28,46.63,47.09,144756
2021-06-09,MNST,47.16,47.23,46.55,46.63,141308
2021-06-10,MNST,46.69,47.06,46.61,46.89,183532
2021-06-11,MNST,47.0,47.0,46.54,46.72,121672
2021-06-14,MNST,46.73,46.75,46.5,46.69,130948
2021-06-15,MNST,46.8,46.82,46.04,46.08,132126
2021-06-16,MNST,45.9,46.36,45.63,45.75,280438
2021-06-17,MNST,45.76,46.41,45.72,46.3,176536
2021-06-18,MNST,46.1,46.46,45.84,45.84,214570
2021-06-21,MNST,46.14,46.14,45.65,46.02,175166
2021-06-22,MNST,45.97,46.06,45.62,45.89,124114
2021-06-23,MNST,45.76,45.88,45.15,45.17,181352
2021-06-24,MNST,45.35,45.35,44.92,45.08,209386
2021-06-25,MNST,45.18,46.63,44.63,46.27,334210
2021-06-28,MNST,46.04,46.43,45.52,45.73,248668
2021-06-29,MNST,45.7,45.88,45.44,45.78,176360
2021-06-30,MNST,45.64,45.91,45.55,45.7,109948
2021-07-01,MNST,45.59,45.82,45.5,45.63,131758
2021-07-02,MNST,45.82,46.0,45.38,45.4,94870
2021-07-06,MNST,45.43,45.55,45.17,45.29,135390
2021-07-07,MNST,45.44,45.46,45.24,45.43,100334
2021-07-08,MNST,45.13,45.44,44.8,44.91,156640
2021-07-09,MNST,44.74,45.27,44.74,45.12,100962
2021-07-12,MNST,45.23,45.63,45.11,45.6,84660
2021-07-13,MNST,45.8,46.19,45.8,46.01,140306
2021-07-14,MNST,46.14,46.74,46.14,46.51,223402
2021-07-15,MNST,46.5,46.94,46.47,46.77,122884
2021-07-16,MNST,46.93,47.0,46.52,46.55,105054
2021-07-19,MNST,46.5,46.65,45.94,46.09,227652
2021-07-20,MNST,46.29,47.08,46.29,46.9,116276
2021-07-21,MNST,46.8,47.21,46.6,46.7,79828
2021-07-22,MNST,46.59,46.78,46.34,46.67,121512
2021-07-23,MNST,47.48,48.46,47.32,48.16,240396
2021-07-26,MNST,48.03,48.21,47.61,48.0,286914
2021-07-27,MNST,48.13,48.26,47.34,47.58,479588
2021-07-28,MNST,47.42,47.75,46.89,47.04,118034
2021-07-29,MNST,47.2,47.41,46.93,47.27,88666
2021-07-30,MNST,47.37,47.54,47.03,47.15,176322
2021-08-02,MNST,47.17,47.29,46.31,46.68,203910
2021-08-03,MNST,46.6,46.84,46.12,46.53,189954
2021-08-04,MNST,46.47,46.7,45.96,46.01,178086
2021-08-05,MNST,46.18,46.23,45.92,45.99,136486
2021-08-06,MNST,47.06,49.25,47.06,48.48,555428
2021-08-09,MNST,48.61,49.44,48.61,49.22,209578
2021-08-10,MNST,49.35,49.94,49.25,49.4,128272
2021-08-11,MNST,49.55,49.81,49.2,49.35,120622
2021-08-12,MNST,49.2,49.32,48.73,48.81,169592
2021-08-13,MNST,48.65,49.11,48.65,49.07,113090
2021-08-16,MNST,49.18,49.28,48.91,49.19,150832
2021-08-17,MNST,49.03,49.03,48.68,48.77,130866
2021-08-18,MNST,48.78,48.78,47.92,47.93,60268
2021-08-19,MNST,47.59,48.64,47.57,48.6,85766
2021-08-20,MNST,48.52,48.84,48.27,48.36,87192
2021-08-23,MNST,48.23,48.54,48.13,48.38,54426
2021-08-24,MNST,48.27,48.34,47.9,48.34,89772
2021-08-25,MNST,48.22,48.65,48.09,48.57,59396
2021-08-26,MNST,48.44,48.68,48.36,48.44,126202
2021-08-27,MNST,48.6,48.77,48.32,48.67,71488
2021-08-30,MNST,48.75,48.95,48.55,48.9,68746
2021-08-31,MNST,48.92,48.94,48.59,48.79,123090
2021-09-01,MNST,48.92,49.08,48.64,48.87,104390
2021-09-02,MNST,48.94,49.2,48.62,48.81,81346
2021-09-03,MNST,48.4,48.87,48.38,48.79,75238
2021-09-07,MNST,48.63,48.63,47.54,47.59,100160
2021-09-08,MNST,47.55,48.43,47.53,48.43,136774
2021-09-09,MNST,48.33,48.54,48.12,48.18,70144
2021-09-10,MNST,48.25,48.28,47.95,47.97,154220
2021-09-13,MNST,48.36,48.38,47.62,47.69,251338
2021-09-14,MNST,47.83,48.1,47.46,47.49,154060
2021-09-15,MNST,47.45,47.88,47.21,47.57,177240
2021-09-16,MNST,47.57,48.02,47.36,47.95,78662
2021-09-17,MNST,47.51,47.81,47.12,47.33,147078
2021-09-20,MNST,47.12,47.12,45.99,46.4,89480
2021-09-21,MNST,46.67,46.79,45.89,45.93,186332
2021-09-22,MNST,46.14,46.59,45.72,46.28,273774
2021-09-23,MNST,46.33,46.78,46.27,46.52,293378
2021-09-24,MNST,46.32,46.6,46.08,46.39,158272
2021-09-27,MNST,46.05,46.27,45.65,45.9,86588
2021-09-28,MNST,45.73,45.73,44.61,44.76,203896
2021-09-29,MNST,44.75,44.98,44.62,44.68,138484
2021-09-30,MNST,44.98,45.04,44.42,44.42,323506
2021-10-01,MNST,44.71,45.08,44.18,44.99,200516
2021-10-04,MNST,44.87,45.14,44.08,44.26,302334
2021-10-05,MNST,44.48,45.01,44.29,44.76,109326
2021-10-06,MNST,44.41,45.17,44.34,45.05,153778
2021-10-07,MNST,45.42,45.72,45.01,45.03,265840
2021-10-08,MNST,45.25,45.25,44.6,44.64,210282
2021-10-11,MNST,44.61,44.63,43.97,44.02,87272
2021-10-12,MNST,44.07,44.4,43.84,43.97,127662
2021-10-13,MNST,43.24,43.45,42.48,42.65,301748
2021-10-14,MNST,42.98,43.2,42.64,42.8,375608
2021-10-15,MNST,42.9,43.15,42.59,42.79,205204
2021-10-18,MNST,42.65,43.01,42.45,42.71,118406
2021-10-19,MNST,42.72,42.84,42.23,42.51,296046
2021-10-20,MNST,43.02,43.02,42.46,42.52,138158
2021-10-21,MNST,42.5,42.75,42.33,42.63,283324
2021-10-22,MNST,42.79,43.02,42.25,42.36,127378
2021-10-25,MNST,42.33,42.45,42.03,42.19,211556
2021-10-26,MNST,42.34,42.95,42.32,42.8,272418
2021-10-27,MNST,42.99,42.99,41.86,42.45,326652
2021-10-28,MNST,42.65,42.79,42.17,42.44,152326
2021-10-29,MNST,42.48,42.67,42.41,42.5,270424
2021-11-01,MNST,42.59,42.89,42.47,42.73,438006
2021-11-02,MNST,42.88,43.28,42.71,42.94,217832
2021-11-03,MNST,43.22,43.69,43.05,43.67,267484
2021-11-04,MNST,43.66,44.02,43.42,43.87,149794
2021-11-05,MNST,45.25,45.94,45.0,45.83,390604
2021-11-08,MNST,45.69,45.89,45.25,45.41,213800
2021-11-09,MNST,45.35,46.0,45.14,45.93,135726
2021-11-10,MNST,46.0,46.62,45.9,46.01,157200
2021-11-11,MNST,46.05,46.36,45.93,46.14,156478
2021-11-12,MNST,46.33,46.33,45.5,46.05,268208
2021-11-15,MNST,46.16,46.53,46.1,46.51,296114
2021-11-16,MNST,46.69,46.89,46.14,46.15,219170
2021-11-17,MNST,46.06,46.15,45.6,45.7,180542
2021-11-18,MNST,45.35,45.35,44.32,44.71,221346
2021-11-19,MNST,44.64,45.0,44.54,44.65,145550
2021-11-22,MNST,46.1,46.12,44.72,45.06,432876
2021-11-23,MNST,45.0,45.22,43.55,44.33,202900
2021-11-24,MNST,44.23,44.61,44.12,44.56,136052
2021-11-26,MNST,44.27,44.4,43.42,43.58,87316
2021-11-29,MNST,43.66,43.66,43.31,43.4,168066
2021-11-30,MNST,43.32,43.33,41.79,41.88,317962
2021-12-01,MNST,42.43,42.43,40.48,40.52,195722
2021-12-02,MNST,40.95,41.88,40.91,41.46,261300
2021-12-03,MNST,41.7,41.92,41.31,41.85,216198
2021-12-06,MNST,42.38,42.94,42.02,42.86,169356
2021-12-07,MNST,43.08,44.39,43.01,44.21,411370
2021-12-08,MNST,44.23,44.51,43.77,44.45,154732
2021-12-09,MNST,44.05,44.44,44.05,44.15,282708
2021-12-10,MNST,44.52,45.01,44.35,44.79,255926
2021-12-13,MNST,44.82,45.14,44.47,44.92,148604
2021-12-14,MNST,44.8,45.32,44.7,45.21,179266
2021-12-15,MNST,45.33,45.65,44.85,45.62,494178
2021-12-16,MNST,45.8,46.27,45.63,45.82,425098
2021-12-17,MNST,45.63,46.55,45.26,45.77,320136
2021-12-20,MNST,45.31,45.88,44.81,45.83,666526
2021-12-21,MNST,45.84,46.45,45.84,46.41,165006
2021-12-22,MNST,46.21,46.77,46.21,46.73,92240
2021-12-23,MNST,46.75,47.15,46.75,46.92,128690
2021-12-27,MNST,47.2,47.45,47.04,47.4,81432
2021-12-28,MNST,47.38,47.62,47.19,47.36,114626
2021-12-29,MNST,47.49,47.99,47.48,47.9,90798
2021-12-30,MNST,48.16,48.2,47.63,47.7,86318
2021-12-31,MNST,47.7,48.11,47.61,48.02,95146
2022-01-03,MNST,47.92,48.33,47.47,48.27,148940
2022-01-04,MNST,48.23,48.98,48.23,48.89,149826
2022-01-05,MNST,48.64,49.34,48.0,48.03,189924
2022-01-06,MNST,48.01,48.37,47.65,47.78,318614
2022-01-07,MNST,47.6,47.83,47.02,47.03,231506
2022-01-10,MNST,46.79,46.91,45.58,46.35,433146
2022-01-11,MNST,46.2,47.36,45.79,47.28,183826
