date,tic,open,high,low,close,volume
2021-01-04,MOS,21.02,21.61,20.9,21.3,142615
2021-01-05,MOS,21.43,22.14,21.37,22.09,269779
2021-01-06,MOS,22.59,23.49,22.47,23.46,376807
2021-01-07,MOS,24.62,25.1,24.08,24.22,367261
2021-01-08,MOS,24.39,24.47,23.55,24.13,192051
2021-01-11,MOS,23.67,24.45,23.56,24.1,209988
2021-01-12,MOS,24.25,25.78,23.9,25.63,189267
2021-01-13,MOS,26.08,26.35,25.13,25.31,144495
2021-01-14,MOS,25.59,26.39,25.59,25.97,157019
2021-01-15,MOS,25.78,25.97,25.31,25.79,251834
2021-01-19,MOS,25.98,26.11,25.31,25.83,116374
2021-01-20,MOS,25.99,26.41,25.44,25.65,75884
2021-01-21,MOS,25.83,25.83,25.38,25.58,120060
2021-01-22,MOS,24.98,25.58,24.66,25.51,80125
2021-01-25,MOS,25.84,25.85,24.84,25.79,132140
2021-01-26,MOS,26.03,26.31,24.67,24.7,118480
2021-01-27,MOS,24.0,24.23,23.07,24.02,206570
2021-01-28,MOS,24.5,24.67,23.75,24.5,125009
2021-01-29,MOS,24.52,24.55,23.28,23.37,110821
2021-02-01,MOS,23.68,24.5,23.49,24.18,379935
2021-02-02,MOS,24.48,24.83,23.85,24.54,113926
2021-02-03,MOS,24.67,25.26,24.54,24.86,152026
2021-02-04,MOS,24.71,25.08,24.52,24.68,89752
2021-02-05,MOS,24.93,25.13,24.51,24.88,250411
2021-02-08,MOS,25.62,26.33,25.25,26.15,220081
2021-02-09,MOS,26.24,26.24,25.17,25.17,173342
2021-02-10,MOS,25.43,25.53,24.1,25.08,195823
2021-02-11,MOS,25.13,25.35,24.77,25.07,185329
2021-02-12,MOS,24.93,26.43,24.92,26.36,162378
2021-02-16,MOS,26.83,27.93,26.82,27.6,328110
2021-02-17,MOS,27.24,27.8,26.43,27.33,439250
2021-02-18,MOS,27.26,27.82,24.51,24.87,554777
2021-02-19,MOS,25.73,26.61,25.19,26.16,466333
2021-02-22,MOS,26.29,27.78,26.15,26.74,280111
2021-02-23,MOS,26.59,26.72,25.14,26.57,371088
2021-02-24,MOS,26.59,29.66,26.59,28.91,486058
2021-02-25,MOS,28.9,29.31,27.51,27.69,455752
2021-02-26,MOS,27.47,27.69,25.62,26.46,279780
2021-03-01,MOS,27.29,27.93,27.26,27.63,138169
2021-03-02,MOS,27.83,28.98,27.78,28.1,235670
2021-03-03,MOS,28.35,29.53,28.34,28.45,207000
2021-03-04,MOS,28.33,28.42,25.53,26.67,324631
2021-03-05,MOS,27.1,27.24,25.29,27.11,152862
2021-03-08,MOS,27.18,28.1,27.05,27.68,122094
2021-03-09,MOS,27.86,28.15,27.08,27.76,143632
2021-03-10,MOS,27.88,29.8,27.88,29.79,314420
2021-03-11,MOS,30.17,30.74,29.84,30.15,211825
2021-03-12,MOS,30.2,30.6,29.4,29.93,227387
2021-03-15,MOS,30.73,31.14,30.24,30.88,192249
2021-03-16,MOS,30.54,30.6,29.7,29.79,173768
2021-03-17,MOS,29.6,30.59,29.47,30.53,111429
2021-03-18,MOS,30.66,31.72,30.04,30.16,270965
2021-03-19,MOS,30.06,30.24,29.14,30.03,348139
2021-03-22,MOS,30.06,30.06,28.93,29.18,276215
