date,tic,open,high,low,close,volume
2021-01-04,MPC,36.57,36.96,35.38,35.71,122563
2021-01-05,MPC,35.96,37.98,35.95,36.86,251286
2021-01-06,MPC,37.8,38.19,36.8,37.69,189103
2021-01-07,MPC,37.83,39.24,37.65,38.73,160966
2021-01-08,MPC,39.16,39.16,37.81,37.91,193962
2021-01-11,MPC,37.03,38.44,36.99,38.23,184653
2021-01-12,MPC,38.23,40.15,38.23,39.98,413500
2021-01-13,MPC,39.78,39.78,38.27,38.92,377880
2021-01-14,MPC,38.89,40.4,38.63,39.91,160671
2021-01-15,MPC,39.21,39.27,38.01,38.61,240214
2021-01-19,MPC,38.87,40.9,38.63,40.43,278458
2021-01-20,MPC,40.73,41.15,39.68,40.52,122860
2021-01-21,MPC,40.57,40.73,39.49,39.79,176450
2021-01-22,MPC,38.72,40.19,38.51,40.14,240884
2021-01-25,MPC,39.43,40.72,39.0,40.52,239194
2021-01-26,MPC,40.95,41.38,39.49,39.59,182576
2021-01-27,MPC,38.6,39.91,37.9,38.52,385799
2021-01-28,MPC,38.93,39.61,38.14,39.25,148164
2021-01-29,MPC,38.79,39.8,37.82,37.83,249227
2021-02-01,MPC,38.44,38.6,37.13,38.08,198705
2021-02-02,MPC,38.9,40.71,38.9,39.61,343185
2021-02-03,MPC,39.87,41.61,39.84,41.47,404456
2021-02-04,MPC,41.87,42.33,40.86,41.51,188281
2021-02-05,MPC,42.04,42.26,41.42,41.8,149226
2021-02-08,MPC,42.44,43.71,42.39,43.36,238423
2021-02-09,MPC,43.0,43.05,42.24,42.85,217992
2021-02-10,MPC,42.96,43.97,42.43,43.7,178178
2021-02-11,MPC,43.63,43.79,42.7,43.65,130493
2021-02-12,MPC,43.22,44.36,43.22,44.28,149358
2021-02-16,MPC,45.03,46.16,45.03,45.63,238896
2021-02-17,MPC,45.88,46.21,44.76,46.01,162536
2021-02-18,MPC,45.76,46.04,45.08,45.42,162884
2021-02-19,MPC,45.74,47.27,45.72,47.03,262316
2021-02-22,MPC,47.57,49.4,47.43,48.64,324978
2021-02-23,MPC,48.76,49.78,47.78,49.46,497240
2021-02-24,MPC,49.68,50.53,49.52,50.25,258945
2021-02-25,MPC,50.46,50.46,48.28,48.83,254942
2021-02-26,MPC,48.33,48.93,46.3,48.54,242576
2021-03-01,MPC,49.58,50.32,48.82,49.8,221881
2021-03-02,MPC,49.95,50.6,49.38,49.69,238346
2021-03-03,MPC,50.03,51.15,49.47,49.72,290143
2021-03-04,MPC,49.94,50.91,48.74,50.09,201817
2021-03-05,MPC,51.61,51.69,48.9,50.82,365498
2021-03-08,MPC,51.44,52.1,50.24,50.66,318709
2021-03-09,MPC,50.27,51.59,49.49,49.49,276851
2021-03-10,MPC,50.06,51.82,50.03,51.6,341396
