date,tic,open,high,low,close,volume
2021-01-04,MPWR,361.15,368.86,350.29,352.83,55518
2021-01-05,MPWR,353.46,358.63,352.41,357.93,19872
2021-01-06,MPWR,352.65,364.19,344.82,344.82,67921
2021-01-07,MPWR,353.16,369.29,351.94,368.18,37462
2021-01-08,MPWR,377.01,379.01,369.73,374.11,48418
2021-01-11,MPWR,371.06,382.44,369.56,379.62,45556
2021-01-12,MPWR,382.33,382.33,373.07,378.71,28672
2021-01-13,MPWR,378.73,380.54,375.09,375.71,15265
2021-01-14,MPWR,375.89,380.07,372.09,372.73,19291
2021-01-15,MPWR,373.48,373.48,363.07,366.68,23478
2021-01-19,MPWR,375.04,381.21,370.3,377.94,26901
2021-01-20,MPWR,384.58,387.3,381.49,382.37,12460
2021-01-21,MPWR,386.68,390.35,382.22,389.29,13705
2021-01-22,MPWR,385.31,391.1,380.82,383.44,12568
2021-01-25,MPWR,392.01,392.56,371.73,377.8,15433
2021-01-26,MPWR,378.47,378.47,368.87,371.23,18637
2021-01-27,MPWR,363.66,364.53,339.76,339.82,46800
2021-01-28,MPWR,348.64,359.52,344.51,354.51,34674
2021-01-29,MPWR,363.93,363.93,344.01,344.01,37531
2021-02-01,MPWR,352.16,356.04,347.14,355.32,15684
2021-02-02,MPWR,360.09,362.35,356.24,361.83,12103
2021-02-03,MPWR,364.68,364.68,351.95,353.45,27736
2021-02-04,MPWR,356.72,359.88,350.19,354.72,56717
2021-02-05,MPWR,370.57,376.1,345.27,345.99,78362
2021-02-08,MPWR,349.75,357.66,347.46,355.14,52986
2021-02-09,MPWR,354.13,369.59,353.05,365.86,85265
2021-02-10,MPWR,368.76,368.76,359.16,360.46,41422
2021-02-11,MPWR,365.57,372.82,359.67,371.98,59484
2021-02-12,MPWR,373.51,375.58,365.07,372.83,37215
2021-02-16,MPWR,379.75,385.04,373.36,374.6,33303
2021-02-17,MPWR,368.36,371.91,360.04,367.75,28663
2021-02-18,MPWR,362.22,364.4,355.02,363.29,22158
2021-02-19,MPWR,365.37,380.83,365.37,380.46,30732
2021-02-22,MPWR,370.91,375.3,359.11,360.05,28252
2021-02-23,MPWR,344.03,362.9,340.55,359.7,39148
2021-02-24,MPWR,357.48,375.04,352.1,375.04,27880
2021-02-25,MPWR,369.29,371.81,348.48,350.47,22125
2021-02-26,MPWR,358.44,364.47,352.51,362.36,41064
2021-03-01,MPWR,370.99,378.52,366.21,376.09,27340
2021-03-02,MPWR,375.63,375.63,357.05,357.08,23238
2021-03-03,MPWR,360.75,360.75,342.72,342.88,34372
2021-03-04,MPWR,339.38,339.38,315.07,316.51,51701
2021-03-05,MPWR,323.04,326.37,299.79,321.58,32922
2021-03-08,MPWR,314.98,322.14,291.52,291.52,39647
2021-03-09,MPWR,304.01,321.83,303.69,312.52,136007
2021-03-10,MPWR,319.45,322.82,311.82,311.82,49628
2021-03-11,MPWR,329.66,332.22,325.02,325.9,40927
2021-03-12,MPWR,317.66,321.36,314.86,319.94,26709
2021-03-15,MPWR,321.1,330.36,319.83,330.36,23806
2021-03-16,MPWR,335.26,339.65,329.28,331.03,16051
