date,tic,open,high,low,close,volume
2021-01-04,MRK,69.97,70.01,68.23,69.1,347109
2021-01-05,MRK,68.87,69.48,68.22,69.25,289869
2021-01-06,MRK,68.89,70.62,68.75,70.34,373929
2021-01-07,MRK,70.5,72.02,70.15,71.76,252994
2021-01-08,MRK,71.9,71.9,70.49,70.85,277663
2021-01-11,MRK,71.28,73.04,71.11,72.57,262130
2021-01-12,MRK,72.66,72.66,70.48,70.92,263116
2021-01-13,MRK,71.11,71.11,70.25,70.31,300516
2021-01-14,MRK,70.47,70.67,69.9,70.16,411341
2021-01-15,MRK,70.0,71.28,69.76,71.23,331664
2021-01-19,MRK,71.34,71.59,70.6,71.02,333200
2021-01-20,MRK,71.03,71.31,70.23,70.39,339337
2021-01-21,MRK,70.0,70.0,69.11,69.28,346708
2021-01-22,MRK,69.1,69.51,68.96,69.16,391538
2021-01-25,MRK,69.23,69.28,68.39,69.28,394406
2021-01-26,MRK,69.2,69.2,68.41,68.54,446919
2021-01-27,MRK,68.17,68.32,65.6,65.73,751264
2021-01-28,MRK,66.01,67.01,65.81,66.54,478502
2021-01-29,MRK,66.47,66.88,65.22,65.74,506774
2021-02-01,MRK,66.62,66.87,66.04,66.04,288950
2021-02-02,MRK,66.42,67.35,66.35,66.42,332921
2021-02-03,MRK,66.34,66.71,65.87,65.99,299091
2021-02-04,MRK,65.65,65.72,64.49,64.9,683299
2021-02-05,MRK,65.25,65.72,64.38,64.7,611875
2021-02-08,MRK,64.77,64.88,63.73,64.05,665233
2021-02-09,MRK,64.11,64.11,63.49,64.04,386523
2021-02-10,MRK,64.28,64.32,63.63,63.91,371214
2021-02-11,MRK,63.93,64.1,63.38,63.79,333745
2021-02-12,MRK,63.75,64.09,63.63,64.04,297695
2021-02-16,MRK,64.33,64.33,63.21,63.38,296539
2021-02-17,MRK,63.56,64.91,63.49,64.49,492147
2021-02-18,MRK,64.17,64.75,64.09,64.34,483734
2021-02-19,MRK,64.4,64.43,63.4,63.46,478547
2021-02-22,MRK,63.52,64.07,62.94,63.95,255133
2021-02-23,MRK,64.18,64.84,63.58,63.62,306852
2021-02-24,MRK,63.85,64.24,63.5,63.65,345304
2021-02-25,MRK,63.31,64.02,63.25,63.72,578683
2021-02-26,MRK,63.66,63.74,61.94,62.04,498527
2021-03-01,MRK,62.39,62.63,61.63,61.79,399803
2021-03-02,MRK,62.13,62.74,61.81,62.18,528215
2021-03-03,MRK,61.91,62.93,61.83,62.57,509794
2021-03-04,MRK,62.47,62.58,61.23,61.56,468639
2021-03-05,MRK,61.81,62.67,61.49,62.43,334392
2021-03-08,MRK,63.49,64.49,62.68,63.3,516561
2021-03-09,MRK,63.64,64.41,63.33,63.33,653407
2021-03-10,MRK,63.87,64.22,63.28,63.81,502064
2021-03-11,MRK,63.91,64.3,63.68,63.71,471112
2021-03-12,MRK,63.79,64.47,63.79,64.26,551129
2021-03-15,MRK,64.8,65.93,64.66,65.67,760515
2021-03-16,MRK,65.71,66.44,65.66,66.15,741797
2021-03-17,MRK,66.05,66.73,65.43,66.55,711797
2021-03-18,MRK,66.52,67.32,66.49,66.5,659325
2021-03-19,MRK,66.52,67.37,65.47,66.74,1169734
2021-03-22,MRK,65.34,66.9,65.34,66.76,475888
2021-03-23,MRK,66.56,66.56,65.48,65.69,428851
2021-03-24,MRK,65.52,66.03,65.4,65.66,350516
2021-03-25,MRK,65.84,65.95,64.9,65.52,392680
2021-03-26,MRK,65.57,66.7,65.32,66.66,252448
2021-03-29,MRK,66.56,67.63,66.46,67.43,352170
2021-03-30,MRK,67.2,67.21,66.13,66.24,389578
2021-03-31,MRK,66.39,66.9,66.0,66.37,367908
2021-04-01,MRK,66.44,66.7,66.16,66.4,282732
2021-04-05,MRK,66.87,67.07,66.12,66.31,584633
2021-04-06,MRK,66.18,66.23,65.13,65.25,748986
2021-04-07,MRK,65.5,65.75,65.2,65.56,354881
2021-04-08,MRK,65.71,65.77,64.82,64.99,418086
2021-04-09,MRK,65.02,65.77,64.95,65.71,246296
2021-04-12,MRK,65.69,65.95,65.44,65.61,333644
2021-04-13,MRK,65.44,66.1,65.36,65.81,163983
