date,tic,open,high,low,close,volume
2021-01-04,MRVL,46.85,47.56,44.91,45.34,484294
2021-01-05,MRVL,45.08,46.62,45.08,46.6,202975
2021-01-06,MRVL,45.83,46.61,45.44,45.57,208876
2021-01-07,MRVL,46.36,48.12,46.36,48.05,375749
2021-01-08,MRVL,48.9,49.6,47.43,48.08,479833
2021-01-11,MRVL,47.74,49.51,47.46,49.26,369556
2021-01-12,MRVL,49.98,50.19,49.05,49.64,188702
2021-01-13,MRVL,49.62,49.66,48.44,49.21,165834
2021-01-14,MRVL,49.19,50.87,48.98,50.23,516971
2021-01-15,MRVL,50.4,50.65,49.25,49.75,267835
2021-01-19,MRVL,50.65,53.24,50.65,52.71,460770
2021-01-20,MRVL,54.07,54.54,52.93,52.93,392435
2021-01-21,MRVL,53.44,53.44,51.83,52.3,287060
2021-01-22,MRVL,51.77,52.27,51.53,51.53,208060
2021-01-25,MRVL,52.27,53.75,51.45,53.38,351312
2021-01-26,MRVL,53.52,53.81,52.12,52.94,192919
2021-01-27,MRVL,52.02,52.48,49.91,50.05,458817
2021-01-28,MRVL,50.58,51.97,50.54,51.09,285633
2021-01-29,MRVL,51.05,51.41,50.01,50.39,243844
2021-02-01,MRVL,51.0,51.98,50.56,51.76,224115
2021-02-02,MRVL,52.85,52.85,50.81,51.73,198231
2021-02-03,MRVL,51.82,51.89,49.7,50.01,272168
2021-02-04,MRVL,50.16,50.19,48.93,49.1,188169
2021-02-05,MRVL,49.63,49.63,48.61,49.03,306288
2021-02-08,MRVL,49.45,50.56,49.38,50.54,195966
2021-02-09,MRVL,50.17,50.69,49.98,50.19,147179
2021-02-10,MRVL,50.25,50.33,48.85,49.52,219318
2021-02-11,MRVL,50.16,51.17,49.82,51.06,307108
2021-02-12,MRVL,51.03,53.02,50.52,52.71,382681
2021-02-16,MRVL,53.42,53.43,51.55,51.86,308319
2021-02-17,MRVL,51.03,51.21,49.09,49.45,335574
2021-02-18,MRVL,48.94,49.94,48.26,49.43,430943
2021-02-19,MRVL,50.12,51.16,49.79,50.78,434695
2021-02-22,MRVL,50.16,50.3,48.47,48.7,298223
2021-02-23,MRVL,47.19,48.39,45.74,47.82,426733
2021-02-24,MRVL,47.45,48.28,46.51,48.27,363821
2021-02-25,MRVL,47.83,48.36,45.2,45.59,323629
2021-02-26,MRVL,46.36,47.57,45.69,47.34,381364
2021-03-01,MRVL,48.11,48.53,47.23,48.53,227719
2021-03-02,MRVL,48.79,48.79,46.82,46.82,288822
2021-03-03,MRVL,46.04,46.57,44.41,44.53,476207
2021-03-04,MRVL,42.23,42.68,39.09,39.23,1512793
2021-03-05,MRVL,39.86,40.78,37.18,40.66,744696
2021-03-08,MRVL,41.52,42.05,39.16,39.28,675871
2021-03-09,MRVL,41.3,43.58,40.82,42.95,866094
2021-03-10,MRVL,43.9,43.95,41.88,41.88,681877
2021-03-11,MRVL,43.68,45.69,43.39,45.37,707437
2021-03-12,MRVL,44.05,46.5,44.0,46.15,457322
2021-03-15,MRVL,46.38,47.39,46.2,47.39,298098
2021-03-16,MRVL,47.75,48.18,46.62,46.98,359529
2021-03-17,MRVL,45.73,47.5,45.39,47.14,329438
2021-03-18,MRVL,46.24,46.45,44.57,44.61,331335
2021-03-19,MRVL,44.98,46.27,44.61,46.1,449638
2021-03-22,MRVL,46.92,47.55,46.37,46.75,281573
2021-03-23,MRVL,46.72,46.8,45.01,45.21,403620
2021-03-24,MRVL,45.94,46.46,44.3,44.3,635577
2021-03-25,MRVL,43.25,44.14,42.78,43.83,437358
2021-03-26,MRVL,43.62,46.1,43.58,46.07,454935
2021-03-29,MRVL,45.8,46.16,44.99,45.55,350778
2021-03-30,MRVL,45.34,46.53,45.02,46.38,334272
2021-03-31,MRVL,47.08,48.58,46.93,48.0,341955
2021-04-01,MRVL,48.81,48.88,47.83,48.7,439630
2021-04-05,MRVL,49.38,50.16,49.1,50.03,332607
2021-04-06,MRVL,49.52,50.16,49.1,49.77,246052
2021-04-07,MRVL,49.64,49.88,49.1,49.31,237162
2021-04-08,MRVL,50.11,50.54,49.03,49.47,291568
2021-04-09,MRVL,48.75,49.23,48.41,48.69,326137
2021-04-12,MRVL,48.4,49.15,47.84,48.74,427509
2021-04-13,MRVL,48.92,49.06,47.31,47.86,147093
2021-04-14,MRVL,47.92,48.42,46.96,47.18,205905
2021-04-15,MRVL,47.74,48.12,47.31,47.92,210527
2021-04-16,MRVL,47.8,47.97,46.58,47.03,419087
2021-04-19,MRVL,46.59,46.93,45.29,45.79,208634
2021-04-20,MRVL,45.65,46.26,44.85,44.96,469424
2021-04-21,MRVL,44.81,46.63,44.44,46.61,177779
2021-04-22,MRVL,46.75,46.75,44.23,44.25,491315
2021-04-23,MRVL,44.62,45.62,44.49,45.29,232611
2021-04-26,MRVL,45.56,46.54,45.5,46.45,277973
2021-04-27,MRVL,46.62,46.77,45.01,45.08,267290
2021-04-28,MRVL,45.06,46.17,44.75,45.96,306271
2021-04-29,MRVL,46.44,46.59,45.37,46.4,118433
2021-04-30,MRVL,45.51,45.87,44.25,44.37,210370
2021-05-03,MRVL,44.72,44.72,43.33,43.5,185156
2021-05-04,MRVL,42.67,43.7,41.92,43.7,399308
2021-05-05,MRVL,44.13,44.8,43.6,43.96,162112
2021-05-06,MRVL,43.61,44.83,43.28,44.73,146574
2021-05-07,MRVL,45.07,45.74,44.72,45.12,90074
2021-05-10,MRVL,44.51,45.01,43.5,43.5,192038
2021-05-11,MRVL,41.86,43.76,41.32,43.46,304065
2021-05-12,MRVL,42.14,42.29,40.43,40.76,423342
2021-05-13,MRVL,41.27,41.97,40.06,40.83,181359
2021-05-14,MRVL,41.58,43.01,41.17,42.51,193508
2021-05-17,MRVL,42.08,42.48,41.5,42.04,95761
2021-05-18,MRVL,42.27,42.42,41.59,41.7,160705
2021-05-19,MRVL,40.7,44.01,40.53,43.75,409256
2021-05-20,MRVL,43.98,45.58,43.98,45.46,693292
2021-05-21,MRVL,45.83,45.85,45.1,45.4,333619
2021-05-24,MRVL,45.87,47.0,45.79,46.74,190806
2021-05-25,MRVL,47.09,47.53,46.69,47.18,248962
2021-05-26,MRVL,47.49,47.89,46.99,47.75,395275
2021-05-27,MRVL,47.48,47.79,46.99,47.53,177033
2021-05-28,MRVL,47.57,48.3,47.37,47.44,193036
2021-06-01,MRVL,47.69,48.06,46.74,46.9,134772
2021-06-02,MRVL,46.81,47.14,46.42,46.69,100840
2021-06-03,MRVL,46.11,47.02,45.97,46.32,188254
2021-06-04,MRVL,46.79,47.9,46.79,47.83,118538
2021-06-07,MRVL,47.8,47.97,47.29,47.46,242096
2021-06-08,MRVL,50.25,51.65,48.52,49.82,964393
2021-06-09,MRVL,49.67,50.37,49.25,49.44,291800
2021-06-10,MRVL,49.49,50.98,49.42,50.89,346410
2021-06-11,MRVL,50.72,51.14,50.32,51.13,253869
2021-06-14,MRVL,51.39,53.03,51.3,52.81,237943
2021-06-15,MRVL,52.67,52.91,52.16,52.61,122518
2021-06-16,MRVL,52.9,53.54,52.26,53.13,235741
2021-06-17,MRVL,52.92,54.4,52.88,54.15,233173
2021-06-18,MRVL,53.61,54.25,53.16,53.16,237009
