date,tic,open,high,low,close,volume
2021-01-04,MS,59.06,59.67,57.83,58.3,493863
2021-01-05,MS,58.36,59.81,58.25,59.33,395557
2021-01-06,MS,60.94,63.91,60.25,62.9,750311
2021-01-07,MS,63.84,65.3,63.84,63.98,560024
2021-01-08,MS,64.04,64.29,63.05,64.29,427503
2021-01-11,MS,63.29,65.28,62.9,64.94,211683
2021-01-12,MS,65.31,65.85,64.46,64.73,379559
2021-01-13,MS,64.72,65.2,64.03,64.47,318311
2021-01-14,MS,64.68,65.56,64.67,65.25,397555
2021-01-15,MS,63.93,64.49,63.3,64.27,455671
2021-01-19,MS,65.06,65.27,63.76,64.01,420687
2021-01-20,MS,65.13,66.33,63.43,63.9,696091
2021-01-21,MS,63.37,64.76,62.96,63.73,535225
2021-01-22,MS,62.03,63.74,61.94,63.3,712777
2021-01-25,MS,62.67,63.17,61.4,61.75,480065
2021-01-26,MS,62.09,62.56,60.74,60.78,320382
2021-01-27,MS,59.53,59.96,57.96,58.26,816846
2021-01-28,MS,59.37,60.7,58.92,59.46,751449
2021-01-29,MS,59.29,60.1,57.36,57.5,468475
2021-02-01,MS,58.23,58.43,57.73,58.04,515121
2021-02-02,MS,59.31,61.22,59.22,60.86,889416
2021-02-03,MS,60.76,61.19,60.32,60.57,544897
2021-02-04,MS,60.84,62.03,60.75,62.03,431867
2021-02-05,MS,62.79,63.23,62.24,62.79,564497
2021-02-08,MS,63.24,63.68,62.96,63.66,468887
2021-02-09,MS,63.4,64.06,62.94,63.69,395336
2021-02-10,MS,63.87,64.22,63.15,63.78,323581
2021-02-11,MS,63.77,64.1,62.43,63.29,358054
2021-02-12,MS,63.38,64.35,63.38,63.99,314461
2021-02-16,MS,65.12,65.55,64.68,65.25,390164
2021-02-17,MS,64.34,65.08,64.11,64.74,284882
2021-02-18,MS,64.44,64.8,63.63,64.15,372026
2021-02-19,MS,64.74,65.5,64.74,65.17,291259
2021-02-22,MS,64.85,66.9,64.85,66.41,662904
2021-02-23,MS,66.41,66.77,65.42,66.49,570654
2021-02-24,MS,66.64,68.71,66.64,68.55,564050
2021-02-25,MS,69.1,69.81,67.0,67.27,401752
2021-02-26,MS,66.97,67.62,65.56,65.98,591112
2021-03-01,MS,66.99,68.23,66.98,67.91,374778
2021-03-02,MS,68.6,69.93,68.31,69.31,450225
2021-03-03,MS,69.64,71.11,69.64,70.24,526945
2021-03-04,MS,70.32,71.59,68.49,69.61,444247
2021-03-05,MS,70.71,70.76,67.24,69.37,653652
2021-03-08,MS,70.13,71.16,69.31,69.52,422379
2021-03-09,MS,68.76,70.62,68.14,69.37,441059
2021-03-10,MS,70.12,71.56,69.96,71.28,568699
2021-03-11,MS,71.04,71.89,70.76,71.43,473235
2021-03-12,MS,72.29,72.98,71.89,72.35,507397
2021-03-15,MS,72.44,72.95,71.17,71.96,261819
2021-03-16,MS,71.62,71.76,70.21,70.8,271376
2021-03-17,MS,71.65,72.14,70.75,71.96,209661
2021-03-18,MS,72.68,74.3,71.83,72.0,466599
2021-03-19,MS,71.13,71.71,69.85,71.22,263976
2021-03-22,MS,70.71,70.72,69.91,70.3,320601
2021-03-23,MS,69.56,70.26,67.65,67.89,532127
2021-03-24,MS,68.78,69.85,68.06,68.06,398797
2021-03-25,MS,68.01,68.95,67.19,68.75,459138
2021-03-26,MS,69.78,70.02,67.83,68.63,564171
2021-03-29,MS,65.84,67.62,65.19,66.7,1199816
2021-03-30,MS,67.52,68.63,67.49,67.84,581983
2021-03-31,MS,67.43,67.74,66.62,66.62,568228
2021-04-01,MS,66.71,67.15,66.49,67.1,463031
2021-04-05,MS,67.97,68.03,66.76,66.9,304400
2021-04-06,MS,66.75,67.86,66.55,67.85,516259
2021-04-07,MS,67.79,68.36,67.3,67.8,384034
2021-04-08,MS,67.4,69.05,67.1,68.79,342024
2021-04-09,MS,69.04,69.24,68.1,69.18,753196
2021-04-12,MS,69.43,69.51,68.21,68.79,301255
2021-04-13,MS,68.41,68.63,67.75,68.21,178826
2021-04-14,MS,68.16,70.38,68.05,69.28,447495
2021-04-15,MS,69.75,69.81,68.51,69.37,336951
2021-04-16,MS,69.47,70.05,66.71,67.41,1313637
