date,tic,open,high,low,close,volume
2021-01-04,MSI,160.06,160.96,155.9,157.49,35178
2021-01-05,MSI,158.0,158.27,156.06,156.6,35706
2021-01-06,MSI,156.72,161.09,156.72,160.57,54960
2021-01-07,MSI,160.86,163.12,160.69,161.01,38644
2021-01-08,MSI,162.29,164.3,161.79,164.29,29031
2021-01-11,MSI,162.71,164.39,162.71,163.55,27952
2021-01-12,MSI,163.15,165.03,163.06,164.09,32284
2021-01-13,MSI,163.34,164.31,162.51,163.8,28385
2021-01-14,MSI,163.49,166.33,163.02,163.35,28034
2021-01-15,MSI,163.32,163.97,161.2,163.28,37708
2021-01-19,MSI,163.65,164.02,161.4,161.42,29416
2021-01-20,MSI,161.49,162.99,160.6,162.76,34145
2021-01-21,MSI,162.13,162.86,160.56,162.33,38803
2021-01-22,MSI,161.82,163.8,160.98,163.62,14681
2021-01-25,MSI,164.46,164.84,162.51,163.41,26555
2021-01-26,MSI,162.85,163.32,160.76,162.39,33768
2021-01-27,MSI,160.19,164.56,160.19,161.17,50178
2021-01-28,MSI,160.41,162.66,159.72,159.89,51207
2021-01-29,MSI,160.17,162.6,157.24,157.48,50657
2021-02-01,MSI,159.71,165.24,159.49,164.48,63706
2021-02-02,MSI,165.22,169.2,165.16,168.26,37225
2021-02-03,MSI,168.42,170.01,166.68,168.83,41539
2021-02-04,MSI,168.46,171.99,168.46,171.54,65583
2021-02-05,MSI,171.04,172.35,168.03,171.31,38602
2021-02-08,MSI,171.74,173.02,170.51,171.78,41434
2021-02-09,MSI,171.96,173.05,171.0,172.18,43273
2021-02-10,MSI,172.67,173.42,171.96,172.5,33567
2021-02-11,MSI,172.5,172.57,170.66,171.12,53807
2021-02-12,MSI,171.15,171.87,169.45,170.5,34382
2021-02-16,MSI,170.46,173.47,170.46,172.46,43443
2021-02-17,MSI,171.63,172.13,170.52,171.23,20899
2021-02-18,MSI,170.29,172.49,170.12,172.13,27946
2021-02-19,MSI,172.81,173.81,171.82,171.96,20481
2021-02-22,MSI,170.61,171.8,169.83,170.08,42436
2021-02-23,MSI,169.39,169.39,166.77,168.12,38382
2021-02-24,MSI,168.3,171.7,168.23,170.53,25393
2021-02-25,MSI,169.79,170.72,168.93,169.86,29117
2021-02-26,MSI,169.87,170.01,165.13,165.13,39287
