date,tic,open,high,low,close,volume
2021-01-04,MSTR,41.77,44.16,41.08,42.43,654740
2021-01-05,MSTR,42.44,43.61,40.67,42.83,411760
2021-01-06,MSTR,43.13,48.16,43.09,48.06,682070
2021-01-07,MSTR,52.02,55.82,50.31,53.79,738800
2021-01-08,MSTR,55.52,55.92,51.66,53.2,427700
2021-01-11,MSTR,47.16,50.81,46.6,49.43,336770
2021-01-12,MSTR,50.02,51.63,48.82,51.38,204450
2021-01-13,MSTR,50.36,52.16,49.3,51.97,191860
2021-01-14,MSTR,54.45,63.06,53.96,63.06,407750
2021-01-15,MSTR,60.83,61.88,57.41,57.69,620250
2021-01-19,MSTR,61.55,61.99,57.98,59.11,290430
2021-01-20,MSTR,58.82,58.82,53.32,54.98,316990
2021-01-21,MSTR,51.28,53.21,50.46,51.92,304610
2021-01-22,MSTR,53.13,57.89,52.73,57.83,197560
2021-01-25,MSTR,59.09,59.82,55.3,57.13,199780
2021-01-26,MSTR,55.76,56.25,54.61,56.03,148110
2021-01-27,MSTR,53.63,54.66,50.99,53.86,311470
2021-01-28,MSTR,56.03,60.4,55.23,57.77,313550
2021-01-29,MSTR,68.04,69.29,61.0,61.96,568720
2021-02-01,MSTR,61.74,63.78,58.95,63.23,192580
2021-02-02,MSTR,64.54,69.04,63.87,68.57,188850
2021-02-03,MSTR,70.62,74.99,70.3,74.04,224060
2021-02-04,MSTR,76.64,76.64,72.12,76.4,202400
2021-02-05,MSTR,77.24,80.4,74.51,80.32,241300
2021-02-08,MSTR,92.52,104.68,89.2,104.12,677910
2021-02-09,MSTR,113.75,130.6,107.01,127.92,807960
2021-02-10,MSTR,119.8,119.8,95.63,97.81,390350
2021-02-11,MSTR,113.41,113.55,97.87,100.75,490870
2021-02-12,MSTR,101.35,104.32,96.02,103.51,258390
2021-02-16,MSTR,106.99,107.39,95.41,95.57,522350
2021-02-17,MSTR,94.12,94.92,88.26,94.35,702360
2021-02-18,MSTR,92.1,95.77,90.43,92.44,329210
2021-02-19,MSTR,93.31,100.42,91.62,96.28,545920
2021-02-22,MSTR,87.03,92.49,86.77,87.92,186160
2021-02-23,MSTR,78.74,79.19,65.99,68.91,1072840
2021-02-24,MSTR,74.73,80.85,72.37,80.85,290660
2021-02-25,MSTR,84.02,84.14,72.76,72.95,278390
2021-02-26,MSTR,68.74,79.75,68.26,74.84,140180
2021-03-01,MSTR,79.93,80.36,75.99,78.32,225080
2021-03-02,MSTR,81.23,81.38,74.26,74.95,193890
2021-03-03,MSTR,77.69,79.5,72.72,72.96,272590
2021-03-04,MSTR,71.13,73.53,61.32,64.45,443770
2021-03-05,MSTR,65.88,65.88,53.82,62.12,387830
2021-03-08,MSTR,64.2,66.52,61.75,62.56,150460
2021-03-09,MSTR,68.74,73.31,68.44,71.74,397390
2021-03-10,MSTR,74.24,75.79,71.32,75.79,176250
2021-03-11,MSTR,77.32,80.38,76.59,80.31,217730
2021-03-12,MSTR,76.36,80.89,76.07,78.48,218320
2021-03-15,MSTR,78.79,80.49,76.32,76.84,264370
2021-03-16,MSTR,75.39,76.44,70.46,72.25,133710
2021-03-17,MSTR,71.04,78.44,70.37,77.09,275900
2021-03-18,MSTR,75.16,80.4,72.74,73.03,307700
