date,tic,open,high,low,close,volume
2021-01-04,MTB,109.93,110.55,107.02,108.22,40701
2021-01-05,MTB,108.08,110.37,107.12,109.61,48893
2021-01-06,MTB,114.62,119.99,114.62,119.34,87745
2021-01-07,MTB,123.2,127.17,123.09,125.92,81652
2021-01-08,MTB,125.05,125.05,120.59,123.11,75911
2021-01-11,MTB,121.09,125.34,121.09,125.14,36321
2021-01-12,MTB,125.77,128.76,125.08,127.66,52108
2021-01-13,MTB,126.95,127.11,123.68,125.24,59183
2021-01-14,MTB,126.37,128.36,125.84,127.38,38789
2021-01-15,MTB,124.97,125.78,122.8,123.62,28213
2021-01-19,MTB,123.72,125.19,123.34,124.71,46682
2021-01-20,MTB,123.21,124.29,121.89,122.71,34234
2021-01-21,MTB,122.61,124.54,120.16,123.42,59919
2021-01-22,MTB,122.23,123.25,120.7,122.14,35809
2021-01-25,MTB,120.01,120.38,116.69,119.4,62142
2021-01-26,MTB,120.51,120.75,117.0,117.1,58615
2021-01-27,MTB,114.56,114.83,112.75,113.09,69171
2021-01-28,MTB,115.42,117.91,113.71,117.04,74059
2021-01-29,MTB,116.87,117.05,112.48,112.99,37556
2021-02-01,MTB,113.95,113.95,112.07,113.44,30962
2021-02-02,MTB,114.56,117.3,114.09,116.11,32160
2021-02-03,MTB,116.03,117.33,115.1,117.33,39388
2021-02-04,MTB,119.43,121.49,119.43,120.46,34195
2021-02-05,MTB,121.16,121.45,119.5,119.92,19638
2021-02-08,MTB,119.94,122.61,119.94,121.88,30212
2021-02-09,MTB,121.99,122.29,120.92,122.08,33886
2021-02-10,MTB,121.8,124.04,121.72,122.29,22247
2021-02-11,MTB,121.8,122.37,119.86,121.37,25915
2021-02-12,MTB,121.94,121.99,120.7,121.44,21873
2021-02-16,MTB,122.96,127.59,122.67,126.8,37200
2021-02-17,MTB,125.87,127.65,125.3,126.46,37944
2021-02-18,MTB,125.05,126.22,124.09,125.12,31883
2021-02-19,MTB,127.26,128.43,127.14,127.87,18624
2021-02-22,MTB,127.31,133.08,127.14,132.4,165371
2021-02-23,MTB,131.77,136.26,131.77,136.02,95455
2021-02-24,MTB,136.14,139.58,135.56,138.43,65923
2021-02-25,MTB,140.27,140.52,133.34,133.74,54284
2021-02-26,MTB,132.04,132.96,129.1,129.83,59856
2021-03-01,MTB,132.12,134.37,131.91,132.51,55796
2021-03-02,MTB,133.19,133.81,131.89,132.95,37901
2021-03-03,MTB,133.6,136.89,133.24,133.76,40248
2021-03-04,MTB,134.31,135.35,129.15,131.4,29772
2021-03-05,MTB,134.28,135.67,129.09,134.38,39606
2021-03-08,MTB,136.48,138.98,135.96,136.74,33003
2021-03-09,MTB,132.87,134.4,131.36,131.54,45693
2021-03-10,MTB,132.72,134.55,132.17,134.52,39237
2021-03-11,MTB,133.25,135.44,132.26,133.69,43858
2021-03-12,MTB,137.27,137.8,134.27,135.5,31854
2021-03-15,MTB,135.04,135.04,131.69,133.4,45539
2021-03-16,MTB,131.47,131.47,129.79,131.18,38649
2021-03-17,MTB,132.86,133.15,130.26,131.35,26312
2021-03-18,MTB,133.61,138.28,132.32,133.51,52805
2021-03-19,MTB,131.09,132.96,129.47,130.74,54535
2021-03-22,MTB,129.28,129.34,126.34,128.35,32733
2021-03-23,MTB,126.51,128.46,125.39,126.09,29067
2021-03-24,MTB,127.3,130.46,127.07,127.1,44542
2021-03-25,MTB,127.07,131.54,125.39,131.14,27216
2021-03-26,MTB,132.73,133.96,131.59,133.36,31540
2021-03-29,MTB,131.18,132.0,127.81,129.23,25904
2021-03-30,MTB,131.15,132.75,130.74,131.99,23789
2021-03-31,MTB,131.53,132.35,130.25,130.25,70875
2021-04-01,MTB,130.37,131.63,129.42,131.63,60821
2021-04-05,MTB,133.16,133.26,131.14,131.61,31668
2021-04-06,MTB,131.62,131.62,129.33,131.44,41429
2021-04-07,MTB,132.18,132.78,131.37,132.44,26608
2021-04-08,MTB,130.55,132.26,129.71,131.34,75583
2021-04-09,MTB,132.69,133.53,131.19,132.0,94801
2021-04-12,MTB,132.94,134.72,132.89,134.22,37762
2021-04-13,MTB,132.87,133.17,131.47,132.84,24944
2021-04-14,MTB,132.29,134.93,132.29,133.67,40860
2021-04-15,MTB,133.3,133.3,129.84,132.35,71957
2021-04-16,MTB,134.81,134.81,131.53,132.14,40158
2021-04-20,MTB,131.59,132.63,128.56,128.56,54230
2021-04-21,MTB,128.17,131.53,127.07,131.53,43254
2021-04-22,MTB,131.14,131.14,128.07,128.14,42172
2021-04-23,MTB,127.96,132.14,127.41,131.66,52092
2021-04-26,MTB,132.25,134.03,132.25,133.76,28683
2021-04-27,MTB,133.89,134.73,132.58,134.73,23120
2021-04-28,MTB,134.79,136.36,133.8,134.42,28775
2021-04-29,MTB,136.31,137.92,136.19,137.64,34416
2021-04-30,MTB,136.18,137.43,135.01,135.46,27812
2021-05-03,MTB,136.85,136.85,134.52,135.24,28072
2021-05-04,MTB,135.62,137.36,133.33,137.36,33785
2021-05-05,MTB,137.03,138.86,135.96,138.12,34518
2021-05-06,MTB,138.64,139.69,136.54,139.65,25215
2021-05-07,MTB,137.04,140.45,137.04,140.25,32066
2021-05-10,MTB,141.24,142.95,139.96,139.96,48639
2021-05-11,MTB,139.18,142.21,138.71,139.22,25380
2021-05-12,MTB,140.63,141.93,135.55,135.8,22460
2021-05-13,MTB,135.47,141.97,135.47,141.52,47775
2021-05-14,MTB,141.52,143.7,141.42,143.43,30352
2021-05-17,MTB,142.79,143.98,142.07,143.75,14377
2021-05-18,MTB,143.32,144.6,141.13,141.13,18751
2021-05-19,MTB,139.74,139.74,136.73,139.43,24441
2021-05-20,MTB,139.53,139.53,137.23,138.06,22225
2021-05-21,MTB,139.95,140.26,138.63,139.58,11897
2021-05-24,MTB,139.08,139.39,138.14,138.89,22912
2021-05-25,MTB,138.36,139.88,134.78,135.16,26403
2021-05-26,MTB,136.11,136.11,134.77,135.51,26007
2021-05-27,MTB,138.05,138.85,137.06,137.82,33173
2021-05-28,MTB,137.85,139.32,136.86,139.02,17915
2021-06-01,MTB,141.0,141.29,139.6,140.26,22267
2021-06-02,MTB,139.97,141.43,138.91,140.59,28307
2021-06-03,MTB,140.97,142.21,140.2,141.03,13714
2021-06-04,MTB,140.78,140.78,138.37,139.54,12785
2021-06-07,MTB,139.62,139.72,137.35,138.16,32408
2021-06-08,MTB,136.41,139.38,135.66,138.98,28194
2021-06-09,MTB,137.21,137.62,135.95,136.41,23901
2021-06-10,MTB,138.08,138.08,132.96,133.29,56065
2021-06-11,MTB,133.56,134.67,133.35,134.16,13398
2021-06-14,MTB,134.28,134.28,131.22,131.76,17869
2021-06-15,MTB,132.33,134.38,131.23,133.4,33312
2021-06-16,MTB,131.58,135.65,131.33,134.57,30530
2021-06-17,MTB,135.24,135.24,128.2,128.43,72415
2021-06-18,MTB,126.31,126.31,123.33,123.58,53666
2021-06-21,MTB,125.56,128.07,125.4,127.69,41264
2021-06-22,MTB,127.24,128.03,126.58,127.36,25076
2021-06-23,MTB,127.91,127.91,126.72,126.86,31867
2021-06-24,MTB,127.08,128.48,126.13,127.88,31993
2021-06-25,MTB,129.04,131.74,128.06,131.08,40611
2021-06-28,MTB,129.58,129.77,126.65,127.19,36738
2021-06-29,MTB,128.32,128.32,125.95,126.27,30170
2021-06-30,MTB,126.39,126.67,125.29,125.73,48233
2021-07-01,MTB,126.87,127.7,126.3,127.43,85689
2021-07-02,MTB,127.45,127.45,125.95,126.27,71700
2021-07-06,MTB,124.48,124.49,121.6,122.56,49987
2021-07-07,MTB,121.88,123.51,121.8,122.39,32466
2021-07-08,MTB,120.54,120.74,118.43,119.02,38071
2021-07-09,MTB,122.7,123.32,120.68,123.13,75446
2021-07-12,MTB,121.31,124.67,120.49,123.83,35228
2021-07-13,MTB,122.89,123.52,121.13,122.14,35398
2021-07-14,MTB,122.24,122.24,119.5,121.1,31460
2021-07-15,MTB,119.22,122.61,119.05,122.22,25180
2021-07-16,MTB,122.47,122.47,118.08,118.39,42953
2021-07-19,MTB,115.82,116.72,112.67,113.56,34038
2021-07-20,MTB,112.96,118.56,112.96,116.88,33278
2021-07-21,MTB,112.84,116.6,112.51,115.05,98633
2021-07-22,MTB,114.14,114.36,111.21,111.57,93969
2021-07-23,MTB,112.92,113.97,111.24,111.87,49897
2021-07-26,MTB,112.35,114.7,112.35,114.41,40290
2021-07-27,MTB,113.52,116.97,113.52,115.88,54810
2021-07-28,MTB,116.77,117.62,114.59,116.33,31588
2021-07-29,MTB,117.47,118.58,116.06,117.06,62365
2021-07-30,MTB,116.57,118.1,115.3,115.81,25813
2021-08-02,MTB,116.38,119.12,115.36,115.36,53955
2021-08-03,MTB,115.48,118.44,114.08,117.8,33140
2021-08-04,MTB,116.53,117.53,115.08,115.08,28226
2021-08-05,MTB,115.96,116.25,115.04,116.25,21262
2021-08-06,MTB,118.63,120.94,118.33,119.37,51268
2021-08-09,MTB,118.11,121.25,118.11,119.82,37656
2021-08-10,MTB,119.69,122.05,119.41,121.18,23384
2021-08-11,MTB,121.4,123.31,120.59,123.31,52500
2021-08-12,MTB,123.4,123.41,121.91,122.53,24025
2021-08-13,MTB,122.48,122.48,120.78,121.07,17717
2021-08-16,MTB,119.95,120.82,119.09,120.29,20095
2021-08-17,MTB,119.44,120.53,118.06,119.45,43549
2021-08-18,MTB,118.63,120.4,118.11,118.48,22280
2021-08-19,MTB,116.79,117.49,115.34,116.43,39772
2021-08-20,MTB,116.32,117.43,115.7,117.4,37876
