date,tic,open,high,low,close,volume
2021-01-04,MTCH,149.47,150.38,144.04,146.45,149935
2021-01-05,MTCH,145.36,148.18,145.36,146.77,48808
2021-01-06,MTCH,144.91,146.91,143.85,145.5,100191
2021-01-07,MTCH,146.44,149.5,146.44,149.23,84285
2021-01-08,MTCH,150.67,150.67,145.42,148.33,79216
2021-01-11,MTCH,147.24,149.78,145.25,148.37,64154
2021-01-12,MTCH,148.35,150.49,147.3,150.27,85486
2021-01-13,MTCH,150.57,155.94,150.05,151.46,98812
2021-01-14,MTCH,153.3,154.36,144.81,145.27,107800
2021-01-15,MTCH,145.71,148.58,141.77,147.47,229659
2021-01-19,MTCH,148.32,148.59,140.77,142.75,202345
2021-01-20,MTCH,144.01,145.17,142.97,144.34,213695
2021-01-21,MTCH,145.42,145.87,140.13,141.03,115869
2021-01-22,MTCH,140.86,140.86,136.34,137.71,170424
2021-01-25,MTCH,138.63,138.98,130.54,135.89,333764
2021-01-26,MTCH,136.93,139.01,134.53,135.13,118899
2021-01-27,MTCH,132.02,134.39,127.1,128.54,259759
2021-01-28,MTCH,129.7,143.27,129.7,138.19,213404
2021-01-29,MTCH,138.89,139.47,134.08,136.49,270095
2021-02-01,MTCH,139.35,143.11,138.08,142.55,113868
2021-02-02,MTCH,145.87,146.84,143.03,146.84,168721
2021-02-03,MTCH,142.29,144.18,134.56,134.97,752208
2021-02-04,MTCH,138.72,147.32,138.03,147.07,398564
2021-02-05,MTCH,147.79,156.23,146.57,156.12,278836
2021-02-08,MTCH,156.34,159.17,153.67,155.27,582011
2021-02-09,MTCH,155.13,156.96,150.57,155.49,302382
2021-02-10,MTCH,162.13,169.38,159.07,167.05,367084
2021-02-11,MTCH,167.29,170.58,163.43,168.05,282605
2021-02-12,MTCH,168.18,168.2,163.03,165.85,156509
2021-02-16,MTCH,166.37,167.16,160.7,161.01,119237
2021-02-17,MTCH,159.42,160.12,155.88,156.9,179775
2021-02-18,MTCH,155.64,159.62,152.76,158.48,223664
2021-02-19,MTCH,159.29,159.37,156.61,157.34,122332
2021-02-22,MTCH,155.95,156.71,152.29,152.99,398013
2021-02-23,MTCH,151.43,158.06,147.79,157.67,169584
2021-02-24,MTCH,156.86,157.98,153.81,157.09,81678
2021-02-25,MTCH,156.23,157.59,147.77,148.08,202463
2021-02-26,MTCH,148.98,150.78,143.13,149.47,224580
2021-03-01,MTCH,152.96,153.38,150.44,153.24,97166
2021-03-02,MTCH,152.79,153.2,148.73,149.24,109246
2021-03-03,MTCH,147.95,148.9,142.78,143.99,142713
2021-03-04,MTCH,142.15,145.63,136.95,140.54,148005
2021-03-05,MTCH,144.37,144.37,138.91,142.87,360536
2021-03-08,MTCH,141.85,145.49,140.59,142.05,257500
2021-03-09,MTCH,145.74,150.73,145.73,148.7,201576
2021-03-10,MTCH,148.99,150.44,141.78,143.34,139600
2021-03-11,MTCH,147.98,154.14,147.87,151.62,184812
2021-03-12,MTCH,151.42,151.42,146.12,149.96,161392
2021-03-15,MTCH,149.33,152.8,148.47,150.42,152617
2021-03-16,MTCH,150.99,153.6,148.69,150.72,106068
2021-03-17,MTCH,147.39,152.65,146.86,150.86,106069
2021-03-18,MTCH,148.38,148.61,143.04,143.9,131433
2021-03-19,MTCH,144.58,150.04,143.54,149.28,167490
2021-03-22,MTCH,150.51,152.38,148.79,151.5,105239
2021-03-23,MTCH,152.54,152.58,142.53,142.53,171099
2021-03-24,MTCH,143.4,143.44,136.05,136.19,155316
2021-03-25,MTCH,134.21,135.8,130.24,131.5,240398
2021-03-26,MTCH,131.89,135.09,129.43,135.09,246709
2021-03-29,MTCH,135.12,135.48,128.78,129.95,208858
