date,tic,open,high,low,close,volume
2021-01-04,NDSN,191.0,191.38,184.19,185.5,7727
2021-01-05,NDSN,186.8,189.56,184.26,188.46,14649
2021-01-06,NDSN,191.09,195.12,191.09,193.85,18927
2021-01-07,NDSN,195.47,195.54,191.22,194.08,31051
2021-01-08,NDSN,193.45,194.89,189.37,191.76,16043
2021-01-11,NDSN,190.81,193.8,190.53,192.7,16276
2021-01-12,NDSN,192.96,196.21,192.44,195.66,9448
2021-01-13,NDSN,194.6,197.19,192.53,192.53,18455
2021-01-14,NDSN,192.67,193.81,189.64,190.85,21919
2021-01-15,NDSN,188.42,188.42,181.88,182.63,32421
2021-01-19,NDSN,185.08,185.09,178.66,179.12,61488
2021-01-20,NDSN,179.56,183.74,179.56,183.15,32380
2021-01-21,NDSN,183.81,183.81,181.23,181.54,21947
2021-01-22,NDSN,180.88,181.79,179.39,181.6,43869
2021-01-25,NDSN,181.22,181.49,176.78,177.67,14687
2021-01-26,NDSN,179.76,180.19,175.92,177.27,16829
2021-01-27,NDSN,174.8,174.8,170.57,173.57,27409
2021-01-28,NDSN,176.39,176.84,174.61,174.61,13476
2021-01-29,NDSN,171.65,173.97,168.84,169.13,23885
2021-02-01,NDSN,171.91,172.96,169.86,172.18,21885
2021-02-02,NDSN,173.63,173.94,172.93,173.42,16401
2021-02-03,NDSN,173.25,174.89,172.4,173.72,23574
2021-02-04,NDSN,174.89,176.21,174.54,175.64,24820
2021-02-05,NDSN,176.79,179.46,175.89,177.68,16376
2021-02-08,NDSN,180.28,181.29,179.04,179.56,16743
2021-02-09,NDSN,179.13,179.44,177.54,177.9,9953
2021-02-10,NDSN,178.36,179.75,177.23,179.33,7252
2021-02-11,NDSN,180.37,180.37,177.01,178.8,16934
2021-02-12,NDSN,177.95,178.45,177.17,177.95,7906
2021-02-16,NDSN,178.84,179.24,175.8,176.35,7935
2021-02-17,NDSN,176.32,176.32,173.52,173.68,8402
2021-02-18,NDSN,173.04,176.55,172.76,175.3,14532
2021-02-19,NDSN,176.74,179.77,176.74,177.36,23621
2021-02-22,NDSN,176.76,177.53,174.13,174.18,38953
2021-02-23,NDSN,179.99,180.37,176.85,178.11,59535
