date,tic,open,high,low,close,volume
2021-01-04,NEE,68.03,68.04,64.78,65.29,262683
2021-01-05,NEE,65.52,66.14,65.19,65.82,183844
2021-01-06,NEE,67.34,69.82,66.53,69.05,563578
2021-01-07,NEE,70.41,70.97,69.44,69.75,173538
2021-01-08,NEE,69.93,71.46,69.93,71.39,242754
2021-01-11,NEE,71.22,71.22,69.53,70.1,167882
2021-01-12,NEE,70.12,70.85,69.14,70.16,300422
2021-01-13,NEE,70.93,72.36,70.59,72.02,434165
2021-01-14,NEE,72.06,72.82,71.43,72.66,347975
2021-01-15,NEE,72.48,73.24,72.18,72.18,304598
2021-01-19,NEE,72.7,73.21,71.96,72.86,200198
2021-01-20,NEE,72.84,74.83,72.59,74.0,324543
2021-01-21,NEE,73.98,74.58,73.64,73.72,274120
2021-01-22,NEE,73.87,74.4,73.57,74.08,243083
2021-01-25,NEE,74.13,77.17,74.05,76.63,762022
2021-01-26,NEE,76.11,76.75,74.6,75.04,653971
2021-01-27,NEE,74.52,74.52,70.07,70.57,931956
2021-01-28,NEE,71.05,73.79,70.5,72.59,314629
2021-01-29,NEE,72.03,72.57,70.6,71.17,479472
2021-02-01,NEE,72.41,73.15,71.19,71.91,170239
2021-02-02,NEE,72.28,74.32,72.25,72.98,248295
2021-02-03,NEE,73.33,73.8,72.96,73.17,225050
2021-02-04,NEE,73.1,73.52,72.68,73.06,259610
2021-02-05,NEE,73.37,74.4,73.06,73.55,286411
2021-02-08,NEE,73.94,74.55,73.17,73.38,196883
2021-02-09,NEE,73.55,74.24,73.06,73.75,189768
2021-02-10,NEE,74.46,74.71,73.44,73.79,196283
2021-02-11,NEE,74.01,74.6,73.6,73.88,359841
2021-02-12,NEE,73.94,74.05,72.73,73.18,195813
2021-02-16,NEE,73.17,73.54,71.28,71.49,361316
2021-02-17,NEE,71.24,71.27,70.09,71.01,473845
2021-02-18,NEE,71.06,71.54,70.35,70.99,271886
2021-02-19,NEE,70.8,70.8,68.63,68.73,411241
2021-02-22,NEE,68.47,68.57,65.64,66.06,379856
2021-02-23,NEE,65.91,65.97,64.54,65.73,721055
2021-02-24,NEE,65.84,65.89,64.54,64.95,526412
2021-02-25,NEE,64.83,65.76,64.48,65.52,440847
2021-02-26,NEE,65.67,66.82,65.02,65.02,585558
2021-03-01,NEE,66.08,68.03,65.84,67.19,413284
2021-03-02,NEE,67.81,67.98,66.76,66.79,214453
2021-03-03,NEE,67.02,67.09,63.79,64.16,599965
2021-03-04,NEE,64.04,64.61,62.36,63.06,532069
2021-03-05,NEE,63.42,63.53,60.45,62.54,802772
2021-03-08,NEE,62.89,64.08,62.47,62.69,311211
2021-03-09,NEE,64.11,66.08,63.99,65.52,404986
2021-03-10,NEE,65.43,66.11,64.39,65.86,348357
2021-03-11,NEE,66.26,66.82,65.87,66.22,271084
2021-03-12,NEE,66.47,67.24,65.52,66.89,264938
2021-03-15,NEE,66.87,67.42,66.39,66.8,355403
2021-03-16,NEE,66.75,67.53,66.52,66.67,283669
2021-03-17,NEE,66.36,66.38,64.42,64.52,606887
2021-03-18,NEE,64.45,64.45,62.18,62.92,1242529
2021-03-19,NEE,62.99,64.22,62.0,62.52,688874
2021-03-22,NEE,62.6,64.07,62.6,63.4,288230
2021-03-23,NEE,63.49,65.69,63.31,65.46,498267
2021-03-24,NEE,64.95,65.15,64.06,64.42,853127
2021-03-25,NEE,64.54,65.23,64.12,64.96,349328
2021-03-26,NEE,64.86,65.57,64.27,65.56,489363
2021-03-29,NEE,65.56,66.52,65.22,66.18,255045
2021-03-30,NEE,65.73,65.9,65.24,65.61,345487
2021-03-31,NEE,65.91,67.17,65.9,66.95,286385
2021-04-01,NEE,66.73,67.56,66.71,67.02,203688
2021-04-05,NEE,67.76,68.53,67.71,67.93,224250
2021-04-06,NEE,67.74,68.78,67.23,68.63,411464
2021-04-07,NEE,68.6,69.06,67.93,68.52,246463
2021-04-08,NEE,68.87,69.37,68.51,68.78,496831
2021-04-09,NEE,68.94,69.15,68.67,68.97,147098
2021-04-12,NEE,68.83,69.21,68.35,68.71,219075
2021-04-13,NEE,68.39,70.03,68.36,69.92,168004
2021-04-14,NEE,69.52,70.06,69.39,70.03,195633
2021-04-15,NEE,70.07,71.0,69.91,70.93,273907
2021-04-16,NEE,71.39,72.01,71.02,71.62,303934
2021-04-20,NEE,70.48,71.61,70.48,71.21,331767
2021-04-21,NEE,71.55,71.75,68.75,68.97,336480
2021-04-22,NEE,69.29,70.14,69.06,69.27,397183
2021-04-23,NEE,69.21,69.56,68.85,69.26,245032
2021-04-26,NEE,69.36,69.45,68.61,68.92,253151
2021-04-27,NEE,68.94,69.13,68.19,68.39,211395
2021-04-28,NEE,68.34,68.48,67.8,68.21,269558
2021-04-29,NEE,68.23,68.79,67.82,68.32,246430
2021-04-30,NEE,68.36,68.58,67.86,68.58,237671
2021-05-03,NEE,68.83,68.83,67.72,67.84,202403
2021-05-04,NEE,67.37,67.56,66.15,66.91,314959
2021-05-05,NEE,67.05,67.15,64.94,65.25,383079
2021-05-06,NEE,65.6,65.6,64.87,65.47,290501
2021-05-07,NEE,65.97,66.9,65.93,65.93,285954
2021-05-10,NEE,65.84,66.94,65.71,66.17,235381
2021-05-11,NEE,65.35,65.58,64.31,65.54,314398
2021-05-12,NEE,64.97,65.0,63.27,63.28,394602
2021-05-13,NEE,63.72,64.69,63.43,64.29,225998
2021-05-14,NEE,64.49,65.15,64.43,64.68,257955
2021-05-17,NEE,64.61,64.71,63.44,63.6,527363
2021-05-18,NEE,63.56,64.28,63.1,63.92,402085
