date,tic,open,high,low,close,volume
2021-01-04,NEM,52.91,54.19,52.81,53.98,218406
2021-01-05,NEM,54.42,54.46,53.29,54.22,124525
2021-01-06,NEM,53.63,55.89,53.58,55.8,257214
2021-01-07,NEM,55.67,56.22,54.93,55.7,166635
2021-01-08,NEM,54.72,54.87,52.79,53.68,201793
2021-01-11,NEM,52.61,53.6,52.52,52.92,174465
2021-01-12,NEM,53.05,53.57,52.55,53.44,127258
2021-01-13,NEM,53.45,54.06,53.05,53.06,120262
2021-01-14,NEM,53.71,54.43,53.13,54.16,127948
2021-01-15,NEM,53.49,54.21,52.81,52.88,204855
2021-01-19,NEM,53.4,53.5,52.52,52.85,106692
2021-01-20,NEM,53.59,54.73,53.01,54.28,193378
2021-01-21,NEM,54.28,54.28,53.1,53.28,176919
2021-01-22,NEM,52.27,53.26,51.64,52.82,106889
2021-01-25,NEM,53.0,53.3,51.85,52.7,146880
2021-01-26,NEM,52.63,53.34,52.52,52.54,161690
2021-01-27,NEM,51.99,51.99,50.12,50.35,334650
2021-01-28,NEM,51.26,52.05,50.81,51.06,176050
2021-01-29,NEM,52.28,52.53,50.8,50.96,185680
2021-02-01,NEM,52.21,52.31,50.35,51.17,328866
2021-02-02,NEM,50.53,51.82,50.28,50.96,219089
2021-02-03,NEM,50.98,51.34,50.33,50.33,262338
2021-02-04,NEM,49.03,49.54,48.39,49.28,254539
2021-02-05,NEM,49.49,50.81,49.12,50.69,234017
2021-02-08,NEM,51.34,52.07,51.05,51.61,177868
2021-02-09,NEM,51.81,51.93,51.09,51.29,128525
2021-02-10,NEM,51.83,51.96,50.91,51.03,147619
2021-02-11,NEM,51.01,51.26,49.85,49.88,179012
2021-02-12,NEM,49.57,50.62,49.22,50.38,132211
2021-02-16,NEM,49.97,50.03,49.11,49.41,232820
2021-02-17,NEM,48.77,49.34,48.19,48.72,281328
2021-02-18,NEM,48.73,49.65,47.93,49.05,238696
2021-02-19,NEM,49.4,49.4,47.89,48.42,238959
2021-02-22,NEM,48.82,49.32,48.37,49.16,328740
2021-02-23,NEM,49.09,49.09,47.69,48.56,235961
2021-02-24,NEM,48.28,49.27,47.74,48.79,178301
2021-02-25,NEM,48.54,49.1,47.69,47.96,169660
2021-02-26,NEM,47.4,47.69,46.31,46.52,367511
2021-03-01,NEM,47.01,47.53,46.4,46.7,227292
2021-03-02,NEM,46.91,49.05,46.88,48.56,320023
2021-03-03,NEM,47.81,48.22,47.12,47.78,225284
2021-03-04,NEM,47.7,48.75,47.31,47.84,234986
2021-03-05,NEM,48.09,49.2,47.54,48.97,211006
2021-03-08,NEM,49.08,49.09,48.03,48.68,240245
2021-03-09,NEM,49.72,50.16,49.18,49.44,256261
2021-03-10,NEM,49.9,50.76,49.46,50.23,273927
2021-03-11,NEM,50.6,50.63,49.82,50.47,252054
2021-03-12,NEM,49.55,50.95,49.52,50.92,316371
2021-03-15,NEM,51.5,53.47,51.26,53.03,490965
2021-03-16,NEM,52.92,53.84,52.61,53.35,255446
2021-03-17,NEM,53.08,54.64,52.5,54.37,834758
