date,tic,open,high,low,close,volume
2021-01-04,NI,19.38,19.38,19.01,19.08,71784
2021-01-05,NI,19.17,19.17,18.87,19.02,79415
2021-01-06,NI,19.14,19.56,19.1,19.44,125750
2021-01-07,NI,19.38,19.42,18.65,18.7,108562
2021-01-08,NI,18.64,18.68,18.29,18.43,162491
2021-01-11,NI,18.38,18.55,18.29,18.47,166641
2021-01-12,NI,18.42,18.63,18.13,18.48,159703
2021-01-13,NI,18.48,18.74,18.28,18.58,81877
2021-01-14,NI,18.56,18.57,18.25,18.47,52169
2021-01-15,NI,18.49,19.46,18.38,19.37,242917
2021-01-19,NI,19.43,19.43,18.86,18.97,120649
2021-01-20,NI,18.82,19.06,18.81,18.91,114794
2021-01-21,NI,18.73,18.77,18.4,18.52,63091
2021-01-22,NI,18.41,18.58,18.28,18.54,108902
2021-01-25,NI,18.52,18.79,18.36,18.67,148612
2021-01-26,NI,18.67,18.67,18.3,18.34,107681
2021-01-27,NI,18.24,18.41,17.82,17.94,158786
2021-01-28,NI,18.03,19.13,18.01,18.74,187626
2021-01-29,NI,18.35,18.81,18.18,18.69,136169
2021-02-01,NI,18.71,18.84,18.6,18.78,107200
2021-02-02,NI,18.84,19.19,18.65,18.98,93034
2021-02-03,NI,18.97,19.0,18.68,18.81,100360
2021-02-04,NI,18.76,19.23,18.6,19.22,122191
2021-02-05,NI,19.27,19.38,19.13,19.26,114720
2021-02-08,NI,19.28,19.34,18.94,19.03,59912
2021-02-09,NI,19.12,19.13,18.8,19.07,41805
2021-02-10,NI,19.2,19.27,19.02,19.16,84195
2021-02-11,NI,19.12,19.41,19.12,19.39,154624
2021-02-12,NI,19.37,19.52,19.12,19.21,144667
2021-02-16,NI,19.17,19.34,19.05,19.08,134535
2021-02-17,NI,19.31,19.41,18.86,19.33,84956
2021-02-18,NI,19.44,19.65,19.21,19.47,114795
2021-02-19,NI,19.51,19.81,19.36,19.47,186489
2021-02-22,NI,19.47,19.47,18.79,19.09,82915
2021-02-23,NI,19.27,19.44,18.99,19.3,65314
2021-02-24,NI,19.26,19.28,18.93,18.94,313181
