date,tic,open,high,low,close,volume
2021-01-04,NKE,132.8,133.16,128.87,130.43,166733
2021-01-05,NKE,129.47,131.91,129.42,131.54,133956
2021-01-06,NKE,131.69,133.69,130.36,132.6,222681
2021-01-07,NKE,133.56,135.65,133.33,135.04,153076
2021-01-08,NKE,135.52,136.67,135.0,136.31,163736
2021-01-11,NKE,135.78,137.01,134.92,136.99,282753
2021-01-12,NKE,136.58,136.73,134.48,135.22,160739
2021-01-13,NKE,134.82,135.14,132.71,133.25,127294
2021-01-14,NKE,133.47,134.87,131.29,131.57,174355
2021-01-15,NKE,130.94,132.57,130.42,131.08,161017
2021-01-19,NKE,131.33,131.44,128.99,129.72,190610
2021-01-20,NKE,130.81,133.38,130.41,133.05,113217
2021-01-21,NKE,133.0,133.91,131.46,131.85,120336
2021-01-22,NKE,131.57,131.96,129.8,129.8,126587
2021-01-25,NKE,129.28,129.63,125.51,128.08,253919
2021-01-26,NKE,128.19,128.19,125.48,125.85,394430
2021-01-27,NKE,123.25,123.68,121.35,121.94,380551
2021-01-28,NKE,123.09,127.0,122.49,125.4,307547
2021-01-29,NKE,124.67,125.75,123.12,124.48,215075
2021-02-01,NKE,125.95,126.7,124.22,126.45,149306
2021-02-02,NKE,127.5,130.21,127.37,129.96,207473
2021-02-03,NKE,130.3,130.36,128.58,129.22,179470
2021-02-04,NKE,129.86,131.36,129.4,131.03,177696
2021-02-05,NKE,131.7,135.5,131.7,135.16,213247
2021-02-08,NKE,135.21,135.42,133.0,133.56,196011
2021-02-09,NKE,133.79,134.32,131.98,131.98,147103
2021-02-10,NKE,132.72,132.77,131.29,132.72,150434
2021-02-11,NKE,133.03,134.43,132.7,133.74,168675
2021-02-12,NKE,133.4,133.49,131.72,132.4,134207
2021-02-16,NKE,133.31,133.38,131.37,132.0,203393
2021-02-17,NKE,131.48,134.63,130.63,134.08,208824
2021-02-18,NKE,133.37,135.38,131.57,135.04,392401
2021-02-19,NKE,135.47,135.47,131.81,132.22,256052
2021-02-22,NKE,131.91,132.66,126.92,127.29,471167
2021-02-23,NKE,126.82,127.43,122.6,126.82,432782
2021-02-24,NKE,126.27,126.63,124.78,126.48,282396
2021-02-25,NKE,127.84,129.56,125.31,126.26,237545
2021-02-26,NKE,127.01,127.22,124.47,125.83,273053
2021-03-01,NKE,126.63,129.86,126.63,128.54,262193
2021-03-02,NKE,128.92,128.92,126.61,127.88,132399
2021-03-03,NKE,127.71,128.19,125.21,125.25,264190
2021-03-04,NKE,124.97,126.12,121.53,123.03,319312
2021-03-05,NKE,124.67,124.74,120.6,124.41,204117
2021-03-08,NKE,124.84,126.57,123.59,125.57,322833
2021-03-09,NKE,126.71,128.77,126.42,126.99,247527
2021-03-10,NKE,127.41,128.98,127.21,128.43,261396
2021-03-11,NKE,129.87,132.68,129.32,131.76,234601
2021-03-12,NKE,130.7,131.44,129.37,131.11,179172
2021-03-15,NKE,131.29,135.33,131.29,135.3,261505
2021-03-16,NKE,136.34,136.34,134.27,135.01,293136
2021-03-17,NKE,134.3,136.35,133.79,135.11,222413
2021-03-18,NKE,134.86,136.84,133.06,133.77,410813
2021-03-19,NKE,130.59,130.97,126.5,128.49,984835
2021-03-22,NKE,128.56,129.55,126.98,129.03,267236
2021-03-23,NKE,129.37,131.22,127.46,128.07,222159
2021-03-24,NKE,127.83,128.7,124.04,124.33,441312
2021-03-25,NKE,118.43,120.72,117.12,120.07,772846
2021-03-26,NKE,122.78,124.3,121.13,124.15,326089
2021-03-29,NKE,124.01,124.97,122.0,124.61,303596
2021-03-30,NKE,123.97,124.45,122.51,124.03,255467
2021-03-31,NKE,123.85,125.2,123.16,124.16,196101
2021-04-01,NKE,125.47,125.6,123.41,123.75,240318
2021-04-05,NKE,124.55,126.62,124.24,126.13,141961
2021-04-06,NKE,126.28,128.51,125.98,127.97,205354
2021-04-07,NKE,127.92,128.97,127.28,127.46,204371
2021-04-08,NKE,127.95,128.01,124.51,124.75,400592
2021-04-09,NKE,124.98,126.43,124.65,126.42,168205
2021-04-12,NKE,125.67,127.63,125.31,127.53,236385
2021-04-13,NKE,126.75,126.8,124.5,124.55,243869
2021-04-14,NKE,124.63,125.19,123.03,123.35,391986
