date,tic,open,high,low,close,volume
2021-01-04,NOC,279.91,279.91,269.14,271.28,57983
2021-01-05,NOC,272.44,274.88,270.8,273.16,54284
2021-01-06,NOC,270.89,278.12,270.11,275.55,59683
2021-01-07,NOC,273.07,273.63,269.47,269.47,66544
2021-01-08,NOC,269.46,269.89,263.99,265.55,233323
2021-01-11,NOC,264.89,271.54,264.89,271.3,52859
2021-01-12,NOC,271.83,274.89,270.39,274.25,41233
2021-01-13,NOC,273.44,276.21,271.43,275.78,70905
2021-01-14,NOC,278.09,284.01,278.09,279.06,76993
2021-01-15,NOC,278.34,279.45,275.38,276.78,115026
2021-01-19,NOC,279.34,279.76,274.44,274.49,74903
2021-01-20,NOC,275.1,277.13,273.81,275.22,41960
2021-01-21,NOC,275.63,275.97,273.01,273.4,44245
2021-01-22,NOC,272.3,276.72,271.26,274.74,164084
2021-01-25,NOC,275.58,280.93,274.43,275.74,120103
2021-01-26,NOC,276.37,276.5,269.46,269.93,64599
2021-01-27,NOC,269.83,272.52,268.17,269.89,112646
2021-01-28,NOC,270.67,272.64,268.91,270.11,111173
2021-01-29,NOC,266.01,266.37,260.63,263.81,109298
2021-02-01,NOC,266.59,270.83,265.31,268.93,67746
2021-02-02,NOC,271.16,278.2,270.8,276.5,362324
2021-02-03,NOC,276.11,278.02,274.36,276.89,157871
2021-02-04,NOC,276.97,279.59,276.08,277.95,213303
2021-02-05,NOC,279.17,280.46,274.99,275.27,65288
2021-02-08,NOC,276.35,277.67,274.52,276.18,136527
2021-02-09,NOC,276.27,282.27,274.59,279.8,57776
2021-02-10,NOC,279.76,280.36,278.48,279.72,51028
2021-02-11,NOC,278.35,279.97,275.56,275.84,88678
2021-02-12,NOC,276.31,277.52,272.71,273.87,36759
2021-02-16,NOC,273.82,273.93,267.72,267.83,61915
2021-02-17,NOC,267.77,273.58,265.4,273.58,54300
2021-02-18,NOC,272.85,274.85,271.72,274.23,47090
2021-02-19,NOC,274.89,275.04,272.86,273.61,68152
2021-02-22,NOC,271.93,275.68,270.85,274.22,113550
2021-02-23,NOC,275.66,280.38,272.27,275.07,116680
2021-02-24,NOC,275.04,280.33,273.43,277.9,73455
2021-02-25,NOC,277.57,282.16,276.64,277.9,69885
2021-02-26,NOC,276.72,277.39,269.95,270.11,54109
2021-03-01,NOC,272.79,275.26,271.16,271.34,52638
2021-03-02,NOC,272.1,278.07,271.49,276.71,47873
2021-03-03,NOC,276.06,282.04,275.82,276.78,60336
2021-03-04,NOC,277.09,281.16,273.56,275.31,51864
2021-03-05,NOC,276.0,279.76,273.32,278.68,58878
2021-03-08,NOC,280.45,286.88,279.48,282.78,74573
2021-03-09,NOC,281.08,281.61,275.18,275.96,67633
2021-03-10,NOC,276.54,279.61,273.84,277.56,48745
2021-03-11,NOC,276.82,278.6,275.45,277.01,34782
2021-03-12,NOC,279.22,280.7,278.54,279.31,42174
2021-03-15,NOC,282.58,283.54,280.72,282.85,38462
2021-03-16,NOC,282.44,284.27,279.18,283.01,31513
2021-03-17,NOC,284.93,291.72,284.59,287.16,57564
2021-03-18,NOC,289.17,291.86,288.95,291.56,43675
2021-03-19,NOC,291.8,292.81,285.62,285.64,58535
2021-03-22,NOC,285.16,292.04,284.6,290.73,79645
2021-03-23,NOC,291.22,293.28,290.03,291.14,73246
2021-03-24,NOC,291.8,297.22,291.8,292.5,47785
2021-03-25,NOC,293.91,297.87,292.76,297.26,47434
2021-03-26,NOC,298.12,298.9,292.35,295.54,48320
2021-03-29,NOC,296.43,301.71,296.43,298.95,46800
2021-03-30,NOC,299.52,300.42,297.67,298.15,40778
2021-03-31,NOC,297.38,300.05,296.95,299.56,46191
2021-04-01,NOC,298.93,300.79,297.45,298.38,45385
2021-04-05,NOC,300.06,306.27,299.99,306.24,32042
2021-04-06,NOC,303.52,307.41,302.97,306.69,39605
2021-04-07,NOC,306.85,309.28,305.29,309.15,31114
2021-04-08,NOC,309.12,312.22,308.61,311.12,73490
2021-04-09,NOC,312.39,315.18,311.34,314.48,32259
2021-04-12,NOC,315.01,317.25,312.95,315.09,42737
2021-04-13,NOC,313.88,314.74,313.05,313.24,23903
2021-04-14,NOC,313.83,317.81,313.83,316.38,35924
2021-04-15,NOC,316.54,319.76,315.31,319.18,30058
2021-04-16,NOC,320.47,321.87,318.12,320.66,40715
2021-04-20,NOC,318.9,320.04,317.63,319.58,32295
2021-04-21,NOC,320.08,320.73,318.03,319.89,32651
2021-04-22,NOC,317.8,319.3,316.82,317.7,44702
2021-04-23,NOC,317.54,317.7,314.93,316.44,36784
2021-04-26,NOC,317.01,317.01,311.58,312.69,59105
2021-04-27,NOC,312.18,315.47,311.1,314.5,47457
2021-04-28,NOC,314.67,314.67,311.5,313.17,38538
2021-04-29,NOC,316.81,327.64,316.81,325.91,79188
2021-04-30,NOC,327.27,330.19,326.65,328.11,75810
2021-05-03,NOC,326.84,335.72,326.84,334.05,37784
2021-05-04,NOC,335.32,341.03,335.21,340.64,74214
2021-05-05,NOC,340.01,345.34,339.29,345.21,141759
2021-05-06,NOC,345.87,347.77,340.93,342.53,68168
2021-05-07,NOC,341.86,344.9,339.02,343.03,42232
2021-05-10,NOC,346.94,350.3,345.93,345.98,27635
2021-05-11,NOC,344.63,345.93,338.79,340.96,57219
2021-05-12,NOC,341.51,343.81,336.12,336.28,60583
2021-05-13,NOC,335.66,344.93,335.66,342.44,81957
2021-05-14,NOC,342.97,344.92,342.59,343.85,61273
2021-05-17,NOC,345.24,346.7,343.79,345.04,26324
2021-05-18,NOC,344.56,345.65,341.21,341.21,29430
2021-05-19,NOC,336.99,343.02,336.66,342.93,21816
2021-05-20,NOC,344.48,346.41,343.53,344.13,42447
2021-05-21,NOC,346.48,348.59,341.77,342.64,22245
