date,tic,open,high,low,close,volume
2021-01-04,NOW,111.33,111.33,104.3,105.22,716540
2021-01-05,NOW,105.17,106.57,105.08,106.33,569495
2021-01-06,NOW,103.4,104.12,101.45,101.45,739830
2021-01-07,NOW,101.94,103.29,101.76,102.25,612300
2021-01-08,NOW,104.1,106.26,103.66,105.95,548585
2021-01-11,NOW,105.04,105.37,103.12,104.63,535515
2021-01-12,NOW,104.19,104.32,101.55,102.61,506720
2021-01-13,NOW,103.37,104.73,102.28,104.22,384125
2021-01-14,NOW,105.47,105.59,102.57,102.7,526685
2021-01-15,NOW,104.25,105.28,102.68,102.76,442580
2021-01-19,NOW,103.1,104.56,101.97,103.94,323400
2021-01-20,NOW,105.59,108.65,105.53,108.48,396935
2021-01-21,NOW,108.66,109.26,107.63,108.9,339550
2021-01-22,NOW,109.84,110.79,108.07,108.24,332635
2021-01-25,NOW,109.71,110.49,105.01,107.5,860680
2021-01-26,NOW,107.93,107.96,106.13,106.51,464895
2021-01-27,NOW,104.61,106.56,101.77,103.44,848905
2021-01-28,NOW,109.07,112.65,108.78,111.09,1589105
2021-01-29,NOW,110.07,110.39,105.87,108.74,1052985
2021-02-01,NOW,109.84,112.91,109.45,111.77,614770
2021-02-02,NOW,112.62,117.66,112.12,116.8,751375
2021-02-03,NOW,116.66,117.09,114.91,115.41,564805
2021-02-04,NOW,116.1,117.77,114.54,117.77,485410
2021-02-05,NOW,117.67,118.46,116.53,117.96,311195
2021-02-08,NOW,118.28,119.66,116.87,117.34,369395
2021-02-09,NOW,117.44,117.69,115.28,116.35,646780
2021-02-10,NOW,117.15,118.72,115.97,117.78,548340
2021-02-11,NOW,117.92,118.95,117.75,118.93,298745
2021-02-12,NOW,118.4,118.58,117.16,118.33,307925
2021-02-16,NOW,118.32,118.79,116.31,117.04,346855
2021-02-17,NOW,116.2,116.61,114.19,116.24,319670
2021-02-18,NOW,114.31,115.78,113.23,115.09,524665
2021-02-19,NOW,115.56,116.38,111.87,114.2,912260
2021-02-22,NOW,112.81,112.86,110.03,110.08,381885
2021-02-23,NOW,107.78,110.72,104.9,110.48,646835
2021-02-24,NOW,109.62,110.76,107.95,110.36,294035
2021-02-25,NOW,110.0,111.2,105.41,105.82,642255
2021-02-26,NOW,106.6,108.03,104.27,106.78,591385
2021-03-01,NOW,109.77,111.31,108.28,111.25,386390
2021-03-02,NOW,111.91,112.3,109.8,109.95,268830
2021-03-03,NOW,109.11,109.11,102.75,103.2,579335
2021-03-04,NOW,102.11,103.55,97.0,98.07,875250
2021-03-05,NOW,99.15,99.21,93.44,97.37,1009605
2021-03-08,NOW,97.85,98.56,92.53,92.91,717005
2021-03-09,NOW,96.15,98.71,95.82,97.75,1000275
2021-03-10,NOW,99.28,99.78,94.87,94.87,895245
2021-03-11,NOW,98.42,102.27,98.21,100.57,929885
2021-03-12,NOW,98.16,98.88,96.57,97.85,436150
2021-03-15,NOW,98.34,99.37,97.46,99.27,303200
2021-03-16,NOW,100.78,101.8,99.14,99.82,504625
2021-03-17,NOW,98.21,98.46,95.31,97.15,670620
2021-03-18,NOW,95.8,95.8,92.93,93.12,743460
2021-03-19,NOW,93.74,95.1,92.86,94.1,530660
2021-03-22,NOW,94.58,96.78,94.58,95.39,347660
2021-03-23,NOW,96.11,97.28,95.4,95.55,364545
2021-03-24,NOW,95.8,95.8,94.1,94.51,472365
2021-03-25,NOW,93.13,94.73,92.77,94.44,497155
2021-03-26,NOW,94.54,99.07,94.3,99.07,1116425
2021-03-29,NOW,98.27,98.59,96.46,96.99,967870
2021-03-30,NOW,95.96,98.15,94.75,97.41,489325
2021-03-31,NOW,98.73,101.28,98.73,99.99,382410
2021-04-01,NOW,101.43,102.48,100.52,101.42,467150
2021-04-05,NOW,102.31,103.21,101.95,102.83,433745
2021-04-06,NOW,102.49,103.0,101.41,101.72,276425
2021-04-07,NOW,102.28,102.51,101.48,102.08,260240
2021-04-08,NOW,103.54,105.58,103.54,104.77,598215
2021-04-09,NOW,103.28,106.04,102.05,105.97,849395
2021-04-12,NOW,105.68,108.18,105.01,107.4,760805
2021-04-13,NOW,107.88,110.22,107.88,109.76,528735
2021-04-14,NOW,110.16,112.01,108.69,108.95,599315
2021-04-15,NOW,110.72,112.0,110.67,111.91,263020
2021-04-16,NOW,112.13,112.13,110.21,111.43,265365
2021-04-20,NOW,109.67,110.28,107.54,108.24,269855
2021-04-21,NOW,108.55,109.8,107.68,109.3,416945
2021-04-22,NOW,109.44,111.53,108.93,109.69,385485
2021-04-23,NOW,110.89,111.07,109.9,110.45,261210
2021-04-26,NOW,110.8,111.88,109.88,111.83,190600
2021-04-27,NOW,111.46,113.06,110.75,112.63,337330
2021-04-28,NOW,111.63,111.92,110.62,111.48,814415
2021-04-29,NOW,104.14,106.08,100.98,101.14,2952250
2021-04-30,NOW,100.32,103.95,100.15,101.13,1575005
2021-05-03,NOW,101.29,101.64,97.76,98.0,746220
2021-05-04,NOW,97.0,97.84,94.81,96.67,825515
2021-05-05,NOW,97.79,97.79,95.55,95.96,519930
2021-05-06,NOW,94.96,97.19,94.71,97.19,803635
2021-05-07,NOW,98.6,98.88,94.9,96.82,835555
2021-05-10,NOW,96.26,96.26,92.94,93.34,795255
2021-05-11,NOW,90.78,97.2,90.77,96.29,818810
2021-05-12,NOW,94.27,94.88,92.01,92.92,498965
2021-05-13,NOW,93.75,93.82,90.29,90.94,684125
2021-05-14,NOW,92.61,92.98,91.86,92.06,767925
2021-05-17,NOW,91.59,91.59,89.69,90.89,444285
2021-05-18,NOW,91.1,92.59,90.31,91.45,331590
2021-05-19,NOW,90.24,92.14,89.94,92.01,206985
2021-05-20,NOW,93.4,95.0,93.38,94.23,297445
2021-05-21,NOW,95.11,95.69,93.81,93.91,303470
2021-05-24,NOW,94.86,95.89,94.71,95.27,159670
2021-05-25,NOW,95.85,96.74,95.32,96.01,365450
2021-05-26,NOW,95.7,97.43,95.69,97.08,338010
2021-05-27,NOW,95.72,96.47,94.58,95.93,332165
2021-05-28,NOW,95.86,96.37,94.25,94.78,351785
2021-06-01,NOW,95.48,95.48,93.44,93.76,359110
2021-06-02,NOW,93.15,94.49,92.46,93.34,155255
2021-06-03,NOW,92.69,93.0,91.33,91.83,173055
2021-06-04,NOW,92.08,93.03,91.76,92.15,289960
2021-06-07,NOW,91.64,92.53,91.55,91.87,244735
2021-06-08,NOW,92.49,94.22,91.93,92.14,356610
2021-06-09,NOW,93.01,93.52,92.15,92.95,280800
2021-06-10,NOW,97.01,98.12,95.83,97.78,692680
2021-06-11,NOW,98.35,99.88,97.61,99.58,390180
2021-06-14,NOW,100.5,102.22,99.74,101.91,608840
2021-06-15,NOW,102.17,102.44,100.82,101.09,336020
2021-06-16,NOW,101.55,104.29,100.49,102.03,593960
2021-06-17,NOW,101.93,106.2,101.93,106.16,610890
2021-06-18,NOW,106.53,107.54,105.15,106.71,427615
2021-06-21,NOW,106.31,107.52,105.17,106.89,476730
2021-06-22,NOW,107.21,109.4,107.16,109.2,691075
2021-06-23,NOW,108.96,110.2,108.59,110.03,358440
2021-06-24,NOW,111.13,111.72,110.27,110.42,465350
2021-06-25,NOW,110.89,110.89,108.48,108.95,545980
2021-06-28,NOW,109.71,110.53,109.37,110.48,268690
2021-06-29,NOW,110.89,112.37,110.68,111.67,317740
2021-06-30,NOW,111.17,111.38,109.54,109.97,192450
2021-07-01,NOW,108.59,109.94,107.95,109.02,341830
2021-07-02,NOW,109.63,110.81,109.54,110.44,181260
2021-07-06,NOW,110.57,112.68,110.5,111.64,230800
2021-07-07,NOW,112.37,112.55,110.97,112.31,328110
2021-07-08,NOW,110.08,112.36,109.63,112.05,331095
2021-07-09,NOW,112.47,113.42,111.4,113.33,291030
2021-07-12,NOW,113.93,114.63,112.32,112.35,309355
2021-07-13,NOW,112.55,113.25,111.0,111.83,436980
2021-07-14,NOW,112.72,113.08,111.83,112.67,183640
2021-07-15,NOW,112.65,113.3,110.92,111.65,346405
2021-07-16,NOW,112.19,112.89,111.01,111.26,297400
2021-07-19,NOW,109.82,111.03,109.05,111.03,275890
2021-07-20,NOW,111.52,113.82,110.99,113.02,268495
2021-07-21,NOW,112.2,113.36,111.85,113.36,220235
2021-07-22,NOW,114.83,115.84,114.19,115.28,306185
2021-07-23,NOW,116.13,117.65,115.96,117.16,328095
2021-07-26,NOW,116.76,116.97,115.17,116.78,664980
2021-07-27,NOW,116.62,117.29,114.96,116.47,469140
2021-07-28,NOW,116.58,117.36,115.39,116.62,379070
2021-07-29,NOW,117.9,121.67,117.17,117.18,763885
