date,tic,open,high,low,close,volume
2021-01-04,NTRS,80.05,80.53,78.38,79.38,29484
2021-01-05,NTRS,78.2,79.53,78.02,78.81,46747
2021-01-06,NTRS,80.33,84.23,80.33,83.5,70294
2021-01-07,NTRS,84.37,85.19,83.77,83.77,43124
2021-01-08,NTRS,83.58,83.97,81.97,83.21,24620
2021-01-11,NTRS,82.43,84.03,82.22,83.98,30322
2021-01-12,NTRS,83.73,85.4,83.71,85.23,40557
2021-01-13,NTRS,85.24,85.24,84.09,84.46,46281
2021-01-14,NTRS,85.22,85.68,84.22,85.68,23307
2021-01-15,NTRS,83.95,84.43,82.23,82.69,40219
2021-01-19,NTRS,82.61,84.09,82.12,83.65,58760
2021-01-20,NTRS,82.55,82.69,80.96,81.49,117286
2021-01-21,NTRS,81.76,82.49,80.83,80.95,94079
2021-01-22,NTRS,80.88,81.89,79.34,81.24,73034
2021-01-25,NTRS,80.2,81.84,80.2,80.95,60387
2021-01-26,NTRS,81.08,81.41,80.35,80.36,69559
2021-01-27,NTRS,78.75,80.53,77.22,77.35,69983
2021-01-28,NTRS,78.61,79.36,78.25,78.29,56432
2021-01-29,NTRS,77.91,78.27,75.79,76.54,34507
2021-02-01,NTRS,77.53,78.25,77.13,77.69,35310
2021-02-02,NTRS,78.73,79.93,78.26,79.1,33281
2021-02-03,NTRS,79.07,80.64,78.53,80.27,44597
2021-02-04,NTRS,80.9,82.87,80.9,82.87,38396
2021-02-05,NTRS,83.31,83.75,82.49,83.43,29951
2021-02-08,NTRS,83.88,84.07,83.2,83.81,61591
2021-02-09,NTRS,83.35,84.43,82.65,83.9,40806
2021-02-10,NTRS,83.92,84.65,83.01,83.08,50870
2021-02-11,NTRS,82.99,84.18,82.35,83.28,44519
2021-02-12,NTRS,83.28,84.3,83.24,84.3,49699
2021-02-16,NTRS,85.09,85.78,84.84,84.94,36822
2021-02-17,NTRS,84.68,84.76,83.47,83.64,59379
2021-02-18,NTRS,83.04,83.39,81.8,82.35,30040
2021-02-19,NTRS,82.68,83.34,82.15,82.71,60420
2021-02-22,NTRS,82.21,84.22,82.21,83.87,85079
2021-02-23,NTRS,84.18,85.24,83.64,83.78,54579
2021-02-24,NTRS,83.64,86.21,83.64,86.07,35100
2021-02-25,NTRS,86.29,87.41,83.66,83.97,67953
2021-02-26,NTRS,83.21,83.56,81.57,81.78,37730
2021-03-01,NTRS,83.45,85.86,83.39,84.92,33176
2021-03-02,NTRS,84.64,85.05,83.5,83.58,63295
2021-03-03,NTRS,84.49,86.12,84.2,84.61,51131
2021-03-04,NTRS,84.58,84.83,82.44,83.77,50495
2021-03-05,NTRS,85.44,86.05,83.3,85.85,46199
2021-03-08,NTRS,86.79,88.47,86.01,87.21,50904
2021-03-09,NTRS,86.25,88.38,85.11,86.19,40849
2021-03-10,NTRS,87.17,88.56,86.99,87.03,92537
2021-03-11,NTRS,86.37,88.34,86.09,87.89,40810
2021-03-12,NTRS,88.87,89.72,88.21,88.5,58387
2021-03-15,NTRS,88.73,90.66,88.36,90.66,75914
2021-03-16,NTRS,90.01,91.16,89.79,90.23,44477
2021-03-17,NTRS,91.0,91.34,89.44,90.45,58284
2021-03-18,NTRS,91.26,92.11,89.49,89.96,66641
2021-03-19,NTRS,89.24,89.72,88.02,88.74,87617
2021-03-22,NTRS,87.83,87.83,85.92,86.17,69523
2021-03-23,NTRS,85.27,85.89,84.17,84.58,71825
2021-03-24,NTRS,85.55,86.93,85.55,85.91,37935
2021-03-25,NTRS,85.72,89.23,85.15,88.98,51662
2021-03-26,NTRS,89.57,91.59,89.32,91.59,54610
2021-03-29,NTRS,90.18,92.66,90.18,92.14,80652
2021-03-30,NTRS,92.62,93.25,91.33,92.36,40638
2021-03-31,NTRS,92.08,92.22,90.46,90.92,44368
2021-04-01,NTRS,90.45,91.47,90.15,91.32,24849
2021-04-05,NTRS,92.17,92.94,91.5,92.42,37494
2021-04-06,NTRS,92.29,92.42,90.86,91.42,28590
2021-04-07,NTRS,92.17,92.55,91.47,92.3,33369
2021-04-08,NTRS,91.66,92.33,91.32,92.06,33107
2021-04-09,NTRS,93.13,94.32,92.45,93.97,39821
2021-04-12,NTRS,94.1,95.08,94.0,95.04,44735
2021-04-13,NTRS,94.5,94.64,93.48,94.1,21278
2021-04-14,NTRS,94.47,95.42,93.98,95.11,48828
2021-04-15,NTRS,94.63,94.63,93.46,93.88,43757
2021-04-16,NTRS,94.64,94.64,91.79,92.44,85537
2021-04-19,NTRS,92.63,92.63,90.99,91.81,89042
2021-04-20,NTRS,92.16,94.64,91.38,92.77,169127
2021-04-21,NTRS,92.14,92.86,90.93,92.4,61850
2021-04-22,NTRS,92.25,92.99,91.33,92.36,79050
2021-04-23,NTRS,92.52,95.06,92.52,94.76,27443
2021-04-26,NTRS,94.81,95.9,94.2,94.33,25359
2021-04-27,NTRS,93.95,96.2,93.91,96.12,62633
2021-04-28,NTRS,96.79,96.96,96.03,96.69,37270
2021-04-29,NTRS,97.67,98.99,97.32,98.87,53020
2021-04-30,NTRS,98.2,98.75,97.94,98.46,53282
2021-05-03,NTRS,98.8,99.7,97.9,99.19,26809
2021-05-04,NTRS,99.05,99.96,98.12,99.72,123194
2021-05-05,NTRS,99.53,101.98,99.03,101.55,79761
2021-05-06,NTRS,101.64,102.75,100.16,102.68,36853
