date,tic,open,high,low,close,volume
2021-01-04,NVDA,13.06,13.61,12.93,13.08,15968000
2021-01-05,NVDA,13.06,13.41,13.06,13.38,7010360
2021-01-06,NVDA,13.18,13.19,12.56,12.58,19239000
2021-01-07,NVDA,12.93,13.34,12.86,13.31,12118560
2021-01-08,NVDA,13.33,13.38,13.01,13.25,9013960
2021-01-11,NVDA,13.38,13.92,13.33,13.58,11907720
2021-01-12,NVDA,13.71,13.71,13.31,13.44,9109120
2021-01-13,NVDA,13.45,13.57,13.36,13.5,8130320
2021-01-14,NVDA,13.56,13.56,13.15,13.17,11260920
2021-01-15,NVDA,13.21,13.29,12.82,12.84,8408400
2021-01-19,NVDA,12.98,13.05,12.82,12.99,7399440
2021-01-20,NVDA,13.1,13.39,13.03,13.34,8362720
2021-01-21,NVDA,13.38,13.96,13.23,13.83,11097720
2021-01-22,NVDA,13.72,13.8,13.59,13.68,12305680
2021-01-25,NVDA,13.74,13.79,13.21,13.63,8165480
2021-01-26,NVDA,13.53,13.6,13.35,13.39,5653560
2021-01-27,NVDA,13.18,13.18,12.76,12.88,11812840
2021-01-28,NVDA,12.95,13.3,12.94,13.0,6775640
2021-01-29,NVDA,13.05,13.29,12.88,12.94,10552440
2021-02-01,NVDA,13.03,13.23,12.89,13.2,7522560
2021-02-02,NVDA,13.36,13.53,13.25,13.52,6964880
2021-02-03,NVDA,13.6,13.89,13.48,13.48,9284600
2021-02-04,NVDA,13.5,13.63,13.31,13.63,6710880
2021-02-05,NVDA,13.68,13.69,13.51,13.56,5265920
2021-02-08,NVDA,13.72,14.43,13.71,14.4,14456720
2021-02-09,NVDA,14.31,14.53,14.19,14.21,8411240
2021-02-10,NVDA,14.46,14.86,14.3,14.72,17726680
2021-02-11,NVDA,14.95,15.23,14.9,15.22,16483920
2021-02-12,NVDA,14.99,15.24,14.74,14.92,14564280
2021-02-16,NVDA,15.03,15.33,14.91,15.29,13713200
2021-02-17,NVDA,15.13,15.17,14.75,14.87,8861920
2021-02-18,NVDA,14.65,14.83,14.54,14.79,7079960
